…You all right?	……大丈夫か？
Stop by the "Turtle's Paradise"!!	居酒屋「かめ道楽」へ！！
Temporary stopper	仮のストッパー
October 7th	１０月７日～
“Um, we're, um	「ヒーちゃんたちねえ
taking care of the um,	ここのお花ねえ
flowers for the um, lady here.”	おせわしてんの」
“…is that OK?”	「……ダメ？」
I don't mind	ぜんぜんかまわない
No it's not!	ダメ！
CLOUD	CLOUD
“Take good care of them.”	「大切にな」
CLOUD	CLOUD
“That's too much to ask of kids.”	「コドモには無理だな」
“Too much to ask?  What?	「ムリ？　ムリってな～に？
I don't get it.”	わかんな～い」
AERIS	AERITH
“CLOUD, what are you saying!?”	「CLOUD、なに言ってるの！？」
AERIS	AERITH
“Will you take good care of my flowers, for me?”	「お花、かわいがってあげてね」
“Yeah!”	「うん！」
“Sure!”	「うん！」
“They're purrty!”	「きれいだねえ！」
“I'm gonna water them later…”	「あとで、おみずあげますからね～」
“Hey!	「あれっ？
Where's the flower lady?”	おねえちゃんは？」}
	
church in the slums	スラムの教会
AERIS	AERITH
“I'm home, Mom.”	「ただいま、お母さん」
CLOUD	CLOUD
“Yeah.”	「ああ」}
AERIS	AERITH
“This is CLOUD.	「この人、CLOUD。
My bodyguard.”	わたしのボディーガードよ」
Elmyra	エルミナ
“Bodyguard?	「ボディーガードって……
You were followed again!?”	おまえ、また狙われたのかい！？」
Elmyra	エルミナ
“Are you all right!?	「体は！？　ケガはないのかい！？」
You're not hurt, are you!?”	
AERIS	AERITH
“I'm all right.	「だいじょうぶ。
I had CLOUD with me.”	今日はCLOUDもいてくれたし」
Elmyra	エルミナ
“Thank you, CLOUD.”	「ありがとうね、CLOUDさん」
AERIS	AERITH
“So what are you going to do now?”	「ねぇ、これからどうするの？」
CLOUD	CLOUD
“…Is Sector 7 far from here?	「……７番街は遠いのか？
I want to go to TIFA's bar.”	TIFAの店に行きたいんだ」
AERIS	AERITH
“Is TIFA…a girl?”	「TIFAって……女の人？」
CLOUD	CLOUD
“Yeah.”	「ああ」
AERIS	AERITH
“A girl…friend?”	「彼女？」
CLOUD	CLOUD
“Girlfriend?”	「彼女？」
No way!	そんなんじゃない！
Yeah, that's right	そんなところだ
AERIS	AERITH
“Hee hee hee…”	「ふふふ」
AERIS	AERITH
“You don't have to get THAT upset…”	「そ～んなにムキにならなくても
	いいと思うけど」
AERIS	AERITH
“Oh, how nice.”	「ふ～ん、いいねえ」
AERIS	AERITH
“Well, that's…nice.”	「でも、まあ、いいわ」
AERIS	AERITH
“Let's see, Sector 7?	「７番街だったわね。
I'll show you the way.”	私が案内してあげる」
CLOUD	CLOUD
“You gotta be kidding.	「冗談じゃない。
Why do you want to put	また危ない目にあったら
yourself in danger again?”	どうするんだ？」
AERIS	AERITH
“I'm used to it.”	「なれてるわ」
CLOUD	CLOUD
“Used to it!?”	「なれてる！？」
CLOUD	CLOUD
“Well, I don't know…	「……まあ、そうだとしても
getting help from a girl…”	女の力をかりるなんて…」
AERIS	AERITH
“A girl!! What do you mean by that!?”	「女！！　女の力なんて！？」
AERIS	AERITH
“You expect me to just sit by quietly	「そういう言い方されて
after hearing you say	だまってるわけにはいかないわね」
something like that!?”	
AERIS	AERITH
“Mom!	「お母さん！
I'm taking CLOUD to Sector 7.	わたし、７番街まで
I'll be back in a while.”	CLOUDをおくっていくから」
Elmyra	エルミナ
“But dear…I give up. You never listen	「やれやれ。
once you've made up your mind.”	言いだしたら聞かないからね」
Elmyra	エルミナ
“But if you must go, why don't you go	「でも、明日にしたらどうだい？
tomorrow? It's getting late now.”	今日はもう遅くなってきたし」
AERIS	AERITH
“Yeah, you're right, Mom.”	「うん、わかった、お母さん」
Elmyra	エルミナ
“AERIS,	「AERITH、ベッドの準備をしておくれ」
please go make the bed.”	
AERIS	AERITH
“You need to go through	「７番街へは６番街を抜けていくの。
Sector 6 to get to Sector 7.	６番街、ちょっと危険なところだから
Sector 6 is a little	今夜はゆっくり休んでね」
dangerous so you'd better	
get some rest tonight.”	
AERIS	AERITH
“CLOUD…”	「CLOUD」
AERIS	AERITH
“Good night.”	「おやすみ」
CLOUD	CLOUD
“Oh, man…”	「まいったな……」-
CLOUD's House	CLOUDの家
	
“…seem pretty tired…”	「……かなり、アレだな。
	つかれてるみたいだぞ」
CLOUD	CLOUD
“…!?”	「…………！？」
“I haven't slept in a bed like this	「こんなキチンとしたベッド
…for a long time.”	……ひさしぶりだ」
CLOUD	CLOUD
“Oh, yeah.”	「……ああ、そうだな」
“Ever since then.”	「あれ以来、かな」
“My, how you've grown.”	「本当に立派になってぇ」
“I'll bet the girls never leave you alone.”	「そんなんじゃ、あれだね。
	女の子もほっとかないだろ？」
CLOUD	CLOUD
“…Not really.”	「……べつに」
“…I'm worried about you.”	「……心配なんだよ」
“There are a lot of temptations in the city…”	「都会にはいろいろ誘惑が
	多いんだろ？」
“I'd feel a lot better if you just settled down	「ちゃんとした彼女がいれば
with a nice girlfriend.”	母さん、すこしは
	安心できるってもんだ」
CLOUD	CLOUD
“…I'm all right.”	「……俺はだいじょうぶだよ」
“You should have…”	「あんたにはねぇ……」
“an older girlfriend, one that'll	「ちょっとお姉さんで
take care of you.”	あんたをグイグイ引っ張っていく」
“I think that would be best for you.”	「そんな女の子が
	ピッタリだと思うんだけどね」
CLOUD	CLOUD
“I'm not interested.”	「……興味ないな」}
CLOUD	CLOUD
“…I must've fallen	「……いつのまにか
asleep.”	眠ってしまったのか」
CLOUD	CLOUD
“Sector 7's past Sector 6…	「６番街をこえて７番街へ、か。
I should be all right by myself…”	１人でなんとかなりそうだな」
AERIS	AERITH
“CLOUD!	「もう！　またタークス、来たのかと
I thought the Turks	思ったじゃない！
came back! Get some rest!”	おとなしく休んで！」
CLOUD	CLOUD
“Can't get caught this time…”	「次はみつからないように……」}
Elmyra	エルミナ
“That glow in your eyes…	「あんたのその目の輝きは……
you're from SOLDIER, right?”	ソルジャーなんだろ？」
CLOUD	CLOUD
“Yeah.	「ああ。
Or, I used to be…”	しかし、むかしの話だ…」
Elmyra	エルミナ
“…	「………。
I don't know how to say this, but…”	言いにくいんだけど…」
“could you please leave here tonight,	「今夜のうちに
without telling AERIS?”	出ていってくれないかい？
	AERITHにはないしょでさ」
Elmyra	エルミナ
“SOLDIER…the last thing AERIS	「ソルジャーなんて……
needs is to get hurt again.”	またAERITHが悲しい思いを
	することになる……」}
CLOUD	CLOUD
“Through Sector 6 to get to Sector 7.	「６番街をこえて７番街へ、か。
I should be able to do it alone…”	一人でなんとかなりそうだな」}
AERIS's House	の家
[Save Point]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
[SAVE] to save your game.	ゲームの状態を保存できます。
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Sector 5 Slum	５番街スラム
AERIS	AERITH
“You're up bright and early.”	「お早い出発、ね」
CLOUD	CLOUD
“I couldn't ask you to go.	「危険だとわかっているのに
I knew it would be dangerous.”	あんたにたよるわけにはいかないさ」
AERIS	AERITH
“Are you done?”	「言いたいことはそれだけ？」
AERIS	AERITH
“You have to go through the slum in	「TIFAさんのいる【セブンスヘブン】は
Sector 6 to get to	この先のスラム【６番街】を通らないと
TIFA's 7th Heaven.”	いけないの」
“I'll take you there. Come on!”	「案内してあげる。さ、行きましょ！」
“Huh?	「ン～？
Who the hell're you? Who	このへんじゃ見ねえカオだな。
do ya think you're talkin' to!?”	シッシッ！」
“Aaaaah…what a drag.	「あ～あ……たいくつだぜ。
You wanna go to that store in	また６番街スラムの
Sector 6 again?”	例の店に行ってみっかな……」}
AERIS	AERITH
“The gate to Sector 7's in there.”	「この奥に７番街へのゲートがあるの」
CLOUD	CLOUD
“Thanks.	「わかった。
I guess this is goodbye.	じゃあ、ここで別れようか。
You gonna be all right	ひとりで帰れるか？」
going home?”	
AERIS	AERITH
“Oh no!	「いや～ん、帰れない～！！
What ever will I do!?'	って言ったらどうするの？」
…Isn't that	
what you want me	
to say?”	
Take her home.	家までおくる
Go on to Sector 7.	７番街までいっしょに
AERIS	AERITH
“Isn't that a little out of the way?”	「それってなんだかおかしくない？」
CLOUD	CLOUD
“Yeah, I guess so.”	「そうだな」
AERIS	AERITH
“I could do that.	「それもいいかもね。
But won't I be	でも、CLOUD困らない？」
in your way?”	
CLOUD	CLOUD
“What do you	「なにが？」
mean in the way?”	
AERIS	AERITH
“Nothing!”	「なんでもない！」
AERIS	AERITH
“Can we take a break?”	「ちょっと休もっか」
AERIS	AERITH
“I can't believe it's still here.”	「なつかしい、まだあったんだ」
AERIS	AERITH
“CLOUD,	「CLOUD、こっち！」
over here!”	
AERIS	AERITH
“What rank were you?”	「あなた、クラスは？」
CLOUD	CLOUD
“Rank?”	「クラス？」
AERIS	AERITH
“You know, in SOLDIER.”	「ソルジャーのクラス」
CLOUD	CLOUD
“Oh, I was…”	「ああ、俺は……」
CLOUD	CLOUD
“First Class.”	「クラス……
	１ＳＴ（ファースト）だ」
AERIS	AERITH
“Just the same as him.”	「ふ～ん。　おんなじだ」
CLOUD	CLOUD
“The same as who?”	「誰と同じだって？」
AERIS	AERITH
“My first boyfriend.”	「初めて好きになった人」
CLOUD	CLOUD
“Were you…serious?”	「……つきあってた？」
AERIS	AERITH
“No. But I liked	「そんなんじゃないの。
him for a while.”	ちょっと、いいなって
	思ってた」
CLOUD	CLOUD
“I probably knew him.	「もしかしたら知ってるかも
What was his name?”	しれないな。
	そいつの名前は？」
AERIS	AERITH
“It doesn't	「もう、いいの」
really matter.”	
AERIS	AERITH
“Sector 7's just past this gate.”	「このゲートの向こう、７番街よ」
AERIS	AERITH
“Okay, I guess I'll be going home now.	「じゃ、わたし、帰るね。
I'm glad I met you, CLOUD.”	CLOUD、会えて良かったわ」
CLOUD	CLOUD
“Thanks for all your help.”	「いろいろ世話になったな」
CLOUD	CLOUD
“Huh? Hey, back there…”	「ん？　あの後ろ………」）
CLOUD	CLOUD
“TIFA!?”	「TIFA！？」
AERIS	AERITH
“That girl in the cart was TIFA?	「あれに乗っていた人がTIFAさん？
Where was she going?	どこいくのかしら？
She looked kind of odd…”	それに、様子が変だったわね……」
CLOUD	CLOUD
“Wait!”	「まて！」
CLOUD	CLOUD
“I'll go on alone!	「俺ひとりでいい！
You go home!”	あんたは帰れ！」}
	
Sector 6 park	６番街公園
Sector 6	６番街
