“The hell are you?	「なんだお前は？
“It'll be all right.”	「だいじょうぶだ」
“The ignorant citizens won't lose confidence,	「おろかな住民たちは不満をどころか
they'll trust Shinra, Inc. even more.”	 ますます神羅カンパニーに
	信頼をよせることになる」
Heidegger	ハイデッカー
“Ha ha ha!”	「ガハハハハ！」
“After all, we're the ones who saved	「テロリストどもから
Sector 7 from AVALANCHE!”	７番街の市民を救ったのは
	 神羅カンパニーですからな！」
BARRET	BARRET
“That dirty #$*$^”	「汚ねえ……」
President Shinra	プレジデント神羅
“Hojo.	「おお、宝条くん。
How's the girl?”	あの娘はどうかね」
Hojo	宝条
“As a specimen, she is inferior to her mother.	「サンプルとしては母親におとる。
I'm still in the process of comparing	母親イファルナとの比較中だが
her to her mother, Ifalna,	初期段階で相違が18％」
but for now the difference is 18 %.”	
President Shinra	プレジデント神羅
“How long will the research take?”	「その検査にはどれくらいかかる？」
Hojo	宝条
“Probably 120 years.	「ざっと、120年。
It's probably impossible to finish	我々が生きてるあいだは無理だろう。
in our lifetime.	もちろんあのサンプルもな」
Or in the lifetime of the specimen too,	
for that matter.”	
Hojo	宝条
“That's why we're thinking of breeding her.	「だから古代種を繁殖させようと思うのだ。
Then we could create one that could withstand	しかも、長命で実験に耐えうる
our research for a long time.”	強さを持たせることができる」
President Shinra	プレジデント神羅
“What about the Promised Land?	「約束はどうなる？ 
Won't it hinder our plans?”	計画に支障はでないのか？」
Hojo	Hojo
“That's what I need to plan.	「……そのつもりだ。
The mother is strong…	母は強く……そして弱みを持つ」
and yet has her weaknesses.”	
CLOUD	CLOUD
“They were talking about	「いまのはAERITHの話……だよな」
AERIS…right?”	
BARRET	BARRET
“I dunno.”	「わかんねえ」
TIFA	TIFA
“Probably.”	「たぶん、ね」
CLOUD	CLOUD
“Let's follow 'em.”	「あとをつけよう」
Scarlet	スカーレット
“Something stinks…”	「臭うわね……」
President Shinra	神羅
“That concludes our meeting.”	「では、会議を終わる」
Flush?	汚いから長そうか？
Climb up?	登ってみようか？
Get out of here	やっぱり出よう
CLOUD	CLOUD
“Hojo…huh…?”	「宝条……ってやつか……」
BARRET	BARRET
“I remember him.”	「思い出したぜ」
BARRET	BARRET
“That Hojo guy.	「あの宝条ってやつ。
He's in charge of the Shinra's	神羅の科学部門の責任者だ。
Science Department.	CLOUD、知らねえのか？」
CLOUD, don't you know him?”	
CLOUD	CLOUD
“This is the first time I've actually ever seen him.	「じっさい見るのは初めてだ。
So…that's what he looks like…”	そうか……あいつが……」
“Is this today's specimen?”	「今日の実験サンプルはそいつですか？」
Hojo	宝条
“Yes.	「そうだ。すぐ実験にとりかかる。上の階をあげてくれ」
We're starting right away.	
Raise it to the upper level.”	
Hojo	宝条
“My precious specimen…”	「かわいいサンプルよ……」
TIFA	TIFA
“Precious specimen…?”	「かわいいサンプルよ…か」
TIFA	TIFA
“Is it going to be used for	「生物実験に使われるのかな？」
a biological experiment?”	
CLOUD	CLOUD
“Jenova…”	「ジェノバ……」
CLOUD	CLOUD
“Jenova…	「ジェノバ…… セフィロスの…… そうか……ここに運んだのか」
Sephiroth's…	
So…they've brought it here.”	
TIFA	TIFA
“CLOUD, be strong!”	「CLOUD、しっかりして！」
CLOUD	CLOUD
“Did you see it?”	「見たか？」
BARRET	BARRET
“See what?”	「何を？」
CLOUD	CLOUD
“It's moving……still alive?”	「動いてる……生きてる？」
BARRET	BARRET
“Where's its $#&*&@ head?	「何だい、この首なしは？ けっ、バカバカしい。さっさと行こうぜ」
This whole thing's stupid.	
Let's keep goin'.”	
“Let's see…	 「さて……と
The specimen Hojo asked me for is…”	宝条さんに頼まれた
	サンプルわ……と
“That elevator back there is only	「奥のサンプル運搬用エレベーターは
to transport Specimens.	使用禁止だよ。６８階の研究室に
You can't use it.	直結しているから便利なんだけどね」
It would be a lot easier	
if it led to the 68 Floor Research Lab.”	
Hojo	宝条
“AERIS?	「AERITH？ ああ、この娘の名前だったな。何か用か？」
Oh, is that her name?	
What do you want?”	
CLOUD	CLOUD
“We're taking AERIS back.”	「AERITHを返してもらおう」
Hojo	宝条
“Outsiders……”	「…………部外者だな」
BARRET	BARRET
“Shoulda noticed it earlier, you…”	「最初に気づけよ」
Hojo	宝条
“There's so many frivolous things in this world.”	「世の中にはどうでもいいことが多いのでな」
Hojo	宝条
“Are you going to kill me?	「私を殺そうというのか？ それはやめた方がいいな」
I don't think you should.”	
“The equipment here is extremely delicate.	「ここの装置はデリケートだ。私がいなくなったら操作できまい？　ん？」
Without me, who could operate it? Hmm?”	
CLOUD	CLOUD
“Ugh.”	「くっ」
Hojo	宝条
“That's right.	「そうそう。こういう時こそ論理的思考によって 行動することをおすすめするよ」
I recommend you think things out logically	
before you make any rash moves.”	
Hojo	宝条
“Now, bring in the Specimen!”	「さあ、サンプルを投入しろ！」
CLOUD	CLOUD
“What do you think you're doin'?”	「何をする気だ！」
Hojo	宝条
“Lending a helping hand to	「滅びゆく種族に愛の手を…… どちらも絶滅まぢかだ」
an endangered species…	
Both of them are on the	
brink of extinction…”	
Hojo	宝条
“If I don't help, all these animals will disappear.”	「私が手を貸さないと この種の生物は滅んでしまうからな」
TIFA	TIFA
“…animal? That's terrible!	「……生物？　ひどいわ！ AERITHは人間なのよ！」
AERIS is a human being!”	
BARRET	BARRET
“You're gonna pay!”	「許せねえ！」
AERIS	AERITH
“CLOUD, help!”	「CLOUD、助けて！」
CLOUD	CLOUD
“BARRET!	「BARRET！ 何とかならないのか？」
Can't you do anything?”	
BARRET	BARRET
“Awright!!	「ええい！！ さがってろ！」
Step back!”	
Hojo	宝条
“Stop!!”	「やめろ！！」
Hojo	宝条
“Wh…what are you do--	「な、なんていうことだ。大事なサンプルが……」
Oh! My precious specimens…”	
Hojo	Hojo
“Take care of the rest!”	“Take care of the rest!”
Hojo	宝条
“This is no ordinary specimen.	「今度はこんなハンパな奴ではないぞ。もっと凶暴なサンプルだ！」
This is a very ferocious specimen!”	
CLOUD	CLOUD
“Now's our chance to get AERIS!”	「今のうちにAERITHを！」
AERIS	AERITH
“Thanks, CLOUD.”	「ありがと、CLOUD」
TIFA	TIFA
“CLOUD…what's wrong?”	「どうしたの？　CLOUD……」
CLOUD	CLOUD
“…The elevator is moving.”	「……エレベーターが動いてる」
BARRET	BARRET
“Oh shit…	“Oh shit…
We're surrounded.”	
“He's rather strong.	「あいつは少々手強い。私の力を貸してやる」
I'll help you all out.”	
TIFA	TIFA
“It talked!?”	「しゃべった！？」
“I'll talk as much as you want later, Miss.”	「あとでいくらでもしゃべってやるよ、おじょうさん」
CLOUD	CLOUD
“We'll take care of that monster.”	「あの化け物は俺たちがかたづける」
“Somebody take AERIS	「７番街の被害報告が出ました」　
somewhere safe…”	
TIFA, I'm countin' on you!	   TIFA, I'm countin' on you!
BARRET, take care of her!	   BARRET, take care of her!
CLOUD	CLOUD
“What's your name?”	「おまえの名前は？」
RED XIII	RED XIII
“Hojo has named me, Red XIII.	「宝条は私をRED XIIIと名づけた。私にとって無意味な名前だ。好きなように呼んでくれ」
A name with no meaning whatsoever to me.	
Call me whatever you wish.”	
CLOUD	CLOUD
“Come on!”	「さあ、かかってこい！」
CLOUD	CLOUD
“AERIS, you all right?”	「AERITH、だいじょうぶか？」
TIFA	TIFA
“She seems all right,	「だいじょうぶみたいよ。……いろんな意味でね」
…in many ways.”	
RED XIII	RED XIII
“I have a right to choose, too.	「……私にも選ぶ権利がある。二本足は好みじゃない」
I don't like two-legged things.”	
BARRET	BARRET
“What are you?”	「おまえ、なんだ？」
RED XIII	RED XIII
“An informed question. But difficult to answer.	「興味深い問いだ。しかし、その問いは答え難いな。私は見てのとおり、こういう存在だ」
I am what you see.”	
RED XIII	RED XIII
“…You must have many questions, but	「……いろいろ質問もあるだろうが とりあえずここから出ようか。道案内くらいなら付きあってやる」
first, let's get out of here.	
I'll lead the way.”	
AERIS	AERITH
“CLOUD…	「CLOUD…… やっぱり、来てくれたのね」
so you did come for me.”	
RED XIII	RED XIII
“I apologize for what happened back there.	「さっきは失礼したな。宝条を油断させるために演技をしたつもりだったが……」
I was merely acting to throw Hojo off guard……”	
BARRET	BARRET
“Now we've saved AERIS,	「さあ、AERITHを助ければもうこんなビルには用はない！ さっさと出ちまおうぜ」
ain't no need to be in this buildin'!	
So let's get the hell outta here!”	
CLOUD	CLOUD
“If all five of us go together, we'll be noticed.	「５人で行動していたら目立つ。二手に別れよう」
Let's break up in two groups.”	
AERIS	AERITH
“I'll see you later!!	「あとでね！
We'll be waiting at the 66th Floor Elevator.”	【66階エレベーター】で待ってるから」
TIFA	TIFA
“We'll be going first!	「先に行くわよ！
Meet at the 66th Floor Elevator.”	集合は【66階エレベーター】よ」
BARRET	BARRET
“Later!	「あとでな！　【66階エレベーター】で合流だ！」
Meet up at the 66th Floor Elevator!”	
RED XIII	RED XIII
“Don't be late.	「遅れるなよ。【エレベーター】の場所はわかっているな？ 【66階】だぞ」
Do you know where the Elevator is?	
The 66th Floor!”	
“No! Please don't kill me.	「ひゃっ！殺さないで
I only did what Hojo told me to do.”	宝条博士に言われてやっただけなんだ」
“To prove it to you…here,	「そのしょうこに……ほら
this is the key card to the 68th Floor.	６８階までのドアロックキーを
Would I be doing this if I was the enemy?”	君たちにあげるよ。
	敵だったらこんな事するはずないだろ？
	……ねっ？」
BARRET	BARRET
“Where you goin'?	「どこ行くんだい？
Everyone's waitin'	【６６階エレベーター】で
at the 66th Floor Elevator.”	みんな待ってるぜ」
TIFA	TIFA
“Where are you going?	「どこ行くの？
Everyone's waiting for us	【６６階のエレベータ】で
at the 66th Floor Elevator.”	みんな待っているわよ」
AERIS	AERITH
“Not that way!	「そっちじゃない！
Everyone's on the	みんなは【６６階エレベータ】で
66th Floor Elevator.”	待っているわ」
You don't have a Card Key	カードキーを手にいれてません
CLOUD	CLOUD
“H, hey! What is it?”	「お、おい！　何だ？」
Rude	ルード
“Would you press 'Up' please?”	「上を押してもらおうか？」
CLOUD	CLOUD
“Turks!	「タークス？
Must be a trap…”	ワナ……か」
Tseng	ツォン
“This must've been a real thrill for you…	「スリリングな気分をあじわえたと思うが……
Did you enjoy it?”	楽しんでもらえたかな？」
CLOUD	CLOUD
“Ggh…”	「くっ……」
CLOUD	CLOUD
“They got you, too?”	「みんなもつかまったのか……
	…………？」
CLOUD	CLOUD
“Where is AERIS!?”	「AERITHはどこだ！」
President Shinra	プレジデント神羅
“In a safe place.”	「安全な場所にいる」
President Shinra	プレジデント神羅
“She's the last	「あれは貴重な
surviving Ancient…”	古代種の生き残りだからな」
President Shinra	プレジデント神羅
“Don't you know?	「知らんのか？
They called themselves the Cetra, and lived	自らをセトラと呼び、数千年の昔に生き
thousands of years ago.	今は歴史の中に埋もれてしまった種族」
Now they are just a forgotten page in history.”	
RED XIII	RED XIII
“Cetra…that girl	「セトラ……あの娘が
is a survivor of the Cetra?”	セトラの生き残り？」
President Shinra	プレジデント神羅
“Cetra, or the Ancients, will show us	「セトラ、すなわち古代種は
the way to the 'Promised Land'.	我らに『約束の地』を教えてくれる。
I'm expecting a lot out of her.”	彼女には期待しているのだ」
RED XIII	RED XIII
“The Promised Land?	「約束の地？
Isn't that just a legend?”	それは言い伝えではないか？」
President Shinra	プレジデント神羅
“Even so, it's far too appealing	「だからといって放っておくには
not to pursue.”	あまりにも魅力的だ」
“It's been said the Promised Land is	「約束の地は途方もなく豊かな土地と
very fertile.”	言われているからな」
“…If the land is fertile…”	「……土地が豊かだということは」
BARRET	BARRET
“then there's gotta be Mako!”	「魔晄エネルギーだな！」
President Shinra	プレジデント神羅
“Exactly.	「そのとおり。
That is why our money making	そこでは金喰い虫の魔晄炉など
Mako Reactor is necessary.”	必要ないのだ」
“The abundant Mako will	「豊富な魔晄エネルギーが
flow out on its own.”	勝手に吹き出してくる」
President Shinra	プレジデント神羅
“That is where Neo-Midgar will be built.	「そこに建設されるネオ・ミッドガル。
Shinra's new glory…”	我が神羅カンパニーのさらなる栄光……」
BARRET	BARRET
“@$#*^%!	「ケッ！
Quit dreamin'!”	夢みてんじゃねえよ！」
President Shinra	プレジデント神羅
“Oh really, don't you know?	「おやおや、知らないのか？
These days all it takes for your	最近では金と力さえあれば
dreams to come true is money and power.”	夢はかなうのだ」
President Shinra	プレジデント神羅
“Well, that is all for our meeting.”	「さて、会見はこれで終わりだ」
BARRET	BARRET
“Hold it!	「待ちやがれ！
I got a lot to say to you!”	テメエには言いたいことが
	山ほどあるんだ！」
President Shinra	プレジデント神羅
“If there's anything else…	「何かあるなら……
talk to my secretary.”	秘書をとおしてくれたまえ」
Rude	ルード
“Come on! Outta his way!”	「さあ！　さがれ！」
I wonder how BARRET is doing	BARRETはどうしてるかな
I wonder how RED XIII is doing	RED XIIIはどうしてるかな
I wonder how AERIS is doing	AERITHはどうしてるかな
I wonder how RED XIII is doing	RED XIIIはどうしてるかな
I wonder how AERIS is doing	AERITHはどうしてるかな
I wonder how BARRET is doing	BARRETはどうしてるかな
I wonder how AERIS is doing	AERITHはどうしてるかな
I wonder how AERIS is doing	AERITHはどうしてるかな
I wonder how BARRET is doing	BARRETはどうしてるかな
I wonder how RED XIII is doing	RED XIIIはどうしてるかな
Let's just get some sleep	とりあえず眠っておこう
I wonder how RED XIII is doing	RED XIIIはどうしてるかな
Let's just get some sleep	とりあえず眠っておこう
I wonder how BARRET is doing	BARRETはどうしてるかな
Let's just get some sleep	とりあえず眠っておこう
Let's just get some sleep	とりあえず眠っておこう
TIFA	TIFA
“Psst (Can we get out?)”	「ヒソヒソ（逃げられるかな？）」
TIFA	TIFA
“Psst (CLOUD, you're so brave!)”	「ヒソヒソ（CLOUD、たのもしい！）」
TIFA	TIFA
“Psst (Don't give up!)”	“ヒソヒソ(弱気にならないでよ！
BARRET	BARRET
“Hey!”	「おい」
BARRET	BARRET
“AERIS is an Ancient	「AERITHは古代種で 古代種の本当の呼び名はセトラ」
and the real name of the Ancients is Cetra.”	
“The Ancients know where the Promised Land is	「それで古代種は約束の地って場所を知っていて、神羅はその約束の地が欲しい、と」
and the Shinra is searching for that	
Promised Land.”	
BARRET	BARRET
“I only heard stories 'bout	「でも、約束の地ってのは 言い伝えに出てくるだけで 本当にあるのかどうかはわからねえ」
the Promised Land. I don't know	
if it really exists.”	
BARRET	BARRET
“Is that right?”	「これでいいのか？」
BARRET	BARRET
“The Shinra believe that the	「約束の地には豊富な魔晄エネルギーがあると 神羅の連中は考えてる」
Promised Land is full of Mako energy.”	
BARRET	BARRET
“Which means, if the Shinra get there,	「ってえことは、神羅はそこに行ったら また魔晄エネルギーをガンガン吸い上げちまうってことだ」.”
they'll suck up all the Mako energy.”	
BARRET	BARRET
“…and the land'll wither away.	「……そこも土地が枯れちまうな。星が……病んでいくわけだ」
The Planet's gonna get weaker.”	
BARRET	BARRET
“I can't just leave 'em be.	「放っちゃおけねえ！ アバランチ、メンバー募集だ」
I'm recruitin'new members!!”	
“Me, TIFA, CLOUD…	「オレ、TIFA、CLOUD…… それにAERITHもだな」
and AERIS too.”	
BARRET	BARRET
“How 'bout you?”	「おめえ、どうだ？」
BARRET	BARRET
“You're so damn boring.”	「つまんねえやろうだぜ」
RED XIII	RED XIII
“…………Grandpa.”	「……………………じっちゃん」
BARRET	BARRET
“Grandpa!?  Ha, ha, ha……	「じっちゃん！？　へへへへ じっちゃん、ねえ……へへへへ」
Grandpa, hmm……ha, ha, ha……”	
RED XIII	RED XIII
“What's so funny?”	「なにがおかしい」
BARRET	BARRET
“Nothin'……ha, ha”	「いや、べつに……へへへ」
AERIS	AERITH
“CLOUD, are you there?”	「CLOUD、そこにいるの？」
CLOUD	CLOUD
“AERIS!? You safe?”	「AERITH！？　無事か？」
AERIS	AERITH
“Yeah, I'm all right.”	「うん、だいじょぶ」
AERIS	AERITH
“I knew that CLOUD would	「きっと、CLOUDが来てくれるって思ってた」
come for me.”	
CLOUD	CLOUD
“Hey, I'm your bodyguard, right?”	「ボディーガード、依頼しただろ？」
AERIS	AERITH
“The deal was for one date, right?”	「報酬はデート１回、だったよね？」
TIFA	TIFA
“…………oh, I get it.”	「…………………なるほど」
AERIS	AERITH
“…!? TIFA!	「……！？　TIFA！ TIFAもそこにいるの！」
TIFA, you're there too!”	
TIFA	TIFA
“EXCUSE me.”	「すいませんねえ」
TIFA	TIFA
“You know, AERIS.	「あのね、AERITH。質問があるんだけど」
I have a question.”	
AERIS	AERITH
“What?”	「な～に？」
TIFA	TIFA
“Does the Promised Land really exist?”	「約束の地って本当にあるの？」
AERIS	AERITH
“…I don't know.”	「……わからない」
AERIS	AERITH
“All I know is…”	「わたし、知ってるのは……」
“The Cetra were born from the Planet,	『セトラの民、星より生まれ 星と語り、星を開く』
speak with the Planet, and unlock the Planet.”	
“And……then…”	「えっと……それから……」
“The Cetra will return to the Promised Land.	『セトラの民、約束の地へ帰る。至上の幸福、星が与えし定めの地』
A land that promises supreme happiness.”	
TIFA	TIFA
“…What does that mean?”	「……どういう意味？」
AERIS	AERITH
“More than words……I don't know.”	「言葉以上の意味、知らないの」
CLOUD	CLOUD
“…Speak with the Planet?”	「……星と語り？」
TIFA	TIFA
“Just what does the Planet say?”	「星が何か言うの？」
AERIS	AERITH
“It's full of people and noisy.	「人が大勢いて、ざわざわしてるかんじ。だから何を言ってるのか よくわからないの」
That's why I can't make out	
what they are saying.”	
CLOUD	CLOUD
“You hear it now?”	「今も聞こえるのか？」
AERIS	AERITH
“I, I only heard it at the Church in the Slums.	「わたし、聞こえたのはスラムの教会だけ。ミッドガルはもうダメだって 母さん……本当の母さんが言ってた」
Mother said that Midgar was no longer safe.	
That is…my real mother.”	
AERIS	AERITH
“Someday I'll get out of Midgar…	「いつかミッドガルから逃げなさい。星と話して、AERITHの約束の地 見つけなさい」
Speak with the Planet	
and find my Promised Land.”	
“…That's what mom said.”	「……母さんが言ってた」
“I thought I would stop hearing her	「大人になったら聞こえなくなるんだと思ってたけど……」
voice as I grew up, but…”	
CLOUD	CLOUD
“What's happened?”	「どうしたんだ？」
CLOUD	CLOUD
“The door's open…	「ドアが開いている…… いつの間に？」
When did it open?”	
TIFA	TIFA
“……”	“……”
CLOUD	CLOUD
“TIFA…	「TIFA……起きろ！」
Wake up!”	
TIFA	TIFA
“What's wrong?”	「どうしたの？」
CLOUD	CLOUD
“Something's wrong.	「ようすがおかしい。外を見てみろ」
Look outside.”	
TIFA	TIFA
“This's kinda eerie…”	「一体何があったのかしら……」
TIFA	TIFA
“I wonder what happened…”	「なんだか恐いわ……」
CLOUD	CLOUD
“He should have the key on him…”	「きっとここのカギを持っているはずだ……」
CLOUD	CLOUD
“Come on, TIFA,	「ほら、TIFAはAERITHを。俺はBARRETたちを助ける」
get AERIS.	
I'll go help BARRET	
and the others.”	
CLOUD	CLOUD
“AERIS”	“AERITH”
AERIS	AERITH
“…What happened?”	「何かに襲われた……？」
AERIS	AERITH
“Must've been attacked by…”	“Must've been attacked by…”
CLOUD	CLOUD
“BARRET, RED XIII	「BARRET、RED XIII……来てくれ。ようすが変なんだ」
…come with me.	
Something's wrong.”	
BARRET	BARRET
“How'd you get in?	「どうやって入ってきた？ どうして扉が開いているんだ！？」
Why's the door open!?”	
BARRET	BARRET
“The hell's goin' on!?”	「どうしちまったんだよ？」
RED XIII	RED XIII
“No human could've done this.”	「人間の仕業ではないな」
RED XIII	RED XIII
“I'll go on ahead.”	「私がこの先の様子を見てくる」
BARRET	BARRET
“I'll clean up back here,	「こいつの後始末はオレにまかせて おまえらは先に行け。神羅に見つからねえうちによ！」
so you guys go ahead.	
And don't get caught by Shinra!”	
TIFA	TIFA
“Come on, let's follow RED XIII!”	「さ、RED XIIIの後を追いましょう」
RED XIII	RED XIII
“Jenova Specimen…	「ジェノバ・サンプル…… 察するに上の階に向かったようだ。奥のサンプル用エレベーターを使ってな」
Looks like it went to the upper floor	
using that elevator for the specimens.”	
RED XIII	RED XIII
“It looks like it leads up…”	「何か目的に向かっているような…… 上に……？」
BARRET	BARRET
“He's dead…	「死んでる……
The head of Shinra is dead…”	神羅カンパニーのボスが死んだ……」
TIFA	TIFA
“Then this sword must be…”	「この刀は？！」
CLOUD	CLOUD
“Sephiroth's!!”	「セフィロスのものだ！！」
TIFA	TIFA
“…Sephiroth is alive?”	「……セフィロスは生きているのね？」
CLOUD	CLOUD
“…Looks like it.	「……そうみたいだな。
Only Sephiroth can use that sword.”	この刀を使えるのは
	セフィロスしかいないはずだ」
BARRET	BARRET
“Who cares who did it!?	「誰がやったっていいじゃねえか！
This is the end of the Shinra!”	これで神羅も終わりだぜ！」
“Uh!”	「うひょ！」
Palmer	パルマー
“P, p, p, please, don't kill me!”	「こここここころさないでくれ！」
CLOUD	CLOUD
“What happened?”	「何があったんだ？」
Palmer	パルマー
“Se…Sephiroth.	「セ、セフィロス。
Sephiroth came.”	セフィロスが来た」
CLOUD	CLOUD
“Did you see him? Did you see Sephiroth?”	「見たのか？　セフィロスを見たのか？」
Palmer	パルマー
“Yeah, I saw him! With my own eyes!”	「ああ、見た！　この目で見た！」
CLOUD	CLOUD
“You really saw him?”	「本当に見たんだな？」
Palmer	パルマー
“Uh!	「うひょっ！
Would I lie at a time like this!?	こんな時にウソなんか言わない！
I heard his voice, too!”	それに声も聞いたんだ、うひょっ！」
Palmer	パルマー
“Um, he said something about	「えっと『約束の地は渡さない』って
not letting us have the Promised Land.”	ブツブツ言ってた」
TIFA	TIFA
“Then does that mean”	「それじゃあ、なに？」
“the Promised Land really does	「約束の地っていうのは本当にあって
exist and that Sephiroth's	セフィロスは約束の地を
here to save it from Shinra?”	神羅から守るためにこんなことを？」
BARRET	BARRET
“So he's a good guy then?”	「いいやつじゃねえのか？」
CLOUD	CLOUD
“Save the Promised Land?	「約束の地を守る？
A good guy? No way!!”	いいやつ？　ちがう！！」
“It's not that simple! I know him!	「そんな単純な話じゃない！
Sephiroth's mission is different!”	俺は知ってるんだ！
	セフィロスの目的はちがう！」
BARRET	BARRET
“Rufus!	「ルーファウス！
&*%$! I forgot about him!”	しまった！　アイツがいたか！」
TIFA	TIFA
“Who's that?”	「誰なの？」
BARRET	BARRET
“Vice President Rufus.	「副社長ルーファウス。
The President's son.”	プレジデントの息子だ」
RED XIII	RED XIII
“I only know his name.”	「名前だけなら、私も知っている」
BARRET	BARRET
“I heard that he'd been assigned somewhere	「長期出張中だって聞いてたぜ……」
else for a long time…”	
TIFA	TIFA
“I wonder what sort of person he is?”	「どんな人なのかしら……」
AERIS	AERITH
“I've heard that no one's ever	「血も涙もない、そう聞いたこと、あるけど」
seen him bleed or cry.”	
Rufus	ルーファウス
“So…	「そうか……
So Sephiroth was actually here.	やはりセフィロスは生きていたか。
…By the way,”	……ところで」
Rufus	ルーファウス
“just who are you?”	「おまえたちはなんだ？」
CLOUD	CLOUD
“I'm CLOUD,	「元ソルジャー・クラス１ＳＴ。
ex-SOLDIER, First Class!”	CLOUDだ！」
BARRET	BARRET
“I'm from AVALANCHE!”	「アバランチだ！」
TIFA	TIFA
“Me too!”	「同じく！」
AERIS	AERITH
“A flower girl from the slums.”	「……スラムの花売り」
RED XIII	RED XIII
“A Research Specimen.”	「……実験サンプル」
Rufus	ルーファウス
“What a crew.”	「おかしな組み合わせだ」
Rufus	ルーファウス
“Well, I'm Rufus.	「さて、私はルーファウス。
The President of Shinra, Inc.”	この神羅カンパニーの社長だ」
BARRET	BARRET
“You're only President 'cause yer old man died!”	「オヤジが死んだらさっそく社長か！」
Rufus	ルーファウス
“Correct. I'll let you hear my	「そうだ、社長就任のあいさつでも
inauguration speech.”	聞かせてやろうか」
Rufus	ルーファウス
“…Father tried to control the world	「……オヤジは金の力で世界を
with money	支配しようとした。
and that worked for him.”	なるほどうまくいっていたようだ」
Rufus	ルーファウス
“The people believed that Shinra	「民衆は神羅に保護されていると
would protect them.”	思っているからな」
Rufus	ルーファウス
“Work at Shinra, get your pay.	「神羅で働き、給料をもらい
If terrorists attack,	テロリストがあらわれれば
the Shinra army will help you.”	神羅の軍隊が助けてくれる」
“It looked perfect on the outside.”	「一見完璧だ」
Rufus	ルーファウス
“But, I do things differently.”	「だが私のやりかたはちがう」
“I'll control the world with fear.	「私は世界を恐怖で支配する。
It's too much to do it like my old man.”	オヤジのやりかたでは
	金がかかりすぎるからな」
Rufus	ルーファウス
“A little fear will control	「恐怖はほんの少しで人の心を支配する。
the minds of the common people.	おろかな民衆のために
There's no reason to waste	金を使う必要はない」
good money on them.”	「私はオヤジとはちがうのだ」
TIFA	TIFA
“He likes to make speeches	「演説好きなところはそっくりね」
just like his father.”	
CLOUD	CLOUD
“Get AERIS outta	「AERITHを連れてビルから出てくれ！」
the building!”	
BARRET	BARRET
“What?”	「なに？」
CLOUD	CLOUD
“I'll explain later!	「説明はあとだ！
BARRET! This is the real crisis	BARRET！　本当の星の危機だ！」
for the Planet!”	
BARRET	BARRET
“The hell's that supposed to mean?”	「なんだそりゃ？」
CLOUD	CLOUD
“I'll explain later!	「あとで話す！
Just take my word for now!	いまは俺を信じてくれ！
I'll go after I take care of him!”	俺はこいつを倒してから行く！」
BARRET	BARRET
“Alright, CLOUD!”	「わかったぜ、CLOUD！」
Rufus	ルーファウス
“Why do you want to fight me?”	「なぜ私と戦うのだ？」
CLOUD	CLOUD
“You want the Promised Land	「おまえは約束の地を求めて
and Sephiroth.”	セフィロスを追う」
Rufus	ルーファウス
“That's right.”	「ふむ、その通り」
Rufus	ルーファウス
“Did you know	「ん？　おまえ、セフィロスが古代種だと
that Sephiroth is an Ancient?”	知っているのか？」
CLOUD	CLOUD
“…Whatever,	「……いろいろあってな。
I can't let either you or Sephiroth	とにかく、おまえにもセフィロスにも
have the Promised Land!”	約束の地はわたせない！」
Rufus	ルーファウス
“I see.	「なるほど。
I guess we won't be allies.”	友だちにはなれないようだな」
Access Menu with [MENU]	【△ボタン】でメニューをひらく
Remove Materia from members with [SWITCH]	【□ボタン】で他のメンバーのマテリアをはずす
End with [START].	【スタートボタン】で終了
Access Menu with [MENU]	【△ボタン】でメニューをひらく
End with [START]	【スタートボタン】で終了
TIFA	TIFA
“Where's Rufus?”	「ルーファウスは？」
CLOUD	CLOUD
“I couldn't finish 'em.	「とどめはさせなかった。
This is gonna get complicated.”	面倒なことになりそうだ」
AERIS	AERITH
“CLOUD…	「CLOUD、なんか、思いつめてた」
I just thought of something.”	
TIFA	TIFA
“…I'll wait for CLOUD!	「……私、CLOUDを待つわ！
Everyone, get to the elevator!”	みんなはエレベーターで先に！」
AERIS	AERITH
“Hmm, it's going to get pretty ugly from here on.	「さあ、この先きっと
We should check on our equipment.”	ガードがきびしくなるわ。
	装備をととのえておいたほうがいいわね」
CLOUD and	CLOUD、TIFAのマテリアを……
TIFA's Materia…	
(Remove)	【はずす】
(Leave it)	【そのまま】
Shinra Bldg. 3f. Lobby	神羅ビル・３階ロビー
	
Hardy Datona	ハーディ＝デイトナ　　
AERIS	AERITH
“Quickly,	「はやく、ここから
we have to get out of here…”	逃げなくちゃ……」
Shinra Bldg. 2f. Lobby	神羅ビル・２階ロビー
	
AERIS	AERITH
“Quickly,	「はやく、ここから
we can escape this way…”	逃げなくちゃ……」
BARRET	BARRET
“I'll go on ahead!”	「オレが先に行くぜ！」
BARRET	BARRET
“*&^%(*…	「チッ……！
We're surrounded!”	すっかりかこまれてやがる」
“If I was alone this wouldn't be a thing, but	「オレひとりならともかく
I gotta reputation to protect.”	このメンツじゃ……」
AERIS	AERITH
“You all get out	「……やっぱり、あなたたちだけ
while you can.”	逃げて」
“It's not you they're after…	「あの人たちがねらっているのは
it's me.”	わたし。
	あなたたちだけなら……」
BARRET	BARRET
“Yeah, well that ain't happenin'.”	「ヘッ、そうはいかねえな」
“You got caught up in this over Marlene.	「アンタはマリンを守るために
Now, it's my turn to help you!”	ヤツらに捕まった。
