…You all right?	……大丈夫か？
But if you must go, why don't you go tomorrow? It's getting late now.	でも、明日にしたらどうだい？今日はもう遅くなってきたし
{Aeris}	AERITH
Yeah, you're right, Mom.	うん、わかった、お母さん
Elmyra	エルミナ
{Aeris}, please go make the bed.	AERITH、ベッドの準備をしておくれ
{Aeris}	AERITH
You need to go through Sector 6 to get to Sector 7. Sector 6 is a little dangerous so you'd better get some rest tonight.	７番街へは６番街を抜けていくの。６番街、ちょっと危険なところだから今夜はゆっくり休んでね
{Aeris}	AERITH
CLOUD…	CLOUD
{Aeris}	AERITH
Good night.	おやすみ
CLOUD	CLOUD
Oh, man…	まいったな……-
{CLOUD}'s House	CLOUDの家
…seem pretty tired…	……かなり、アレだな。つかれてるみたいだぞ
CLOUD	CLOUD
…!?	…………！？
I haven't slept in a bed like this …for a long time.	こんなキチンとしたベッド……ひさしぶりだ
CLOUD	CLOUD
Oh, yeah.	……ああ、そうだな
Ever since then.	あれ以来、かな
My, how you've grown.	本当に立派になってぇ
I'll bet the girls never leave you alone.	そんなんじゃ、あれだね。女の子もほっとかないだろ？
CLOUD	CLOUD
…Not really.	……べつに
…I'm worried about you.	……心配なんだよ
There are a lot of temptations in the city…	都会にはいろいろ誘惑が多いんだろ？
I'd feel a lot better if you just settled down with a nice girlfriend.	ちゃんとした彼女がいれば母さん、すこしは安心できるってもんだ
CLOUD	CLOUD
…I'm all right.	……俺はだいじょうぶだよ
You should have…	あんたにはねぇ……
an older girlfriend, one that'll take care of you.	ちょっとお姉さんであんたをグイグイ引っ張っていく
I think that would be best for you.	そんな女の子がピッタリだと思うんだけどね
CLOUD	CLOUD
I'm not interested.	……興味ないな}
CLOUD	CLOUD
…I must've fallen asleep.	……いつのまにか眠ってしまったのか
CLOUD	CLOUD
Sector 7's past Sector 6… I should be all right by myself…	６番街をこえて７番街へ、か。１人でなんとかなりそうだな
{Aeris}	AERITH
CLOUD! I thought the Turks came back! Get some rest!	もう！　またタークス、来たのかと思ったじゃない！おとなしく休んで！
CLOUD	CLOUD
Can't get caught this time…	次はみつからないように……}
Elmyra	エルミナ
That glow in your eyes… you're from SOLDIER, right?	あんたのその目の輝きは……ソルジャーなんだろ？
CLOUD	CLOUD
Yeah. Or, I used to be…	ああ。しかし、むかしの話だ…
Elmyra	エルミナ
… I don't know how to say this, but…	………。言いにくいんだけど…
could you please leave here tonight, without telling {Aeris}?	今夜のうちに出ていってくれないかい？AERITHにはないしょでさ
Elmyra	エルミナ
SOLDIER…the last thing {Aeris} needs is to get hurt again.	ソルジャーなんて……またAERITHが悲しい思いをすることになる……}
CLOUD	CLOUD
Through Sector 6 to get to Sector 7. I should be able to do it alone…	６番街をこえて７番街へ、か。一人でなんとかなりそうだな}
{AERIS}'s House	の家
[Save Point]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
{PURPLE}[SAVE]{WHITE} to save your game.	ゲームの状態を保存できます。
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Sector 5 Slum	５番街スラム
{Aeris}	AERITH
You're up bright and early.	お早い出発、ね
CLOUD	CLOUD
I couldn't ask you to go. I knew it would be dangerous.	危険だとわかっているのにあんたにたよるわけにはいかないさ
{Aeris}	AERITH
Are you done?	言いたいことはそれだけ？
{Aeris}	AERITH
You have to go through the slum in Sector 6 to get to TIFA's 7th Heaven.	TIFAさんのいる【セブンスヘブン】はこの先のスラム【６番街】を通らないといけないの
I'll take you there. Come on!	案内してあげる。さ、行きましょ！
Huh? Who the hell're you? Who do ya think you're talkin' to!?	ン～？このへんじゃ見ねえカオだな。シッシッ！
Aaaaah…what a drag. You wanna go to that store in Sector 6 again?	あ～あ……たいくつだぜ。また６番街スラムの例の店に行ってみっかな……}
{Aeris}	AERITH
The gate to Sector 7's in there.	この奥に７番街へのゲートがあるの
CLOUD	CLOUD
Thanks. I guess this is goodbye. You gonna be all right going home?	わかった。じゃあ、ここで別れようか。ひとりで帰れるか？
{Aeris}	AERITH
Oh no! What ever will I do!?' …Isn't that what you want me to say?	いや～ん、帰れない～！！って言ったらどうするの？
Take her home.	家までおくる
Go on to Sector 7.	７番街までいっしょに
{Aeris}	AERITH
Isn't that a little out of the way?	それってなんだかおかしくない？
CLOUD	CLOUD
Yeah, I guess so.	そうだな
{Aeris}	AERITH
I could do that. But won't I be in your way?	それもいいかもね。でも、CLOUD困らない？
CLOUD	CLOUD
What do you mean in the way?	なにが？
{Aeris}	AERITH
Nothing!	なんでもない！
{Aeris}	AERITH
Can we take a break?	ちょっと休もっか
{Aeris}	AERITH
I can't believe it's still here.	なつかしい、まだあったんだ
{Aeris}	AERITH
CLOUD, over here!	CLOUD、こっち！
{Aeris}	AERITH
What rank were you?	あなた、クラスは？
CLOUD	CLOUD
Rank?	クラス？
{Aeris}	AERITH
You know, in SOLDIER.	ソルジャーのクラス
CLOUD	CLOUD
Oh, I was…	ああ、俺は……
CLOUD	CLOUD
First Class.	クラス……１ＳＴ（ファースト）だ
{Aeris}	AERITH
Just the same as him.	ふ～ん。　おんなじだ
CLOUD	CLOUD
The same as who?	誰と同じだって？
{Aeris}	AERITH
My first boyfriend.	初めて好きになった人
CLOUD	CLOUD
Were you…serious?	……つきあってた？
{Aeris}	AERITH
No. But I liked him for a while.	そんなんじゃないの。ちょっと、いいなって思ってた
CLOUD	CLOUD
I probably knew him. What was his name?	もしかしたら知ってるかもしれないな。そいつの名前は？
{Aeris}	AERITH
It doesn't really matter.	もう、いいの
{Aeris}	AERITH
Sector 7's just past this gate.	このゲートの向こう、７番街よ
{Aeris}	AERITH
Okay, I guess I'll be going home now. I'm glad I met you, CLOUD.	じゃ、わたし、帰るね。CLOUD、会えて良かったわ
CLOUD	CLOUD
Thanks for all your help.	いろいろ世話になったな
CLOUD	CLOUD
Huh? Hey, back there…	ん？　あの後ろ………）
CLOUD	CLOUD
TIFA!?	TIFA！？
{Aeris}	AERITH
That girl in the cart was TIFA? Where was she going? She looked kind of odd…	あれに乗っていた人がTIFAさん？どこいくのかしら？それに、様子が変だったわね……
CLOUD	CLOUD
Wait!	まて！
CLOUD	CLOUD
I'll go on alone! You go home!	俺ひとりでいい！あんたは帰れ！}
Sector 6 park	６番街公園
Sector 6	６番街
