やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
でんりょく	電力	n	electric power	Then there's No. 2, No. 3 all the way up to the No. 8 Reactor. The 8 Reactors provide Midgar with electricity.	そこから順番に２、３……８番魔晄炉まで８つの魔晄炉がミッドガルの電力供給を支えているのよ
きょうきゅう	供給	n, vs	supply, provision	Then there's No. 2, No. 3 all the way up to the No. 8 Reactor. The 8 Reactors provide Midgar with electricity.	そこから順番に２、３……８番魔晄炉まで８つの魔晄炉がミッドガルの電力供給を支えているのよ
それぞれ	夫れ夫れ	n-adv, adj-no	each, respectively	Each town used to have a name, but no one in Midgar remembers them.	それぞれの街には、名前もあったんだけどミッドガルに住む人は誰も覚えちゃいないわ
おぼえる	覚える	v1, vt	to memorize, to memorise, to commit to memory, to learn by heart, to bear in mind, to remember,to learn, to pick up, to acquire,to feel,to think, to regard	Each town used to have a name, but no one in Midgar remembers them.	それぞれの街には、名前もあったんだけどミッドガルに住む人は誰も覚えちゃいないわ
ばんごう	番号	n	number, series of digits	Instead of names, we refer to them by numbered sectors. That's how things turned out.	名前なんかより、番号で呼ぶの。そういうところなのよ、ここは
ふる	降る	v5r, vi	to fall (of rain, snow, ash, etc.), to come down,to form (of frost),to beam down (of sunlight or moonlight), to pour in,to visit (of luck, misfortune, etc.), to come, to arrive	Phew, look what's next! Look!	ふぅ…、次はこれ！ほら、見て
のる	乗る	v5r, vi	to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark,to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount,to reach, to go over, to pass,to follow, to stay (on track), to go with (the times, etc.),to take part, to participate, to join,to get into the swing (and sing, dance, etc.),to be deceived, to be taken in,to be carried, to be spread, to be scattered,to stick, to attach, to take, to go on	This is the route this train is on. The route spirals around the main pillar.	私たちがいま乗ってる列車のルートがこれよ
らせん	螺旋	n	spiral, helix,screw	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
じょう	状	n, n-suf	shape, state,letter, correspondence	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
かよう	通う	v5u, vi	to go to and from (a place), to go back and forth between, to run between (e.g. bus, train, etc.), to ply between,to go to (school, work, etc.), to attend, to commute, to frequent,to circulate (e.g. blood, electricity), to be communicated (e.g. thought),to resemble	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
ちょうど	丁度	adv	exactly, precisely, just, right,as if, as though, quite	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
まんなか	真ん中	n	middle, centre, center, mid-way	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
あたり	当たり	suf	hit,success,guess, prediction,affability, friendliness,sensation, touch,bruise (on fruit),situation in which a stone or chain of stones may be captured on the next move (in the game of go),bite (of a fish on a hook), strike,per, each	We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
ポイント		n	point,points (of a railway), switch	Each checkpoint has an ID sensor device.	各通過ポイントにはＩＤ検知エリアが設置されてるの
せっち	設置	n, vs	establishment, institution,installation (of a machine or equipment)	Each checkpoint has an ID sensor device.	各通過ポイントにはＩＤ検知エリアが設置されてるの
じょうきゃく	乗客	n	passenger	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
すべて	全て	adv	everything, all, the whole,entirely, completely, wholly, all	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
みぶん	身分	n	social position, social status	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
ぜんぶ	全部	n-adv, n-t, adj-no	all, entire, whole, altogether	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
ビル		n	multi-floor building, multi-storey building,bill	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
ホスト		n	host (of a party, summit, etc.),host (of male host club)	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
コンピュータ		n	computer	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
れんどう	連動	adj-f	operating together, working together, gearing, linkage,linked, coupled, interlocking	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
チェック		n	check, plaid, checkered,checking, monitoring, looking over, scrutinizing, inspecting,check (banking), cheque, bill (restaurant),check (chess)	It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
ふしん	不審	adj-na, n	incomplete understanding, doubt, question, distrust, suspicion, strangeness, infidelity	Whisper…whisper… (We definitely look suspicious, so we're using fake IDs.)	ひそひそ……（私たちはどう見たって不審人物だからニセのＩＤで通過してるの）
じんぶつ	人物	n	person, character, figure, personage, man, woman,one's character, one's personality,able person, talented person	Whisper…whisper… (We definitely look suspicious, so we're using fake IDs.)	ひそひそ……（私たちはどう見たって不審人物だからニセのＩＤで通過してるの）
にせ	偽	pref	imitation, fake, phony, counterfeit, forged, bogus, sham,pseudo-	Whisper…whisper… (We definitely look suspicious, so we're using fake IDs.)	ひそひそ……（私たちはどう見たって不審人物だからニセのＩＤで通過してるの）
あう	合う	aux-v, v5u	to come together, to merge, to unite, to meet,to fit, to match, to suit, to agree with, to be correct,to be profitable, to be equitable,to do ... to each other, to do ... together	Yo!! Get over here, all'ya!!	おう！！みんな、集まれ！！
あつまる	集まる	v5r, vi	to gather, to collect, to assemble	Yo!! Get over here, all'ya!!	おう！！みんな、集まれ！！
こんかい	今回	n-adv, n-t	now, this time, lately	This mission was a success. But don't get lazy now.	今回の作戦は成功だ。だがな、気を抜くなよ
ぬく	抜く	v5k	to pull out, to draw out, to extract, to unplug, to weed,to omit, to leave out, to go without, to skip,to do to the end, to carry through,to let out (e.g. air from a tyre), to drain (e.g. water from a bath), to empty,to pick out, to choose, to select, to extract,to pilfer, to steal,to remove, to get rid of, to take out,to pass, to overtake, to outstrip, to get ahead of,to pierce, to break through, to go through,to cut out (a shape), to create (a pattern) by dying the surrounding area,to seize, to capture, to reduce,to scoop (a story),to take out (an opponent's stones; in go),to masturbate (of a male), to ejaculate (while masturbating),to take (a photo), to record (video)	This mission was a success. But don't get lazy now.	今回の作戦は成功だ。だがな、気を抜くなよ
ほんばん	本番	n	performance, take, going before an audience or on-air,game, season, crucial moment,penetrative vaginal sex (with a prostitute), unsimulated sex (in an adult movie)	The hard part's still to come! Don't y'all be scared of that explosion!	本番はこれからだ！あんな爆発でびびるな！
ビビる		v5r, vi	to feel nervous, to feel afraid, to feel self-conscious, to lose one's nerve, to get cold feet, to get the jitters,to be startled, to be surprised, to be shocked, to feel frightened, to be spooked,to be shy, to be bashful	The hard part's still to come! Don't y'all be scared of that explosion!	本番はこれからだ！あんな爆発でびびるな！
もっと		adv	(some) more, even more, longer, further	Cause the next one's gonna be bigger than that!	次はもっと派手にかますぞ！
してやる	して遣る	v5r, vt	to do for (someone),to take in, to deceive, to hoodwink	Yo! What're ya doin' now?	おう！！なにしてやがる！
やすむ	休む	v5m, vi	to be absent, to take a day off,to rest, to have a break,to go to bed, to (lie down to) sleep, to turn in, to retire,to stop doing some ongoing activity for a time, to suspend business	Why don't all of us take a long vacation. Maybe we could go to a hot springs somewhere?	みんなでお休みとって温泉でもいかない？
おんせん	温泉	n	hot spring,onsen, hot spring resort, hot spring spa	Why don't all of us take a long vacation. Maybe we could go to a hot springs somewhere?	みんなでお休みとって温泉でもいかない？
たばね	束ね	n	bundle, control, management	Alrighty then! It's a date!	うん！CLOUD、約束ね　
ゆうわく	誘惑	n, vs	temptation, allurement, lure, enticement, seduction	I might just have to tempt you, then.	またそのときになったら誘惑する
あまり	余り	n-suf	remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers,not very, not much,too much, excessively, overly,extreme, great, severe, tremendous, terrible,more than, over	CLOUD… Don't be so distant.	ね、CLOUD。あんまり冷たくしないで
なかよく	仲良く	vs	on good terms with, on cordial terms with, getting along well with, happily, peacefully,to make friends with, to be good friends with, to get along with	Everyone wants to be your friend. I'm sure…	みんな、CLOUDと仲良くなりたいんだよ。きっと…
ともだち	友達	n	friend, companion	Don't care 'bout bein' nobody's friend.	ともだちになることなんかねえんだ
つま	妻	n	wife,my dear, dear, honey,garnish (esp. one served with sashimi),embellishment	My husband never came back.	夫は帰ってこなかった。
み	身	n	body,oneself,one's place, one's position,main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container (as opposed to its lid)	I wonder if something happened to him?	夫の身になにかあったんだろうか？
きゅうか	休暇	n	holiday, day off, furlough, absence (from work)	No, I'm sure his leave was just canceled.	いや、休暇が取り消しになっただけかもしれない。
とりけし	取り消し	n	cancellation, withdrawal, abolition, revocation, cancel, CAN	No, I'm sure his leave was just canceled.	いや、休暇が取り消しになっただけかもしれない。
しれる	知れる	v1, vi	to become known, to come to light, to be discovered,to be known, to be understood,to obviously not amount to much, to seem trivial,to be evident, to be obvious, to go without saying,to be very intense (worry, hope, etc.), to be extremely severe	No, I'm sure his leave was just canceled.	いや、休暇が取り消しになっただけかもしれない。
せんそう	戦争	n, vs	war,fighting, fierce competition	You used to see that kind of thing a lot during the war.	戦争中はよくある風景だったね。
よく	良く	adv	nicely, properly, well, skillfully, skilfully,frequently, often	You used to see that kind of thing a lot during the war.	戦争中はよくある風景だったね。
あんぜん	安全	n, adj-na	safety, security	Please take AERIS somewhere safe.	AERISを安全なところへ。
いいのこす	言い残す	v5s, vt	to leave word with (a person), to state in one's will, to leave (something) unsaid, to forget to mention	That's the last thing she said before she died.	そう言い残して彼女は死んだ。
かのじょ	彼女	n	she, her,girlfriend	That's the last thing she said before she died.	そう言い残して彼女は死んだ。
いえ	家	n	house, residence, dwelling,family, household,lineage, family name	So I took AERIS home with me.	AERISを家に連れて帰ることにしたんだ。
つれる	連れる	v1, vt	to take (someone) with one, to bring along, to go with, to be accompanied by	So I took AERIS home with me.	AERISを家に連れて帰ることにしたんだ。
こんや	今夜	n-adv, n-t	this evening, tonight	I'm not letting you go tonight.	今夜は帰さないよ
かえす	帰す	v5s, vt	to send (someone) back, to send (someone) home	I'm not letting you go tonight.	今夜は帰さないよ
どこか	何処か	exp, n, adv	somewhere, anywhere, in some respects	Isn't there somewhere we could go to be alone?	ね、どっかで休んでいこう
もと	元	n	origin, source,base, basis, foundation, root,cause,ingredient, material,(somebody's) side, (somebody's) location,original cost (or capital, principal, etc.),(plant) root, (tree) trunk,first section of a waka,counter for blades of grass, tree trunks, etc., and for falcons (in falconry),handle (chopsticks, brush, etc.), grip	There's only the train graveyard around here. And they say there's ghosts around too!	でも、このあたり列車基場しかないし。オバケでるっていうし
ば	場	n	place, spot, space,field, discipline, sphere, realm,occasion, situation,scene (of a play, movie, etc.),session (of the stock market),area in which cards are laid out (in a card game),round (i.e. east, south, etc.),field,field (gestalt psychology)	There's only the train graveyard around here. And they say there's ghosts around too!	でも、このあたり列車基場しかないし。オバケでるっていうし
おばけ	お化け	n	goblin, monster, demon,ghost, apparition,something that's unusually large	There's only the train graveyard around here. And they say there's ghosts around too!	でも、このあたり列車基場しかないし。オバケでるっていうし
しまう	仕舞う	aux-v, v5u	to finish, to stop, to end, to put an end to, to bring to a close,to close (a business, etc.), to close down, to shut down, to shut up,to put away, to put back, to keep, to store,to finish ..., to do ... completely	…damn.	……しまった
おいで	お出で	exp	coming, going, being (somewhere),come, go, stay	Hey, come over here.	ね、もっとそばにおいでよ
へん	変	n-pref	strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy,unexpected,change,incident, disturbance, disaster, accident,flat	But… There's a weirdo over there.	でも…そこの変な人
きみ	気味	n	sensation, feeling,tendency, propensity	Say, you're pretty gutsy.	きみ、ずいぶんどうどうとしてるね
どうどう		int	with a roaring sound (of water or wind), sound of feet stamping on the ground,whoa! (command used to stop or quieten down a horse, etc.)	Say, you're pretty gutsy.	きみ、ずいぶんどうどうとしてるね
のぞく	除く	v5k, vt	to remove, to eliminate, to eradicate,to exclude, to except	Why don't you go snoop somewhere else, Romeo?	のぞきはえんりょしてくれないかな？
はえる	映える	v1, vi	to shine, to glow,to look attractive, to look nice, to be set off (by)	Why don't you go snoop somewhere else, Romeo?	のぞきはえんりょしてくれないかな？
ぼく	僕	pn	I, me,you,manservant	I've had it!	僕、もうたえられない
たえる	耐える	v1, vi	to bear, to stand, to endure, to put up with,to support, to withstand, to resist, to brave,to be fit for, to be equal to	I've had it!	僕、もうたえられない
いけん	意見	n, vs, adj-no	opinion, view, comment	You know this is the first time we've ever agreed on something.	はじめてだね。意見があったの…
あいだ	間	conj	space (between), gap, interval, distance,time (between), pause, break,span (temporal or spatial), stretch, period (while),relationship (between, among),members (within, among),due to, because of	When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
えきいん	駅員	n	station attendant	When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
ばめん	場面	n, adj-no	scene, setting (e.g. of novel)	When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
もくげき	目撃	n, vs	witnessing, observing, sighting	When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
であう	出会う	v5u, vi	to meet (by chance), to come across, to run across, to encounter, to happen upon,to meet (e.g. of rivers, highways, etc.),to emerge and engage (an enemy)	People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
わかれる	別れる	v1, vi	to part (usu. of people), to part from, to part with, to be apart from,to separate (of a couple), to break up, to divorce,to lose (e.g. one's mother), to be bereaved	People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
よろこぶ	喜ぶ	v5b	to be delighted, to be glad, to be pleased,to congratulate,to gratefully accept	People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
かなしみ	悲しみ	n	sadness, sorrow, grief,affection, love	People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
おどろく	驚く	v5k, vi	to be surprised, to be astonished	People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
ころ	頃	n, n-adv, n-suf	(approximate) time, around, about, toward,suitable time (or condition),time of year, season	I wonder how long it's been… There's an invisible rail between me and the passengers.	いつごろからですかね…。お客さんと私の間にね見えないレールを敷いてしまうんですよ
たちいる	立ち入る	v5r, vi	to enter, to trespass,to interfere, to meddle, to pry into	I could never live their lives. I'm just a train man plain and simple. It's easier that way.	お客さんの人生には立ち入らないようにね。私なんぞは、ただの駅員。そういう生き方が楽なんですかね
いきかた	生き方	n	way of life, how to live	I could never live their lives. I'm just a train man plain and simple. It's easier that way.	お客さんの人生には立ち入らないようにね。私なんぞは、ただの駅員。そういう生き方が楽なんですかね
らく	楽	n	comfort, ease, relief, (at) peace, relaxation,easy, simple, without trouble, without hardships,(economically) comfortable,raku pottery	I could never live their lives. I'm just a train man plain and simple. It's easier that way.	お客さんの人生には立ち入らないようにね。私なんぞは、ただの駅員。そういう生き方が楽なんですかね
こころ	心	n	mind, heart, spirit,the meaning of a phrase (riddle, etc.)	That's not to say that the crossing gate of my heart doesn't hurt now and again.	それでもね、心のふみきりが痛むときはありましたよ
ふみきる	踏み切る	v5r, vt	to take off, to jump, to leap,to take the plunge, to decide, to embark on, to venture into, to launch out into,to step out of the ring	That's not to say that the crossing gate of my heart doesn't hurt now and again.	それでもね、心のふみきりが痛むときはありましたよ
いたむ	痛む	v5m, vi	to hurt, to ache, to feel a pain,to be injured, to be spoiled (e.g. food), to be damaged	That's not to say that the crossing gate of my heart doesn't hurt now and again.	それでもね、心のふみきりが痛むときはありましたよ
きかい	機会	n	chance, opportunity	But, that's a story for another day…	いや、その話はまたの機会に……
しはつ	始発	n	first departure (of the day: train, bus, etc.), first train, first bus,departing one's home station (of a train, bus, etc.)	First train leaves Midgar at 05:04am.	始発の出発時刻はミッドガル時０５時０４分になります
しゅっぱつ	出発	n, vs	departure	First train leaves Midgar at 05:04am.	始発の出発時刻はミッドガル時０５時０４分になります
じこく	時刻	n-adv, n-t	instant, time, moment	First train leaves Midgar at 05:04am.	始発の出発時刻はミッドガル時０５時０４分になります
いちや	一夜	n-adv, n-t	one night, all night, overnight, one evening	Morning. Dawn comes and things never change.	おはようございます。一夜明けても、あいかわらずですね
あける	開ける	v1, vi	to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock,to open (for business, etc.),to empty, to remove, to make space, to make room,to move out, to clear out,to be away from (e.g. one's house), to leave (temporarily),to dawn, to grow light,to end (of a period, season),to begin (of the New Year),to leave (one's schedule) open, to make time (for),to make (a hole), to open up (a hole)	Morning. Dawn comes and things never change.	おはようございます。一夜明けても、あいかわらずですね
あいかわらず	相変わらず	adv, adj-no	as ever, as usual, the same, still	Morning. Dawn comes and things never change.	おはようございます。一夜明けても、あいかわらずですね
けが	怪我	n, vs	injury (to animate object), hurt	You be careful not to get hurt. Come on back again, hear?	けがしないよう、お気をつけて。いってらっしゃい
つける	漬ける	v1, vt	to soak, to seep, to dip in,to pickle	You be careful not to get hurt. Come on back again, hear?	けがしないよう、お気をつけて。いってらっしゃい
らっしゃる		v5aru, vi	to be, to come, to go	You be careful not to get hurt. Come on back again, hear?	けがしないよう、お気をつけて。いってらっしゃい
じょうしゃ	乗車	n, vs	boarding (a train, bus, etc.), getting into (e.g. a taxi)	ALL ABOARD! The train is about to depart.	さあ、おはやく御乗車ねがいます。もうすぐ出発しますよ
ねがう	願う	aux-v	to desire, to wish, to hope,to beg, to request, to implore, to pray,to have something done for oneself	ALL ABOARD! The train is about to depart.	さあ、おはやく御乗車ねがいます。もうすぐ出発しますよ
おちる	落ちる	v1, vi	to fall down, to drop, to fall (e.g. rain), to sink (e.g. sun or moon), to fall onto (e.g. light or one's gaze), to be used in a certain place (e.g. money),to be omitted, to be missing,to decrease, to sink,to fail (e.g. exam or class), to lose (contest, election, etc.),to crash, to degenerate, to degrade, to fall behind,to become indecent (of a conversation),to be ruined, to go under,to fade, to come out (e.g. a stain), to come off (e.g. makeup), to be removed (e.g. illness, possessing spirit, name on a list),to fall (into someone's hands), to become someone's possession,to fall (into a trap), to fall (for a trick),to give in, to give up, to confess, to flee,to fall, to be defeated, to surrender,to come to (in the end), to end in,to fall (in love, asleep, etc.),to swoon (judo),to consent, to understand,to crash, to freeze,to die,to move to the depths	I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
ながねん	長年	n-adv, n-t	long time, many years	I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
したしむ	親しむ	v5m, vi	to be intimate with, to befriend	I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
どうしても	如何しても	exp, adv	by all means, at any cost, no matter what, at any rate, surely,whether (one is) willing or not, willingly or unwillingly, willy-nilly,on no account, by no means,in the end, in the long run, after all, eventually	I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
うそ	嘘	int	lie, fib, falsehood, untruth,mistake, error,unwise move, bad decision,No way!, Unbelievable!, Really?!	But I just can't bear to leave here.	いったい、どうして……？うそであってほしいです
ひとつ	一つ	n-adv	one,for one thing,only,(not) even,just (e.g. "just try it")	Don't get all slaphappy just 'cause today's mission went well!!	作戦ひとつうまくいったぐらいでうかれてんじゃねえぞ！！
うかれる	浮かれる	v1, vi	to make merry, to be festive	Don't get all slaphappy just 'cause today's mission went well!!	作戦ひとつうまくいったぐらいでうかれてんじゃねえぞ！！
せんにゅう	先入	n	preconception, prejudice	All right!! You losers go on ahead!!	よし！！おめえら、先入ってろ！！
ロ	露	n	Russia	All right!! You losers go on ahead!!	よし！！おめえら、先入ってろ！！
あう	会う	v5u, vi	to meet, to encounter, to see,to have an accident, to have a bad experience	You wanna meet your little baby?	幼なじみにはやく会いてえか？
どく	退く	v5k, vi	to step aside, to move (i.e. out of the way), to make way,to resign, to retire, to quit, to secede	Out of my way!	そこ、どいてくれ
あやしむ	怪しむ	v5m, vt	to suspect	Can't have people suspectin' us.	街のやつらにあやしまれるとまずいからな…
とぼける	惚ける	v1, vi	to play dumb, to feign ignorance, to play innocent, to have a blank facial expression,to play the fool,to be in one's dotage	Hey! Don't act like you don't know what I mean!	ヘッ！！とぼけちゃってよ
ちょろちょろ		adv, adv-to, vs	trickling (of water),flickering (of fire),darting about (e.g. a small animal), scampering about, moving rapidly	You! CLOUD!! Get off your slow-movin' ass!!	よう！！　CLOUD！！チョロチョロすんじゃねぇ！！
はじまる	始まる	v5r, vi	to begin, to start, to commence,to happen (again), to begin (anew),to date (from), to originate (in)	The hell're you doin', boy? The operation's already started!!	なにやってんだ！！作戦は始まってんだぞ！！
ちょうだい	頂戴	exp	receiving, reception, getting, being given,eating, drinking, having,please, please do for me	I'm not opening up. Go away!!	開けないよ！！帰ってちょうだい
まったく	全く	int	really, truly, entirely, completely, wholly, perfectly,indeed,good grief (expression of exasperation)	Oh &$#&@!! What the hell's wrong tonight!!	まったくよぉ！！今夜はどうなってんだかよ！！
さっき	殺気	n	thirst for blood, bloodlust, determination to kill	I thought that long blackout was strange.	さっきまでずいぶん長く停電してたからみょうだと思ってたらよ
ていでん	停電	n, vs	power outage, electricity outage, blackout, failure of electricity supply	I thought that long blackout was strange.	さっきまでずいぶん長く停電してたからみょうだと思ってたらよ
みょう	妙	n, adj-na	strange, weird, odd, curious,wonder, mystery, miracle, excellence,cleverness, adroitness, knack, skill	I thought that long blackout was strange.	さっきまでずいぶん長く停電してたからみょうだと思ってたらよ
テロ		n	terror, terrorism	They say a Mako Reactor was destroyed above.	上で、魔晄炉爆破テロがおきたっていうじゃねぇか
おきる	起きる	v1, vi	to get up, to rise, to blaze up (fire),to wake up, to be awake, to stay awake,to occur (usu. of unfavourable incidents), to happen, to take place	They say a Mako Reactor was destroyed above.	上で、魔晄炉爆破テロがおきたっていうじゃねぇか
さけ	酒	n	alcohol, sake	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
かう	買う	v5u, vt	to buy, to purchase,to value, to have a high opinion,to stir, to provoke, to draw upon oneself	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
ニュース		n	news	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
とつぜん	突然	adj-no, adj-na, adv	abrupt, sudden, unexpected	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
みせ	店	n	store, shop, establishment, restaurant	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
おいだす	追い出す	v5s, vt	to expel, to drive out	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
たま	玉	n-suf	ball, sphere, globe, orb,bead (of sweat, dew, etc.), drop, droplet,ball (in sports),pile (of noodles, etc.),bullet,bulb (i.e. a light bulb),lens (of glasses, etc.),bead (of an abacus),ball (i.e. a testicle),gem, jewel (esp. spherical; sometimes used figuratively), pearl,female entertainer (e.g. a geisha),person (when commenting on their nature), character,item, funds or person used as part of a plot,egg,coin,precious, beautiful, excellent	I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
よっぱらう	酔っ払う	v5u, vi	to get drunk	Woo…ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.	ウウ……よっぱらっちゃった。手作りカクテル、おいしいんだもんなあ。きついんだもんなあ
カクテル		n, adj-no	cocktail	Woo…ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.	ウウ……よっぱらっちゃった。手作りカクテル、おいしいんだもんなあ。きついんだもんなあ
もん	門	ctr	gate,branch of learning based on the teachings of a single master,division, phylum,counter for cannons	Woo…ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.	ウウ……よっぱらっちゃった。手作りカクテル、おいしいんだもんなあ。きついんだもんなあ
そくほう	速報	n, vs	news flash, prompt report, bulletin, quick announcement	There's a news update. They say that there was a terrorist explosion up above, and that this time it was a Mako Reactor!!	ニュースの速報が入ったのよ。上で爆弾テロがあったっていうじゃない。それも、魔晄炉の爆発！！
たいへん	大変	n	very, greatly, terribly, awfully,immense, enormous, great,serious, grave, dreadful, terrible,difficult, hard,major incident, disaster	You know what this means?	これがどんなに大変なことかわかる？
じじょう	事情	n	circumstances, conditions, situation, reasons, state of affairs	Ya see, I keep on top of these things, an' if ya ask me…	事情通の私にいわせればね
つう	通	ctr	connoisseur, authority,counter for letters, notes, documents, etc.	Ya see, I keep on top of these things, an' if ya ask me…	事情通の私にいわせればね
まひ	麻痺	n, vs	paralysis, palsy, numbness, stupor	if you knock out Midgar's power, then all of its computers and signals are going to be knocked out, too.	ミッドガルの電力がマヒしちゃったらコンピューターとか信号とかいろいろ止まっちゃうじゃない
しんごう	信号	n	signal, signalling, signaling,traffic light, traffic signal	if you knock out Midgar's power, then all of its computers and signals are going to be knocked out, too.	ミッドガルの電力がマヒしちゃったらコンピューターとか信号とかいろいろ止まっちゃうじゃない
