“She's always there	「あら、こんにちわ。
Was it a special day?”	何か特別な日？」
“This was the day…”	「この日はね……」
“TIFA's mother…”	『TIFAのお母さんが……』
TIFA	TIFA
“The day Mom died…”	「ママが……死んじゃった日……」
Nibelheim	ニブルヘイム
TIFA	TIFA
“CLOUD, wait.”	「待って、CLOUD」
TIFA	TIFA
“Where are you going?”	「どこへ？　どこへ行くの？」
CLOUD	CLOUD
“……The reactor……?”	「……魔晄炉……？」
CLOUD	CLOUD
“To the reactor!	「魔晄炉へ！　５年前の魔晄炉へ！」
The Mako reactor of five years ago!”	
CLOUD	CLOUD
“Yeah…this is…me.”	「そう……これが……俺だ」
CLOUD	CLOUD
“Not in SOLDIER, just a common grunt.”	「ソルジャーなんかじゃないただの兵士」
CLOUD	CLOUD
“I…never made it as a member of SOLDIER.”	「俺、ソルジャーにはなれなかったよ」
CLOUD	CLOUD
“I even left my hometown telling everyone	「絶対になってやるなんて言って
I was going to join, but…”	村を出たくせに……」
CLOUD	CLOUD
“I was so embarrassed…	「はずかしくて……
I didn't want to see anybody…”	誰にも会いたくなかった……」
Zack	ザックス
“Hey CLOUD.	「なあ、CLOUD。
If you're feeling sick,	気分悪いなら、そのマスクとっちゃえば？」
why don't you take that mask off?”	
CLOUD	CLOUD
“Yeah…”	「ああ……」
CLOUD	CLOUD
“It sure is raining hard.”	「すごい雨だな」
CLOUD	CLOUD
“Hey‚how are you doing?”	「おい、気分はどうだ？」
“I'm all right.”	「……だいじょうぶ」
CLOUD	CLOUD
“I wouldn't know…”	「俺は乗り物酔いなんて
“I've never had motion sickness,”	なったことないからな」
	「よくわからないんだ」
CLOUD	CLOUD
“Everything okay?”	「準備はＯＫ？」
Sephiroth	セフィロス
“Hey.”	「おい、おまえ」
Sephiroth	セフィロス
“Settle down.”	「もうすこしおちつけ」
CLOUD	CLOUD
“They gave me some new Materia.”	「新しいマテリア、支給されたんだ」
“I can't wait to use it.”	「早く使ってみたくて
	おちつかなくてさ」
Sephiroth	セフィロス
“…Just like a kid.”	「……子供か、おまえは」
CLOUD	CLOUD
“You going to brief us	「なあ、そろそろ今回の仕事
about this mission?”	教えてくれよ」
Sephiroth	セフィロス
“…This isn't a typical	「……今回の任務は
mission.”	いつもとはちがう」
CLOUD	CLOUD
“Good!”	「それはうれしいね！」
Sephiroth	セフィロス
“Why do you say that?”	「どうしてだ？」
CLOUD	CLOUD
“I joined SOLDIER	「俺はあんたみたいになりたくて
so I could be like you.”	ソルジャーになったんだ」
“But by the time I made First Class,	「それなのにクラス１ＳＴに
The war was already over.”	昇格したのと同時に
“My big hopes of becoming a hero	戦争が終わってしまった」
like you ended with the war.”	「俺がヒーローになるチャンスが
“That's why I always sign up	減ってしまったわけさ」
whenever there's a big mission.	「だから、そういうチャンスがあるなら
Kind of a way to prove myself.”	俺は絶対にモノにしてみせる」
CLOUD	CLOUD
“Say‚how do you feel‚	「な、どんな気分だ？
MISTER Sephiroth?”	英雄セフィロスさん？」
Sephiroth	セフィロス
“…I thought you wanted	「……おまえ、今回の任務が
a briefing?”	知りたかったんじゃないのか？」
Sephiroth	セフィロス
“Our mission is to investigate	「今回の任務は
an old Mako reactor.”	老朽化した魔晄炉の調査だ」
Sephiroth	セフィロス
“There have been reports of	「異常動作を起こしているうえに
it malfunctioning,	凶暴な動物が発生している」
and producing brutal creatures.”	「そいつらを始末しつつ
“First‚we will dispose of those	原因を見つけだし、排除する」
creatures.	
Then‚we'll locate the problem	
and neutralize it.”	
CLOUD	CLOUD
“Brutal creatures…?	「凶暴な動物……
Where?”	場所はどこだ？」
Sephiroth	セフィロス
“The Mako reactor at Nibelheim.”	「ニブルヘイムの魔晄炉だ」
CLOUD	CLOUD
“Nibelheim…”	「ニブルヘイム……」
CLOUD	CLOUD
“That's where I'm from.”	「ニブルヘイムは
	俺の生まれ故郷なんだ」
Sephiroth	セフィロス
“Hmm…hometown…”	「そうか……故郷か」
“Sir…s‚something strange	「へ、へんな動物が！！
just crashed into our truck!”	トラックに突っこんで来ました！」
Sephiroth	セフィロス
“That would be our monster…”	「モンスターのお出ましか」
Sephiroth	セフィロス
“Come on‚let's go to work.”	「さあ、仕事だぞ」
Nibelheim	ニブルヘイム
	
“He---y!	「お～い！
Is anyone here?”	誰かいるのか！？」
Zangan	ザンガン
“Give me a hand!”	「手をかしてくれっ！」
Zangan	ザンガン
“Hey it's you!	「おっ、あんたか！
You're still sane, right?”	あんたは正気なんだろうな？」
Zangan	ザンガン
“Then come over here and help me!”	「それならこっちに来て
	手伝ってくれ！」
Zangan	ザンガン
“I'll check this house.	「俺はこの家を見てくる。
You check that one over there!”	あんたはそっちの家を！」
Zangan	ザンガン
“Hey! What about the other houses?”	「おい！
	ほかの家の様子はどうだ？」
“…Sephi…roth”	「……セフィロ……ス」
“…Hey, ummm…	「……な、なぁ……
Am I going to die?”	おれ、死んじゃうの？」
CLOUD	CLOUD
“Terrible…”	「ひどい……」
“Sephiroth…	「セフィロス……
This is too terrible…”	ひどすぎる……」
CLOUD	CLOUD
“What's…next?”	「今度は……なんだ？」
TIFA	TIFA
“Stop it already!!”	「もうやめてっ！！」
BARRET	BARRET
“This is bad…	「こりゃひでえ……
Just like Corel.”	コレルもな、こうだったぜ」
RED XIII	RED XIII
“This is terrible…	「ひどい……
Did Sephiroth do this?”	セフィロスがやったの？」
CAIT SITH	CAIT SITH
“This is insane…”	「ひどいですなぁ……」
YUFFIE	YUFFIE
“Wow…	「うひゃ……
I didn't know it was	こんなにスゴイとは
THIS bad…”	思わなかったよ……」
VINCENT	VINCENT
“All this happened	「……私が眠っているあいだに
while I slept?”	こんなことが……」
CID	CID
“This is terrible…”	「こりゃ、ひでえなぁ……」
CLOUD	CLOUD
“…This is what actually	「……これは５年前
happened five years ago.”	現実にあった風景だ」
CLOUD	CLOUD
“But…”	「けれども……」
“It's probably not me that	「きっと、あの神羅屋敷から
will come out of	出てくるのは俺じゃない」
the Shinra mansion.”	
“He's going to try and show us another	「また、くだらない幻覚を
stupid illusion.”	見せようって気なんだ」
CLOUD	CLOUD
“See…didn't I tell you?”	「ほら……言ったとおりだろ？」
TIFA	TIFA
“I don't want to…watch this.	「こんなの……見たくない。
CLOUD…Don't watch.”	CLOUD……見ちゃだめよ」
CLOUD	CLOUD
“…What's wrong, TIFA?	「……どうしたんだ、TIFA？
I told you before, right?”	さっきも言っただろ？」
“As long as we know that it's just an	「幻だとわかっていれば
illusion, there's no need to be scared.”	何も恐くない」
CLOUD	CLOUD
“I'm…”	「俺は……」
TIFA	TIFA
“Hey! It's CLOUD!”	「あっ！　CLOUDじゃない！」
CLOUD	CLOUD
“Za…ck…Zac…k.	「ザッ……クス……ザック……ス。
Zack…”	ザックス……」
TIFA	TIFA
“You remembered!!”	「思い出したのね！！」
TIFA	TIFA
“That's right!	「そうなのよ！
It was Zack who came to Nibelheim	セフィロスとニブルヘイムに来たのは
with Sephiroth!”	ザックスだったのよ！」
TIFA	TIFA
“Then, where were you, CLOUD?”	「それじゃ、CLOUDはどこにいたの？」
TIFA	TIFA
“CLOUD…	「ねえ、CLOUD。
Did you…see it all?”	あなたは……これを見ていた？」
CLOUD	CLOUD
“I saw…everything…”	「見て……いた……」
Sephiroth	セフィロス
“Aaarrrgh…who…who are you?”	「ぐうぉぉ……だ、だれだ」
“Mom…	「母さんを……
TIFA…My town…give it back…”	TIFAを……村を返せ……」
“I had so much respect for you…	「あんたをそんけいしていたのに……
I admired you…”	あこがれていたのに……」
TIFA	TIFA
“CLOUD!?”	「CLOUD！？」
TIFA	TIFA
“That's what happened…”	「そうだったんだ……」
TIFA	TIFA
“…You were there.”	「……いっしょにいたのね」
TIFA	TIFA
“You were watching me.”	「私を見ていてくれたのね」
TIFA	TIFA
“…You came.	「……来てくれたのね。
…You kept your promise.”	……約束、守ってくれたのね」
TIFA	TIFA
“So you really did come when I was in trouble!”	「ピンチの時に
	ちゃんと来てくれたんだ！」
CLOUD	CLOUD
“Sorry…	「ごめん……
I didn't get there…sooner…”	行くのが……少し遅れた……」
TIFA	TIFA
“It's all right…CLOUD.”	「いいのよ……CLOUD」
Sephiroth	セフィロス
“Just like you.”	「おまえごときに……」
Zack	ザックス
“CLOUD…	「CLOUD……
Kill Sephiroth…”	セフィロスにとどめを……」
CLOUD	CLOUD
“Sephiroth!!”	「セフィロス！！」
Sephiroth	セフィロス
“Don't…push it…”	「ずに……のるな……」
Sephiroth	セフィロス
“…It can't be!”	「そ……んな……ばかな……」
BARRET	BARRET
“Yo! You alright!?	「おい、だいじょうぶか！？
TIFA!?”	TIFA！？」
TIFA	TIFA
“u…unn…?”	「う……ううん……？」
TIFA	TIFA
“BARRET…	「BARRET……
You came back. I…”	帰ってきたのね、私……」
“CLOUD…	「CLOUDは……？
Where is he?”	彼は、だいじょうぶ？」
BARRET	BARRET
“Don't worry about him.	「ああ、心配いらねえ。
He's a tough one.”	しぶとい野郎だぜ、まったく」
TIFA	TIFA
“BARRET…I…	「ね、BARRET……私……
When I was in the Lifestream,	ライフストリームのなかで
I saw the real CLOUD.”	ほんとのCLOUDを見つけたんだ」
TIFA	TIFA
“I mean, I didn't really find him.	「ううん、私が見つけたんじゃない。
CLOUD…he found himself…”	CLOUDが……彼が自分自身の力で
	見つけだしたんだわ……」
BARRET	BARRET
“Alright, I know…	「ああ、わかってる……。
I shouldn't have doubted.”	うたがったりして悪かったな」
BARRET	BARRET
“But I can't win against you.	「しかし、おまえにゃ負けたよ。
You're some kinda lady.”	たいした女だぜ、まったく」
TIFA	TIFA
“People have so many things	「人間て、自分のなかに
pent up inside of themselves…”	なんてたくさんのものを
	しまってるんだろう……」
TIFA	TIFA
“So many things they	「なんてたくさんのことを
can never forget.”	忘れてしまえるんだろう……」
“Strange…isn't it?”	「ふしぎだよ……ね……
	…………」
BARRET	BARRET
“Yo, TIFA!	「おい、TIFA！？
Snap outta it!!”	しっかりしろ！！」
BARRET	BARRET
“TIFA!?”	「TIFA……！？」
“CLOUD, I was deeply	「CLOUDさん！
moved by your story!”	お話、感動しちゃいました！」
“I'm really a weak person	「自分も弱い人間っすから
and so I could	CLOUDさんの気持ち
really understand	よっくわかりまス！」
how you feel, CLOUD!”	
“No one knows when fighting will begin.	「さあ、いつ戦いが始まるかわかりません。
But let's get ready!”	準備をどうぞ！」
“Thank you for a job well done!”	「ごくろうさまでっス！」
“Oh…oh…	「うう……ううっ……
CLOUD…”	CLOUDさん……」
“Your command?”	「ご命令をば！」
(PHS)	【ＰＨＳ】
(SAVE)	【セーブ】
(HP/MP restored!)	【ＨＰ／ＭＰ回復】
CLOUD	CLOUD
“Everyone…I'm sorry.	「みんな……すまなかった。
I don't know what to say…”	なんて言ったらいいのか……」
RED XIII	RED XIII
“Don't say anything, CLOUD.	「もういいよ、CLOUD。
All you've been doing is apologizing.”	あやまってばかりだからね」
CLOUD	CLOUD
“I never was in SOLDIER.”	「俺は元ソルジャーなんかじゃない」
“I made up the story about what happened	「みんなに話した５年前の出来事や
five years ago and my	ソルジャーとしての話は
being in SOLDIER.”	俺自身が創り出した幻想だったんだ」
“I left my village looking for glory,	「大見栄きって村を出たのに
but never made it into SOLDIER…”	ソルジャーになれなかった俺……」
“I was so ashamed of being so weak.	「それをはじた弱い俺は
Then I heard this story from my friend Zack…”	親友だったザックスから聞いた話……」
“And I created an illusion of myself	「さらに自分で見たことをまぜあわせて
made up of what I had seen in my life…”	幻想の自分を創り出した……」
“And I continued to play the	「そしてその自分を
charade as if it were true.”	演じ続けていたんだ」
BARRET	BARRET
“Illusion, huh?	「幻想かよ……
Pretty damn strong for an illusion.”	そのわりには強かったじゃねえか」
CLOUD	CLOUD
“Physically, I'm built like	「身体はソルジャーと
someone in SOLDIER.”	ほとんど同じなんだ」
“Hojo's plan to clone Sephiroth	「宝条のセフィロス・コピー計画というのは
wasn't that difficult.	何のことはない、ソルジャーを創るのと
It was just the same procedure they use	同じやり方でしかなかったんだ」
when creating members of SOLDIER.”	
CLOUD	CLOUD
“You see, someone in SOLDIER	「ソルジャーは魔晄をあびるだけじゃない」
isn't simply exposed to Mako energy.”	
“Their bodies are actually	「実は、体内にジェノバ細胞を
injected with Jenova cells…”	うめこまれた人間なんだ……」
CLOUD	CLOUD
“For better or worse,	「良くも悪くも心が強い人間はソルジャーになる。
only the strong can enter SOLDIER.	ジェノバのリユニオンも関係ない」
It has nothing to do with	
the Jenova Reunion.”	
“But weak people…like me,	「でも、弱い人間は……俺のように
get lost in the whole thing.”	簡単に自分を見失ってしまう」
CLOUD	CLOUD
“The combination of Jenova cells,	「ジェノバ細胞とセフィロスの強い意志。
Sephiroth's strong will,	そして俺の弱い心が生み出した人間」
and my own weakness are what created me.”	
“Everyone knew that.	「それがみんなが知っていた
I'm…CLOUD.”	俺………CLOUDだ」
CLOUD	CLOUD
“…the master of my own illusionary world.”	「……俺は幻想の世界の住人だった」
“But I can't remain trapped	「でも、もう幻想はいらない……
in an illusion anymore…	俺は俺の現実を生きる」
I'm going to live my life	
without pretending.”	
TIFA	TIFA
“You're sure messed up, CLOUD!”	「ひねくれ者のCLOUD君ね！」
BARRET	BARRET
“That means he ain't no	「それじゃ今までと
different from before!”	変わんねえぜ！」
CAIT SITH	CAIT SITH
“By the way, CLOUD.	「ところでCLOUDさん。
What are you going to do now?”	これからどないするんですか？」
“Don't tell me you're	「まさか、船から降りる
going to leave the ship?”	なんていわんといてや」
CLOUD	CLOUD
“…I'm the reason why Meteor	「……メテオが降ってきてるのは
is falling towards us.”	俺のせいだ」
CLOUD	CLOUD
“That's why I have to do everything in my power	「だから俺に出来ることは
to fight this thing.”	なんでもやるつもりなんだ」
BARRET	BARRET
“Good!!	「おう！
Then you're gonna keep	星を救う戦い、続けるんだな！」
fightin' to save the Planet!?”	
CLOUD	CLOUD
“It's like you always	「BARRETがよく言ってただろ？」
told me, BARRET.”	
BARRET	BARRET
“Oh, uh, you mean that!”	「おう、アレだな！」
RED XIII	RED XIII
“What? I don't understand!”	「なになに？　わからないよ！」
“There ain't no gettin' offa this train we on!”	「俺たちが乗った列車は
	途中下車はできないんだ！」
“There ain't no gettin'	「私たちが乗った列車は
offa this train!”	途中では降りられない！」
“There ain't no gettin'	「オレたちが乗っちまった列車はよ！
offa this train!”	途中下車はできねえぜ！」
TIFA	TIFA
“Let's do it, CLOUD!”	「がんばろうね、CLOUD！」
CLOUD	CLOUD
“Yeah…huff…heave…”	「ハァ……ハァ……」
“Are you okay?”	「大丈夫ですか！？」
CLOUD	CLOUD
“…I hate moving vehicles.	「……乗り物には弱いんだ。
I always get sick.”	すぐに気分が悪くなる」
“That's too bad…”	「それはそれは……」
CLOUD	CLOUD
“But that's okay.	「でも、いいんだ。
That's the real me.”	これが……俺なんだ」
“There ain't no gettin'	「私たちが乗った列車は
offa this train!”	途中では降りられない！」
Mideel	海流の村　ミディール
“Ahoy! This here's Mideel.	「ほい、ここはミディール。
As you can see,	ごらんのとおり
this used to be a quiet hot springs town.”	元、のどかな温泉村じゃよ」
“Everything's gone now but	「なんもなくなってしまったが
in a way, I'm kinda glad	かえってさっぱりして
everything's cleaned out.	気持ちいいくらいじゃわい、ホホッ」
Feels better this way, ho, ho.”	
“Have you seen my husband?	「うちの人、見なかった？
He disappeared during the big	あの大地震のさいに消えちゃって
earthquake and I haven't seen him since.”	どこにもいないのよ」
“I thought he'd be in the store…	「お店にいたはずなんだけど……。
You don't think he got through that door	まさか、ほんとにあのドアをぬけて
and went to another country	どこか別の国へ行っちゃったなんて？」
on the other side, do you?”	
“That's all just a dream…	「そんな夢みたいなこと……
That could never really happen.	あるわけないわよねえ。
Heh…”	はあ……」
“Welcome!	「へい、らっしゃい！
We always welcome cash!	いつもニコニコ現金払い！
What can I do for you today?”	今日は、どんなごようで？」
“I'm sorry.	「すいませんねえ。
Our stock isn't so great now…	ろくな品がなくて……。
But that's just the way it is here.”	なにしろ、この有り様なんで」
“If you're looking for other items,	「まあ、ほかの品物を
why don't you check out	さがしてるっていうなら
the other stores?”	よそをあたってみてくださいよ」
“Welcome.	「いらっしゃい、アルね。
Just what you need at a time like	こうゆう時こそ
this--a shop of rest and relaxation.	やすらぎといこいのショップ。
What ya want?”	今日、どんな用アルか？」
“Thank you!	「まいどあり、のことね！
We don't have many goods	お店、品モノないけど
but you come again, please.”	また来てちょー、アルね」
“Hee, hee. Welcome	「うっふっふー、いらっしゃい。
It's here. The day's finally come!	来たわね。ついにこの日が来たわね！
Your day to shop!!”	たっぷり買ってってちょうだい！」
“Do we have items and weapons!?	「え、アイテムや武器もないかって？
Well, I should say so. And here's a bargain!	しかたないわね。出血大サービス！
What would you say to 50% off everything?”	５割増しってとこで、どう？」
“Just kidding. Even I wouldn't do	「冗談よ。いくらあたしでも
something like that.	そこまであこぎじゃないわ。
Now what can I do for you today?”	それじゃ、どんな用なの、今日は？」
Show me your items	アイテムを見せて
Show me some weapons	武器を見せて
Show me some Materia	マテリアを見せて
Let me outta here	やっぱり、やめた
“Thank you.	「まいどあり。
Come again!”	また来てちょうだいよ！」
“Hey, you feelin' all better now?	「ほう、元気になったか、兄ちゃん！
That's good, real good.	ほんとに、よかったのう。
Now don't overdo yourself	もうムチャせんようになあ」
like that again, hear?”	
“Isn't the Lifestream	「それにしても……
a strange thing?”	不思議なもんじゃのう
	ライフストリームというもんは」
“When I die,	「わしらも死んだら
I wonder if I'll float along	このやさしいぬくもりのなかへ
in the middle of a warm gentle	帰ってゆくんじゃろうかのう……」
stream like this?”	
Doctor	ドクター
“Hmph! You!?	「むむむ、君は……！？
How did you get over your Mako poisoning?”	なんと、魔晄中毒から回復したのか！？」
	
“It's absolutely amazing…	「こりゃ、また、おどろいた……。
I am so glad for you!	いや、ほんとに、よかったな！
Looks like your friends' wishes came true.”	友人たちの思いが通じたんだな」
“You can see for yourself what things are like,	「村は、まあこの有り様なんだが……
but at least no one was seriously hurt.	たいしたケガ人もなくてすんだのが
We're just very unhappy now.”	不幸中のさいわいだよ」
“You probably don't remember, but	「全然おぼえてないでしょうけど
you know that girl that watched over	彼女、それはいっしょうけんめい
you for so long when you were sick?”	あなたの看病してくれたのよ」
“You'd better be good to her.	「大切にしてあげなさいよ。
If you don't, you'll be sorry.	さもないと、バチがあたるから。
Believe me!”	ほんとのほんとよ！」
[DOES NOT EXIST]	「ま、それはそれとして……
	あなたたち、顔色わるいわね。
	すこし休んでいきなさい」
[DOES NOT EXIST]	「オッケー、バッチリよ！
	それじゃ、気をつけてね」
CLOUD	CLOUD
“Who's this?	「なんだ、こいつ。
Say, why are you being so friendly?”	ひとなつっこいヤツだな？」
“Oh, so this is it?	「ははん、ねらいはこいつか。
You like the Mimmet Greens, don't you?”	ミメットの野菜が好物なんだな
	おまえ？」
Give it some Mimmet Greens	ミメットの野菜をあげる
Don't give it any!	いやだ、あげない！
CLOUD	CLOUD
“Sorry, peewee	「野菜はあげられないな。
But I can't give you any.”	わるいな、チビ助」
CLOUD	CLOUD
“Well, I guess it won't hurt.	「しょうがないな。
Here, shorty, eat up.”	ほら、食べろよ、チビ助」
CLOUD	CLOUD
“Ha, ha. You're pretty cute.	「よし！　それじゃついでに
Here, I'm gonna tickle you a bit.”	こちょこちょでもしてやるか」
The Chocobo devoured the Greens.	チョコボは、おいしそうに野菜を食べた。
Tickle the bottom of its feet	足の裏をこちょこちょ
Tickle its stomach	おなかをこちょこちょ
Tickle its neck	のどをこちょこちょ
Tickle its belly button	おへそをこちょこちょ
Tickle behind its ear	耳の裏をこちょこちょ
Tickle under its arm	わきの下をこちょこちょ
The Chocobo looks happy.	チョコボは、よろこんでいるようだ。
The Chocobo looks ticklish.	チョコボは、くすぐったいようだ。
The Chocobo looks angry.	チョコボは、怒っているようだ。
The Chocobo looks shy.	チョコボは、はずかしがっているようだ。
The Chocobo looks bored.	チョコボは、どうでもいいようだ。
Dined and dashed.	タダ食いだった。
Received Materia from the Chocobo!	チョコボに、『ふういん』のマテリアをもらった！
But you have too much Materia already.	しかし、マテリアがいっぱいで
You can't take on anymore…	これいじょう持てない……。
The Chocobo put the Materia away.	チョコボは、マテリアをしまってしまった。
CLOUD	CLOUD
“Hey, don't surprise me like that!	「あ～、驚いた！
I thought you were dead!”	死んだかと思ったぞ！」
“Well anyhow…	[NOT FOUND]
Hey, you all look terrible.	
Why don't you rest up for a while?”	
“OK! Perfect!	[NOT FOUND]
Well then, take care.”	
“Oh great.	「まいったねえ、こりゃ。
Now I've got to find another job…	また新しいつとめさきを
I guess I might as well make my	さがさないと……
side job as an accessory seller	いっそのこと、ないしょくの
into my regular job.”	アクセサリー売りの方を
	ほんしょくにしちゃおうかしら」
	
	
“Well, since you're already here,	「さあ、あんたたちも
why don't you buy something	せっかく来てくれたんだから
to take back with you?”	なんか買ってっておくれよ」
“Thank you.	「どうも、ありがとさん。
Stop by again.”	また、よっておくれよ」
“Chocobos ignore humans who	「チョコボは、好物の野菜を
don't look like they'll give them greens.”	くれそうにない人間にはつめたかった。」
