Wilderness	荒れ地
We'll give them a taste of what	タークスの仕事
the Turks can do.”	やつにじっくり見せてやろう」
Reno	レノ
“That sounded okay.”	「……と、言いたいところだが」
Reno	レノ
“If he has Elena, that's going to make	「イリーナが向こうの手に
things a little difficult.”	わたったとなると
	ちょっとやっかいだぞ、と」
“And uh…”	「そこで……と」
CLOUD	CLOUD
“…OK.	「……いいだろう。
Corneo took YUFFIE from us.”	こちらもYUFFIEを
	コルネオにさらわれた」
“And without YUFFIE,	「YUFFIEがいないと
there's no way	マテリアも取りもどせない」
we'll get our Materia back.”	
TIFA	TIFA
“…All right.	「……わかったわ。
Corneo stole YUFFIE	私たちもYUFFIEを
from us as well.”	コルネオにさらわれたの」
“And without her,	「あのコがいないと
there's no way	マテリアも取りもどせないもの」
we'll get our Materia back.”	
CID	CID
“That's just beautiful!	「……ケッ、しかたねえか。
And now that *#$^@'s walked off	こっちもYUFFIEのやつを
with YUFFIE too!”	あのヤロウに持ってかれちまったからな」
“And without that brat,	「あのガキがいねえと
we can't get our hands	マテリアも取りもどせねえってこった」
on our Materia!”	
Reno	レノ
“Don't misunderstand.”	「かんちがいするなよ、と」
“We have no intention of joining you.	「お前らと手を組む気などない。
We're only agreeing not to	ただ、たがいのジャマはしない。
fight each other…for now.”	それだけのことだぞ、と」
CLOUD	CLOUD
“That's fine.	「けっこうだ。
We have no intention of	俺たちもタークスと協力する
cooperating with you, either.”	つもりはサラサラない」
“Now, uh, which direction did	「ところで、コルネオは
Corneo run off?”	いったいどこへ逃げたんだ？」
TIFA	TIFA
“The same goes for us.	「ええ、私たちもそのつもり。
We don't want to make friends	タークスと仲良くあくしゅなんて
with the Turks.”	えんりょしておくわ」
“Now, which direction did Corneo	「ところで、コルネオは
run off?”	いったいどこへ逃げたのかしら？」
CID	CID
“Of course!	「あったりめえじゃねえか！
There ain't no way we'd wanna	タークスと手を組むなんざ、
work with the Turks anyway!”	こっちからねがいさげでえ」
“Anyhow, which direction did	「にしてもよ、あのヤロウ
that %^$*& run off?”	いったいどこへ逃げやがった？」
Reno	レノ
“Hmm, nice attitude.	「フン、あの性格だ。
Here's a clue, it's the	だいたい想像つくぞ。
most obvious place.”	ここらで一番めだつのは……と」
Wutai‚Main Mtn.	ウータイ総本山
	
Godo	ゴドー
“GOOGAH…what do you want?”	「グガーなにか用かな？」
Godo	ゴドー
“Don't have…GAH…anything much but, you	「なにもンガーないが、旅のつかれを
should be able to…GOO…rest yourselves here.	いやすことぐらいはグーできるだろう。
GOGAH…make yourselves at home.”	ゴガーゆっくりしていきなさい」
Godo	ゴドー
“…YUFFIE?	「……YUFFIE？
…Nope, never heard of her.	…………知らぬな、そんな名は。
…GOOGO…”	グーゴー」
Godo	ゴドー
“…You again? I said it once,	「……くどいな。
and I'll say it again, I don't know her.”	知らぬものは、知らぬ」
Godo	ゴドー
“Listen, I said I didn't know her!	「知らぬと言ったら知らぬ！
There isn't anyone named	YUFFIEなどという者は
YUFFIE here in Wutai!”	このウータイにはおらん！」
Godo	ゴドー
“…Never seen you around here before…”	「……見かけない顔だな……」
“Lately, I've been seeing a lot of Shinra	「このところ、この近くで
soldiers around here…You wouldn't	神羅の兵をよく見かけるが……
know anything about that, would you?”	おぬしたちと関係があるのか」
Godo	ゴドー
“I don't care about	「おぬしたちが何者か。
who you are.”	そんなことに興味はない」
“But, if you're in trouble with the	「ただ、神羅ともめごとを
Shinra, I'm going to have to ask you	起こそうというのなら
to leave.”	早々に出ていってくれ」
“I don't want the Shinra	「神羅ににらまれたくは
hanging around here looking over my shoulder.”	ないのでな……」
“What's with you, you coward?”	「なんだい、このいくじなし！」
Godo	ゴドー
“YUFFIE!”	「YUFFIE……！」
YUFFIE	YUFFIE
“You scared of the Shinra?”	「そんなに神羅がこわいの？」
“Then why don't you just bow down	「だったら他の町みたいに
and obey them like all	さっさと神羅にしたがったら
the other towns?”	いいじゃないか！」
YUFFIE	YUFFIE
“Those guys are the ones	「そこにいる連中の方が
who are really fighting the Shinra!”	神羅とまともにたたかってるよ！」
Godo	ゴドー
“Shut up!	「う、うるさい！
What would you know about this?”	お前のようなやつに
	なにがわかる！」
YUFFIE	YUFFIE
“You got beat once,	「いちど戦にまけたらそれっきり？
so what? That's it?	強いウータイはどうしたのさ！」
What happened to the mighty	
Wutai I used to know?”	
Godo	ゴドー
“No kid like you's going to	「これはお前のような子供が
talk to me like that!”	口を出す間題ではない！」
“You keep acting like that!	「まだそんな格好をしおって！
You ought to be ashamed of yourself!”	はずかしくないのか！」
YUFFIE	YUFFIE
“That's my style!	「アタシのセンスだもん
And it's my business, not yours!	そんなの勝手だろ！
Don't try and dictate what I should do!”	人のポリシーに口ださないでよ！」
Godo	ゴドー
“Style?	「セ、センス……？
Dictate?”	ポリーシー……？」
“Why all those fancy words?	「そんなヨコ文字までつかいおって！
You're a rotten daughter!”	この……この不良ムスメが！」
YUFFIE	YUFFIE
“Hmph! You're a sad excuse for a father!!”	「フンだ、このグータラ親父！！」
Godo	ゴドー
“…Take your things and	「……やはり、早々に
get out of here now.”	ここから出ていってくれ」
“For the good of Wutai,	「ウータイを守るには
we cannot stand up to Shinra.”	神羅にさからうわけには
	いかないのだ」
Shinra soldier	神羅兵
“Now listen up!	「いいか！　ヤツはかならず
They must be in the area!	このあたりにいるはずだ！
Find them no matter what!”	なんとしても探しだせ！」
“Yes, sir!!”	「ハッ！！」
Hidden Passage	かくし通路
Received "Magic Shuriken"!	『風魔手裏剣』を手にいれた！
Hidden Passage	かくし通路
Received "Hairpin"!	『かんざし』を手にいれた！
Hidden Passage	かくし通路
Received "HP Absorb" Materia!	『ＨＰきゅうしゅう』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Item/Accessory Store	武器・アクセサリー屋
“Hey yo! Welcome!”	「アイヨ、らっしゃい！」
“We got some of the best blades	「鉄は熱いうちに打てってな！
right out of the furnace!	できたてのキレモノが
So strike while the iron's hot!”	そろってるぜ！」
“Hey yo! Welcome!”	「アイヨ、らっしゃい！」
“You aren't tired of my rambling?”	「あんたらもまだ
	あきらめてないクチかい？」
“Great!	「うれしいねえ！
Then come on in and start buying!”	さあ、買った買った！」
“Sorry, but we're entirely sold out now.”	「すまないが、ウチの商品
	いまみんな売りきれなんだ」
“What's this here?	「ここにあるの？
Ah, no…that's uh…”	あ、いや、これは……」
“…A sample! Yeah, that's it…a sample.	「そう、見本！見本なんだ。
Sorry, but why don't you all come back later?”	わるいな、また後できてくれよ」
“Listen, I'm sorry about last time.	「やあ。こないだは悪かったな。
YUFFIE told me	じつはYUFFIEちゃんに
not to sell anything to you.”	アンタらに売るの、止められててさ」
	「でももう解決したんだよな？
	さあ、買った買った！」
“This is a weapon store of hard cores,	「ここは、あきらめない人間による
by hard cores, and for the hard cores!	あきらめない人間のための武器屋！
Come on and take a look, why doncha!?”	さあ、見てってくれ！」
“Sorry, listen I…	「すまないね。
No, nothing…never mind.”	じつのところ……
	いや、なんでもない。
	また今度きてくれよ」
Item Store	道具屋
Stole "MP Absorb" Materia!	『ＭＰきゅうしゅう』のマテリアを盗まれた！
Received "MP Absorb" Materia!	『ＭＰきゅうしゅう』のマテリアを手にいれた！
“We got a lot of different stuff here.	「イロイロそろってるよ。
Take what you want.”	自由にえらんでおくれ」
“You're still gonna sit here and buy stuff	「こんな時だってのに
at a time like this?”	まだ何か買うのかい？」
“You're an odd one…”	「お客さん、変わってるね……」
“I'm sorry.	「ごめんなさいね。
The sign outside says "Materia",	おもてには『マテリア』なんて
but there's almost no Materia	かいてあるけど、今ウータイには
left anywhere in Wutai.”	マテリアなんてほとんどないの」
“Listen, this is just a backwoods town.	「ほら、ここはいなかだし
We don't have much to do with Shinra,	それに、神羅カンパニーとも
and besides…”	あまり、ね……」
“If we had a lot of Materia,	「マテリアがいっぱいあれば
Wutai would be a much more exciting town,	ウータイももっとにぎやかに
but we don't…”	なると思うんだけど……」
“And now it's too late to be worrying	「もうマテリアがどうのと
about Materia at this stage of the game…”	言ってる場合じゃ
	なくなったわね……」
“If you see anything you need, buy it.”	「何かあなたの役に立つものが
	あったら、買っていってね」
“Huh? What?	「え？なに？
You DID?”	何かあったの？」
“Oh, no, no, no!	「ああ、ダメダメ。
I'm just replacing these goods!	今、商品のいれかえを
You come back later.”	しているところなんだよ。
	あとでまた、来ておくれ」
YUFFIE's House	YUFFIEの家
YUFFIE	YUFFIE
“I know, the Materia, right?	「わかってるよ、マテリアだろ？
I have it stored in a safe place.	ちゃんとしまってあるよ。
…Follow me.”	……こっちきて」
YUFFIE's House	YUFFIEの家
	
YUFFIE	YUFFIE
“…I've been hearing that ever	「……小さいころから聞かされてた」
since I was little.”	
“Before I was born,	「アタシが生まれる前の
Wutai was a lot more crowded	ウータイはもっとにぎやかで
and more impressive.”	もっと強かったって……」
YUFFIE	YUFFIE
“You see what it looks like now, right?	「見たでしょ、今のウータイを。
…Just a tourist trap…”	これじゃただの観光地だよ……」
“After the war, we got peace,	「戦に負けて、和平を手にいれて
but we lost something else.	でも、それといっしょに
Now look at Wutai…”	何かをなくしちゃったんだ。
	今のウータイは……」
YUFFIE	YUFFIE
“That's why…	「だからアタシは……
if I had lots of Materia	マテリアがいっぱいあればきっと……
I could…”	だから、だから……」
CLOUD	CLOUD
“Listen, YUFFIE.	「……悪いがYUFFIE。
I don't care about the history	ウータイの歴史にも
of Wutai or your feelings.”	おまえの感情にも興味はない」
“You've got our Materia and	「俺たちに重要なのは
I want it back…now.”	いま俺たちのマテリアを
	おまえがもっているということだ」
“If you give it back now,	「マテリアさえ返してくれれば
we'll drop the whole thing.”	それ以上おまえを
	責めるようなことはしない」
TIFA	TIFA
“I'm sorry, YUFFIE.	「ごめんなさいね、YUFFIE。
I know how you feel, but	あなたのキモチはわかるけど
we need Materia, too.”	私たちにもマテリアは必要なの」
“…We just can't let you have it.	「……このままあなたに
Please understand.”	あげてしまうことはできないのよ。
	わかってちょうだい」
YUFFIE	CID
“Dammit, YUFFIE.	「……ケッ、YUFFIEよ。
We ain't got time to be	おめえの身の上話をきいてる
listening to your life story.”	ヒマは、こっちにゃねえよ」
“If you want Materia, get it yourself.	「マテリアが欲しかったら
That's how you should do it.”	てめえの力で手に入れな。
	それがスジってもんだ」
YUFFIE	YUFFIE
“I know.	「わかってる。
I know that…”	そんなのアタシだって
	わかってるよ……」
YUFFIE	YUFFIE
“That…sniff…switch…	「そこにヒック……スイッチ……
the lever on the left……	左のレバー……
Materia's…sniff, hic…in there.”	マテリア、ヒック……かくして……」
YUFFIE	YUFFIE
“Don't make a mistake.	「まちがえないで。
The left lever…”	左のレバーを……」
AERIS	AERITH
“I'm sorry, but……”	「かわいそう、だけど……」
BARRET	BARRET
“Ain't nuthin' we can do about it…”	「ま、しかたねえよな……」
TIFA	TIFA
“Now, the Materia…”	「さあ、マテリアを……」
RED XIII	RED XIII
“Were we a little too harsh on her?”	「ちょっと言い過ぎたかな……」
CAIT SITH	CAIT SITH
“Well, let's get our Materia back.”	「まぁ、とりあえずは
	マテリア、返してもらいましょ」
CID	CID
“Hmmph…	「ケッ……
I dunno.”	オレ様は知らねえよ」
VINCENT	VINCENT
“There was nothing else to do.”	「やむをえないな」
BARRET	BARRET
“Wh…what the hell is this?”	「な、なんだコリャ！？」
AERIS	AERITH
“Eyaaaaah!”	「キャッ！！」
TIFA	TIFA
“Eyaaaaah!”	「キャッ！！」
RED XIII	RED XIII
“Wh, what are you doing?”	「な、何するんだ！？」
CAIT SITH	CAIT SITH
“Wh, what is this?”	「な、なんやねんなコレ！？」
CID	CID
“Whoa!”	「オオッ！？」
VINCENT	VINCENT
“!?”	「！？」
YUFFIE	YUFFIE
“Ha, ha--!	「ハッハッハーッ！
You should've listened!!”	人の言うことは
	聞いとくもんだってこと！！」
YUFFIE	YUFFIE
“Ha, ha, ha--!	「ハッハッハーッ！
Never trust anyone that easily!!”	そうかんたんに
	人を信用するなってこと！！」
YUFFIE	YUFFIE
“The Materia's mine!	「マテリアはアタシのもの！
Tough!”	ざんねんでした！」
YUFFIE	YUFFIE
“You want your Materia?	「マテリア取りかえしたかったら
Then go find it yourself!”	自分たちでさがしてみれば？」
“Yeah that's right.	「そう、マテリアを見つけるには
And when you're looking for	カネにものを言わせなきゃ」
the Materia, remember you gotta steel it.”	
“Heh heh…	「エヘヘ……カネだよ、カネ。
Steel…steel! Get it?”	わっかるー？」
YUFFIE	YUFFIE
“C'ya!!”	「じゃ～ね～！」
BARRET	BARRET
“Y, yo, wait up!!”	「お、おい、助けてくれよ！」
AERIS	AERITH
“Wait, don't leave us!”	「ね、おいてかないで！」
TIFA	TIFA
“W..wait,	「ちょ、ちょっと
don't leave us here!”	おいてかないでよ！」
RED XIII	RED XIII
“Help us first!”	「先にオイラたちを
	助けてよ～！」
CAIT SITH	CAIT SITH
“Hey, help us…please!”	「先に、こっちを
	助けて～なぁ～！」
CID	CID
“Hey! Help me first!”	「おい！オレ様を助けるのが
	先だろうが！」
VINCENT	VINCENT
“Wait, don't go by yourself!”	「待て、ひとりで追うな！」
Flip the Left Lever	左のレバーをさげる
Flip the Right Lever	右のレバーをさげる
[Turtle's Paradise]	【かめ道楽　通信】
No. 6	ナンバー６
Drink at the "Turtle's Paradise"	『かめ道楽』で飲まずして
and talk about Wutai!	ウータイを語るなかれ！
To find "Turtle's Paradise",	居酒屋『かめ道楽』は
look for the big pot outside!!	でっかいツボが目印です！！
Hidden Room	かくし部屋
	
YUFFIE	YUFFIE
“Let go! I SAID let GO!”	「離せよ！　離せってば！
	ちょっと、イタ、イタタタタ！」
“Hey! Who do you think I…	「コラ、アタシをだれだと……
OW! What're you doin'? Jerk!”	あーっ！　何すんだよー！」
CLOUD	CLOUD
“You!”	「おまえは……！」
TIFA	TIFA
“Oh! You're…”	「あっ！　あなたは……！」
CID	CID
“Ww, who are you!?”	「な、なんだテメエは！？」
“…ho…	「……ほ……
…ho…”	…………ほ……」
“Hohi, hohi!	「ほひ、ほひ！
Hohihi!”	ほひひ～～～！！」
CLOUD	CLOUD
“Corneo!?”	「コルネオ！？」
TIFA	TIFA
“Don Corneo!?”	「ドン・コルネオ！？」
CID	CID
“The hell are you doing!”	「テメエ、何してやがる！」
Corneo	コルネオ
“Hohi!”	「ほひ～！」
“I've finally got a new	「やっと新しいおなごが
chicky!”	手にはいったぞ～！」
“Two for one, in fact!	「いちどにふたりも！
Heh, heh!”	ほひ～ほひ～！」
CLOUD	CLOUD
“Two!?”	「ふたり！？」
TIFA	TIFA
“Two!?”	「ふたり！？」
CID	CID
“Two!?”	「ふたりだと！？」
Elena	イリーナ
“H…hey! Let go of me!	「コ……コラ、離しなさい！
You're gonna regret this!!”	後でこうかいするわよ！！」
Received "Swift Bolt"!	『雷迅』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
Wutai‚Main Mtn.	ウータイ総本山
	
Shinra soldier	神羅兵
“There he is!	「いたぞ、ヤツだ！
It's Corneo!	コルネオだ！
Don't let him get away!”	絶対に逃がすな！」
Shinra soldier	神羅兵
“Attaaaack!”	「突撃ーーーッ！！」
“Num, num…”	「ムニャムニャムニャ……」
“Help me.	「どうかお助けください。
Help me.	どうかお助けください。
Help me…”	どうかお助けください……」
“Num, num…	「ムニャムニャムニャ……
I hope Meteor doesn't	あの星がこのあたりに
fall anywhere around here…”	落ちてきませんように……」
“Oh, Great Da-chao…	「あ～ダチャオ様……
Please grant us your strength…”	今こそあなたのお力を……」
“He's in the pagoda next to Lord Godo.	「ゴドー様はとなりにある
Lord Godo says we're stuck…”	五強の塔にこもりっきりじゃ。
	ゴドー様でもあんなものは
	どうにもならんて……」
Wutai‚Da-chao Statue	ウータイ　ダチャオ像
Wutai‚Godo's Pagoda	ウータイ　五強の塔
Reno	レノ
“You're finally here.	「やっと来たな。
We're gonna split up.”	俺たちは二手に別れるぞ、と」
“You do whatever you want.	「お前たちは、勝手に行動しろ。
But don't endanger Elena.”	ただし、イリーナに危害は
	加えるなよ、と」
“Don't worry.	「心配するな。
We won't do anything to that girl,	俺たちも、YUFFIEとかいう
YUFFIE.”	小娘には何もしやしない、と」
“For now…”	「今のところはな、と」
Rude	ルード
“……”	「……」
Reno	レノ
“Stop fooling around.	「チンタラやってるヒマはねえ。
The enemy's not gonna	敵さんは待っちゃくれないぜ、と」
wait for us, you know!”	
Reno	レノ
“You all thought they might be here	「お前たちも、ここがクサイと
too, huh?  We were way off.”	思ったか。
	あいにく、大ハズレ、と」
“There's no way they could get this far.”	「そんなに遠くへは
	行けないはずだぜ、と」
CLOUD	CLOUD
“Whoa!!”	「うわっ！」
CLOUD	CLOUD
“Can't go through here…	「これは無理だな。
That flame would fry	この炎じゃ、あっという間に
me in an instant.”	黒コゲだ」
TIFA	TIFA
“Eyaaaah!”	「キャアッ！」
TIFA	TIFA
“There is no way past this!”	「とてもじゃないけど
	進めないわ！」
CID	CID
“Damn, that's hot!”	「うあっちい！」
CID	CID
“I like hot baths, but this is TOO hot!”	「フロは熱いにかぎるが
	こいつは、ちいとばかり
	熱すぎんぜ！」
“"The Scale of the Sea God" shines!”	『水神様のうろこ』がきらめいた！
YUFFIE	YUFFIE
“LET…ME……GO!!!!”	「は～な～せ～よ～！」
Corneo	コルネオ
“Hmm!	「ほひ～！
Delicious…scrumptious!	いいの～、いいの～！
I think I've just found a new HOBBY!”	新たなシュミになりそ～じゃの～！」
Corneo	コルネオ
“Which shall it be?	「どっちのおなごにしようかな？
Hmm…Hmm…”	ほひ～ほひ～！」
Corneo	コルネオ
“Should I take…HER?”	「このコにしようかな～？」
Elena	イリーナ
“He…hey, I'm a 'Turk'!	「あ、あんた、私はタークスよ！
Don't think you can get away with this!!”	こんな事をしてすむと思ってるの！？」
Corneo	コルネオ
“Or…maybe…HER?”	「それともこのコかな～？」
YUFFIE	YUFFIE
“Oh GAWD!	「あ～ッ！
If I knew this was gonna happen,	こんなことなら、ナワ抜けの修行
I would've taken those rope lessons	マジにやっとくんだったよ～！」
more seriously!!”	
Corneo	コルネオ
“Hmm!!!	「ほひ～！！
I've made my choice!	決めた決～めた！
My companion for the night will be…”	今夜の相手は……」
Corneo	コルネオ
“…the cheerful one!”	「この元気そうなおなごだ！」
YUFFIE	YUFFIE
“GROSS-NESS!”	「ゲゲッ！」
“Don't mess with me old man!	「ざけんな、ジジイ～！
You don't even have any Materia!”	マテリアも持ってないクセによ！」
Corneo	コルネオ
“Oooooh!	「ほひ～！
And she's saucy, too!	そのこばむしぐさが
Wheee! Wheee!”	ういの～、うぶいの～」
“All right, that's it!!”	「そこまでだ！」
“Hold it right there!”	「待ちなさい！」
“Hey, hey, hey!	「おうおうおう！
That's as far as you go!”	そのヘンにしときな！
Corneo	コルネオ
“Hee-haw.	「ほひ～。
What…what's goin' on!? Who's there?”	なんだ、なんだ！　何者だ！」
YUFFIE	YUFFIE
“Oh man!	「ゲッ！
CLOUD……!”	CLOUD……！」
YUFFIE	YUFFIE
“Oh man!	「ゲッ！
TIFA……!”	TIFA……！」
YUFFIE	YUFFIE
“Oh man!	「ゲッ！
That old fart, CID!”	CIDのオヤジ……！」
Corneo	コルネオ
“Wheeel…long time no see.”	「ほひひ、ひさしぶりだな」
CLOUD	CLOUD
“Don't tell me you forgot…”	「忘れたとは
	言わせないぞ」
TIFA	TIFA
“That fall into the trap really hurt!”	「痛かったんだから！
	あの落とし穴……！」
AERIS	AERITH
“You just don't get it, do you…!?”	「こりない人ね
	こんなマネして……！」
Corneo	コルネオ
“Hmm…Who are you guys!?”	「ほひひ、なんだ、お前たちは！？
CID	CID
“Maybe God'd forgive an ugly ^#@# like you,	「てめーみてえな、ゲスやろう
but I won't!”	神さんが許しても、このオレ様が
	許さねえ！」
BARRET	BARRET
“ You damn Midgar hyena…!”	「このミッドガルの
	ハイエナ野郎……！」
RED XIII	RED XIII
“Hurry and let the two go!”	「早くふたりを放せ！」
VINCENT	VINCENT
“I don't care what you're doing,	「どうでもいいが、やり方が
so much as the idiotic way you're doing it…”	スマートではないな……」
CAIT SITH	CAIT SITH
“Listen you stupid, slimy, sleazy old scab bag!	「オッサン
If you want to get women,	女にもてたいんやったら
there's such a thing as the RIGHT way!”	やり方ちゅうもんがあるやろ」
Corneo	コルネオ
“Be quiet!	「だまらっしゃ～い！
None of you know how much	あれから、俺がどんなに苦労したか
I've suffered since then…”	お前らにはわかるまい……」
Corneo	コルネオ
“It's a long story, but……”	「そう、話せば長くなるけれど……」
TIFA	TIFA
“We don't want to hear it!	「話さなくていーの！
Just let them go!”	早くふたりを降ろしなさい！」
CID	CID
“I don't really give a damn!	「んなこた、どーでもいーんだよ！
You're gonna let them go,	ネエちゃんたちを、返してもらうぜ。
or else I'm gonna break your arm!”	腕ずくでもな！」
CLOUD	CLOUD
“I don't really care!	「興味ないね！
Let YUFFIE and Elena go!”	YUFFIEたちを、返せ！」
Corneo	コルネオ
“Hmm…You guys are serious.	「ほひ……おまえら……本気だな。
…Good, good.”	……えらいえらい」
“…this time I'm not	「……俺もふざけてる場合じゃねえな」
fooling around either…”	
Corneo	コルネオ
“Why did you kill my little Aps?”	「あの時は俺の可愛いアプスを
“I'm gonna make you PLAY with my new pet,	よくも殺ってくれたな……」
so you won't interfere	「これ以上、俺の花ヨメ探しのジャマを
in my search for a bride!”	させんためにも、俺の新しいペットと
	遊んでもらうぜ！」
Corneo	コルネオ
“RAPPS---come here!!”	「ラプス　カムヒア！！」
Corneo	コルネオ
“Wait…”	「ちょ……」
“Just wait a second!”	「ちょっと待った！」
CLOUD	CLOUD
“SHUT UP!”	「だまれ！」
TIFA	TIFA
“You better say your prayers!”	「さあ、かんねんしなさい！」
CID	CID
“Don't be such a poor loser, old man!”	「おうじょうぎわが、わりーぜ！
	とっつぁん！！」
Corneo	コルネオ
“Just listen to me - it won't take long.”	「すぐ終わるから聞いてくれ」
“Why do you think a bad guy like me would	「俺たちみたいな悪堂が
swallow his pride and plead for his life?”	こうやってプライドをすててまで
	命ごいするのは、どんなときだと思う？」
1  Because he's ready to die	１　死をかくごしたとき
2  Because he's sure to win	２　勝利を確信しているとき
3  Because he's clueless	３　なにがなんだかわからないとき
Corneo	コルネオ
“Hmm…WRONG!”	「ほひ～！　はっずれ～！」
Corneo	コルネオ
“Hmm…RIGHT!”	「ほひ～！　あったり～！」
Corneo	コルネオ
“Hmm…Close, but no!”	「ほひ～！　おっし～！」
Elena	イリーナ
“Eyaaaah…”	「キャアーッ！」
YUFFIE	YUFFIE
“It makes me so MAD!”	「あ、頭に血がのぼる～ッ！」
Corneo	コルネオ
“Once I push this button, they'll fall	「このスイッチを押すと、このまま
and we'll have SQUASHED TOMATOES!”	下に真っ逆さま……
	つぶれたトマトのでき上がり！
CLOUD	CLOUD
“Damn!”	「クッ……！」
TIFA	TIFA
“Coward!”	「ひきょうよ！」
CID	CID
“So this is how a loser lives!”	「この、クサレ外道が……！」
BARRET	BARRET
“Damn tricky $#%@&T$*^%$ !”	「きったねえ手
	使いやがって……！」
AERIS	AERITH
“All right…”	「わ、わかった……」
RED XIII	RED XIII
“Grrrrrgh…”	「グルル……！」
CAIT SITH	CAIT SITH
“You sure are vulgar!”	「えぐいことすんの～！」
VINCENT	VINCENT
“……!”	「……！」
Corneo	コルネオ
“Now, give me your women too!”	「では、そっちのおなごも
	わたしてもらおうか！」
Corneo	コルネオ
“Ha, ha, ha, ha!	「ほっひっひっひ！
I guess I have the last laugh!”	最後に笑うのは、俺だったな！」
“No, that would be us.”	「いや、俺たちだ、と」
Corneo	コルネオ
“…The Turks!”	「タ、タークス！」
Reno	レノ
“You knew this was gonna happen ever since	「お前が秘密をもらした時から
you leaked that secret.”	決まっていたのだ」
“We're going to take care of you…	「俺たちの手で
personally.”	ほうむり去られるとな、と」
Corneo	コルネオ
“DAMMIT!	「え、ええ～い！
Then they're all comin' with me!”	こうなれば、道づれだ！」
Corneo	コルネオ
“Ugh…!”	「グワッ……！」
Reno	レノ
“Good timing, Rude.”	「いいタイミングだぜ。
	ルード、と」
Rude	ルード
“…Let's get to work.”	「……仕事だ」
Reno	レノ
“All right, Corneo.	「さーて、コルネオさんよ。
This'll be over quick, so listen up.”	すぐ終わるから聞いてくれ、と」
“Why do you think we went to all the trouble of	「俺たちが、ヤツらと組んでまで
teaming up with those guys to get you…?”	きさまを追いつめるのは
	なぜだと思う……？、と」
1.  Because we're ready to die	１　死をかくごしたとき
2.  Because we're sure of victory	２　勝利を確信しているとき
3.  Because we're clueless	３　なにがなんだかわからないとき
Corneo	コルネオ
“Two…Number two?”	「２……２番ですか？」
Reno	レノ
“All wrong.”	「どれも不正解、と」
Corneo	コルネオ
“No! Wait, st…”	「や！　やめ……！」
Corneo	コルネオ
“Aaaaaaaaaa……p”	「ほひいいいぃぃぃぃぃ……」
Reno	レノ
“The correct answer was…”	「正解は、と」
Rude	ルード
“…because it's our job.”	「……仕事だからだ」
Elena	イリーナ
“Oh, thank you very much…!”	「あ、ありがとうございます。
	先輩……！」
“I never thought you'd come…”	「まさか、助けに来てくれるなんて……」
Reno	レノ
“Elena,	「イリーナ。
don't act so weak.”	あまえるなよ、と」
“You're a Turk!”	「お前もタークスの一員なんだぜ、と」
Elena	イリーナ
“Y…Yes, sir!”	「は……はい！」
TIFA	TIFA
“Th…Thanks.”	「あ……ありがとう」
AERIS	AERITH
“Thanks for your help.”	「ありがと、助かっちゃった」
CID	CID
“I uh, thanks for today.”	「ともかく、今日んとこは
	礼を言うぜ」
BARRET	BARRET
“Never thought you'd ever help us…”	「お前らに
	救われるとはな……」
CAIT SITH	CAIT SITH
“You guys have some good in you.”	「あんたらも
	ええトコあるやないか」
VINCENT	VINCENT
“It would appear thanks are in order…”	「礼を言わねば
	ならないのか……」
RED XIII	RED XIII
“I'll just say you…helped.”	「助かった……と
	言っておくよ」
Reno	レノ
“Yes…this is Reno.”	「はい……レノです、と」
“Yes…Yes…	「はい……はい……
I'll get on it right away.”	ただちに、かかります、と」
Elena	イリーナ
“Was that the company?”	「か、会社からですか？
	先輩……」
Reno	レノ
“Yeah,	「そう、CLOUDたちを
they want us to find CLOUD…”	探せとな、と……」
Rude	ルード
“Are we on?”	「仕事か……？」
Reno	レノ
“No, today's our day off.”	「いや、今日は非番だ、と」
YUFFIE	YUFFIE
“Hey---who cares about that!?	「ど～でもい～けど
Get----me-----down----!”	お～ろ～し～て～～ッ！」
“…”	「……」
“Freeze!”	「待たれいッ！」
“You aren't from Wutai, are you?”	「それがしたち、ウータイの者では
	ござらぬな？」
No	はい
Yes	いいえ
“Only those from Wutai may enter the tower!”	「ウータイの者でなければ
	この塔に立ち入る事
	まかりならんッ！」
“I'll have to ask for you to leave!”	「お引き取りいただこう！」
“Hey! I can't stand liars!	「ええい！　正体をいつわるとは
Leave this tower at once!”	ふとどきせんばん！
	即刻この塔から出ていかれよ！」
“Oh, Miss YUFFIE!	「おお、YUFFIE様！
Will you be climbing the pagoda today?”	この五強の塔を登られる気に
	なられたのですな？」
Yeah	ま、そんなトコかな
No way!	ま～さか～！
“Then I, Sacred Gorky,	「では、この１階の相手は
will be your opponent on the first floor!”	この力の強聖ゴーリキーが
	つとめさせていただきます！」
“Miss YUFFIE!	「YUFFIE様！
You cannot go on to the second floor	私を倒さねば、２階に上がる事
unless you defeat me!”	まかりなりませんぞ！」
“Yo! They call me Shake!	「いよ！　オラ、シェイクってんだ！
I'll be watchin' your fight with Gorky!”	ゴーリキーと、あんたの手合わせは
	オラが見届けさしてもらうよ！」
Gorky	ゴーリキー
“Then, begin!”	「では、参る！」
Gorky	ゴーリキー
“Power Change!”	「力変化招来！」
Gorky	ゴーリキー
“Here I am, Miss YUFFIE!”	「参りましたぞ、YUFFIE様！」
Shake	シェイク
