Ropeway Station	ロープウェイ乗り場
“You cannot take on any more Materia.”	「『あなたはマテリアを
	これいじょう持てないようです』」
Consolation Prize	参加した記念に
Received "Tissue"!	『ポケットテッシュ』をもらった！
“For winning the Special Battle,	「裏バトルを勝った記念に
Received "Ribbon"!	『リボン』をもらった！
“For winning the Special Battle,	「裏バトルを勝った記念に
Received "Autograph"!	『サイン色紙』をもらった！
“For winning the Special Battle,	「裏バトルを勝った記念に
Received "Combat Diary"!	『ディオ激闘日記』をもらった！
“For winning the Special Battle,	「裏バトルを勝った記念に
Received "Gambler"!	『人生バクチ打ち』をもらった！
“For winning the Special Battle,	「裏バトルを勝った記念に
Received "Final Attack" Materia!”	『ファイナルアタック』
	のマテリアを手にいれた！！
“Welcome to Chocobo Racing.”	「チョコボレーシングへようこそ」
“I'm sorry, but	「申し訳ございませんが
this is for authorized	こちらは、関係者以外立ち入り禁止に
personnel only.”	なっております」
“Go---!!	「いけ～！！
Do it----!!	させ～～！！
That's it----!!”	そこだ～～！！」
“I…I lost…”	「ま、まけた…」
“Yeahh!	「やった！
This is why I can't seem to quit.”	これが、あるからやめられないんだよな」
“You can only buy up to 3 tickets	「チョコボ券は３点までしか買えない
Think before you buy.	よ～く、考えて買うんだな
For example, you could select half of the	例えば、チョコボを半分にしぼって
Chocobos and buy 3 boxes.”	３点をボックスで買うとかな」
Boxes?	ボックス？
Not interested	興味ないな
“A box is buying 3 combinations of	「ボックスってのは３匹のチョコボの
2 Chocobos.”	組みあわせで買う方法さ」
“For example, if you select Chocobo 1, 3, and 5,	「例えば、１番と３番と５番の
you can purchase combinations, such as	チョコボだったら
1 - 3, 1 - 5, 3 - 5.”	１―３、１―５、３―５みたいにね」
“You can also play the limited wheel	「他にも、１匹のチョコボから
by selecting a Chocobo.”	流し買いって手もあるな」
Limited wheel?	流し？
Not interested	興味ないな
“Playing a 'Limited wheel' means	「流しってのは言葉どおりに
you select a Chocobo and use	
it in all of your combinations.”	
“For example,	「例えば１番のチョコボから
if you have Chocobo 1, then you buy	１―２、１―３、１―４って買うことさ」
1 - 2, 1 - 3, 1 - 4.”	
“No matter how you make your bet,	「まぁ、どんな買い方しても
you win some and you lose some.	当たる時は当たるし、外れる時は外れる
It all comes down to skill and luck.”	けっきょく最後は自分のカンが
	もの言うってわけかな」
“Hey, see that Chocobo	「ねぇ、あのオッズ表の
on the odds sheet?”	チョコボって何？」
“That's how you can find out about	「あれで、チョコボの
a Chocobo's condition.”	調子と強さが
	わかるのさ」
“Hmm…	「ふ～ん
If you find out which are	強いチョコボがわかるなら
the strongest, then it's easy, right?”	簡単に当てられるじゃない」
“Well, not as easy as you think.	「そうでも、ないんだよ。
It's not just a matter of	強さだけじゃなくて
the Chocobo's strength,	乗っている騎手の腕前や
but it also depends	チョコボの性格」
on the jockey and	
the Chocobo's personality.”	
“If these are bad, the Chocobo may use	「これが悪いと、スタミナを使いすぎて
too much stamina.”	ゴールまでもたなかったりと
	いろんな要素がからんでくるからね」
“One usually buys tickets for the	「俺らが普段買っているチョコボ券って
B and C rank races, right?”	ＢランクとＣランクレースだろ」
Rank?	ランク？
Not interested	興味ないな
“Oh, that's right.”	「あっ、そう」
“In other words, the 'rank' is	「ランクっていうのは、簡単に言うと
the Chocobo's 'strength'.	チョコボの強ささ。
	Ｃの上がＢ、Ｂの上がＡってわけさ」
A is highest and C the lowest.”	「フリーのチョコボレーサーになれば
“You can buy A rank tickets if you become	Ａランクレースのチョコボ券を
a freelance Chocobo jockey.”	買えるようになるんだよ」
“Of course, the higher the rank,	「もちろん、ランクが上の方が
the better your item ticket.	アイテム券がいいんだ。
Hey, maybe I'll become a Chocobo jockey!?”	あ～、俺もチョコボレーサーに
	なろうかな」
How DO you become one?	どうやってなる？
Not interested	興味ないな
“You can become one if you own a Chocobo	「コネと自分のチョコボがあれば
…and have some connections.	なれるんだけど…
But Chocobo's are pretty hard to catch	チョコボ捕まえるのは大変だし
and I don't have any connections.”	コネも持ってないからなぁ」
“What?”	「なんだ？」
“What?”	「なに？」
“Sir, you can't do that!”	「お客様、こまります！」
Ticket Office	チケットオフィス
“Welcome	「ようこそ
Please purchase your Chocobo	ここでは、チョコボ券を
tickets here.”	買うことができます」
“If your ticket is a winner,	「お買いになったチョコボ券が
you will receive an item ticket	的中した場合はパネルに振り分けられた
good for items on the panel.”	アイテム券をもらえます」
“Your item ticket may be exchanged for	「アイテム券は入口右の交換所で
an item or GP at the exchange counter	アイテムかアイテムに応じたＧＰに
to the right of the entrance.”	変えることが出来ます」
“Welcome.	「いらっしゃいませ。
Would you like to buy some Chocobo tickets?”	チョコボ券をお買い求めですか？」
Yeah	ああ
Explain it to me	話が聞きたい
Not interested	興味ないね
“Registration fees are 200 gil.	「レース投票の登録に２００ギル
Is that all right?”	かかりますがよろしいですか？」
Yeahhh!	ああ
No way!	イヤ！
Ask how to buy	買い方聞く
“Thank you!	「ありがとうございます
1 BET is  gil.	１ＢＥＴはギルです。
This is the next race.”	こちらが、次のレースになります」
“Which rank would	「どちらのランクのレースに
you like?”	投票いたしますか？」
“You're a Chocobo jockey, right?	「チョコボレーサーの方ですね？
Which rank will you ride in?”	どちらのランクのレースに
	投票いたしますか？」
CLOUD	CLOUD
“I lost…”	「はずれた……」
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
Quit	やっぱりやめた
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
A(1BET 300gil)	Ａ（１ＢＥＴ　３００ギル）
Forget it	やっぱりやめた
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
A(1BET 300gil)	Ａ（１ＢＥＴ　３００ギル）
S(1BET 500gil)	Ｓ（１ＢＥＴ　５００ギル）
Never mind	やっぱりやめた
“This Chocobo Race is run on	「このチョコボレースは
a virtual course.”	コースの上に設置された
	バーチャル装置によって」
“The natural scenery you see in	「実際には存在しない自然の中で
the race doesn't really exist.”	ダイナミックなレースを
	展開します」
“You pick which Chocobo	「お客様はこちらで
will finish first and second here,”	どのチョコボが１着と２着になるか
	予想をいたしまして」
“And then buy the appropriate tickets.”	「その番号のチョコボ券を
	お買い求めになることができます」
“And if the ticket you purchased is a winner,	「お買いになったチョコボ券が
you'll receive a ticket for an item that	的中した場合はパネルに振り分けられた
will be listed on the panel.”	アイテム券をさしあげております」
“You can exchange your tickets for	「アイテム券は入口右の交換所で
items or GP at the Exchange Counter	アイテムかアイテムに応じたＧＰの
to the right of the entrance.”	どちらかに交換して下さい」
“You are allowed a maximum of 3 bets	「チョコボ券は３点まで
per Chocobo ticket.”	お買いになることが出来ます」
“Use the Directional keys to move	「方向キーの上下左右で
the cursor on the panel and select	パネル上のカーソルを動かし
with [OK].”	○ボタンで決定します」
“Press [OK] to cancel,	「取消は、同じパネル上でもう１度
while the cursor is	○ボタンを押せば
still on the panel.”	取消となります」
“With [PAGEUP] and [PAGEDOWN],	「『Ｌ１』『Ｒ１』のボタンで画面右に
you can change the Chocobo data	表示されているチョコボのデータを
shown on the right.”	送ることが出来ます」
“This data is helpful when you	「こちらを参考にして
make your pick.”	予想を立てられるとよろしいかと
	思います」
“After you've made your	「投票がすみましたら
selections, press	『ＳＴＡＲＴ』ボタンで
[START] to start the race.”	レースを開始して下さい」
“You do not	「ギルがたりない
have enough gil…”	ようですが…」
“It should come in pretty soon…”	「もうしばらくしたら
	はいると思うの…」
CLOUD	CLOUD
“I won!”	「当たった！」
“You may exchange your ticket	「投票券をアイテムか
for an item or GP.”	ＧＰにできますが？」
Item please	アイテムがいい
I want GP	ＧＰがいい
“Your item ticket will be  GP.	「そのアイテム券なら　　ＧＰに
Is that all right?”	なりますがよろしいですか？」
Yeah, gimme GP	ＧＰにしてくれ
No, I'll take the item	やっぱアイテムにして
Received  GP!!	ＧＰを点手にいれた！！
	
“You cannot take on any more Materia.	「マテリアがいっぱいで
Please discard some Materia.”	持つことができません。
	かわりにＧＰにします」
Received "Sprint Shoes"!	『エルメスのくつ』を手にいれた！！
Received "Counter Attack" Materia!!	『カウンター』のマテリアを手にいれた！！
Received "Magic Counter" Materia!!	「『まほうカウンター』のマテリアを
	手にいれた！！」
Received "Precious Watch"!!	『高級腕時計』を手にいれた！！
Received "Ether"!!	『エーテル』を手にいれた！！
Received "Hero Drink"!!	『英雄の薬』を手にいれた！！
Received "Bolt Plume"!!	『電撃鳥の角』を手にいれた！！
Received "Elixir"!!	『エリクサー』を手にいれた！！
Received "Fire Fang"!!	『火龍の牙』を手にいれた！！
Received "Antarctic Wind"!!	『南極の風』を手にいれた！！
Received "Potion"!!	『ポーション』を手にいれた！！
Received "Phoenix Down"!!	『フェニックスの尾』を手にいれた！！
Received "Hyper"!!	『興奮剤』を手にいれた！！
Received "Tranquilizer"!!	『鎮静剤』を手にいれた！！
Received "Cat's Bell"!!	『タマのすず』を手にいれた！！
Received "Enemy Away" Materia!!	『てきよけ』のマテリアを手にいれた！！
Received "Sneak Attack" Materia!!	『ふいうち』のマテリアを手にいれた！！
Received "Chocobracelet"!!	『チョコボの腕輪』を手にいれた！！
Received "Swift Bolt"!!	『雷迅』を手にいれた！！
Received "Fire Veil"!!	『火とん』を手にいれた！！
Received "Megalixir"!!	『ラストエリクサー』を手にいれた！！
Received "Turbo Ether"!!	『エーテルターボ』を手にいれた！！
Received "Hi-Potion"!!	『ハイポーション』を手にいれた！！
Received "Ice Crystal"!!	『冷気の結晶』を手にいれた！！
	
CLOUD	CLOUD
“I lost…”	「まけた……」
CLOUD	CLOUD
“I won!!”	「勝った！！」
“I'm sorry	「ごめんなさい
We can't play yet…”	まだ、遊べないの…」
Ester	エスト
“Do you want to ride?”	「どう、乗ってく？」
Ester	エスト
“Hey, long time no see…	「あっ、ひさしぶり～
How have you been?”	元気だった？」
Ester	エスト
“There's a lot going on	「なんか外はスゴイことに
in the world outside.”	なってるじゃない」
“It's little lonely around here,	「ここも、さびしくなっちゃったけど
but you can't keep a jockey	レーサーたちの燃えるタマシイは
from doing what he loves.”	止められないわ」
Ester	エスト
“How 'bout it, you want to ride again?	「どう、ひさしぶりに乗ってみる？
You have your own Chocobo, right?”	自分のチョコボもってるんでしょ？」
Ester	エスト
“Yeahh,	「そうそう
but jockeys can't buy tickets.”	レーサーは券を買えないけど」
“If you win, you'll get an item	「勝てば、その組み合わせの
ticket, so try it!”	アイテム券がもらえるのよ
	ガンバッテね」
Let me register	登録をたのむ
Tell me how to ride it	乗り方を聞く
Don't do it	やめる
Ester	エスト
“Hmm, it seems that no	「あら、いま登録できる
Chocobos can be registered…”	チョコボっていないみたい…」
CLOUD	CLOUD
“Which one?”	「どれをだそうか？」
Ester	エスト
“Congratulations! You're first!”	「おめでとう１着よ」
Ester	エスト
“And your Chocobo moved up a rank.”	「それと、チョコボのランクが
	あがったわよ」
Ester	エスト
“From the next race,	「次からそのチョコボは
that Chocobo will be in B rank.”	Ｂ　ランクよ」
Ester	エスト
“From the next race,	「次からそのチョコボは
that Chocobo will be in A rank.”	Ａ　ランクよ」
Ester	エスト
“Wow!	「スゴイわね
From the next race,	次からそのチョコボも
that Chocobo will be in S rank.”	Ｓ　ランクよ」
Ester	エスト
“Wow, that's great.”	「すごいじゃない」
“Looks like you don't have any rivals in	「もうＡランクでも敵はいない
the A rank anymore.”	って感じかしら？」
“But you know,	「ふふ、でもね
there's a rank that's	じつは、そういうチョコボが
full of those Chocobos.”	集まっているランクがあるのよ」
“Ahem!!	「オホン！
From the next race,	次からそのチョコボは…」
that Chocobo is…”	
“S rank!	「Ｓ　ランク！
Joe's usually in that group, too.	ジョーも大抵はここで活躍しているの
So good luck.”	ガンバッテね」
Ester	エスト
“Amazing…”	「すごいわ…」
“This is the winningest	「Ｓランクでそんなに
jockey in S rank	勝ってる人ってジョー以外では
ever since Joe.”	始めて見たわ」
“Good job.	「ごほうびに、私からプレゼント
Here's a little something	あげちゃう」
from me!”	
Received "Exp Plus" Materia!!	『経験値アップ』のマテリアを手にいれた！！
Never mind	やめる
Ester	エスト
“I'll register	「じゃあ、そのランクＣの
this C rank Chocobo.”	チョコボを登録するわね」
Ester	エスト
“Then I'll register	「じゃあ、そのランクＢの
this B rank Chocobo.”	チョコボを登録するわね」
Ester	エスト
“Then I'll register	「じゃあ、そのランクＡの
this A rank Chocobo.”	チョコボを登録するわね」
Ester	エスト
“Then I'll register	「じゃあ、そのランクＳの
this S rank Chocobo.”	チョコボを登録するわね」
Yeah	ああ
I changed my mind, don't do it	やっぱりやめ
Ester	エスト
“Which do you want, the long course	「コースはロングとショートが
or the short one?”	あるけど、どっちにする？」
Short	ショート
Long	ロング
Ester	エスト
“Good Luck!	「がんばって
Take care!”	いってらっしゃ～い」
TIFA	TIFA
“Hey, CLOUD.	「ねぇ、CLOUD
Let me ride once in a while.”	たまには、私にも乗らせて」
CID	CID
“Hey, CLOUD.	「おう、CLOUD
Let me hop on sometime.”	たまには、おれ様にも乗らせてくれよ」
Sure	いいよ
Nope	ダメ
Ester	エスト
“Oh, you forgot?	「あら、忘れちゃったの？
It's all right.	まぁ、いいわ。
Ahem!”	オホン！」
“First use [ASSIST]	「まず『ＳＥＬＥＣＴ』ボタンで
to choose either AUTO or MANUAL.”	オートとマニュアルを切り替えるの」
“This lets you control the Chocobo	「簡単に言うと、自分で命令するか
yourself or let it run on its own.”	チョコボの好きに走らせるかね」
“But it's pretty hard to make the	「でも、自分の思うとおりには
Chocobo run the way you want it to.	中々走らせられないわよ。
If the Chocobo doesn't like you,	チョコボとの仲が良くないと
it won't listen.”	言うことを聞いてくれないから」
“Then, you're stuck…”	「それから、自分で命令してる時に」
“But, most of the Chocobos	[LINE DOESN'T EXIST]
I have are mellow	
and you should be able to	
handle them.”	
“When you're riding,	「それから、自分で命令してる時に
use [SWITCH] to Speed Up	□ボタンでスピードアップ
and [CANCEL]to Slow Down.”	×ボタンでスピードダウン」
“If you go faster than	「ただし、チョコボが本来持っている
the Chocobo can handle, it will	能力以上のスピードをだすと
quickly lose its stamina.”	どんどんスタミナが減ってくの」
“Use the Directional button to	「それと方向キーの左右でチョコボを左右に
move the Chocobo left and right,	○ボタンでムチを入れて
use [OK]	いっきにスピードを上げられるわ」
to get a boost of speed.”	
“But this makes your stamina	「もちろんスタミナの消費は
run out faster.”	激しくなるけどね」
“Some Chocobos are bad-tempered	「あと、気性の悪いチョコボは
and can't pace themselves.	自分のペースがわからなくて
They'll lose their	すぐスタミナを使いきっちゃうの」
stamina quickly.”	
“Those Chocobos should be	「そういうチョコボは、すぐに
set on Manual	マニュアル（自分で動かす）操作にして
to slow them down.”	スピードを落としてやるといいわ」
“Finally, some advice	「最後にね、セッカチな人に
for the restless, once	おすすめなんだけど
the first and second Chocobo	１、２着のチョコボがゴールした後に」
cross the goal line,”	
“Push [START]	「『ＳＴＡＲＴ』ボタンを押すと
to end the race.”	途中でレースを見るのをやめることが
	できるわ」
Building 1f.	建物１Ｆ
	
READY……	ＲＥＡＤＹ……
GO!!	ＧＯ！！
YOU LOSE!	ＹＯＵ　ＬＯＳＥ
YOU WIN!!	ＹＯＵ　ＷＩＮ！！
Arm Wrestling	アームレスリング
Mega Sumo	メガずもう
1 game 100 gil	１プレイ　１００ギル
Try it	やる
Not interested	興味ない
CLOUD	CLOUD
“Not enough gil…”	「ギルがたりない…」
Push [OK] consecutively.	『○ボタンを連打してください』
Please select opponent.	『対戦レベルを選んでください』
Sumo Wrestler	すもう
Wrestler	レスラー
Wonder Catcher	『ワンダーキャッチャー』
1 game 100 gil	１プレイ　１００ギル
Didn't get a thing…	何も取れなかった…
Received "Potion"!!	『ポーション』を手にいれた！！
Received 1 GP!!	ＧＰを１点手にいれた！！
Received "Elixir"!!	『エリクサー』を手にいれた！！
Received 3 GP!!	ＧＰを３点手にいれた！！
Received 100 GP!!	ＧＰを１００点手にいれた！！
Received 80 GP!!	ＧＰを８０点手にいれた！！
Received "Phoenix Down"!!	『フェニックスの尾』を手にいれた！！
Received "Ether"!!	『エーテル』を手にいれた！！
Received "Megalixir"!!	『ラストエリクサー』を手にいれた！！
Basketball Game	『バスケットゲーム』
1 game 200 gil	１プレイ　２００ギル
Hold down [OK] to gain strength.	「○ボタンを押している間だけ」
Release [OK] to shoot.	「力をため○ボタンをはなすと
	シュートをうちます」
Received  GP!!	ＧＰを点手に入れた！！
DOUBLE CHANCE!	『ダブルアップチャンス！』
“Double your GP for the game,	「『現在獲得のＧＰを倍に出来ます
but if you lose, your GP will be 1.”	失敗すると１点になります』」
“You may continue after you	「『成功するとダブルアップ後も
successfully double your GP.	ゲームを続けることが出来ます。
Want to try 'DOUBLE CHANCE'?”	ダブルアップに挑戦しますか？』」
Yes	ああ
No	やめとく
NOW PLAYING DOUBLE CHANCE	『ダブルアップ挑戦中』
Double Up!!	『ダブルアップ！！』
Missed!!	『ミス！！』
Give Up!	『ギブアップ！』
“I'm sorry.	「ごめ～ん
You only played about half the games here..."	ここも、まだ半分くらい遊べないの…」
“We got new prizes.	「新しい商品も入りましたよ
But what's in them is a secret.”	中身はナイショですけど」
“You have	「あなたは
GP.”	ＧＰを点お持ちですね」
“Exchange your GP for prizes here.	「ここでは、ＧＰを商品と交換することも
Want to exchange?”	できますが、いかがいたしますか？」
Yes	する
No	しない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 1000GP	？？？？？？？？　１０００ＧＰ
??????????? 2000GP	？？？？？？？？　２０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 2000GP	？？？？？？？？　２０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 1000GP	？？？？？？？？　１０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　３００ＧＰ
???????????  500GP	？？？？？？？？　５００ＧＰ
Don't want to exchange	やっぱり取りかえない
Not enough GP	「ポイントが足りません」
“I'm gonna let you in on something…	「バラしちゃうけど
Y'see, this is Materia. But you	これ、マテリアなのよ
can't seem to carry any more of it.”	けど、あなたいっぱいで
	持てないわよ」
Received "Ether"!!	『エーテル』を手にいれた！！
Received "X-Potion"!!	『エクスポーション』を手にいれた！！
Received "Gold Ticket"!!	『ゴールドチケット』を手にいれた！！
Received "Gil Plus" Materia!!	『ギルアップ』のマテリアを手にいれた！！
Received "Carob Nut"!!	『カラブの実』を手にいれた！！
Received "EXP Plus" Materia!!	『経験値アップ』のマテリアを手にいれた！！
Received "Turbo Ether"!!	『エーテルターボ』を手にいれた！！
“You already have	「『ゴールドチケット』はすでに
a 'Gold Ticket'…”	お持ちのようですが…」
“I can't get that…”	「あれが、取れないんだよな…」
“I can't stop because they have	「中には、いいのも入ってるから
good stuff in 'em.”	やめられないんだよな」
“Almost…”	「もう、ちょっと……
“Crap!”	「あっ！
“No cigar…”	「だめだった…」
“Almost…”	「もう、ちょっと……」
“Arrrgh!”	「あっ！」
“Got it!!!”	「やった！！！」
“I can't stop,	「世界がこんなんなっても
no matter what's going on outside…”	やめられない僕って…」
“I'm just gonna spend all my money	「もう、こうなったら
and play until I drop!!”	ここで、遊びまくって
	お金使いきってやるんだから！」
“Please…don't…	「いま、チョット
talk to me…right now.”	話しかけないでもらえます」
“You sure do need	「ここって
a lot of money here.”	ほ～んと金がかかるね」
Building 2f.	建物２Ｆ
	
Try it	やる
Not interested	興味ない
CLOUD	CLOUD
“Don't have enough gil…”	「ギルがたりない…」
3D Battler	『３Ｄバトラー』
1 game 200 gil	１プレイ　２００ギル
[MENU]       Hi attack	△ボタンで上段攻撃
[SWITCH]   Mid attack	□ボタンで中段攻撃
[CANCEL]   Low attack	×ボタンで下段攻撃
The first one with 10 points wins.	１０ポイント先取したほうの勝ちです
“Back there…”	「あの奥の方のが…」
“I get so caught up in these…”	「わたし、こういうの
	すぐムキになっちゃうのよね～」
“You sure are an unusual one.	「あんたも物好きね
Staying here with all that's	外があんなだってのに
going on outside…guess that	こんな所に来て…
makes, uh, two of us, huh?”	ってアタシもか？」
Received  GP!!	ＧＰを点手にいれた！！
Out of Order	故障中
“This place sure gets expensive…	「まったく、ここは金がかかるなぁ…
To play, or not to play'…”	遊ぶべきか、遊ばざるべきか…」
“…Don't worry 'bout me.	「………
Go ahead and play.”	気にしないでやってくれよ」
“Hmm, I'm impressed…	「うう……感動したよ…。
Thanks for the show.”	いいもの見せてくれてありがとう」
“Here, take this.”	「これ、やるよ」
“Hmm, I'm impressed…	「うう……感動したよ…。
Thanks for the show.”	いいもの見せてくれてありがとう」
Use caution in relationships	対人関係に注意
Your lucky color is red.	ラッキーカラーは赤です
You may meet someone new.	新しい出会いがあるかも
You have ties with those that fly.	空飛ぶ乗物に縁がありそうです
What you are looking for is near.	探し物は近くにあります
Use caution in relationships.	人間関係に注意
“What you're looking for	南東の方角に探し物があります
is in the Southeast”	北の方角に注意
Beware of the North	大きな転機がおとずれます
A great turning point is near.	あきらめずにがんばろう
Never give up.	「あなたの
Your lucky number is .	ラッキーナンバーは」
G Bike	Ｇバイク
1 game 200 gil	１プレイ　２００ギル
Use [Directional button] to move	『方向キー』で移動
[SWITCH] to attack left	□ボタンで左攻撃
[OK] to attack right	○ボタンで右攻撃
“If the truck is attacked,	トラックが攻撃を受けると減点です
you lose points.”	
Snow Game	スノーゲーム
1 Play 200 gil	１プレイ　２００ギル
[Directional button Up] to speed up	『方向キー上』で加速
[Directional button Down] or	『方向キー下』または
[SWITCH] to slow down	□ボタンで減速
[CANCEL] to Jump	×ボタンでジャンプ
“[Directional button Right/Left] to	『方向キー左右』で左右の移動
move Right and Left”	
“[PAGEDOWN] +	「『Ｒ１ボタン＋方向キー左右』で
Directional button Right/Left]	それぞれの方向にエッジをきかせます」
to edge”	
“You receive points	「コースにでてくるバルーンを
for hitting the balloons	取るとポイントになります。」
that appear on the course.”	
Submarine Game	潜水監ゲーム
1 Play 200 gil	１プレイ　２００ギル
Directional button Left for Left Turn	『方向キー左』で左に旋回
Directional button Right for Right Turn	『方向キー右』で右に旋回
Directional button Up to Dive	『方向キー上』で下降
Directional button Down to Rise	『方向キー下』で上昇
[MENU]   to Speed Up	△ボタンで前進
[CANCEL] to Slow Down	×ボタンで後退
[SWITCH] to Fire Torpedo	□ボタンでギョライ発射
“Find and avoid mines by using the	「ソナーで機雷を見つけ、よけながら
Sonar, and destroy	敵潜水監を全滅させるとクリアです。」
the Enemy Submarines.”	
Fortune Telling	『うらない』
1 fortune 50 gil	１プレイ　５０ギル
Mog House	『モグ・はうす』
1 game 100 gil	１プレイ　１００ギル
Out of Order	調整中
“Hyuuuuu,	「ギュオーン、ギュオーン
BAM, BAM, BAM…”	キュー、バリバリバリ」
“Oh man, I gotta scream.”	「ああ、つい声をだしてしまう」
“Whew, I'm tired.	「ふう、つかれた。
Oh this?	ああ、これですか
It seems to be out of order.”	なんか、修理中みたいですね」
“I'm gonna be the wind again today!”	「私は今日も風になる！」
“Nope, I'm not quitting until I	「ダメダメ、クリアするまで
clear this!”	やめないよ」
Received "Safety Bit"!	『セーフティビット』を手にいれた！
Received "Crystal Bangle"!	『クリスタルバンクル』を手にいれた！
Received "All" Materia!	『ぜんたいか』のマテリアを手にいれた！
Received "Ink"!	『イカスミ』を手にいれた！
Received "T/S Bomb"!	『時空弾』を手にいれた！
Received "Dragon Fang"!	『双龍の牙』を手にいれた！
Received "Dragon Scales"!	『海龍のウロコ』を手にいれた！
Received "Caldron"!	『魔女の大釜』を手にいれた！
Received "Speed Source"!	『スピードアップ』を手にいれた！
Please select your mission.	ミッションを選んで下さい。
Undersea Mako Reactor Battle	海底魔晄炉戦
Level 1	レベル１
Level 2	レベル２
Level 3	レベル３
Level 4	レベル４
Not interested.	興味ない
TIFA	TIFA
“Hey, CLOUD.	「ねぇ、CLOUD
Let me ride sometime.”	たまには、私にも乗らせて」
CID	CID
“Hey, CLOUD.	「おう、CLOUD
Let me get on sometime.”	たまには、おれ様にも乗らせてくれよ」
Sure	いいよ
Nope	ダメ
“This is Mog's house. It's in Mog Forest	「ここはモーグリ山の
on Mt. Mog.	モーグリ森のモグの家。
“The beginning of another day	「今日もモグの一日が
in the life of a Mog.	始まります。
“This year, Mog is pipapopupo years old.	「モグは今年でクピパポプポさい。
…that's 28 in human years.	人間でいうと２８さい。
“He's at that age when he should be	「そろそろ、おヨメさんが欲しい
looking for a mate.	年ごろです。
“But before Mog can become an adult,	「モーグリの世界では
he first needs to learn how to fly.	飛べるようになると
	りっぱなオスとみなされます。
“Even though Mog trains hard everyday,	「ところがモグは、まだ上手に
he still can't seem to get off the ground.	飛べません。
	毎日、いっしょうけんめい
	練習しているのですが……
“Looks like he's still got a long way to go…	「おやおや、今日もダメなようです。
	
	
“Here's where you come in.	「そこで、みなさんにおねがいです。
“Help Mog learn how to fly by	「【○ボタン】で、モグの大好きな
pushing [OK] and feeding	クポの実をあげて、彼が飛べるよう
him his favorite Kupo nut.	手伝ってあげてください。
	
“But don't overfeed him.	「でも、あげすぎには御用心。
He won't be able to fly if he's too fat.	重くて飛べなくなってしまいます。
“[OK]…Give him a Kupo nut	「【○ボタン】
	クポの実をあげる
“Oh?	「おや？
“It seems like Mog's decided to	「ついにモグは、飛ぶかくごを
take another shot at it.	決めたようです。
“All right, Mog, fly!	「さあ、飛ぶんだ、モグ。
Your future happiness may depend on it.	きみと彼女のしあわせのために。
“Unfortunately, he didn't make it.	「おやおや、残念ながら失敗です。
“Poor Mog'll have to wait some time for a bride.”	「まだしばらく、モグには
	おヨメさんは、こないようです。」
CONTINUE	ＣＯＮＴＩＮＵＥ
PUSH [START]	ＰＵＳＨ　ＳＴＡＲＴ
“Oh-oh, seems like you don't have enough Gil.	「おやおや、ギルがたりないようですね。
Poor Mog, looks like he'll continue be	かわいそうに、モグは、とうぶん
lonely for a while.	一人ぼっちなようです。
“Poor Mog, seems like he'll be alone for a while.	「かわいそうに、モグは、とうぶん
	一人ぼっちなようです。
“He did it!  He's flying!	「飛んだ！　モグが飛んだ！
Now, he's finally become a full-fledged Mog.	これでモグも、りっぱなオスモーグリに
	なれたのです。
“Tired but relaxed, our little Mog	「つかれたモグは、安心したせいか
turns out the lights early and goes to bed.	今日は早めにおやすみのようです。
Goodnight, and sweet dreams…	おやすみモグ、すてきな夢を……。
“Oh?	「おやおや？
What's this? Here comes a female Mog!	さっそくメスモーグリが
	やって来ました。
“It seems like he likes her.	「なんと、モグも彼女を
	気に入ったようです。
“Now, will Mog be able to fly gracefully	「さあ、彼女の前で
