Dolphin Shores	イルカの海辺
“The Huge Materia should be at the bottom	「ヒュージマテリアは
of the sea by now.	海底に沈んだはずだ。
Let's continue the search…”	このまま、探索を続けるか…」
“…All Shinra Submarine Units, do you read…?”	『……神羅潜水監部隊全機、応答せよ……』
CLOUD	CLOUD
“Hmm…?	「ん……？
…Must be from Shinra.”	……神羅の通信か」
“…Report, No. 2…”	『……どうした、２号機応答せよ……』
TIFA	TIFA
“No. 2…”	「２号機……」
“…I saw that written at the dock!	「……通路に書いてあった！
They must mean this sub.”	この潜水監のことよ」
BARRET	BARRET
“Is it us?”	「オレたちじゃねえのか？」
RED XIII	RED XIII
“We're Submarine No. 2”	「オイラたちだよ、２号機って」
CID	CID
“Make 'em shut up!	「うっせいってんだ！
Just answer somethin'!”	適当に返事しろぃ！」
YUFFIE	YUFFIE
“Oh my god!	「ゲロゲロ……！
They mean us.”	あたしたちのことだよぉ」
CAIT SITH	CAIT SITH
“We need to respond!”	「応答するしかないやろ！」
VINCENT	VINCENT
“We've no choice but to respond.”	「こたえるしかあるまい」
CLOUD	CLOUD
“All right, I'll do it.”	「わかった、やってみる」
CLOUD	CLOUD
“This is Shinra No. 2…	「こちら神羅２号機……。
Everything's normal.”	異常なし」
“…Roger…”	『……了解』
“…Your next mission is…”	『………次のミッションを伝える……』
“…Return to Junon Dock…”	『……すみやかにジュノンドックに帰航せよ……』
“…We will transport the Huge Materia	『…ヒュージマテリアをエアポートより搬出する…』
from the airport…”	
“…Those without other assignments	『……作業のないものは警備にあたること……』
will report for guard duty…”	
“That is all. Over and out…”	『……以上、通信終了……』
CLOUD	CLOUD
“Junon Airport…	「【ジュノンエアポート】…。
We should make it if we hurry.”	急げばまにあうか」
CLOUD	CLOUD
“Forget about the Huge Materia for now.”	「海底のヒュージマテリアは
	あとまわしだ」
“We're climbing!”	「浮上するぞ！」
TIFA	TIFA
“Aye, aye…	「はいはい……
CAPTAIN!”	監長さん！」
BARRET	BARRET
“#%$@! What's all this 'Climbing!' crap?	「チッ！　なにが浮上だっ！
Gimme a break!”	調子のいい野郎だぜ！」
RED XIII	RED XIII
“Take o-ff!”	「発進～！」
CID	CID
“The airport?	「エアポートだろっ！
No sweat!”	まかせときぃ！」
YUFFIE	YUFFIE
“Climbing…arrrgh…my ears…!	「浮上……みみみみ耳がツーン…
LET ME OUT--I HATE THIS!”	おろして～もうだめえ～」
CAIT SITH	CAIT SITH
“We gotta hurry!”	「ほんな、急ぎましょ！」
VINCENT	VINCENT
“First the ocean, now the air…	「海から空か…
What a busy day.”	いそがしいな」
Received "Shinra Sub"!	『神羅の最新潜水監』を手にいれた！
CLOUD	CLOUD
“…We lost.	「……負けてしまった。
I guess I'm just not cut out for all this.”	俺にはむいてないようだ」
CLOUD	CLOUD
“We're gettin' outta here!”	「脱出するぞ！」
CLOUD	CLOUD
“Hear that?	「聞いたか？
Junon Airport!”	【ジュノンエアポート】！」
“We can still get the Huge Materia back!	「ヒュージマテリアを取り返せる！
Let's hurry!”	急ぐぞ！」
CLOUD	CLOUD
“It seems like a key to somewhere…”	「どこかのカギみたいだ……」
CLOUD	CLOUD
“Do you think it's…?”	「これがそうなのか……」
CLOUD	CLOUD
“It seems really old.”	「おそろしく古いな」
“…Analysis completed…”	『……分析結果……』
“…Exact date of origin: undetermined…”	『……取得物の生成年代は特定不能……』
“…Estimated to be several thousand years old…”	『……数千年前のものと判別……』
CLOUD	CLOUD
“Key of the Ancients…”	「古代種の鍵……」
CLOUD	CLOUD
“Several thousand years…	「数千年……
……Ancients?”	……古代種？」
Received Key Item "Key to Ancients"!	キーアイテム『古代種の鍵』を手にいれた！
“Anyhow…”	『とりあえず……』
CLOUD	CLOUD
“So this is the Leader Sub…”	「これが俺たちの撃沈した
	ボス潜水監か……」
CLOUD	CLOUD
“Damn…makes me sick just thinking about it…”	「ウップ…………思い出したら
	気持ちが悪くなってきた」
“…Huge Materia recovered…”	『……ヒュージマテリア回収完了……』
“…No damage appears to have been sustained…”	『……損傷はない模様……』
CLOUD	CLOUD
“…phew…	「……ふぅ……。
That's good to hear.”	ひとまず、よかったな」
Received Key Item "Huge Materia"!	キーアイテム『ヒュージマテリア』を手にいれた！
CLOUD	CLOUD
“Hmmmm…”	「う～ん……」
Fight them	バトル
Take them prisoner	ほりょにしとく
“Piloting a submarine is very difficult!	「潜水監の操作はむずかしいでありますよ！
I am completely clueless!”	自分はチンプンカンプンであります！」
“I thank you!	「ありがとであります！
I am happy to be a hostage!”	ほりょにしてくれて
	自分はしあわせであります！」
“Hey!	「こりゃ！
Who am I to know?”	き、きやすく話かけんな！」
Submarine Bridge	潜水監・ブリッジ
CLOUD	CLOUD
“An unconditional surrender, huh?”	「無条件こうふくというやつだな」
We're your prisoners	人質だな
Don't bet on it…	あまいな…
Received "Shinra Sub"!	『神羅の最新潜水監』を手にいれた！
CLOUD	CLOUD
“We'll hide it somewhere secluded.”	「めだたない場所へ
	うつしておくぞ」
CLOUD	CLOUD
“It looks like a key to something.”	「どこかのカギみたいだ……」
CLOUD	CLOUD
“You think it could be…?”	「これがそうなのか……」
CLOUD	CLOUD
“It seems really old.”	「おそろしく古いな」
“…Analysis completed…”	『……分析結果……』
“…Exact date of origin undetermined…”	『……取得物の生成年代は特定不能……』
“…Estimated to be several thousand years…”	『……数千年前のものと判別……』
CLOUD	CLOUD
“The Key of the Ancients…”	「古代種の鍵……」
CLOUD	CLOUD
“Several thousand years…	「数千年……
…Ancients?”	……古代種？」
Received Key Item "Key to Ancients"!	キーアイテム『古代種の鍵』を手にいれた！
“For now…”	『とりあえず……』
Received Key Item "Huge Materia"!	キーアイテム『ヒュージマテリア』を手にいれた！
Hallway	神羅飛空艇・通路
Research Room	神羅飛空艇・研究室
Cargo Room	神羅飛空艇・カーゴルーム
Received "Hades" Materia!	『ハーデス』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Outsider"!	『アウトサイダー』を手にいれた！
Received "Escort Guard"!	『エスコードガード』を手にいれた！
Received "Heaven's Cloud"!	『天の叢雲』を手にいれた！
Received "Conformer"!	『不倶戴天』を手にいれた！
Received "Spirit Lance"!	『ロンギヌス』を手にいれた！
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "Double Cut" Materia!	『れんぞくぎり』のマテリアを手にいれた！
Received "Highwind"!	『ハイウインド』を手にいれた！
CLOUD	CLOUD
“This is the Shinra's Gelnika type airplane…	「これは、神羅のゲルニカ型飛空艇……
I wonder why it went down here?”	なぜこんなところに沈んでいるんだ？」
CLOUD	CLOUD
“What is this place?	「なんだ、ここは……
Must be some kind of a Research Establishment	魔晄ジェネレータがあるという事は
because there's a Mako generator.”	なにかの研究施設なのか？」
CLOUD	CLOUD
“This is terrible…	「ひどいな……
It's all messed up…”	メチャメチャだ」
CLOUD	CLOUD
“This must be the Cargo Room…”	「ここはカーゴルームか……」
CLOUD	CLOUD
“Turks!?”	「タークス！？」
Rude	ルード
“Again?”	「……またか」
Reno	レノ
“We just seem to keep running into	「どうも最近
each other lately!”	いろいろと縁があるな、と」
Reno	レノ
“There were weapons and	「この飛空艇には、セフィロスに
Materia developed solely	対抗するために開発された武器や
to destroy Sephiroth.”	マテリアが積んであった」
Rude	ルード
“But, it was attacked	「……しかし、ウェポンに襲われて
by Weapon and sunk to	海の底に沈んでしまった」
the bottom of the sea.”	
Reno	レノ
“I can't give you what's here.	「ここにあるものは渡せない。
We'll take out Sephiroth.”	セフィロスは、我々が倒す」
“I guess this is	「ゆえに、おまえたちとは
our last meeting.”	ここで永遠のお別れになる、と」
Rude	ルード
“I won't let you	「邪魔は、させない」
get in our way.”	
CLOUD	CLOUD
“So Shinra's new, secret	「この飛空艇には、神羅の新兵器が
weapon was on this Airship…”	積んであったのか……」
???	？？？
Sephiroth…	「セフィロス…」
VINCENT…	「VINCENT……」
VINCENT	VINCENT
!!!	「！！！」
VINCENT	VINCENT
“That voice?	「この声は！？　まさか…」
It can't be…”	
VINCENT	VINCENT
“Lucrecia?”	「ルクレッツィア…
“VINCENT?”	なのか…？」
	「VINCENT……？」
VINCENT	VINCENT
“Lucrecia!!”	「ルクレッツィア！！」
Lucrecia	ルクレッツィア
“Stay back!!”	「こないで！！！」
VINCENT	VINCENT
“Lucrecia…	「ルクレッツィア…
You're alive…”	生きていたのか…」
VINCENT	VINCENT
“Lucrecia…	「ルクレッツィア…
You're alive…”	生きていたのか…」
Lucrecia	ルクレッツィア
“I wanted to disappear…	「消えてしまいたかった…
I couldn't be with anyone…	みんなのそばにいられなかった…
I wanted to die…”	死にたかった……」
“But the Jenova inside me	「でも、私の中のジェノバが
wouldn't let me die…”	私を死なせてくれない……」
Lucrecia	ルクレッツィア
“Lately, I dream a lot of Sephiroth…	「最近、セフィロスの夢を見るの…
My dear, dear child.”	私のかわいい子供……」
“Ever since he was born	「でも、あの子が生まれてから
I never got to hold him…”	私は一度も抱いてない……」
“Not even once.	「子供も抱けない…、母親だと
You can't call me his mother…	言う事もできない……
That…is my sin…”	それが、私の罪………」
VINCENT	VINCENT
“Lucrecia…”	「ルクレッツィア…」
Lucrecia	ルクレッツィア
“Back!!	「ダメ！！
Stay back!”	きちゃダメ！」
Lucrecia	ルクレッツィア
“VINCENT…	「VINCENT…
Won't you please tell me?”	教えて？」
VINCENT	VINCENT
“What?”	「なにを…」
Lucrecia	ルクレッツィア
“If Sephiroth is still alive?”	「セフィロス…
	あの子は生きているの？」
“I heard that he died five years ago.	「５年前に死んだと聞いたわ
But I see him in my dreams so often…”	でも、最近よく夢を見るの…」
“And I know that physically, like myself,	「それに、あの子も私と同じ
he can't die so easily.”	簡単に死ねない体……」
“Please, VINCENT	「ねぇ、VINCENT
tell me…”	あの子は……」
VINCENT	VINCENT
“Lucrecia…	「セフィロスは……
Sephiroth is dead…”	死んでしまったよルクレッツィア…」
Received "Death Penalty"!	『デスペナルティ』を手にいれた…
Received "Chaos"!	『カオス』を手にいれた…
VINCENT	VINCENT
“Lucrecia…”	「ルクレッツィア……」
“If she is happy then…	「彼女が、幸せなら私は…
I don't mind.	かまわない……
“After that, a child was born	「しばらくした後
to Lucrecia…	ルクレッツィアに赤ん坊が
	生まれる…
“That child's name was…	「赤ん坊の名は…
Sephiroth…	セフィロス……
“I'm against it!!	「そんな人体実験をなぜ！」
Why experiment on humans!?”	
She and I are both scientists!!	私も、彼女も科学者だ！！
Urrrrrrrrgh!!	うわああああーーーーー！！！
VINCENT	VINCENT
“This body is…	「この身体は……
the punishment that's been given to me…”	私に与えられた罰……」
VINCENT	VINCENT
“I was unable…	「私は……
to stop Professor Gast and Hojo…”	ガスト博士や宝条……」
VINCENT	VINCENT
“And Lucrecia…I was	「そして、ルクレッツィアを
unable to stop them…”	止める事が出来なかった……」
VINCENT	VINCENT
“All that I was able to do	「見ていることしか
was watch…	出来なかった……
That is my punishment…”	それが、私の罪……」
