Mideel	海流の村　ミディール
“You lyin' or what!?”	「ウソでしょ！？」
VINCENT	VINCENT
“…”	「………」
TIFA	TIFA
“CLOUD…”	「CLOUD……」
Doctor	ドクター
“Ahem! Let's excuse ourselves.”	「コホン！　わたしたちは
	ちょっと席をはずすとしようか」
Doctor	ドクター
“Listen, would you all mind…	「さあ、君たちも、一練に……。
waiting outside?”	外で待っていよう」
BARRET	BARRET
“…”	「…………」
TIFA	TIFA
“Why?	「どうして……？
What do you want me to do?”	どうして、こんなことに……！」
TIFA	TIFA
“Please, CLOUD…	「おねがい、CLOUD……。
Talk to me…”	こたえてよ……」
“Tell me you see me,	「ちゃんと私のこと見てるって
that you can hear me…	私の声が聞こえるって……
Tell me, please…”	言ってよ、ねえ……」
TIFA	TIFA
“I made it this far believing in	「あなたとの思い出を信じたくて
the memories we shared.”	ここまで来たのに……」
“This isn't happening!	「こんなの、ないよ……！
It's too cruel!”	ひどすぎるよ……」
TIFA	TIFA
“Oh, CLOUD!	「ああ、CLOUD……！
I…”	私……」
TIFA	TIFA
“I don't care about anything else,	「話っていうのは、ほかでもない
only CLOUD…”	CLOUDのことなんだけど……」
TIFA	TIFA
“I…want to be by his side…”	「私……彼のそばに
	いてあげたいの……」
BARRET	BARRET
“Yeah, that's probably best…”	「ああ……そうしてやるのが
	一番かもしれんな……」
“For CLOUD…	「CLOUDにとっても……
and you…”	おまえにとっても……」
RED XIII	RED XIII
“Yes, that's best!”	「うん、それがいいよ！」
CID	CID
“Yeah. Right.	「ああ、わかってるって。
Hang in there, TIFA.”	なにも言うねぇ」
YUFFIE	YUFFIE
“Then you gotta do it.	「やっぱ、そうこなくちゃ。
You gotta be true to yourself.”	自分に正直に生きなきゃ、ね」
CAIT SITH	CAIT SITH
“If TIFA were my nurse,	「TIFAさんがかんびょうして
I'd switch places with	くれるんやったら、CLOUDさんと
CLOUD any day!”	代わってほしいくらいですわ」
VINCENT	VINCENT
“Do what you wish.”	「好きにするがいい」
TIFA	TIFA
“I'm sorry, everyone…	「ゴメンね、みんな……。
Especially now…”	こんな時に……」
BARRET	BARRET
“Why you apologizin'?	「あやまるヤツがあるかよ。
We'll come back again an' check on ya.”	オレたちも、また様子をみによるよ」
BARRET	BARRET
“You take care now, TIFA.	「がんばれよ、TIFA。
And take care of CLOUD.”	CLOUDのことは、まかせたぜ」
CID	CID
“Don't worry.	「いいってことよ。
I'll stop by again.”	オレ様も、また顔を出すからよ」
CID	CID
“You hang in there, TIFA.	「がんばりな、TIFA。
Take care of CLOUD.”	CLOUDのことは、たのんだぜ」
RED XIII	RED XIII
“That's all right.	「いいんだよ、そんなこと。
We'll be by again.”	オイラたちも、またよるからさ」
RED XIII	RED XIII
“Do your best, TIFA.	「がんばって、TIFA。
Take care of CLOUD.”	CLOUDのことは、たのんだよ」
YUFFIE	YUFFIE
“No big, no big.	「気にしない、気にしない。
I'll pop in again later.”	アタイらも顔みせるからさ」
YUFFIE	YUFFIE
“Look after CLOUD.	「CLOUDのこと、たのんだね。
Take care, TIFA.”	がんばるんだよ、TIFA」
CAIT SITH	CAIT SITH
“What're you talkin' about?	「ええって、みずくさいなぁ。
We'll stop in again.”	また顔みせにきますわ」
CAIT SITH	CAIT SITH
“Hope CLOUD gets better soon.”	「CLOUDさん、はよようなると
	ええのにな」
VINCENT	VINCENT
“Don't worry.	「気にするな。私たちも
We'll return and check on him later.”	たまには様子をみによる」
VINCENT	VINCENT
“Take care of him.”	「CLOUDのことは、まかせたぞ」
TIFA	TIFA
“Right…”	「うん……」
BARRET	BARRET
“Oh, and uh, TIFA…	「それとな、TIFA……。
I don't like askin' this but…”	こんなことは言いたかねえんだが……」
“Are you sure he's really your friend?	「ヤツはたしかに、おまえの幼なじみの
And not Sephiroth's shadow?”	CLOUDにまちがいないのか？
	セフィロスの影なんかじゃなく」
TIFA	TIFA
“Huh!?	「え！？
Well…that is…”	それは……たぶん……」
TIFA	TIFA
“No, I'm sure of it!”	「……ううん、きっと！」
BARRET	BARRET
“Yeah?	「そうか……。
OK, then…	なら、いいんだ……。
Sorry for askin'.”	ヘンなこと、聞いちまったな」
BARRET	BARRET
“We gotta get back to the	「よし、それじゃオレたちは
Highwind.”	ハイウインドにもどるぜ」
CID	CID
“Now, we gotta be headin' back to	「よし、それじゃオレ様の
the Highwind.”	ハイウインドにもどるとするか」
RED XIII	RED XIII
“We should be getting	「よし、それじゃオイラたちは
back to the Highwind.”	ハイウインドにもどろう」
YUFFIE	YUFFIE
“Hey, shouldn't we be gettin'	「よし、それじゃアタシたちは
back to the Highwind?”	ハイウインドにもどろうよ！」
CAIT SITH	CAIT SITH
“Well, I guess we'd better	「ほな、ハイウインドに
go back to the Highwind.”	もどりましょか」
VINCENT	VINCENT
“Very well then, we should	「……それでは、私たちは
return to the Highwind.”	ハイウインドにもどるぞ」
Mideel	海流の村　ミディール
BARRET	BARRET
“So what about him?”	「なあ、お医者の先生。
	ほんとうのとこを
	聞かせてくれないか？」
“You know… CLOUD?”	「あいつは……、CLOUDは
	どうなんだ？
	なおるみこみはあるのかい？」
CID	CID
“Listen Doc,	「なあ、先生さんよ。
why don't you tell us the truth.”	ほんとうのところを
	教えてくれよ」
“What about CLOUD?	「CLOUDのヤツは
Is he all right?”	どうなんだ？
	ちゃんと元にもどるのか？」
RED XIII	RED XIII
“Tell me doctor,	「ねえ先生、CLOUDは
is CLOUD all right?	だいじょうぶなのかな？
I mean will he heal?”	ちゃんと、なおるの？」
YUFFIE	YUFFIE
“Hey Doc, is he okay?	「ね、先生、CLOUDは
Is he gonna heal?”	ほんとにオッケーなの？
	ちゃんとなおるの？」
CAIT SITH	CAIT SITH
“Hey doctor, is CLOUD all right?	「なぁ先生、ほんまはどうなんです？
Is he gonna get better?	CLOUDさんは、だいじょうぶなんですか？
Come on, tell us the truth”	ほんま、どないなっとるんやろ」
Doctor	ドクター
“I'll say it again,	「くりかえすが彼は重度の魔晄中毒だ。
he's got Mako poisoning.	あそこまでひどいのは、わたしも
I've never seen a case this bad…”	見たことがない……」
“An immense amount of	「魔晄エネルギー内に潜む
Mako-drenched knowledge was	ぼうだいな知識の量……。
infused into his brain.”	それがいっぺんに彼の頭の中に
	流れこんだんだろう……」
“It's a miracle he survived!	「ふつうの人間には
No normal human could have.”	たえきれるものじゃない……。
	生きてるだけでも、きせきだ！」
BARRET	BARRET
“No wonder…	「ライフストリームに落ちて
After fallin' in the Lifestream an'	ここまで流されて来たんじゃ……
bein' washed up here…”	ムリないぜ、それも……」
CID	CID
“No wonder…	「ムリねえかあ……。
After all, he fell into the Lifestream	ライフストリームに落ちて
and was carried down here.”	ここまで流されて来たんじゃなあ」
RED XIII	RED XIII
“No wonder. He fell into the	「ムリないよ。生身で
Lifestream and washed up here…”	ライフストリームにどっぷり
	つかっちゃったんだから……」
YUFFIE	YUFFIE
“No lie.	「あったりきだよねえ。
After fallin' head first into the	ライフストリームに、頭から
Lifestream.”	飛びこんじゃったんだもんね」
CAIT SITH	CAIT SITH
“No wonder.	「しゃあないよな。
After falling into the Lifestream…”	ようさんライフストリームに
	つかってしもたからなぁ……」
Doctor	ドクター
“But remember, the light of hope	「しかし、どんなところにも
can be found anywhere.”	希望の光はある。
	あきらめては、いけない」
“If you give up hope…	「いいかい、君たちが
What will happen to him?”	希望をすててしまったら……
	いったい彼はどこへ帰ればいいと
	いうのかね？」
BARRET	BARRET
“…hope…”	「……希望か……」
BARRET	BARRET
“Hey, but honestly, man…	「でもよ、正直な話……
Do I really want him to come back?”	オレはあいつに帰ってきて欲しいと
	ホントにねがってるんだろうか？」
“What did he do for the world?	「ヤツがこの世界に何をした？
What can he do for us from here on out?	この先、オレたちに何をもたらす？
He may be nothing more than	セフィロスの影でしかないのかも
Sephiroth's shadow…”	しれねえんだぞ……」
Doctor	ドクター
“Is something wrong?”	「どうかしたかね？」
BARRET	BARRET
“No, nothin'. Nothin' at all, Doc.”	「いや……。何でもねえよ」
CID	CID
“…Hope…”	「……。希望か……」
“I guess that's all that's left now…”	「たしかにいま、オレたちに
	残されてるのは、そいつだけかも
	しれねえなあ……」
RED XIII	RED XIII
“Hmm, I know he'll recover!	「うん、きっとよくなるよね！
CLOUD was a strong	強いソルジャーだもの、CLOUD」
member of SOLDIER.”	
YUFFIE	YUFFIE
“Yeah, that's right.	「そうだよね。
Besides, WE'RE here for him.	アタシたちがついてんだもん。
He's gotta get better!”	きっと元気になるよね！」
CAIT SITH	CAIT SITH
“Yeah!	「ほんま、そうや。
I know CLOUD'll get better!”	CLOUDさん、元気になるわ！
	ほんまに……」
“With friends like us worrying about him	「こないに心配してくれはる
He'll pull through.”	おともだちが、ようさんおるんや
	おちおちねとられへんて」
TIFA	TIFA
“…”	「………」
BARRET	BARRET
“You okay?”	「もういいのか？」
CID	CID
“You okay?”	「だいじょうぶか？」
RED XIII	RED XIII
“Are you all right, TIFA?”	「だいじょうぶ、TIFA？」
YUFFIE	YUFFIE
“You okay, TIFA?”	「オッケーなの、TIFA？」
CAIT SITH	CAIT SITH
“You all right?”	「だいじょうぶなんですか？」
TIFA	TIFA
“Yes…	「ええ……。
I'm sorry to worry you all.”	心配かけて、ごめんなさい。
“There's something I want to	「それで……ちょっとみんなに
say to you…”	話があるんだけど……」
BARRET	BARRET
“Corel!”	「コレルだと～！！」
BARRET	BARRET
“What else can they do to Corel!?”	「これ以上コレルを
	どうしようってんだ！」
RED XIII	RED XIII
“And the Huge Materia…”	「それにヒュージマテリア……」
“You mean the Huge Materia, don't you?	「大きなマテリアのことでしょ？
I've heard about it.”	オイラ、聞いたことがあるんだ」
“When our small Materia nears	「えっと、オイラたちの小さなマテリアを
the larger one,	大きなマテリアに近づけると
there should be some reaction.”	何かがおこるはずだよ、きっと」
“I'm certain of it.	「だからオイラたちが
That's why we're using	マテリアの力を借りて
the Materia power	戦いを続けるのなら……」
in our fight…”	
BARRET	BARRET
“Can't let Shinra get a hold of	「ヒュージマテリアを
the Huge Materia!”	神羅に渡すわけにはいかねえ！」
BARRET	BARRET
“Besides, when CLOUD gets back,	「それによ、CLOUDが帰ってきたら
I wanna show him this Huge Materia.	ヒュージマテリア見せてよ
He's gonna be shocked.”	びっくりさせてやろうぜ」
CAIT SITH	CAIT SITH
“So, what are you	「なぁ～んや、BARRETさん」
saying, BARRET?”	
“Even though you're always knocking him,	「なんやかんや、言うても
you really want	CLOUDさんが帰ってきはったら
CLOUD to return.”	ええなと思ってはるんや」
BARRET	BARRET
“I ain't sayin' nothin' 'bout nothin'.	「いいじゃねえか、そんなことはよ。
So just…shut your face!”	それより、なんだ……」
BARRET	BARRET
“Every group's gotta have a leader.”	「団体行動にはリーダーが必要だ」
BARRET	BARRET
“An' that's me!”	「リーダーはオレだ！」
“Or at least I wanna be…	「そう言いてえところだが
But I ain't cut out to be no leader.”	オレはリーダーには向いてねえ」
“I never knew that till lately.”	「最近気づいたんだけどよ」
BARRET	BARRET
“That's what it is.”	「んなわけでよ……」
CID	CID
“…ZZZZ…hmph?”	「ＺＺＺＺ……？」
CID	CID
“Wha? What's goin' on?”	「おっ！？　な、なんでい！」
BARRET	BARRET
“You been chosen to be the new leader.”	「あんたがリーダーに決まった」
CID	CID
“Pain in the ass. Forget it.”	「そんな面倒なことはイヤだぜ」
BARRET	BARRET
“But for us to fight,	「これからの戦いには
we gotta have Highwind, and you.”	あんたと、あんたのこの飛空艇
	ハイウインドが必要なんだ」
“We need it to save the Planet.	「これは星を救う船だぜ。
An' who's runnin' this ship? You!”	その大切な船を仕切ってるのは誰だ？
	あんただろ？」
“That's why you're our new leader.	「だからオレたちのリーダーは
Ain't no one else can do it.”	CID、あんたしか考えられねえ」
CID	CID
“Hmm…this ship's gonna save the	「へ……星を救う船か。
Planet, huh? Ain't that gonna be	……ちょっと熱いじゃねえか」
just a little tough?”	
CID	CID
“Oh man, stab me in the heart.”	「今のはハートにズンと来たぜ」
CID	CID
“I'm a man, too!”	「オレ様も男だ！」
“Okay, I'll do it!	「やったろうじゃねえか！
Everyone, follow me!”	オレ様についてきやがれ！」
BARRET	BARRET
“Alright, now here's the first job.”	「というわけで最初の仕事だ」
“The Operation Room's waiting for you!”	「オペレーション・ルームが
	あんたを待ってるぜ！」
CID	CID
“Yeah!!”	「おう！！」
BARRET	BARRET
“As soon as we're ready,	「準備ができしだい
we'll head for the Corel reactor.”	コレル魔晄炉へ出発だ！」
“Hurry, CID!”	「急げ、CID！」
Pilot in training (LV5)	見習いパイロット（ＬＶ５）
“Eaggggghh!	「あわわわわ！
Congrats' on becoming	艇長、リーダー就任おめでとうさんです！」
our leader, Cap'n!”	
Pilot in training (LV5)	見習いパイロット（ＬＶ５）
“Yaaah! Are we taking off?”	「あわわ！　いくですか？」
Yes	いく
No	いかない
Pilot in training (LV5)	見習いパイロット（ＬＶ５）
“Eagggggh! We're taking off now!”	「あわわ！　いくで～す！」
CID	CID
“Hey…”	「あのよぅ」
CID	CID
“It's tough being the leader.”	「リーダーってのはつかれるよなぁ」
CID	CID
“CLOUD did a great job.	「CLOUDはよくやってたぜ。
Sheesh…”	まったくよう……」
“Shall we go to Mideel	「ミディールに様子でも見に行くかあ？」
to check on things?”	
RED XIII	RED XIII
“I wonder how CLOUD's doing.”	「CLOUD……どうしてるかな？」
RED XIII	RED XIII
“I wonder if TIFA	「TIFA、つかれてないかな？」
needs a break…”	
RED XIII	RED XIII
“I could look after him instead.”	「オイラ、看病かわってもいいな」
CID	CID
“Well, let's see…	「ええっと……
What's a good place to head to?”	どこへ行けばいいんだ？」
“Corel?	「コレルかぁ？
Fort Condor?”	コンドルフォートかぁ？」
CID	CID
“Where shall we go next?	「お次はなんだ？
Shall we head for the Corel reactor?”	コレルの魔晄炉だったかぁ？」
CID	CID
“What's next?	「お次はなんだ？
Shall we head for Fort Condor?”	コンドルフォートだったかぁ？」
Pilot in training (LV6)	見習いパイロット（ＬＶ６）
“Yaah! Shall we take off?”	「あわ！　いくですか？」
Yes	いく
No	いかない
Pilot in training (LV6)	見習いパイロット（ＬＶ６）
“Yaah! We're taking off!”	「あわ！　いきま～す！」
BARRET	BARRET
“What's that sad face for?”	「な～にシケた顔してるんだぁ？」
BARRET	BARRET
“What? Does CLOUD always	「CLOUDがいなくちゃダメかよ……
gotta be around?	
We did fine without him	最初はあいつ無しでやってきたじゃねえか……」
in the beginning…	
“Right? An' what happened to	「ん？　強いTIFAさんは
the tough girl I used to know?	どこに行っちまったんだぁ？」
Where'd she go to?”	
BARRET	BARRET
“Whenever I think of CLOUD,	「オレはよう、CLOUDのこと考えると
everything gets all jumbled up.”	ワケがわかんなくなっちまうんだ」
“No matter how powerful Shinra or Hojo is,	「いくら神羅や宝条でもよ
I can't believe they can create humans.”	人間をつくっちまうなんて信じられねえしな」
“But because of them,	「でも、あいつのせいで
we know that Meteor is heading towards us.”	メテオが来ちまうのは確かだ……」
“Y'know, even if I saw him,	「はっきり言って、あいつに会っても
I don't have a damn idea what I'd do.”	どうしたらいいのか、わかんねえぜ……」
BARRET	BARRET
“Yo, Leader-man!	「リーダーさんよ！　急いでくれ！」
Get your pilot ass up here!”	
BARRET	BARRET
“Leader-man? What's next!?”	「ん～？　リーダーさん、次はどうするよっ！」
BARRET	BARRET
“Yo, wanna see what TIFA and	「おい、ちらっとTIFAたちの
the gang are doing?”	様子でも見にいかねえか？」
RED XIII	RED XIII
“Cheer up, TIFA…”	「元気だしてよ、TIFA……」
RED XIII	RED XIII
“There appears to be a small island	「ライフストリームに近い場所……
near the Lifestream……”	小さな島があるらしいんだ」
“They said the Lifestream sometimes	「南の島で、ときどきライフストリームが
suddenly gushes out	ブワーッてふきだしたりするんだって」
at the Southern island.”	
“I remember hearing about this from	「うんと小さいころ、セトに聞いたんだけど
Seto when I was a child,	よく覚えてないんだ……」
but I don't remember much else…”	
“I'm sorry…TIFA.”	「ごめんね……TIFA」
RED XIII	RED XIII
“We'll do our best for	「CLOUDとTIFAのぶんも
CLOUD and you.”	オイラ、がんばるからね」
“…And AERIS, too.”	「…………AERISのぶんもね」
RED XIII	RED XIII
“CID.”	「ね、CID」
“Let's visit CLOUD	「時々CLOUDとTIFAに
and TIFA from	会いに行こうね」
time to time.”	
RED XIII	RED XIII
“Say CID.”	「ね、CID」
“I wonder how TIFA and	「TIFAとCLOUD……
CLOUD…are doing.”	どうしてるかな？」
CAIT SITH	CAIT SITH
“TIFA.”	「TIFAさん」
“You saw him slapping Scarlet around?”	「スカーレットのほっぺたバシバシ
	しばいてましたやろ？」
“Yeah, he did a good job, too.	「いや、よ～やってくれました。
It felt good just watching.”	すか～っとしましたわ」
“Let's never forget that	「あの元気をず～と、忘れんように
spirit, and give it our all!”	がんばりましょうや！」
CAIT SITH	CAIT SITH
“TIFA, I'll give you	「TIFAさん、ボク、いろいろと
info on Shinra.”	神羅の情報を流しますからね」
“Ask me if there's anything	「わからんことがあったら
you don't understand.”	ボクに聞いて下さいな」
CAIT SITH	CAIT SITH
“Everything appears calm	「神羅の動きは特にありませんわ」
right now at Shinra.”	
“So now's the time to	「今のうちにCLOUDさん、探しましょ。
look for CLOUD.	ボクも気になりますのや」
I'm worried about him, too.”	
“I wonder where CLOUD is.	「あの人、どこにおるのやろなぁ？
Or could he already be…”	それとも、もう……」
CAIT SITH	CAIT SITH
“TIFA…	「TIFAさん……
Do you think it's a good	ボクは、神羅やめた方が
idea for me to quit Shinra?”	ええんでしょうかねぇ？」
CAIT SITH	CAIT SITH
“Oh, I'm sorry.”	「あ、す、すんません」
“TIFA, there's no way	「TIFAさん、それどころや
I can quit right now…”	あらへんもんなぁ……」
CAIT SITH	CAIT SITH
“CID,	「CIDさん、期待してますで～」
I'm expecting big things from you”	
CAIT SITH	CAIT SITH
“CID, you're tired, huh?”	「CIDさん、つかれてますなぁ」
“I'd like to change places with you, but	「代わってあげたいんやけど
I'm in charge of information,	ボク、情報係ですから、すんませんなぁ」
so I can't. Sorry.”	
CAIT SITH	CAIT SITH
“Hmmn, the Huge Materia is at	「ええと、ヒュージマテリアは
Corel, Fort Condor, and…”	コレル、コンドルフォート……」
“I'm sure there was another place that had it.	「他にもまだあったような
Where was that…?”	気がしますけど、どこやったかなぁ……」
CAIT SITH	CAIT SITH
“Shinra's…stopped.”	「神羅の動き……止まりましたで」
“Now we've got to be careful.	「でも、こういう時は要注意ですのや。
I know Heidegger and his gang	ハイデッカーたちがなんか考えてるに
are plotting something.”	ちがいまへんわ」
VINCENT	VINCENT
“…So glad you're all	「……無事で良かったな、TIFA」
right, TIFA.”	
VINCENT	VINCENT
“Too much hope is the opposite of despair.”	「ふくらみすぎた希望は絶望の裏返し」
“An overpowering love may	「大きすぎる愛はおまえを
consume you in the end.”	打ちのめすことになるかもしれない……」
VINCENT	VINCENT
“CID…I wish I had your	「CID……あんたのその熱さが
go-get-them attitude.”	うらやましいよ」
“It appears my feelings vanished	「私の心は長い眠りのうちに
into thin air ever since	とけてなくなってしまったようだからな……」
my long slumber….”	
VINCENT	VINCENT
“…Don't expect me to do anything	「……戦闘以外で私に何かを期待するな」
other than fight beside you.”	
“I have no words of comfort.	「ねぎらいの言葉すら、私は知らない。
Of course, I don't believe you're	もっとも、あんたは他人の優しさに
the type who needs the kindness	すがるような人間ではなさそうだが……」
from others…”	
VINCENT	VINCENT
“You look really tired, maybe you're ready	「ずいぶんつかれているようだが
to give up being leader?”	そろそろリーダーをおりるのかな？」
CID	CID
“No use singing the blues, baby.	「落ちこんでてもしょうがねえぞ、ネエちゃん。
The best thing to do is to keep movin'.”	とにかくいろいろ動きまわるこったぜ」
“Whenever anyone talks to me,	「あ、あの、話しかけられると
I get all nervous and mess things up!”	ドキドキしちゃって仕事しくじっちゃいます」
CID	CID
“Hey you! What the hell are you doin'!?”	「オラッ！　なにやってんだよ！」
“Good day, Captain!”	「艇長！　ごくろうさまです！」
“All we have to do is just pilot.	「お、おれたち見てるだけでいいんです。
They don't have to talk to us.”	話しかけてくれなくってもいいです」
“Looks like you turned out to be the	「やっぱり艇長が
leader after all, Captain…”	リーダーじゃなくっちゃ……でっす！」
Pilot in Training (LV7)	見習いパイロット（ＬＶ７）
“Yaaah!  Shall we take off?”	「わ！　いくですか？」
Roger	いく
Negative	いかない
Pilot in Training (LV7)	見習いパイロット（ＬＶ７）
“Man!  We're taking off!”	「わ！　いきます！」
