Under Junon	アンダージュノン
Upper Junon	アルジュノン
“Now!!	「それっ！！
!”	……！」
“Just GO!	「いっちゃれ！
Then you just nonchalantly	さりげな～く、【後ろ】から！
sneak in from the back!	ばれないようにしのびこむのだ！」
Make sure no one sees you!”	
“Now listen up!	「いいか！
This parade's gonna be broadcast	このパレードは全世界の神羅ＴＶに
live on Shinra TV around the world!”	生中継されておる！」
“If you look bad, the whole Junon army	「ぶさまなかっこうをさらせば
will look bad.	ジュノン軍隊全体のはじとな～る。
Remember that and don't screw up!”	そこんとこ、きもにめいじて行動せい！」
“OK!	「んだば！！
Jump in when I give you the sign!”	自分が合図したら列にしのびこ～め！」
“Just sneak in from the back!	「さりげな～く、【後ろ】から！
Don't mess up the row!	列をみだすな！
And no matter what you do, don't try	前からいこうとしてもダ～メだぞ！」
to go in from the front!”	
“All right!!	「よしっ！！
Start marching!!”	かけ足準備！！」
“Hey!!	「こりゃ！！
Don't run away from me!”	逃げようとすな！」
“Hey!!	「こりゃ！！
Don't play around!”	楽しようとすな！」
“Charge!!”	「とっつげき～！！」
“No, what're you doing!?”	「なにやっちょる！！」
Live TV Ratings%	ＴＶ中継視ちょう率　　　　　％
“I'll go first!	「まずは、自分がいくであります！
Now you watch close	新入りさんは、よ～く見て
and do as I do, rookie!”	自分のまねをすればいいでありますよ！」
“Just sneak into the back of the	「うしろから、サササッと
line when you see an opening.”	パレードのあいてる場所に
	しのびこむであります！」
TV Producer	ＴＶ番組プロデューサー
“What the hell was that soldier doing?”	「なんだったんだ！？
	あの兵士は？」
AD	ＡＤ
“I don't know.”	「さあ？」
TV Producer	ＴＶ番組プロデューサー
“Are the points up?”	「数字はあがったのか？」
AD	ＡＤ
“So-so.”	「まずまずです」
AD	ＡＤ
“They just shot up!!”	「最高です！！」
AD	ＡＤ
“This's terrible!	「ズタボロです！
Am…am I fired?”	ボク…クビですかねえ？」
TV Producer	ＴＶ番組プロデューサー
“Really.”	「そうか」
“I want somebody to send that soldier	「あの兵士あてに
an expensive gift.”	高級そしなでもおくっとけ」
TV Producer	ＴＶ番組プロデューサー
“We did it!”	「でかした！」
“Send that soldier something special.”	「あの兵士あてに
	こころづけでもおくっとけ」
TV Producer	ＴＶ番組プロデューサー
“What!?	「なぬ！！
You're FIRED!!”	おまえはクビ～！！」
“Send that soldier	「あの兵士には爆弾でも
a bomb or something!”	おくっとけ～！」
Received 6 "Ether"	『エーテル』６個手にいれた！
Received 5000 gil!	５０００ギル手にいれた！
Received "Grenade"!	『手榴弾』を手にいれた！
Received 6 "Potion"!	『ポーション』６個手にいれた！
TV Producer	ＴＶ番組プロデューサー
“Hmm…”	「そうか」
“Better send that soldier something.”	「あの兵士あてに
	そしなでもおくっとけ」
AD	ＡＤ
“Well, it's so-so.”	「まあそこそこってとこです」
Upper Junon	アルジュノン
“Good!	「うっし！
We made it.”	まにあった」
“Oh!	「おっおっ！
President Rufus!”	ルーファウス様！」
“Hey!	「ほれ！
Line up and shut up!”	しずかにならんどれ！」
“Don't make a move!”	「１歩たりとも
	動くなよ！」
“Hey!”	「こらっ！」
Rufus	ルーファウス
“How's the job?”	「ごくろう」
Rufus	ルーファウス
“What happened to the Airship?”	「飛空艇はどうしたんだ？」
Heidegger	ハイデッカー
“The long range airship is	「大陸間移動可能な飛空艇は
still being prepared.”	まだ準備中なんですよ」
“It should be ready in about three more days.	「もう３日待っていただければ。
“It should be ready in about three more days.	ガハハハハハ！」
Rufus	ルーファウス
“Even the Air Force's Gelnika?”	「空軍のゲルニカもか？」
Heidegger	ハイデッカー
“Gya haa haa!”	「……ガハハハハハ！」
Rufus	ルーファウス
“Stop that stupid horse laugh.”	「その笑いかたはやめろ」
“Things are different than	「もうオヤジのときのようには
when Father was in charge.”	いかないからな」
Heidegger	ハイデッカー
“Gya…”	「ガハ……」
Rufus	ルーファウス
“Is the ship ready?”	「船の準備はいいのか？」
Heidegger	ハイデッカー
“Yes Sir,	「それはすぐに、はい」
we'll get it ready quickly.”	
“What a disaster.”	「災難だったな」
“Heidegger was really irritated…”	「ハイデッカーは
	イライラしてるからな」
“The man in the Black Cape's been	「黒マントの男が街をうろついてるのに
roaming the city,	発見できないんだ」
but we can't find him.”	
CLOUD	CLOUD
“Man in a Black Cape?”	「黒マントの男？」
“He showed up two or three days ago,	「２、３日前にあらわれたんだ。
and killed a few of our soldiers.”	そいつに兵士たちが何人か殺されてなぁ」
“He disappeared right after that.	「その後、行方不明さ。
There's a rumor going around that	あの英雄セフィロスだってウワサだぜ」
it was Sephiroth.”	
“Attention!	「こら～っ！
Dismissed!”	すみやかに解散せ～っ！」
“Hey! Hey you!	「おいっ！　おまえっ！
You messing with the army?”	軍隊をなめとるんか？」
Who cares?	興味ないね
What if I am?	知らないね
“You're too lazy!!	「たるんどる！！
No break for you!!”	おまえは休み時間な～し！！」
“Get over here!”	「こっちゃこ～い！」
“President Rufus is being	「ルーファウス様の見送りなら
sent off at the port.”	港に集合だよ」
	「急いだほうがいいんじゃない」
Elevator	エレベーター
Upper Junon	アルジュノン
Junon Inn	
“Are you sure it's all right?”	「いいんですか～？」
“Nap while on duty?”	「勤務時間中におひるね？」
30 gil	３０ギル
Forget it	用はない
“Welcome to 'Inn'd of the line' in Junon.	「ジュノン場末の安宿へようこそ！
Wait, I shouldn't be sayin'	あっ、こんなこと
stuff like that.”	自分で言うことないか……」
“Wanna spend the night?”	「お泊まりですか？」
30 gil	３０ギル
Forget it	用はない
“Come again.”	「またきてよね」
“Aw, knock it off already!	「やだな～！　お客さん！
You don't have enough moolah!	お金ないんじゃない！
No, you 'forget it'!”	こっちが用なしですよ」
“Enjoy your stay.”	「ぐっすりおやすみなさい」
“Good morning!	「おっはようございます！
You still seem a little sleepy.”	まだ眠そうな顔してますね～」
“Looking forward to seeing you again.”	「またの御利用おまちしてます」
“Our rates are the same as	「値段だけは
the 1st class hotels.”	高級ホテルなみにランクアップですよ」
“Would you like to stay?”	「お泊まりですか？」
400 gil	４００ギル
Forget it	用はない
Item Store	道具屋
“Oh, a Soldier!	「あら、兵隊さん！
Welcome!”	いっらっしゃい」
“Oh, welcome!”	「あら、いらっしゃい！」
“They're not going to get me down!	「まけないわ、まけないのよ！！
Not me!!	ウェポン、メテオ、こわい客！！
Weapon, Meteor, even bad customers,	なんといわれたって、まけないんだから！」
aren't going to get me!”	
Materia Store	なんでも屋
“Please!	「ど～ぞ！
Come in…”	おはいりくださ～い」
“Welcome!”	「いらっしゃいま～せ！」
“No charge for a smile…”	「うふ♥
	この笑顔はサービスにしとくわ」
“Buy a lot, cutie!”	「たくさん買っていってね」
“Please go to the counter.”	「カウンターへどうぞ」
“Thank you very much!”	「ありがとうございました～！」
“There're lots of stores in Junon.”	「ジュノンにはお店が多いんでね」
“If we don't do this…we can't compete.”	「こうでもしないと……
	商売に勝ち残っていけないんですよ」
“But, what bothers me is that	「でも、店の売り上げよりも
the girls make more than me.”	女の子たちのバイト代のほうが
	高いってのが悩みの種なんだなあ」
“I hired more girls after hearing	「もうこの世の終わりだってんで
that the world's coming to an end,	女の子たち、増やしてみたんだけど
but I wonder if I should have.”	失敗かなあ」
“I keep getting more and more in debt.	「ますます借金かさんじゃうなあ。
I've got to get out from under it somehow.	なんとかふみたおしたいなあ。
Maybe I'll have Weapon help me.”	ウェポンだのみかなあ」
“Look, why not forget about Meteor and Weapon	「メテオもウェポンもわすれて
for now and do a little impulse shopping!?”	こんなときこそ衝動買いなのよ！」
“Why don't you surround yourself with young girls	「ピチピチの若い子にまじって
and have some fun…maybe for the last time.”	最後にひとはなさかせたいもんじゃ」
Materia Store	マテリアショップ
“Welcome!”	「いらっしゃい！」
“I was just starting to get worried…	「今日は商売あがったりで
You see our sales were pretty bad today.”	まいってたとこさ」
“Welcome!!”	「いらっしゃい！！」
“I just can't believe it.	「いやはや信じられません。
I never thought a monster like	ウェポンなんて化け物が
Weapon really existed.”	ほんとにいたなんてね～」
Weapon Store	武器屋
“I've got nothing to sell to you!	「あんたに売るもんはないぜ！
Come back later!”	出直してきな！」
“Hey! Yo!	「ヘイ！　ヨ！
You want weapons?”	武器がほしいのか？」
“Hey! Yo!	「ヘイ！　ヨ！
Our weapons are the best!”	うちの武器は上質だぜ！」
“Hey! Yo!	「ヘイ！　ヨ！
Wanna buy the whole store?”	お店ごと買ってくれない？」
“This machine hasn't been working right	「ウェポンにやられてからヨ！
ever since Weapon got to it!”	機械の調子が悪くてまいるヨ！」
Weapon Store	武器屋
“Oh! Welcome!	「おう！　いらっしゃい！
We don't have much of anything now.	仕入れに失敗しちゃって
I forgot to order	ろくなもん売ってないんだけど
enough the last time	見てってくんな！」
but feel free to look around!”	
“Weapon was really something.	「ウェポンすごかったな～。
No one can compare with his strength.	強さじゃ、かなわないけど
But with a selection like this,	品ぞろえじゃ、うちの武器の勝ちだぜ」
our weapons could beat him.”	
Item Store	アクセサリー屋
“I used to be in SOLDIER…	「わし、元ソルジャ～。
Afterwards, I opened this shop…”	引退して、この店をひらいたんだけど…」
“But to tell you the truth,	「ほんというと
I'd rather be at the shop downstairs.”	下のお店にいきたいんよ」
“I used to be in SOLDIER.	「わし、元ソルジャ～。
Lately, I've felt like dressing up like this…”	最近、どうもこんな格好がしたくなる…」
“I know it's out of season, but…”	「どうしてかの～きせつはずれじゃの～」
Shinra Member's Bar	神羅会員制ＢＡＲ
“Hey G.I. Joe,	「だめね、兵隊さん。
aren't you still on duty?”	勤務中でしょ」
Tseng	ツォン
“Stay outta this.”	「じゃまするな」
Reno	レノ
“The President is safe	「オレたちが来たからには
because we're here.”	社長の警備は万全だ、と」
Elena	イリーナ
“Just when I think the job's boring,	「先輩たち、つまらない仕事だと
you guys start messing around.”	すぐさぼるんだから」
“I'm sorry. The bar is	「ごめんなさいね。
only for Shinra employees.”	うちは神羅社員の
	会員制ＢＡＲなの」
“Mommy…	「ママぁ……
My mommy…”	ぼくのママぁ……」
“I'm a good lookin' man once	「オレ、制服ぬいだら
I take my uniform off.”	いい男なんだぜ」
“Booze, booze!	「お酒、お酒！
Ain't nothing like booze	勤務中に飲むさけは格別だな」
when you're on the clock.”	
“I'm sorry.	「ごめんなさいね。
I'm closing this place down.”	お店閉めることにしたのよ」
“All my regular customers were	「ウェポンにやられて
killed by Weapon.”	常連さん、みんな死んじゃったの」
“Most of them were pretty weird,	「変な人ばっかりだったけど
but I had good memories of them.”	思い出が多くてね」
Bar	酒場
“Looks like something's going on outside,	「なんだか外は騒がしいけど
but we're too smashed to do anything…”	おれたちゃ、ひるまっから酒びたり…」
“Ooh, oohh…	「ゲホッゲホッ……
Oh man, my head's burning up…”	なんだか、あたまあつい心地」
“I'm sorry!	「すんません！
It's all rented out today!”	今日は貸し切りなんですよ！」
“The Shinra people are having a party	「今夜は神羅の人の打ち上げパーティで
tonight, and we're all booked up.”	店がいっぱいになるんですよ。
	どうです、あなたもいらしてみたら？」
“Seems like you're all a little	「まだみなさん
too young to be in here.”	年期がたりんようですな」
Rude	ルード
“Hmm?	「ん……？
You too?”	おまえもそうなのか？」
“Then, take your mask off and come here.	「そうなら、マスクとってこいよ。
That's our rule.”	それがオレたちのルールだ」
“Seaweed…	「わかめ……
Seaweed…”	わかめ……」
“It just isn't a party without Rude!”	「えんかいリーダーのルードさんがいないと
	どうももりあがんないなあ」
“Weapon and Meteor scared everyone else off,	「ウェポンにメテオで
but I'm sittin' here soused as usual.”	みんな逃げだしちゃったけど
	オイラはやっぱり酒びたり」
“I'd like to close down this shop,	「ほんとはお店しめちゃいたいんだけど
but we got the regulars to think about.	常連さんがいるしねえ。
I don't know what to do…”	よわっちゃいましたよ」
Barracks	兵舎
“Hey, how could they do that!?	「ひどいんですよっ！
Nobody woke me up!”	先輩たち起こしてくれないんだもん！」
“And I can't find the uniform	「ロッカーに入れといた制服も見あたらないし。
I left in my locker, either.	どこかに忘れてきたのかなあ」
I wonder where I forgot it?”	
“Geez! Do you think this is	「はっ！　もしや、これは…
what they call 'hazing?'”	イジメというやつでは」
“Oh man,	「ああ～
My future in the military	ボクの軍隊生活、お先まっくら」
is pretty bleak.”	
“Ever since I was late to that parade,	「パレードに遅刻したあの日から
they've been on my back everyday	毎日毎日、マンツーマンのきそくんれん」
with basic training.”	
“I can't handle it anymore!”	「もういやでありま～す」
“Hey!!	「こらっ！！
Stay out of the way!”	じゃますんな！」
“Hey!	「こらっ！
Stop yappin'!”	むだぐちたたくな！」
“Hmm?	「むっ？
A know-it-all, huh?”	おまえも物知りじまんか？」
“All right!!	「よしっ！！
Come in!!”	はいってよろしい！！」
“Hmmm?	「むっ？
No rookies!!”	新入りはいかん！！」
“Only veterans can go through!	「ここはベテランしか通さん！
Come back when you've grown up.”	出直してきなさい」
“Hmmm?	「むっ？
You have no right to enter!”	おまえは入る資格なし！」
“Hmmm?	「むっ？
Back again, Mr. Know-it-all!?”	帰ってきたな、物知りじまん！」
“All right!	「よしっ！！
You can enter!!”	はいってよろしい！！」
“I'm starting to feel like	「なんとなく
I can't stop anymore.”	やめられなくなってしまったで
	ありま～す！！」
“I've been had!!	「まいったでありま～す！
I want to get in a real battle, too!”	自分も実戦にでたいでありま～す！」
Barracks	兵舎
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Luck Source"!	『ラックアップ』を手にいれた！
Received "1/35 soldier"!	『１／３５神羅兵』を手にいれた！
Barracks	兵舎
“Mmm?	「ん？
I'm not going to the parade.”	自分はパレードなんていきませんよ」
“The road to becoming SOLDIER	「ソルジャークラス１ＳＴへの道は
First Class is very difficult.”	きびしいですからね」
“Don't mind me.”	「かまわんでください」
“As a man with promise and future,	「ぜんとゆうぼうな自分は
I don't have any time to fool around	諸君らのように遊んでるひまなど
like the rest of you.”	ないのです」
“Ugh…My eyes are tired…	「ウトウト…目がかすむ……。
No, I've got	いや、ここががんばりどき！」
to really buckle down!”	
“At least until I become SOLDIER First Class.”	「ソルジャークラス１ＳＴになるまでの
	しんぼうしんぼう」
“…grrrrgh…grrrgh…”	「ガァ～ガァ～」
“…zzzz…”	「ＺＺＺＺ……」
“Most of my rivals died	「ウェポン襲撃でたくさんライバルが
in the attack on Weapon.”	いなくなりまして……」
“Oh, of course, I was here, studying.”	「あっ、もちろん自分はここで
	勉強してたんですがね」
“That coveted green officer's uniform	「幻のみどり色の制服……上級仕官は
is almost in my reach.”	もうすぐ自分のものですよ」
“Then I'll be on the newspapers as a	「そのあとは、私服組のソルジャークラス１ＳＴで
plain clothed First Class officer	新聞に名前をのせて……」
in SOLDIER…”	
“Then make a triumphant return to my homeland!!	「故郷へがいせん帰国！！
Tons of fan letters…	ファンレターの山……
My future's peachy!”	自分の未来はモモ色だなあ」
Received "Power Source"!	『パワーアップ』を手にいれた！
Received "Guard Source"!	『ガードアップ』を手にいれた！
Barracks	兵舎
“Hey!	「おい！
Aren't you still on duty!?”	おまえ、勤務中だろ！」
“Look, I shouldn't talk, but…”	「もっともオレも人のこと
	言えたぎりじゃねえけどな」
“Don't become a bad worker like me.”	「オレみたいな不良社員に
	なっちまうなよ」
“These barracks are for soldiers.	「ここはオレたち兵士の宿舎だ。
This is no place for civilians.”	一般人がうろつく場所じゃないぞ」
“All the real soldiers	「ウェポン戦でまじめな兵士は
died fighting Weapon.”	みんなやられちまった」
“Kind of ironic that losers like me	「オレみたいな不良社員が生き残るなんて
are still alive.	ひにくなもんだが、これが現実ってやつだ」
But that's the reality of it.”	
“I'm trying to be a bad soldier!!”	「不良社員見習いであります！！」
“I just can't get the hang of it!	「なれないものでおちつかんであります！
This just isn't going right!!”	うまくいかんであります！！」
Received "Speed Source"!	『スピードアップ』を手にいれた！
Barracks	兵舎
Shinra Manager	神羅課長
“This is so embarassing!”	「まったくけしからんよ！」
“…and they told me I would be staying	「出張先はごうかホテルだって
at five star hotels on these trips…”	聞いてたのに…」
Shinra Manager	神羅課長
“How can you guys sleep	「君たち、こんなところで
in a place like this?”	よく眠れるねえ」
Shinra Manager	まどきわ神羅課長
“I only came to help transport	「ジュノンの大砲シスターレイを運ぶとかで
the Sister Ray from Junon…”	出張にきたのはいいけど……」
“But now the company says don't	「本社から、もう帰ってこなくていいって……」
bother coming back…”	「ワタシのサラリーマン神羅人生は
“Is this what happens to a loyal Shinra man?”	いったい……」
Shinra Manager	もえつき神羅課長
“Hee Haaaw…”	「イヒヒヒヒヒ……」
“If Weapon killed all the upper management…	「上層部がウェポンに殺されちまえば
then I'll be President!!”	ワタシが社長に……！！」
Received "1/35 soldier"!	『１／３５神羅兵』を手にいれた！
Respectable Inn	上級者の館
“This is a Respectable Inn…	「ここは選ばれたもののみが
guests only!”	入ることのゆるされる上級者の館」
“You should absorb all the wisdom	「どうぞ心ゆくまで
until it is a part of you.”	もてる知識をひろうするがよい」
“OK, Mr. Know-it-all, ex-SOLDIER!	「物知り元ソルジャーさんよ！
Let me revenge…I mean, review!”	復讐……いや復習させてくれよ」
CLOUD	CLOUD
“What do you want to review?”	「なにを復習したいんだ？」
ATB	【ＡＴＢ】について
Onscreen numbers	【飛び出す数字】について
Change and Defend	【チェンジ】と【ぼうぎょ】について
Escape	【逃げる】について
Gauges	【ゲージ】について
Status	【ステータス】について
Elementals	【属性】について
Help	【ヘルプ】について
That's all	もう復習は終わりだ
CLOUD	CLOUD
“I'm not so low as to take money off	「おまえたちから金をとるほど
a bunch of low-lifes like you.	落ちぶれちゃいない。
I'm just doing this to kill time.”	ひまつぶしにつきあってやる」
CLOUD	CLOUD
“ATB means Active Time Battle. It's a	「【ＡＴＢ】、すなわち【アクティブタイムバトル】は
system in which time	戦闘中、つねに時間が流れているシステムだ」
continuously runs during battle.”	
“If the ATB is changed to	「メニューのコンフィグでＡＴＢを【ウェイト】にすると……
[WAIT] in the Config Menu…	戦闘中、魔法やアイテムを選んでいる間
Time stops during battle	時間が止まる」
while you select magic or an item.”	
“That lets you select your commands carefully.	「コマンドをゆっくり選べるというわけだ。
It's geared especially	おまえたち、初心者にはおあつらえむきだな」
for beginners like you.”	
“In the Config menu, if you change from ATB	「同じくコンフィグでＡＴＢを【おすすめ】にすると……
to [Recommended]…Time will stop	戦闘中、魔法やアイテムのエフェクトが出ている間
while magic or item effects are displayed.”	時間が止まる」
“This lets you watch the effects carefully.	「戦闘の様子をゆっくり見られるというわけだ。
Letting you fight at your own pace…	落ちついて戦いたいときはこれだな」
this is the way to go.”	
“I always use ACTIVE mode,	「俺はいつでも【アクティブ】だが
but choose what you want.	気にするな、好きなものを選ぶといい。
That's all.”	以上だ」
CLOUD	CLOUD
“During a battle,	「バトルの時に、【ピロンと飛び出す数字】は
white numbers that appear on the screen	白がダメージ、緑が回復していることを
indicate damage,	表している」
and green numbers indicate recovery points.”	
“Remember that,	「全滅したくなければ
if you don't want to be Wiped Out.”	注意することだな」
CLOUD	CLOUD
“Change will change your fighting position	「【チェンジ】のコマンドで
to either the front or back row.”	戦闘隊形の前列・後列を入れかえられる」
“If you select the back row,	後列にすると受けるダメージが減るが、攻撃力も減る。
the amount of damage	
you receive is reduced,	
but so is your attacking power.”	
“[Change] can be selected from the battle menu	「【チェンジ】は、戦闘コマンドを選ぶときに
by pushing the [left Directional button].”	【方向キーの左】を押すと可能だ」
“You can also select [Defend] from battle menu	「同じく戦闘コマンドを選ぶときに
by pushing the Directional button to the right.”	【方向キーの右】を押すと
	【ぼうぎょ】だ」
“Defend will reduce your damage by half	「【ぼうぎょ】のコマンドを選ぶと
until your next turn.”	次のコマンド入力までのあいだ
	ダメージを半分にすることができる」
“It's better to use Defend for strong enemies.	「手強い相手には無理せず
Of course, I don't need anything like that.”	【ぼうぎょ】することが必要だ。
	むろん、俺には関係ないことだがな」
CLOUD	CLOUD
“I don't know too much about Escape	「俺は、戦闘中、【逃げる】ことなど
during battles since I never do it,	めったにないから、くわしくは覚えていないが…
but…someone like you might need it.”	おまえたちには必要だろう」
“You can escape by holding down	「Ｌ１ボタンとＲ１ボタンを押しっぱなしにしていると
[PAGEUP] and [PAGEDOWN] in battle.”	逃げられたはずだ」
CLOUD	CLOUD
“It might be hard to understand this next one	「いまは確認できないからわかりにくいかもしれんが
since you can't check it right now,	とにかく、聞いておけ。」
but just listen.”	
“I'm talking about the Gauges	戦闘中、いくつか表示されている【ゲージ】のことだ
displayed during battle.”	
“The Time Gauge shows the time remaining	「【ＴＩＭＥゲージ】は
until your next turn during battle.”	戦闘中、次のコマンド入力が回ってくるまでの
	待ち時間をあらわしている」
“You can enter a command	「ゲージがいっぱいになるとコマンドの入力が可能だが
once the Gauge is full,	もし入力したくなければ、【△ボタン】で次のやつに
but if you don't want to enter a command,	順番をまわすこともできる。」
press [MENU]	
to skip to the next person.”	
“This is good	BARRETをこきつかいたい時などに便利だ
when you want to	
make BARRET work.”	
“The Limit Gauge increases	「【ＬＩＭＩＴゲージ】は
as you receive damage.	ダメージを受けるごとにのびていくはずだ。
When this is full,	これがいっぱいになると、【リミット技】が使える」
you are able to use a Limit Technique.”	
“The Limit Gauge doesn't reset	「【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず
after each battle,	数をこなしただけ、たまっていくタイプだ」
so it will build up the more damage	
you get in battle.”	
“The trick is knowing when to use it	「たまったからといって、すぐにつかわず
instead of using it as soon as	【リミット技】の使いどころを見極めることが
it becomes available.”	大切なのは言うまでもない」
“You may already know this,	「おまえたちは知らないだろうから、教えといてやる。
but I'll tell you anyways.	
Status has two conditions:	【ステータス】に、【怒り】と【悲しい】という
	状態がある」
Fury and Sadness.”	「【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが
“Fury speeds up your Limit Gauge,	攻撃の命中率は低下する」
but decreases your concentration.”	
“Sadness slows down your Limit Gauge,	「【悲しい】は、【ＬＩＭＩＴゲージ】の上がり方が
but also decreases the damage you receive.	遅くなるが、敵の攻撃から受けるダメージは低下する。
Keep this in mind.”	ついでに、おぼえておくといいだろう」
“The Barrier Gauge shows	「【ＢＡＲＲＩＥＲゲージ】は
the time available for special magic effects.”	特定の魔法の効果時間をあらわす」
“The top gauge, Barrier, defends against attacks.	「上のゲージは、なぐられ攻撃を防ぐ魔法【バリア】
And the bottom gauge, Magic Barrier,	下のゲージは、魔法攻撃を防ぐ魔法【マバリア】」
defends against magic spells.”	
“Both reduce the amount of damage by half,	「両方ともダメージを半分にしてくれるが
but disappear after several uses.”	時間が経つと消えてしまう」
“Always keep an eye on the Barrier Gauge,	「【バリア】と【マバリア】の魔法をつかったときは
when using Barrier and Magic Barrier spells.”	【ＢＡＲＲＩＥＲゲージ】に注目だな」
“That's all.	「以上だ、次の戦闘で確認してくれ」
Check them out next	
time you're in a battle.”	
CLOUD	CLOUD
“If you don't understand what I just told you,	「この俺の説明でもわからんようならしかたない。
I guess you just have a limited capacity	おまえたちの理解する能力がたりないようだ」
for information.”	
“But, relax.	「だが、安心しろ。
Push [ASSIST] during battle.”	そんなおまえたちは、戦闘中、セレクトボタンを
	押してみるといいだろう」
“A Help Message should explain	「【ヘルプメッセージ】が、俺にかわって
the different commands to you.”	いろいろとコマンドの説明をしてくれるはずだ」
“It'll tell you things like the monsters' names.	「敵のモンスター名なども表示されるから
Even I look at it, sometimes…	俺も気分転換に見ることもある。
so don't be ashamed to use it.”	はずかしがらずに使うといい」
CLOUD	CLOUD
“Wiped Out…	「【全滅】か……
I've never really seen it,	俺の記憶にはないから、これは人から聞いた話だ」
but someone told me about it once.”	
“When you get Wiped Out, you can	「【全滅】したときに
continue from your last Save Point.	前の【セーブポイント】からかせいだ経験値は
Your Experience points will not change.”	そのままのこるという」
“Even wimps like you should be able to	「おまえたちのような弱いヤツでも
get out of difficult areas	地道に戦えば、どんな難所でも脱出できるはずだ。
as long as you fight steadily.	ありがたいことだな」
You ought to be thankful for this.”	
CLOUD	CLOUD
“Status simply means	「【ステータス】とはキャラクターの状態のことだ」
the status of the characters.”	
“I don't want to repeat myself too much,	「これまで説明したことと重なるかもしれんが
so I'll mention the main points.”	代表的なものをまとめといてやる」
“Sleep	すいみん　起きるまでコマンド入力不可になる。
Cannot enter command until awakened.	
“Poison	どく　　　　戦闘中にどんどんＨＰが減っていく。
Rapidly decreases HP during battle.	
“Fury	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
Doubles damage, reduces concentration.	
Tranquilizer cures it.	
“Sadness	かなしい　ダメージ低下。興奮剤でもどる。
Reduces damage. Hyper cures it.	
“Petrify	せきか　　石になり、動けなくなる。全員石で全滅だ。
Turns you into stone.	
If entire party is petrified,	
you'll get Wiped Out.	
“Confusion	こんらん　頭が混乱し、敵味方の区別がつかなくなる。
You cannot distinguish	
between enemy and ally.	
“Silence	ちんもく　全ての魔法をとなえられなくなる。
You cannot cast any Magic.	
“Paralysis	マヒ　　　　タイムゲージ停止、コマンド入力不可
Time Gauge stops,	
you cannot enter commands.	
“Darkness	くらやみ　なぐり攻撃の命中率低下。
Reduces attack concentration.	
“Frog	カエル　　カエルになる。俺はだいきらいだ。
Turns you into a frog. I hate this.”	
CLOUD	CLOUD
“Phew…I'm tired.”	「フッ……さすがにつかれたな」
“Changed Status can be changed	「【ステータス変化】はアイテムや魔法で直せるから
with magic and items, so always double	物を買うときに確認しておくのがいいだろう」
check it when you buy things.”	
CLOUD	CLOUD
“Elementals are special Materia that	「【属性】は魔法や武器などに
come with magic and weapons.”	ついてくる特別な効果のことだ」
“You have to use this	「有利に戦闘を進めるためには不可価だが
to your advantage in battle.	【属性】を気にして戦えるようになれば
Only once you start thinking	もう立派な中級者とよべるな」
in terms of Elementals can you	
truly be called an intermediate player.”	
“Here are some examples.	「代表的なものの一例をまとめといてやる。
Remember, they're just examples.	あくまでも一例だ、うのみにするな」
You don't have to memorize them.”	
“Fire	炎　　火の効果。けもの、氷のモンスターにきく。
Fire effect. Works best on animals	
and water monsters.	
“Ice	冷　　氷の効果。寒がり、火のモンスターにきく。
Ice effect. Works best on fire monsters	
and things that hate the cold.	
“Lightning	雷　　電撃の効果。機械でできたヤツにきく。
Lightning effect.	
Works best on mechanical things.	
“Earth	土　　大地の力の攻撃。飛んでるヤツにはきかない。
Attacks using the earth's power.	
Doesn't work on flying enemies.	
“Poison	毒　　毒状態にする。もともと毒のヤツにはきかない。
Poisons enemies. Doesn't work on	
any poison-based enemies.	
“Gravity	重　　重力を使った攻撃。当たるといたいな。
Gravity-based attack.	
These hurt if they hit.	
“Water	水　　大地の恵みの水を呼ぶ。火のモンスターにきく。
Calls on the earth's water.	
Works well on fire monsters.	
“Wind	風　　大気の風をよびおこす。飛んでるヤツにきく。
Calls up the winds.	
Works well on flying enemies.	
“Holy	聖　　星の力をよびおこす。暗黒のモンスターにきく。
Summons the Planet's power.	
Works well on dark monsters.”	
CLOUD	CLOUD
“Using opposite Elementals often is	「相反する【属性】を
effective in battle.”	攻撃に使用することで大きな効果を得られる」
“Using the same Elementals	「また、同じ属性なら防御の効率があがる。
usually increases Defense.	だが……逆もまた真なり。
But, the reverse is also true.	気をつけることだな」
Watch out for it.”	
“To find out what Elementals an enemy has,	「敵のもっている【属性】をみぬくためには
you need Sense Materia.	【みやぶる】ことが必要だ。
Once you get it, try it out.”	マテリアを手にいれたら、使ってみてくれ」
“This is the Beginner's Hall	「まいどおなじみ
(Intermediate)!”	初心者の館（復活編）だよ～ん！」
“Your explanations were so complicated	「あんたの説明が、むずかしすぎて
I couldn't return to the Planet.”	星に帰れなかったよ」
“So, I have a right to ask you again.”	「もういちど、たのむ権利が
	オレにはあるよな」
CLOUD	CLOUD
“What do you want to know?”	「なにが知りたいんだ？」
How to save?	記録を残すには？
How do I cure party members?	傷ついた味方を回復するには？
Curative Magic	魔法を使った回復
Weapons and armor	武器、防具の使い方
How to apply Materia	マテリアの装着
Effective ways to use Materia	マテリアの高度な使い方
Battle formation	戦闘時の隊形について
Checking status	現在の自分の状態をチェック
