Ropeway Station	ロープウェイ乗り場
Welcome Please purchase your Chocobo tickets here.	ようこそここでは、チョコボ券を買うことができます
If your ticket is a winner, you will receive an item ticket good for items on the panel.	お買いになったチョコボ券が的中した場合はパネルに振り分けられたアイテム券をもらえます
Your item ticket may be exchanged for an item or GP at the exchange counter to the right of the entrance.	アイテム券は入口右の交換所でアイテムかアイテムに応じたＧＰに変えることが出来ます
Welcome. Would you like to buy some Chocobo tickets?	いらっしゃいませ。チョコボ券をお買い求めですか？
Yeah	ああ
Explain it to me	話が聞きたい
Not interested	興味ないね
Registration fees are 200 gil. Is that all right?	レース投票の登録に２００ギルかかりますがよろしいですか？
Yeahhh!	ああ
No way!	イヤ！
Ask how to buy	買い方聞く
Thank you! 1 BET is  gil. This is the next race.	ありがとうございます１ＢＥＴはギルです。こちらが、次のレースになります
Which rank would you like?	どちらのランクのレースに投票いたしますか？
You're a Chocobo jockey, right? Which rank will you ride in?	チョコボレーサーの方ですね？どちらのランクのレースに投票いたしますか？
I lost…	はずれた……
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
Quit	やっぱりやめた
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
A(1BET 300gil)	Ａ（１ＢＥＴ　３００ギル）
Forget it	やっぱりやめた
C(1BET 100gil)	Ｃ（１ＢＥＴ　１００ギル）
B(1BET 200gil)	Ｂ（１ＢＥＴ　２００ギル）
A(1BET 300gil)	Ａ（１ＢＥＴ　３００ギル）
S(1BET 500gil)	Ｓ（１ＢＥＴ　５００ギル）
Never mind	やっぱりやめた
This Chocobo Race is run on a virtual course.	このチョコボレースはコースの上に設置されたバーチャル装置によって
The natural scenery you see in the race doesn't really exist.	実際には存在しない自然の中でダイナミックなレースを展開します
You pick which Chocobo will finish first and second here,	お客様はこちらでどのチョコボが１着と２着になるか予想をいたしまして
And then buy the appropriate tickets.	その番号のチョコボ券をお買い求めになることができます
And if the ticket you purchased is a winner, you'll receive a ticket for an item that will be listed on the panel.	お買いになったチョコボ券が的中した場合はパネルに振り分けられたアイテム券をさしあげております
You can exchange your tickets for items or GP at the Exchange Counter to the right of the entrance.	アイテム券は入口右の交換所でアイテムかアイテムに応じたＧＰのどちらかに交換して下さい
You are allowed a maximum of 3 bets per Chocobo ticket.	チョコボ券は３点までお買いになることが出来ます
Use the Directional keys to move the cursor on the panel and select with [OK].	方向キーの上下左右でパネル上のカーソルを動かし○ボタンで決定します
Press [OK] to cancel, while the cursor is still on the panel.	取消は、同じパネル上でもう１度○ボタンを押せば取消となります
With [PAGEUP] and [PAGEDOWN], you can change the Chocobo data shown on the right.	『Ｌ１』『Ｒ１』のボタンで画面右に表示されているチョコボのデータを送ることが出来ます
This data is helpful when you make your pick.	こちらを参考にして予想を立てられるとよろしいかと思います
After you've made your selections, press [START] to start the race.	投票がすみましたら『ＳＴＡＲＴ』ボタンでレースを開始して下さい
You do not have enough gil…	ギルがたりないようですが…
It should come in pretty soon…	もうしばらくしたらはいると思うの…
I won!	当たった！
You may exchange your ticket for an item or GP.	投票券をアイテムかＧＰにできますが？
Item please	アイテムがいい
I want GP	ＧＰがいい
Your item ticket will be  GP. Is that all right?	そのアイテム券なら　　ＧＰになりますがよろしいですか？
Yeah, gimme GP	ＧＰにしてくれ
No, I'll take the item	やっぱアイテムにして
Received  GP!!	ＧＰを点手にいれた！！
You cannot take on any more Materia. Please discard some Materia.	マテリアがいっぱいで持つことができません。かわりにＧＰにします
Received "Sprint Shoes"!	『エルメスのくつ』を手にいれた！！
Received "Counter Attack" Materia!!	『カウンター』のマテリアを手にいれた！！
Received "Magic Counter" Materia!!	『まほうカウンター』のマテリアを手にいれた！！
Received "Precious Watch"!!	『高級腕時計』を手にいれた！！
Received "Ether"!!	『エーテル』を手にいれた！！
Received "Hero Drink"!!	『英雄の薬』を手にいれた！！
Received "Bolt Plume"!!	『電撃鳥の角』を手にいれた！！
Received "Elixir"!!	『エリクサー』を手にいれた！！
Received "Fire Fang"!!	『火龍の牙』を手にいれた！！
Received "Antarctic Wind"!!	『南極の風』を手にいれた！！
Received "Potion"!!	『ポーション』を手にいれた！！
Received "Phoenix Down"!!	『フェニックスの尾』を手にいれた！！
Received "Hyper"!!	『興奮剤』を手にいれた！！
Received "Tranquilizer"!!	『鎮静剤』を手にいれた！！
Received "Cat's Bell"!!	『タマのすず』を手にいれた！！
Received "Enemy Away" Materia!!	『てきよけ』のマテリアを手にいれた！！
Received "Sneak Attack" Materia!!	『ふいうち』のマテリアを手にいれた！！
Received "Chocobracelet"!!	『チョコボの腕輪』を手にいれた！！
Received "Swift Bolt"!!	『雷迅』を手にいれた！！
Received "Fire Veil"!!	『火とん』を手にいれた！！
Received "Megalixir"!!	『ラストエリクサー』を手にいれた！！
Received "Turbo Ether"!!	『エーテルターボ』を手にいれた！！
Received "Hi-Potion"!!	『ハイポーション』を手にいれた！！
Received "Ice Crystal"!!	『冷気の結晶』を手にいれた！！
I lost…	まけた……
I won!!	勝った！！
I'm sorry We can't play yet…	ごめんなさいまだ、遊べないの…
Ester	エスト
Do you want to ride?	どう、乗ってく？
Ester	エスト
Hey, long time no see… How have you been?	あっ、ひさしぶり～元気だった？
Ester	エスト
There's a lot going on in the world outside.	なんか外はスゴイことになってるじゃない
It's little lonely around here, but you can't keep a jockey from doing what he loves.	ここも、さびしくなっちゃったけどレーサーたちの燃えるタマシイは止められないわ
Ester	エスト
How 'bout it, you want to ride again? You have your own Chocobo, right?	どう、ひさしぶりに乗ってみる？自分のチョコボもってるんでしょ？
Ester	エスト
Yeahh, but jockeys can't buy tickets.	そうそうレーサーは券を買えないけど
If you win, you'll get an item ticket, so try it!	勝てば、その組み合わせのアイテム券がもらえるのよガンバッテね
Let me register	登録をたのむ
Tell me how to ride it	乗り方を聞く
Don't do it	やめる
Ester	エスト
Hmm, it seems that no Chocobos can be registered…	あら、いま登録できるチョコボっていないみたい…
Which one?	どれをだそうか？
Ester	エスト
Congratulations! You're first!	おめでとう１着よ
Ester	エスト
And your Chocobo moved up a rank.	それと、チョコボのランクがあがったわよ
Ester	エスト
From the next race, that Chocobo will be in B rank.	次からそのチョコボはＢ　ランクよ
Ester	エスト
From the next race, that Chocobo will be in A rank.	次からそのチョコボはＡ　ランクよ
Ester	エスト
Wow! From the next race, that Chocobo will be in S rank.	スゴイわね次からそのチョコボもＳ　ランクよ
Ester	エスト
Wow, that's great.	すごいじゃない
Looks like you don't have any rivals in the A rank anymore.	もうＡランクでも敵はいないって感じかしら？
But you know, there's a rank that's full of those Chocobos.	ふふ、でもねじつは、そういうチョコボが集まっているランクがあるのよ
Ahem!! From the next race, that Chocobo is…	オホン！次からそのチョコボは…
S rank! Joe's usually in that group, too. So good luck.	Ｓ　ランク！ジョーも大抵はここで活躍しているのガンバッテね
Ester	エスト
Amazing…	すごいわ…
This is the winningest jockey in S rank ever since Joe.	Ｓランクでそんなに勝ってる人ってジョー以外では始めて見たわ
Good job. Here's a little something from me!	ごほうびに、私からプレゼントあげちゃう
Received "Exp Plus" Materia!!	『経験値アップ』のマテリアを手にいれた！！
Never mind	やめる
Ester	エスト
I'll register this C rank Chocobo.	じゃあ、そのランクＣのチョコボを登録するわね
Ester	エスト
Then I'll register this B rank Chocobo.	じゃあ、そのランクＢのチョコボを登録するわね
Ester	エスト
Then I'll register this A rank Chocobo.	じゃあ、そのランクＡのチョコボを登録するわね
Ester	エスト
Then I'll register this S rank Chocobo.	じゃあ、そのランクＳのチョコボを登録するわね
Yeah	ああ
I changed my mind, don't do it	やっぱりやめ
Ester	エスト
Which do you want, the long course or the short one?	コースはロングとショートがあるけど、どっちにする？
Short	ショート
Long	ロング
Ester	エスト
Good Luck! Take care!	がんばっていってらっしゃ～い
Hey, CLOUD. Let me ride once in a while.	ねぇ、CLOUDたまには、私にも乗らせて
Hey, CLOUD. Let me hop on sometime.	おう、CLOUDたまには、おれ様にも乗らせてくれよ
Sure	いいよ
Nope	ダメ
Ester	エスト
Oh, you forgot? It's all right. Ahem!	あら、忘れちゃったの？まぁ、いいわ。オホン！
First use [ASSIST] to choose either AUTO or MANUAL.	まず『ＳＥＬＥＣＴ』ボタンでオートとマニュアルを切り替えるの
This lets you control the Chocobo yourself or let it run on its own.	簡単に言うと、自分で命令するかチョコボの好きに走らせるかね
But it's pretty hard to make the Chocobo run the way you want it to. If the Chocobo doesn't like you, it won't listen.	でも、自分の思うとおりには中々走らせられないわよ。チョコボとの仲が良くないと言うことを聞いてくれないから
Then, you're stuck…	それから、自分で命令してる時に
But, most of the Chocobos I have are mellow and you should be able to handle them.	[LINE DOESN'T EXIST]
When you're riding, use [SWITCH] to Speed Up and [CANCEL]to Slow Down.	それから、自分で命令してる時に□ボタンでスピードアップ×ボタンでスピードダウン
If you go faster than the Chocobo can handle, it will quickly lose its stamina.	ただし、チョコボが本来持っている能力以上のスピードをだすとどんどんスタミナが減ってくの
Use the Directional button to move the Chocobo left and right, use [OK] to get a boost of speed.	それと方向キーの左右でチョコボを左右に○ボタンでムチを入れていっきにスピードを上げられるわ
But this makes your stamina run out faster.	もちろんスタミナの消費は激しくなるけどね
Some Chocobos are bad-tempered and can't pace themselves. They'll lose their stamina quickly.	あと、気性の悪いチョコボは自分のペースがわからなくてすぐスタミナを使いきっちゃうの
Those Chocobos should be set on Manual to slow them down.	そういうチョコボは、すぐにマニュアル（自分で動かす）操作にしてスピードを落としてやるといいわ
Finally, some advice for the restless, once the first and second Chocobo cross the goal line,	最後にね、セッカチな人におすすめなんだけど１、２着のチョコボがゴールした後に
Push [START] to end the race.	『ＳＴＡＲＴ』ボタンを押すと途中でレースを見るのをやめることができるわ
Building 1f.	建物１Ｆ
READY……	ＲＥＡＤＹ……
GO!!	ＧＯ！！
YOU LOSE!	ＹＯＵ　ＬＯＳＥ
YOU WIN!!	ＹＯＵ　ＷＩＮ！！
Arm Wrestling	アームレスリング
Mega Sumo	メガずもう
1 game 100 gil	１プレイ　１００ギル
Try it	やる
Not interested	興味ない
Not enough gil…	ギルがたりない…
Push [OK] consecutively.	『○ボタンを連打してください』
Please select opponent.	『対戦レベルを選んでください』
Sumo Wrestler	すもう
Wrestler	レスラー
Wonder Catcher	『ワンダーキャッチャー』
1 game 100 gil	１プレイ　１００ギル
Didn't get a thing…	何も取れなかった…
Received "Potion"!!	『ポーション』を手にいれた！！
Received 1 GP!!	ＧＰを１点手にいれた！！
Received "Elixir"!!	『エリクサー』を手にいれた！！
Received 3 GP!!	ＧＰを３点手にいれた！！
Received 100 GP!!	ＧＰを１００点手にいれた！！
Received 80 GP!!	ＧＰを８０点手にいれた！！
Received "Phoenix Down"!!	『フェニックスの尾』を手にいれた！！
Received "Ether"!!	『エーテル』を手にいれた！！
Received "Megalixir"!!	『ラストエリクサー』を手にいれた！！
Basketball Game	『バスケットゲーム』
1 game 200 gil	１プレイ　２００ギル
Hold down [OK] to gain strength.	○ボタンを押している間だけ
Release [OK] to shoot.	力をため○ボタンをはなすとシュートをうちます
Received  GP!!	ＧＰを点手に入れた！！
DOUBLE CHANCE!	『ダブルアップチャンス！』
Double your GP for the game, but if you lose, your GP will be 1.	『現在獲得のＧＰを倍に出来ます失敗すると１点になります』
You may continue after you successfully double your GP. Want to try 'DOUBLE CHANCE'?	『成功するとダブルアップ後もゲームを続けることが出来ます。ダブルアップに挑戦しますか？』
Yes	ああ
No	やめとく
NOW PLAYING DOUBLE CHANCE	『ダブルアップ挑戦中』
Double Up!!	『ダブルアップ！！』
Missed!!	『ミス！！』
Give Up!	『ギブアップ！』
I'm sorry. You only played about half the games here..."	ごめ～んここも、まだ半分くらい遊べないの…
We got new prizes. But what's in them is a secret.	新しい商品も入りましたよ中身はナイショですけど
You have GP.	あなたはＧＰを点お持ちですね
Exchange your GP for prizes here. Want to exchange?	ここでは、ＧＰを商品と交換することもできますが、いかがいたしますか？
Yes	する
No	しない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 1000GP	？？？？？？？？　１０００ＧＰ
??????????? 2000GP	？？？？？？？？　２０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 2000GP	？？？？？？？？　２０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　　３００ＧＰ
???????????  500GP	？？？？？？？？　　５００ＧＰ
??????????? 1000GP	？？？？？？？？　１０００ＧＰ
Don't want to exchange	やっぱり取りかえない
Potion 1GP	ポーション　　　　　　１ＧＰ
Ether 20GP	エーテル　　　　　　２０ＧＰ
X-Potion  80GP	エクスポーション　　８０ＧＰ
Turbo Ether  100GP	エーテルターボ　　１００ＧＰ
Gold Ticket  300GP	ゴールドチケット　３００ＧＰ
???????????  500GP	？？？？？？？？　５００ＧＰ
Don't want to exchange	やっぱり取りかえない
Not enough GP	ポイントが足りません
I'm gonna let you in on something… Y'see, this is Materia. But you can't seem to carry any more of it.	バラしちゃうけどこれ、マテリアなのよけど、あなたいっぱいで持てないわよ
Received "Ether"!!	『エーテル』を手にいれた！！
Received "X-Potion"!!	『エクスポーション』を手にいれた！！
Received "Gold Ticket"!!	『ゴールドチケット』を手にいれた！！
Received "Gil Plus" Materia!!	『ギルアップ』のマテリアを手にいれた！！
Received "Carob Nut"!!	『カラブの実』を手にいれた！！
Received "EXP Plus" Materia!!	『経験値アップ』のマテリアを手にいれた！！
Received "Turbo Ether"!!	『エーテルターボ』を手にいれた！！
You already have a 'Gold Ticket'…	『ゴールドチケット』はすでにお持ちのようですが…
I can't get that…	あれが、取れないんだよな…
I can't stop because they have good stuff in 'em.	中には、いいのも入ってるからやめられないんだよな
Almost…	もう、ちょっと……
Crap!	あっ！
No cigar…	だめだった…
Almost…	もう、ちょっと……
Arrrgh!	あっ！
Got it!!!	やった！！！
I can't stop, no matter what's going on outside…	世界がこんなんなってもやめられない僕って…
I'm just gonna spend all my money and play until I drop!!	もう、こうなったらここで、遊びまくってお金使いきってやるんだから！
Please…don't… talk to me…right now.	いま、チョット話しかけないでもらえます
You sure do need a lot of money here.	ここってほ～んと金がかかるね
Building 2f.	建物２Ｆ
Try it	やる
Not interested	興味ない
Don't have enough gil…	ギルがたりない…
3D Battler	『３Ｄバトラー』
1 game 200 gil	１プレイ　２００ギル
[MENU]       Hi attack	△ボタンで上段攻撃
[SWITCH]   Mid attack	□ボタンで中段攻撃
[CANCEL]   Low attack	×ボタンで下段攻撃
The first one with 10 points wins.	１０ポイント先取したほうの勝ちです
Back there…	あの奥の方のが…
I get so caught up in these…	わたし、こういうのすぐムキになっちゃうのよね～
You sure are an unusual one. Staying here with all that's going on outside…guess that makes, uh, two of us, huh?	あんたも物好きね外があんなだってのにこんな所に来て…ってアタシもか？
Received  GP!!	ＧＰを点手にいれた！！
Out of Order	故障中
This place sure gets expensive… To play, or not to play'…	まったく、ここは金がかかるなぁ…遊ぶべきか、遊ばざるべきか…
…Don't worry 'bout me. Go ahead and play.	………気にしないでやってくれよ
Hmm, I'm impressed… Thanks for the show.	うう……感動したよ…。いいもの見せてくれてありがとう
Here, take this.	これ、やるよ
Hmm, I'm impressed… Thanks for the show.	うう……感動したよ…。いいもの見せてくれてありがとう
Use caution in relationships	対人関係に注意
Your lucky color is red.	ラッキーカラーは赤です
You may meet someone new.	新しい出会いがあるかも
You have ties with those that fly.	空飛ぶ乗物に縁がありそうです
What you are looking for is near.	探し物は近くにあります
Use caution in relationships.	人間関係に注意
What you're looking for is in the Southeast	南東の方角に探し物があります
Beware of the North	北の方角に注意
A great turning point is near.	大きな転機がおとずれます
Never give up.	あきらめずにがんばろう
Your lucky number is .	あなたのラッキーナンバーは
G Bike	Ｇバイク
1 game 200 gil	１プレイ　２００ギル
Use [Directional button] to move	『方向キー』で移動
[SWITCH] to attack left	□ボタンで左攻撃
[OK] to attack right	○ボタンで右攻撃
If the truck is attacked, you lose points.	トラックが攻撃を受けると減点です
Snow Game	スノーゲーム
1 Play 200 gil	１プレイ　２００ギル
[Directional button Up] to speed up	『方向キー上』で加速
[Directional button Down] or	『方向キー下』または
[SWITCH] to slow down	□ボタンで減速
[CANCEL] to Jump	×ボタンでジャンプ
[Directional button Right/Left] to move Right and Left	『方向キー左右』で左右の移動
[PAGEDOWN] + Directional button Right/Left] to edge	『Ｒ１ボタン＋方向キー左右』でそれぞれの方向にエッジをきかせます
You receive points for hitting the balloons that appear on the course.	コースにでてくるバルーンを取るとポイントになります。
Submarine Game	潜水監ゲーム
1 Play 200 gil	１プレイ　２００ギル
Directional button Left for Left Turn	『方向キー左』で左に旋回
Directional button Right for Right Turn	『方向キー右』で右に旋回
Directional button Up to Dive	『方向キー上』で下降
Directional button Down to Rise	『方向キー下』で上昇
[MENU]   to Speed Up	△ボタンで前進
[CANCEL] to Slow Down	×ボタンで後退
[SWITCH] to Fire Torpedo	□ボタンでギョライ発射
Find and avoid mines by using the Sonar, and destroy the Enemy Submarines.	ソナーで機雷を見つけ、よけながら敵潜水監を全滅させるとクリアです。
Fortune Telling	『うらない』
1 fortune 50 gil	１プレイ　５０ギル
Mog House	『モグ・はうす』
1 game 100 gil	１プレイ　１００ギル
Out of Order	調整中
Hyuuuuu, BAM, BAM, BAM…	ギュオーン、ギュオーンキュー、バリバリバリ
Oh man, I gotta scream.	ああ、つい声をだしてしまう
Whew, I'm tired. Oh this? It seems to be out of order.	ふう、つかれた。ああ、これですかなんか、修理中みたいですね
I'm gonna be the wind again today!	私は今日も風になる！
Nope, I'm not quitting until I clear this!	ダメダメ、クリアするまでやめないよ
Received "Safety Bit"!	『セーフティビット』を手にいれた！
Received "Crystal Bangle"!	『クリスタルバンクル』を手にいれた！
Received "All" Materia!	『ぜんたいか』のマテリアを手にいれた！
Received "Ink"!	『イカスミ』を手にいれた！
Received "T/S Bomb"!	『時空弾』を手にいれた！
Received "Dragon Fang"!	『双龍の牙』を手にいれた！
Received "Dragon Scales"!	『海龍のウロコ』を手にいれた！
Received "Caldron"!	『魔女の大釜』を手にいれた！
Received "Speed Source"!	『スピードアップ』を手にいれた！
Please select your mission.	ミッションを選んで下さい。
Undersea Mako Reactor Battle	海底魔晄炉戦
Level 1	レベル１
Level 2	レベル２
Level 3	レベル３
Level 4	レベル４
Not interested.	興味ない
Hey, CLOUD. Let me ride sometime.	ねぇ、CLOUDたまには、私にも乗らせて
Hey, CLOUD. Let me get on sometime.	おう、CLOUDたまには、おれ様にも乗らせてくれよ
Sure	いいよ
Nope	ダメ
This is Mog's house. It's in Mog Forest on Mt. Mog.	ここはモーグリ山の モーグリ森のモグの家。
The beginning of another day in the life of a Mog.	今日もモグの一日が 始まります。
This year, Mog is pipapopupo years old. …that's 28 in human years.	モグは今年でクピパポプポさい。 人間でいうと２８さい。
He's at that age when he should be looking for a mate.	そろそろ、おヨメさんが欲しい 年ごろです。
But before Mog can become an adult, he first needs to learn how to fly. 	モーグリの世界では 飛べるようになると りっぱなオスとみなされます。
Even though Mog trains hard everyday, he still can't seem to get off the ground.  	ところがモグは、まだ上手に 飛べません。 毎日、いっしょうけんめい 練習しているのですが……
Looks like he's still got a long way to go…	おやおや、今日もダメなようです。
Here's where you come in.	そこで、みなさんにおねがいです。
Help Mog learn how to fly by pushing [OK] and feeding him his favorite Kupo nut.	【○ボタン】で、モグの大好きな クポの実をあげて、彼が飛べるよう 手伝ってあげてください。
But don't overfeed him. He won't be able to fly if he's too fat.	でも、あげすぎには御用心。 重くて飛べなくなってしまいます。
[OK]…Give him a Kupo nut 	【○ボタン】 クポの実をあげる
Oh?	おや？
It seems like Mog's decided to take another shot at it.	ついにモグは、飛ぶかくごを 決めたようです。
All right, Mog, fly! Your future happiness may depend on it.	さあ、飛ぶんだ、モグ。 きみと彼女のしあわせのために。
Unfortunately, he didn't make it.	おやおや、残念ながら失敗です。
Poor Mog'll have to wait some time for a bride.	まだしばらく、モグにはおヨメさんは、こないようです。
CONTINUE	ＣＯＮＴＩＮＵＥ
PUSH [START]	ＰＵＳＨ　ＳＴＡＲＴ
Oh-oh, seems like you don't have enough Gil. Poor Mog, looks like he'll continue be lonely for a while.	おやおや、ギルがたりないようですね。 かわいそうに、モグは、とうぶん 一人ぼっちなようです。
Poor Mog, seems like he'll be alone for a while. 	かわいそうに、モグは、とうぶん 一人ぼっちなようです。
He did it!  He's flying! Now, he's finally become a full-fledged Mog. 	飛んだ！　モグが飛んだ！ これでモグも、りっぱなオスモーグリに なれたのです。
Tired but relaxed, our little Mog turns out the lights early and goes to bed. Goodnight, and sweet dreams…	つかれたモグは、安心したせいか 今日は早めにおやすみのようです。 おやすみモグ、すてきな夢を……。
Oh? What's this? Here comes a female Mog! 	おやおや？ さっそくメスモーグリが やって来ました。
It seems like he likes her. 	なんと、モグも彼女を 気に入ったようです。
Now, will Mog be able to fly gracefully in front of her?	さあ、彼女の前で モグは、りっぱに飛べるでしょうか？
Help him out with a few Kupo nuts. 	クポの実をあげて、彼女とうまくいくように 手伝ってあげてください。
He's flying!! Mog was able to do it! She must have fallen for his graceful flying form.	飛んだ！ モグが、彼女の前で飛んだ！ 彼女も、モグの男らしい飛びっぷりに すっかり、心をうばわれたようです。
Sometime later… Looks like things are going well with his new Mog-friend. 	さて、それから しばらくが、たちました。 おやおや、彼女とすっかり なかよくなったモグ。
Time for a quiet date in the forest.	今日は二人でお出かけのようです。
Her name is Mag.	彼女の名前はマグ。
She is a good-natured Mog. 	とっても気立てのいい メスモーグリです。
Best of luck to the both of you, Mog and Mag.	おしあわせに、モグ。 そしてマグ。
May you have lots and lots of healthy Mogs! 	元気でかわいい子供が たくさん生まれるといいね。
Uh…no worries there, I guess… 	おやおや、どうやらよけいな 心配だったようです。
~FIN~	～ＦＩＮ～
Hey you!! What're you lookin' so down for!?	ヘイ・ユー！！暗～い顔してますな～
How 'bout it? Want me to read your fortune!? A bright future! A happy future!	どうですか～？みなさんの未来占うで～
Oh, but don't hold it against me if it doesn't come true!	明るい未来、ゆかいな未来！あっ、ひさんな未来が出たらかんにんしてや～！
Oh, so sorry! I'm a fortune telling machine. The name's…	あらら、すんません！ボクは、占いマシーンです。名前は……
You can only read the future?	占うのは未来だけか？
You kidding? I can find missing things, missing people, anything!	バカにしたらあかんで！失せ物、失せ人なんでもございや！
Then can you tell me where a man named Sephiroth is?	セフィロスという男はどこにいる？
Sephiroth, right!?	セフィロスですな！
Okay, here goes!!	ほな、いきまっせ！！
…Ordinary luck. It will be an active fortune.	……中吉。活発な運勢になります
Give into the good will of others, and something big'll happen after summer.  …Wait…hold on…	周りの人の好意に甘えてひと頑張りしておくと夏以降にどっきりな予感。……なんだこれは？
Huh? Let me try again.	あれっ？　もっぺんやりましょか
Be careful of forgetfulness. Your lucky color is…blue?	忘れ物に注意。ラッキーカラーは青？
…Forget it.	……もういい
Wait, wait give me another chance!	待って～な、もっぺんやらして！
What the?	……なんだと！？
What does it say?	何てかいてあるの？
What?	な～に？
Read it out loud, CLOUD	読んでみろ、CLOUD
What is it? Tell us!	なんだよう！教えろよう！
What you pursue will be yours. But you will lose something dear.	求めれば必ず会えます。しかし最も大切なものを失います
I don't know if it's good or bad…	ええんか、わるいんかようわからんなぁ……
This's the first time I ever got something like THIS.	こんな占い初めてですわ。気になりますな～
Then shall we?	ほな、いきましょか
Excuse me?	はぁ？
What are you talking about?	なにいってるの？
To where?	どこへ？
Huh?	なんだぁ？
Being a fortune teller, this is gonna bug me.	占い屋CAIT SITHとしてはこんな占い不本意なんです
If I don't see how it turns out, I'll never be able to relax. So, I'm going with you!	きっちり見届けんと気持ちがおさまらん。みなさんといっしょに行かせてもらいますわ！
Is it all right, CLOUD?	いいの？　CLOUD
What are we going to do, CLOUD?	どうするの、CLOUD
CLOUD, it's all right with you?	CLOUD、いいのか？
He's weird! CLOUD, don't let him come!	へんなやつ！CLOUD、やめなよ
I'm comin' with you no matter WHAT you say!	どないに言われてもついてきます！
H…hey!	お、おい！
Yaaay!!	わ～い！！
Eaayyyyyyh!	キャッキャ！
Come now, no running!	これこれ、走るんじゃないよ
Let's get lotsa GP at Wonder Square and have some fun!	ワンダースクェアでＧＰをためてたくさん遊ぼう！
Now, be careful of Meteor.	これこれ、メテオには気をつけるんだよ
Let's get lotsa GP at Wonder Square and have a blast!	わんだ～すくぇあでＧＰをためてたくさん遊ぼうでちゅ
I'll hang in there, even if I'm alone!	ひとりになってもガンバルでちゅ
Wonder Square	ワンダースクェア
They probably told you at the entrance, but most of the attractions at Gold Saucer only take 'GP'.	入口で聞いたと思うけどよゴールドソーサーのアトラクションのほとんどは『ＧＰ』っていうゴールドソーサーでのお金がいるんだよ
They don't sell GP. You can only get 'em from the Wonder Square games or at the Chocobo Races.	これが、普通に売ってなくてよこのワンダースクェアのゲームかチョコボレースでしか手に入れられねぇんだ
Attention! Dismissed!!	よし、ちれ！！
Shinra soldiers… Even here…	神羅兵…こんなところまで…
What happened?	どうしたの？
What?	なに？
What happened?	どうした？
What is it?	なんだ？
Sh…!	シッ！
I'm sorry, we're currently renovating. Please come again.	すいません、今は改装中なんですまた、出直してください
…	……………
!!	！！
Hmm!?	ん！？
Dead…	死んでる……
What!?	え！？
What!? Why?	え！？　どうして？
What the…	いったい……
Wh…why?	な、なんで？
Wa…wait CLOUD!	ちょ、ちょっとCLOUD！
CLOUD!? Where are you going?	CLOUD！？どこ、いくの？
Hey, CLOUD!	おい、CLOUD！
Don't, don't just leave me!	ア、アタシを置いていくな！
Battle Square	バトルスクェア
I heard that this is the curator's favorite attraction. He even has his collection displayed in the arena.	ここのアトラクションが園長は１番好きらしいね。闘技場内に自分のコレクションを展示してるくらいだからなぁ
Yeee-----ah!!	わ～い！！
Ea…ggha…!	キャッキャ！
No running, you kids!	これこれ、走るんじゃないよ
Be careful of the Meteor.	これこれ、メテオには気を付けるんだよ
Are you here for the battle, too?	あなたも、ここでバトルのかしら？
That's the idea	そのつもり
Not interested	そんな気はない
Is that so.	ふ～ん
I like fighters, but hate ones who're all talk.	わたし、ファイターって好きよ。けど、口だけの人ってキライなの
I watched you win eight battles. I want you to have this!	見てたわ、あなたが８戦勝ち抜くところ。これ、受け取って下さい！
Received "Sprint Shoes"!	『エルメスのくつ』を手にいれた！！
Good luck in the future too!	これからもガンバってくださいね
Did Sephiroth do this!?	セフィロスがやったのか！
No…it's not him… They're all shot… Sephiroth would never use a gun…	これは……ちがう………銃で撃たれている……セフィロスは銃など使わない…
Ugh, ugggh.	う、うう
Hey, what happened!	おい、何があったんだ！
Victim	被害者
Ugh…ugh…a man with a gun…on his arm…	ウ…ウ…片腕が銃の男……
It can't be!?	ま、まさか！？
A gun on his arm!?	片腕が銃！？
…did he!?	……あいつが！？
Wow, no way!!	へぇ、やるぅ！！
Hold it right there! And stay quiet!!	そこまでだ！おとなしくしろ！！
Dio	ディオ
Did you guys do this!?	お前らがやったのか！？
