Costa del Sol Harbor	コスタ・デル・ソル港
Johnny	聞いてあきれるぜ！や！　もうぐちるのはやめ！
You think you're good enough to brag about how big you are?	おたがい、新しい人生を生きような！
From now on, I'm turning over a new leaf!	はやく出てってくれよ！
Johnny	俺は、これでもハッピーにやってんだ。俺のラブリーなどうせい生活をじゃましないでくれ！
Go on and beat it!	お客さん、ごめんなさいね！彼、ここんとこ、ショックなことがおおくてず～っと、ふさぎこんでるのよ～
I'm happy like this. So keep out of my life.	そうそう！そんなことも、あったね～
Oh, right! I remember that, too.	でさ、でさ！そんとき…
Johnny	ウフフフ！
Hee, hee, hee!	イヒヒヒ……！
Johnny	やだ～！そうなの～
Ha, ha…oh stop it! That's right. Oh really…	そうそう。でね……
Johnny	うんうん！
Yeah. Oh yeah, and then that time…	CLOUD……。ごめん、今日はふたりにさせてね！
Yeah, yeah!	ひさしぶりだしたまには息抜きもね
We haven't seen each other for ages and sometimes it's fun to talk about old times for a change.	そういうことだから……。悪く思うなよ
Johnny	あんまり遅くならないようにするから
Yeah, don't get mad or anything.	ね、心配しないで！
I'll try not to be back too late.	心配なんて…
So please don't worry about us!	ああ…
Worry?	べつに心配なんて
Yeah…	明日には出発だからな
I'm not worried.	そうなんだ…
Just remember we're leaving early tomorrow.	うん、わかった
OK, I know.	ムニャムニャ……（TIFAちゃん絶対、しあわせになんだぞ）
…mumble…mumble… (TIFA, promise me you're gonna be happy.)	エヘヘへ……彼女とはなかよくやってますよ
Johnny	でも、俺みたいな情けねえ野郎じゃね…
But I'm such a pitiful waste…	はあ……俺なんかじゃ、資格がねえよ。どうしたら、いいんだろ
…sigh…I'm not good enough for her. What should I do?	メテオのどさくさにまぎれて彼女にプロポーズしちゃったよ！
Johnny	たとえこのまま世界が終わってもそれはそれ！
I proposed to her in the middle of all that Meteor stuff!	いまはなにも考えられません！
I can't think of anything else!	ダメだダメだダメだ！！メテオがどんどんでかくなってる！！
Johnny	俺はいまがむしゃらに生きたい！！彼女といっしょに生きのびて所帯をもつのだ！！
No, no, NO!! Meteor's getting closer every minute!!	あんたにできなきゃ、俺がやる！！ただそれだけだ！
I wanna live my life right now!! I want to build a home and grow old together with her!	俺もがんばるから、あんたもがんばれ！
I'm gonna do my best, so you hang in there too!	あっ！CLOUD！！
Costa del Sol	あれ、見て！
Look, look at that!	あいつは宝条…
Hm?	水着の女の子か…
Who, Hojo?	あの男、宝条か？
That girl in the bikini?	ね、話つけてきてよ
Is that man over there, Hojo?	悪くないながめだな…
Go over and talk to him.	もう！！　どこ見てんのよ！
Not a bad view…	あそこの男、神羅の宝条よ！ふざけてないで話つけてきて！
What're you looking at?	あら！！なにか御用？
That man over there. That's Hojo from Shinra. Get outta here Go talk to him!	そこの男に用がある
God!! What do you want?	そいつは宝条か？
I want to talk with him	（なによっ、えらそうに）
Is that Hojo?	ねぇ、宝条博士～。こわい人が、用があるって～
(Hey, who do you think you are?)	（なんなのこの人）
Professor Hojo. That scary man says he wants to talk with you.	そうよぅ～。博士なのよぅ～
(What's his problem?)	博士～お客さんよぅ
Yes, that's right. It's the Professor!	やな予感するね
I have a bad feeling about this.	いまいそがしい
Hojo	……だって～。残念でしたぁ～
…But, Too bad.	いや、まちたまえ。きみはたしか、私の記憶にある……
No, I remember you all now…	クックックッ……。わかったよ、騒々しいなきみは
Hojo	ひさしぶりだなCLOUDくん
Long time no see, CLOUD.	ああ、そうそう。思い出しましたよ
Yes, yes. I remember now.	宝条……
Hojo…	たまにはこういうのもいいものだね
Hojo	……何をしている
What are you doing?	見てのとおりだ。日光浴
Hojo	まじめに答えろ！
Answer me!	ふん……私の目的は君と同じだと思うが
Hojo	セフィロスか？
You mean Sephiroth?	君たちは会えたのか？
Did you see him?	そうか……ふむふむ
Hojo	なんだ？
What is it?	いや、ちょっとした仮説を思いついたのだが……
Hojo	君は、何かに呼ばれているという感じがしたことはないかな？
Nothing. I just remembered a certain hypothesis…	または、どうしてもある場所へ行かなくてはならないという気持ちになるとか……
Haven't you ever had the feeling something is calling you?	俺はセフィロスがいる場所ならどこへでも行く！
Or that you had to visit some place?	あいつを倒すために！決着をつけるためにな！
To beat him and put an end to all this!	なるほど……これはイケるかもしれないな
Hojo	ソルジャーか……クックックッ。ん、私の実験のサンプルにならんか？
Were you in SOLDIER? Heh heh heh! Would you like to be my guinea pig?	ん…なんだ？剣でもぬくか？
Hojo	CLOUD、だめっ！この人、死んだら何もわからなくなっちゃう！
Oh, now what? Are you going to draw your sword?	やめて、CLOUD！気持ちはわかるけど、ダメよ
CLOUD, don't. If he dies, we won't find out anything!	お、おいっ！こいつをやるのはマズイんじゃねえのか？
Stop, CLOUD! I know how you feel, but you mustn't.	ゼェゼェ……やめろ、CLOUD
Yo, yo! It's a bad idea to kill him.	だめだよ、CLOUD！アタシにはわかんないけどこいつ、いろいろ知ってんだろ？
Ha! Ha! Ha!…	おや、ときにきみは……古代種の娘ではないか
Hojo	わたし、AERIS。名前くらい覚えなさいよ
Say, aren't you the 'Ancient'? 	ねえ、宝条博士教えてほしいの
I'm AERIS. The least you can do is remember my name.	わたし、自分が古代種なのは知ってる。母さんに聞いたから
I know I'm an Ancient. My mother told me.	母さん？ああ、イファルナか。元気にしてるのか？
Hojo	知らないの？死んじゃったよ
You didn't know!? She died.	……そうか
Hojo	……ねえ、博士
…I see.	ジェノバは古代種なの？セフィロスは古代種なの？わたしと同じ血、流れてるの？
…	……ボソボソ………西へ…………………
Hojo	ボソボソ作戦？ってことは、何か隠してる！
…mumble…mumble…head west…	ねぇ！答えなさいよ！！
He's mumbling slowly… That must mean he's hiding something!	ガルルル……！！……ゼェハァ……
Hey! Answer us!!	……だめだ。むだだよ
Grrr, Grrr… …huff…puff…	宝条博士ってやさしいんだよ。わたしを実験してくれるんだって
It's no use. It's no go.	この暑さのなか、実験服をぬぐことはない。知的な男のダンディズムよね～
Professor Hojo is so sweet. He's going to experiment on me.	宝条先生のボソボソを通訳するね
He never takes off his lab coat even in this heat. I guess that's the mark of an intellectual.	ここから西のコレル山をこえて進んでる……
I'll interpret Professor Hojo's whispers.	わかったかしら？わたし、よくわかんな～い
Head west, past Mt. Corel and keep going…	宝条先生だったら、よろこんで実験台になっちゃう！
Did you get that? I didn't understand it well, myself.	はあ……宝条先生。いま、いずこ
I'd be happy to be a guinea pig, if it's for Professor Hojo!	先生、なにかを発見～解明～したみたいなの
Yes, Professor Hojo. Where?	で、それっきり……やっぱり、西のコレル山にむかったのかしら
It looks like the Professor discovered or found a solution to something.	ちょっとくやしかったな
You know, I wonder… if they headed west for Mt. Corel?	宝条先生、なにかを発見したとき子供みたいにうれしそうな顔でクックックッって笑って……
I'm getting a little sad.	あと、追っかけちゃおうかな。コレル山からゴールドソーサーへふたりのバカンス♥
Professor Hojo looks happy like a child when he discovers something. He gets this big smile and then laughs…	そうだっ！！わすれてたわ！
I guess we should chase after him. A vacation for two from Mt. Corel to Gold Saucer.	な～んか、あなたにつたえなきゃいけないことがあったのよ
That's right!! It totally skipped my mind!	そうよ！あれよ！
There was something I was supposed to tell you.	きのうのことなんだけど海から黒マントの男があがってきたの。ザバザバってさあ
That's right! It's about that!	ゴールドソーサーのチケットもってたような気がしたけど……そんなわけないよね。あれって、まぼろしかなあ
It was yesterday. A man wearing a black cape came up from the ocean.	ねえ、ねえ？きのう、ルーファウス来たんでしょ
I think he had tickets for the Gold Saucer… no, that wasn't it… I wonder if it was all just an illusion?	彼、昔はプレジデントのボンボンで～。ついたあだなが、プレジデントボンボン！
Hey! President Rufus came here yesterday.	そこで遊んでるサーファーたちとたいして変わらなかったのよ
He used to be the President's little boy. We nicknamed him the little Prez!	へへ……ぜんぶ、とられちゃったよ
He didn't look much different than the surfers on the beach.	いまきた子でがまんすっか？
heh heh… All the good ones are gone.	でも、彼がいっしょじゃん
What about that one? Shall we make do with her?	あんくらいならだいじょぶだいじょぶ
But she's got a guy with her.	ねぇ？　そだろ！
No problem, I can handle him.	ウヒ……あの二人組にするか？
Right? You thought so, too?	へへ……おれ、左の子がいい！
Geez! What about those two?	じゃ、おれ右でがまんするよ
Heh heh…I want the one on the left.	ねぇねぇ……ヘヘ……ちょっとは俺とも話してよ
Well then, I guess that leaves me with the one on the right.	うひゃ～！！たちけて～！！
Hey… heh heh…don't forget to talk to me, too.	ハァッハァッ……！いきつぎわすれちゃうだろ～！！
Yipes!! Help!!	きみたち、コレル山へ向かうなら『金の針』を買っていくほうがいいよ
…breath…breath! Kind of takes your breath away, don't it!?	よくいうでしょう？
If you're headed for Mt. Corel, then you'd better buy some "Soft".	そなえあればうれいなし。とらぬたぬきのかわざんようってばボクってインテリ！
At least that's what they always say, don't they?	う～ん、調子でません。これも神羅の男たちのせいさ
Be prepared, and you'll never fear.	うらむよなあ、神羅カンパニー！悪者だよな、神羅
Hey, I'm no idiot. I NEVER count my chickens before they hatch! Not bad, huh?	へヘ……でも、これってひがみってやつだなあ。さわやかじゃないなあ
Hmm. Man, I'm draggin' today. It's all Shinra's fault.	うひゃ！！話しかけないで～！
I really hate Shinra, Inc.! They're all crooked, those Shinra.	ウップ！　ブクブク………しずんじゃうよ～
Hmm… What a bitter guy Chill out a bit.	いつものことだが本日もあいてにされないのであった
Eeeew!! Leave me alone!	ナンパならおことわりよ。まにあってますから
Ublk! …glug…glug… You're gonna make me drown!	海の風と太陽。自然っていいわね～。いきかえるわ～
Always the same story… Women never pay any attention to me…	あら？　ちょうどいいところに
If this is your idea of flirting…forget it. I do fine as it is.	オイルぬっていただけますか？
The sea, the wind and the sun. Don't you just love the outdoors? It always puts me back on track.	よろこんで
Hey, good timing. Would you mind putting lotion on me?	おことわりだ
With pleasure	あ～ん♥
Sorry	ありがと♥
Uhhhnn…	あら、おかたいのね
Hey, loosen up a bit.	世界の終わりまでに上手におよげるようにがんばってんだから～
Eaaggh!! Leave me alone!	メテオはねてまてか……なんだってあんなもんがふってくんだろ
I'm trying to learn how to swim before the end of the world.	だんだん近づいてきてるの。だれか、なんとかしてくれるのよね
Sitting around waiting for Meteor to come…… Why's it gotta fall on us?	海の風と太陽とメテオ。自然って不思議よね～
It's getting closer and closer. Someone will do something, don't you think?	世界の終わりでもおいしいカクテルを飲みながらゆるりゆるゆるとすごしたいわ～！
The sea breeze, sun and Meteor. Isn't nature strange?	ウェッ……の・み・す・ぎ
I don't care even if it is the end of the world, I just want to sit here and drink cocktails!	undefined
