…ding…	…ぶ…しい……
We will gather all the Huge Materia together and ram it into Meteor.	たしかにライフストリームが集まっている場所は世界にいくつかある
That will cause a huge explosion, reducing Meteor literally to bits!!	ただそのほとんどははるか地の底で、とても人間の手のとどく場所ではないんじゃ
Scarlet	ただひとつ例外は……ずーっと　【南の海にうかぶ島】　が……あるとかないとか……
First things first!	なんて言ったかの。もう何年もここから出とらんから……ダメじゃ、思いだせん
Right now, we've got to collect Huge Materia from each area.	ブーゲンハーゲン
That's why we're here… CLOUD… CLOUD has…	ずーっと　【南の海】　にライフストリームの集まる島があるとかないとか……
Bugenhagen	しかしの……もしそこでCLOUDが見つかったとしても……
I see… CLOUD has…	ライフストリームはいわば精神エネルギーのかたまり
It's true that there are several places on the planet where the Lifestream is gathered.	言いにくいことじゃがひとりの人間の精神がそのすさまじい流れにたえられるとは、とても……
But most of those places are below the surface where humans cannot reach them.	ブーゲンハーゲン
There's only one place An island in the Southern Sea… 	ナナキとあんたたちの話をきいておると、わしまで若くなったような気がするよ
What did you say? I haven't left here in years… No good. I can't remember.	ホーホーホウ。こんな時にヒニクなことじゃが、な
Bugenhagen	undefined
In the Southern Seas I think there was an island where the Lifestream is.	undefined
But even if you find CLOUD there…	undefined
The Lifestream is a mass of spiritual energy,	undefined
and one person alone couldn't stand against such an incredible spiritual current…	undefined
Bugenhagen	undefined
Listening to you and Nanaki speak has made me feel young again.	undefined
Ho Ho Hoooo. Might sound a little sarcastic.	undefined
