CLOUD, you're late!	CLOUD、おそい～っ！
We returned to Nibelheim. Sephiroth confined himself to the inn. He didn't even try to talk to me.	俺たちはニブルヘイムへもどった。セフィロスは宿屋にこもり誰とも言葉をかわそうとしない
Then all of a sudden he just disappeared, right?	そしていなくなったのよね
We found him inside the biggest building in Nibelheim.	セフィロスがみつかったのはニブルヘイムで一番大きな建物
The villagers used to call it the Shinra mansion.	村の人たちは神羅屋敷と呼んでいたわ。私たちが生まれたころにはもう空き家になっていて……
Long ago, people from Shinra used to live in that mansion…	むかし、その屋敷は神羅カンパニーの人間が使っていた……
There's no sign of Sephiroth, but I know I saw him go into this room…	セフィロスさんの姿が見えないんだ。たしかに、この部屋に入っていったのを見たんだけど……
Sephiroth seems different.	セフィロスさんのようすが変なんだ
Do [CANCEL]	×ボタン　ド
Re [SWITCH]	□ボタン　レ
Mi [MENU]	△ボタン　ミ
Fa [OK]	○ボタン　ファ
So [PAGEUP] or [PAGEDOWN] + [CANCEL]	Ｒ１ボタンかＬ１ボタンと×ボタン　ソ
La [PAGEUP] or [PAGEDOWN] + [SWITCH]	Ｒ１ボタンかＬ１ボタンと□ボタン　ラ
Ti [PAGEUP] or [PAGEDOWN] + [MENU]	Ｒ１ボタンかＬ１ボタンと△ボタン　シ
Do [PAGEUP] or [PAGEDOWN] + [OK]	Ｒ１ボタンかＬ１ボタンと○ボタン　高いド
Do Mi So  (C)Directional button Down	方向キー下　ドミソ（Ｃ）
Do Fa La  (F)Directional button Left	方向キー左　ドファラ（Ｆ）
Re So Ti  (G)Directional button Up	方向キー上　レソシ（Ｇ）
Mi So Do  (C)Directional button Right	方向キー右　ミソ高いド（Ｃ）
End[START]	スタートボタン　終了
Information concerning Materia/Hojo	『マテリア関係資料／宝条』
Read it	読んでみる
