Cosmo Canyon	コスモキャニオン
Ho Ho Hoooo. Yes, it is something, isn't it?	ホーホーホウ。そうじゃろ、すごいじゃろ
Well, let's get to the subject.	さて、そろそろ本題に入ろうかの
Eventually…all humans die. What happens to them after they die?	人間は……いつか死ぬ。死んだらどうなる？
The body decomposes, and returns to the Planet. That much everyone knows. What about their consciousness, their hearts and their souls?	身体は朽ち、星に帰る。これは広く知られているな。では、意識、心、精神はどうじゃ？
The soul too returns to the Planet.	じつは精神も同じく星に帰るのじゃな
And not only those of humans, but everything on this Planet. In fact, all living things in the universe, are the same.	人間だけではない。この星、いや宇宙に生きるものすべてひとしく
The spirits that return to the Planet, merge with one another and roam the Planet.	星に帰った精神はまざりあい、星をかけめぐる
They roam, converge, and divide, becoming a swell, called the 'Lifestream'.	星をかけめぐり、まざり、分かれ『ライフストリーム』と呼ばれるうねりとなる
Lifestream… In other words, a path of energy of the souls roaming the Planet.	ライフストリーム……すなわち星をめぐる精神的なエネルギーの道じゃな
'Spirit Energy' is a word that you should never forget.	『精神エネルギー』この言葉を忘れてはいかん
A new life…children are blessed with Spirit Energy and are brought into the world.	新しい命……子供たちは精神エネルギーの祝福を受けてうまれてくる
Then, the time comes when they die and once again return to the Planet…	そして、時が来て、死にまた星に帰る……
Of course there are exceptions, but this is the way of the world.	むろんいくつかの例外はあるがこれがこの世界の仕組みじゃ
I've digressed, but you'll understand better if you watch this.	いろいろ話してしまったがまあ、これを見たらわかるじゃろ
Spirit energy is the source of life for trees, birds, and humans. And not only living things.	精神エネルギーのおかげで木や鳥や人間は……いやいや生き物だけではない。
It makes it possible to form Planets.	星が星であるためには精神エネルギーが必要なんじゃ。
And if that Spirit Energy were to disappear…	その精神エネルギーがなくなったらどうなる？
It would be the end of life as we know it.	……終わりじゃ
…These are the basics of the Study of Planet Life.	……これが星命学の基本じゃな
If Spirit Energy disappears, our Planet will die.	精神エネルギーが失われると星が滅びる……
Ho Ho Hoooo. Spirit Energy is efficient BECAUSE it exists within nature.	ホーホーホウ。精神エネルギーは自然の流れの中でこそその役割を果たすのじゃ
When Spirit Energy is forcefully extracted, and manufactured, it can't accomplish its true purpose.	むりやり吸い上げられ加工された精神エネルギーは本来の役割を果たさん
You're talking about Mako energy, right?	魔晄エネルギーのことを言ってるのか？
Everyday Mako reactors suck up Spirit Energy, diminishing it.	魔晄炉に吸い上げられずんずん減っていく精神エネルギー
Spirit Energy is compressed in reactors and processed into Mako energy. All living things are being used up and thrown away.	魔晄炉によって過度に凝縮される精神エネルギー。魔晄エネルギーなどと名づけられ使いすてられているのは、すべて星の命じゃ
In other words, Mako energy will only destroy the Planet…	すなわち魔晄エネルギーはこの星を滅ぼすのみ……じゃ
The story of the planets… and those who lived with them…	星の話……星とともに生きた者の話……
If you want to know more, then you must listen to the words of the elders.	もっと知りたいかの？それなら長老たちの話を聞くとよかろう
Nanaki? His father a coward?	ナナキが？父親をふぬけと？
So that's it…Nanaki's been thinking that all this time…	そうか……ナナキがそんなことを……
Ho Ho Hoooo. You people.	ホーホーホウ。あんたたちか
Where is Nanaki? I hope he wasn't a burden.	ナナキはどうしてるかの？メイワクかけとらんかの？
Ho Ho Hoooo. I'm glad you're back, Nanaki.	ホーホーホウ。よく帰ったな、ナナキ
I hate to trouble you, but please look after Nanaki.	すまんが、これからもナナキのことをよろしくな
Ho Ho Hoooo. That's a machine only I can use.	ホーホーホウ。それはわしにしかあつかえんキカイじゃよ
Ho Ho Hoooo.	ホーホーホウ
…no time for humming now. The Planet is nearing imminent death.	……と言ってられる場合じゃないんじゃの。まさに星の死が近づいておる
But is this perhaps, what the Planet wanted? Did the Planet actually want to end like this?	しかし、これが星の望んだことかの？星はこんな終わりかたをねがったのかの？
I don't believe so. Were it not so, you people would still have much to do.	そんなはずはないじゃろう。だとすれば、まだあんたたちにもやれることはあるはずじゃ
And myself, too. Come back whenever you are in need of my knowledge.	もちろんわしにもじゃ。わしの知識が必要になったらいつでもきてくれい
Where is CLOUD? Wasn't he with you?	ところでCLOUDは？いっしょじゃないのかの？
Cosmo Candle	コスモキャンドル
Cosmo Canyon… This's where AVALANCHE was born…	コスモキャニオン……アバランチの生まれた場所……
I promised my guys someday… when we saved the Planet from the Shinra, that we'd all go to Cosmo Canyon and celebrate…	あいつらと約束してた。いつか……神羅からこの星をすくったその時にはコスモキャニオンへ行って祝杯をあげよう……
Now they're all gone… died for the Planet.	みんな……みんないなくなっちまった……この星を守るために
…Really? To save the Planet?	……本当に？この星の命を守るため？
We all… we all hate the Shinra…	オレたちは……オレは……神羅が憎かっただけ……
But is it right to go on?	そのオレに……これ以上旅をつづける資格はあるのか？
Will they… …will they ever forgive me?	あいつらは……それを許してくれるのか？
…Right now, I really don't know. But I do know one thing.	……今はわからねえ。だがよ、オレはきめたんだ
If there's anything I can do, to save the Planet…or the people livin' on it… Then I'm gonna do it!	オレが何かすることでこの星が……この星にすむ人間がすくわれるなら、オレはやるぜ
I don't care if it's for justice or revenge, or whatever. I don't care…	正義だとか復讐だとかそんなことは他のやつらが勝手に決めりゃいい
Urrrrrgh! I'm gonna do it!!	うおおおお！オレはやるぜ！！
Again… Again…AVALANCHE's born again!	もう一度……もう一度アバランチの結成だ！
Bonfires are funny, aren't they?	たき火って不思議ね
They make you remember all sorts of things.	なんだかいろんなこと思い出しちゃうね
You know, CLOUD. five years ago…	あのねえ、CLOUD。５年前……
…It's nothing.	……ううん
No, forget it. I'm afraid to ask…	やっぱりやめる。聞くのが……怖い
What is it?	なんだよ
It feels like… it feels like you're going far away…	CLOUD……どこかに行っちゃいそうで……
You really, really are… you…right?	CLOUDは……本当に本当にCLOUD……だよね
I learned a lot. The elders taught me many things.	わたし、べんきょうしちゃった。長老さんに教えてもらったの。いろいろ
About the Cetra… And the Promised Land…	セトラのこと……約束の地のこと……
I'm…alone… I'm all alone now…	わたし……ひとりだから……ひとりだけになっちゃったから……
But I'm…we're here for you, right?	俺が……俺たちがいるだろ？
I know. I know, but… I am the only…Cetra.	わかってる。わかってるけど……セトラは……わたしだけなの
Does that mean we can't help?	俺たちじゃ、力になれないのか？
What a boring place, just like I thought. I wanna go somewhere! Let's go find some Materia!	予想どおり、たいくつなとこだね～。はやく、どっか行こ！そいで、マテリア探そ！
I wonder how many years it's been… Gosh, it brings back memories……	こんなん、何年ぶりやろか……な～んや、いろんなこと思いだしますなぁ……
…Long ago.	……ずっとむかし
…When I was still very small. We were all around this flame…	オイラが本当に子どものころだ。あの日も、やっぱりみんなでこの火をかこんで……
No, never mind…	やっぱり話すのや～めた
It's about my parents.	オイラの両親のことだからさ
When I talk about my Mother, I am full of pride and joy…	母さんの話をするとオイラの胸はほこらしい気持ちではちきれそうになる
And that's fine. …But when I think of my father, my heart is full of anger…	それはいいんだ。でも、父親のことを思い出すとオイラの胸は怒りで……
…You really can't forgive your father?	……やはり父親が許せないか
Of course. He…left Mother for dead.	当たりまえだよ。あいつは……母さんを見殺しにしたんだ
When the Gi tribe attacked, he ran off by himself, leaving Mother and the people of the Canyon!	ギ族が攻めてきたときあいつは１人で逃げ出した。母さんと谷の人たちを放り出してさ！
…Come, Nanaki. There's something you should see.	……来るがよい、ナナキ。おまえにみせたいものがある
The place may be dangerous.	ちょっとばかり危険な場所だ
CLOUD. Will you and one other person come with us?	CLOUDよ。おまえと、あと１人いっしょに来てくれんか
…Where're they going?	……どこ行こうってんだ？
Can I go too?	私も行っていいの？
I wonder what he wants to show RED XIII?	何かしらね、RED XIIIに見せたいものって……
Dangerous? Count me out…	キケンなんやったらエンリョしますわ……
I wonder what he wants to show him? Hmm, maybe it's Materia that's been passed down for generations?	見せたいものって、アレかな？ホラ、この谷に代々つたわるマテリアとかさ！
Are we all set?	用意はいいかの？
Not ready yet? Tell me when you are ready.	なんじゃ、まだか。用意ができたら教えておくれ
Ho Ho Hoooo. Shall we go?	ホーホーホウ。なら、行くとするかの
All right. Come in, come in.	これでよし。さあ、入った入った
Okay. You lead the way, Grandpa…	あれ？じっちゃんが案内してくれるんじゃないの？
What, are you crazy? It's dangerous in there. I told you that!	な～に言うとるんじゃ。ちょっとばかり危険だと言うたじゃろ
You want an old man like me to go first? I'll be right behind you.	年寄りに先を行かせるのか？わしは後ろからついていくよ
Sealed Cave	封印の洞窟
What is it? You're going back? I'll be waiting here for you when you're ready.	なんじゃ、もどるのか？わしはここで待ってるから用意ができたらすぐくるんじゃぞ
I can't leave this door open forever.	この扉、いつまでも開けておくわけにもいかんのでな
Good. Then we shall proceed.	よしよし。それじゃ行くとしよう
Cave of the Gi	ギ族の洞窟
Everyone here's a Ghost of the Gi tribe, killed in a certain battle.	ここにいるのはみなギ族の亡霊じゃ。ある戦士に倒された、な
 A certain battle?	ある戦士……？
The vengeful spirits of the Gi didn't disappear, and couldn't return to the Lifestream…	しかし、死してなおギ族の憎悪の精神は消えず、ライフストリームに帰ることすらこばんでいるのじゃ……
We still have far to go. Ho Ho Hoooo.	先はまだ長いぞ、ホーホーホウ
This cave leads to the back of Cosmo Canyon.	この洞窟はコスモキャニオンの裏へとつづいておる
If we had been attacked by the Gi here, we wouldn't have stood a chance.	ここからギ族に攻め入られたらひとたまりもなかったじゃろう
This is a strange looking rock…	不思議な形をした石だ……
Break it open	くずしてみる
Leave it alone	そっとしておく
Funny looking rock…	おかしな形をした石だ……
An odd shaped rock…	きみょうな形をした石だ……
A strange shaped rock…	変わった形をした石だ……
Received "Added Effect" Materia!	『ついかこうか』のマテリアを手にいれた！
As you can see, this cave leads to the back of Cosmo Canyon.	みてのとおり、この洞窟はコスモキャニオンの裏へとつづいておる
Even though the Gi outnumbered us, they could not attack through here because the passage is too narrow.	ギ族はわしらより体も大きくなにより残忍じゃ。ここから攻め入られたらひとたまりもなかったじゃろう
Let's move on.	さあ、先へ進もうかの
Received "Black M-phone"!	『ブラックメガホン』を手にいれた！
This warrior went through the cave all alone.	その戦士はこの洞窟を１人で走りぬけた
Fighting attackers one after another…	次から次へと襲いかかってくるギ族と戦いながら……
Grandpa… That warrior…	じっちゃん……その戦士って……
Ho Ho Hoooo… We're almost there.	ホーホーホウ……あと少し、じゃな
Received "Fairy Ring"!	『フェアリーリング』を手にいれた！
What is this?	なんということじゃ……
Grandpa, is he?	じっちゃん、こいつは……！？
After death… The ghosts of the Gi. Like stagnant air…	死してなお……ギ族の亡霊が……よどんだ大気のように……
This…can't be!!	これは……いかん！！
…Thank you, CLOUD. because of you, we survived.	……ありがとう、CLOUD。あんたたちのおかげでなんとか助かったよ
Nanaki, you have grown strong, too.	ナナキもいつのまにか、ずいぶん強くなっていたんじゃな
…Oh yeah?	へへへ……そうかな？
Now I know that it wasn't a mistake bringing you here…	やはりお前を連れてきたのは間違いではなかったようじゃ……
Come, I have something I want to show you. Right over here.	さ、お前に見せたいものはすぐそこじゃよ
Received "Gravity" Materia!	『じゅうりょく』のマテリアを手にいれた！
Cet Wall	セトの壁
This is…	ここは……
…The warrior who fought against the Gi.	……その戦士はここでギ族と戦った
He kept them from taking even one step into Cosmo Canyon.	ギ族が一歩たりともコスモキャニオンに入りこめないようにな
But he was never able to return to town…	そして自分は二度と村へもどることは
Look, Nanaki. Look at your father, at the warrior, Seto.	見るがいいナナキ。おまえの父、戦士セトの姿を
…That… That's…Seto?	……あれが……あれが……セト……？
Seto continued to fight the Gi tribe here. …To protect this Canyon.	セトはあそこでギ族と戦いつづけた。この谷を守りつづけた
Even after the Gi's poisonous arrows turned his body to stone…… Even after they all ran away… Seto, continued to protect us.	ギ族の毒矢で体を石にされても……ギ族がすべて逃げだしたあとも……戦士セトはここを守りつづけた
And he continues to protect us, even now.	いまもこうして守りつづけている
Even now…	いまも……
You thought that he was a coward and ran away. But he, alone risked his life to protect Cosmo Canyon.	たとえ、逃げだしたひきょうものと思われても、たった１人、命をかけてコスモキャニオンを守ったんじゃ
That is your father, Seto.	それがおまえの父親セトじゃ
That…is Seto? …!? Did Mother know?	あれが……あれがセト？……！？母さんはこのことを？
Ho Ho Hoooo…She knew. The two of them made me promise to keep this cave shut.	ホーホーホウ……知っておったよ。２人はあの時、わしに頼んだんじゃ。この洞窟は封印してくれとな
They asked me to seal it myself and not to tell a soul.	わし１人で封印しそのことは誰にも話してはいけない
They said we should forget about this cave.	こんな洞窟のことは忘れた方が良いから、と言ってな
CLOUD… Would you mind leaving the two of us alone?	……CLOUD。勝手を言ってすまないがわしら、２人きりにしてくれんかの
Nanaki. I want you to continue your journey with CLOUD and the others.	ナナキよ。CLOUDたちと旅をつづけるのじゃ
Grandpa!?	じっちゃん！？
Listen, Nanaki.	聞くのじゃ、ナナキ
CLOUD says they are trying to save the Planet.	CLOUDたちは星を救うなどと言っておるな
Honestly, I don't think it can be done.	正直なところ、そんなことができるとは、わしには思えん
For even if they stop every reactor on the Planet, it's only going to postpone the inevitable.	この星のすべての魔晄炉を止めても星の死は、ほんの少しのびるだけじゃ。
Even if they stop Sephiroth, everything will perish.	セフィロスとやらを倒しても同じこと。かたちあるものは必ず滅す、じゃ
But, Nanaki. I've been thinking lately.	だがな、ナナキ。わしは最近考えるんじゃ
I've been thinking if there was anything WE could do, as a part of the Planet, something to help a Planet already in misery…	こんなにも星が苦しんでいるのに星の一員、いや、星の一部であるわしらにできることは本当に何もないのか、とな
No matter what happens, isn't it important to try?	結果はどうなろうと何かやることが大切なのではないか？
Am I just wishing against fate?	わしは運命を受け入れすぎるのではないか？
I am too old to do anything about it…	だが、何かをするにはわしは年をとりすぎた……
This year, I'll be 130. Ho Ho Hoooo.	ことしで１３０歳じゃよ。ホーホーホウ、じゃ
That is why, Nanaki, you must go with them! For my sake.	だからナナキよ、行けい！わしの代わりにすべてを見とどけるんじゃ
Grandpa…	じっちゃん……
I wanted to show you your real father before you left…	おまえがここを離れる前にどうしても父親の真実の姿を見せておきたかったんじゃ……
I'm so glad that you came back while I was still alive to show you.	わしが生きてるうちにおまえが帰ってきてよかったわい
Grandpa…don't talk like that. I don't want to think of life… without you…	じっちゃん……さみしいこと言うなよ。じっちゃんがいなくなるなんてオイラ……
Ho Ho Hoooo. Well, I've had a long life.	ホーホーホウ。わしはもうじゅうぶん生きたよ
Grandpa! You must live!	じっちゃん！生きててくれなくちゃダメだ！
I'll see to it.	オイラは見とどける
I'll see to what's happening to the Planet. And I'll come back to tell you.	星がどうなるのかを見とどけてそして帰ってくる。じっちゃんに報告するために
Nanaki…	ナナキ……
I am Nanaki of Cosmo Canyon! The son of the warrior, Seto!	オイラはコスモキャニオンのナナキ。戦士セトの息子だ！
I'll come back a warrior true to that noble name! So please, Grandpa…	その名にはじない戦士になって帰ってくる！だから、じっちゃん！
That's…Seto's… Seto…	あれは……セトの……おお……セト……
Seto… Fa…Father…	セト……父……さん……
Shall we get going?	そろそろ出発しようか
So this is it, RED XIII…	ここで、お別れね。RED XIII……
That's just the way it goes. …You came in handy at times…	しかたねえさ。……けっこう頼りになるやつだったんだけど、な
The buggy's fixed, so we can go now.	バギーは何とか動けるようになったぜ
They said they finished fixin' the buggy.	バギーの修理、終わったらしいぜ
