Wall Market	ウォールマーケット
Well, my father, the owner, has been in a slump lately. You see, he makes all the dresses.	ちょっと親父の奴スランプなんですよ。あ、ドレスは俺の親父が作ってるんですよ
And, where is your father?	その、親父さん、どちらに？
He's probably plastered at the bar.	たぶん、居酒屋で飲んだくれてますよ
So… You're saying we can't get a dress unless we do something about your father?	それじゃ……親父さん、どうにかしないとドレス、ダメってこと？
Yes, I'm sorry. He's caused so much trouble.	はい、そうですね。こまったもんですよ
!	！
You'd help me bring him back?	もしかして、お客さん。どうにかしてくださるんですか？
Well, if we don't do something, we don't get a dress, right?	だから～！　どうにかしないとドレス、手にはいらない、でしょ？
Really!? Please help my crazy old dad. I just don't know what to do anymore…	本当っすか！おねがいしますよ、あのバカ親父をどうにかしてくださいよ。もう、困り果ててたんすよ………
All right, we'll do something. Let's go, CLOUD!	はいはい、どうにかします。CLOUD、行きましょ！
So how did it go?	どうでした？
We couldn't find him yet.	まだ、会っていない
Oh, you're here. It's ready. Go try it on.	よう、来たな。できとるよ。さっそく着てみなさい
Received Key Item "Cotton Dress"!	キーアイテム『コットンのドレス』を手にいれた！
Received Key Item "Satin Dress"!	キーアイテム『サテンのドレス』を手にいれた！
Received Key Item "Silk Dress"!	キーアイテム『シルクのドレス』を手にいれた！
How…do you put this on?	これ……どうやって着るんだ？
Whoa! What are you doing!	わ！　なにをするんだ！
It's still not right. A wig! That's what you need!	やっぱり、ちょっと変。かつら、必要だね
Umm, I thought you might, so I talked to my friend about getting one.	うむうむ、そうだろうと思って知り合いに話をしておいたんじゃ
You know the gym? You'll find a lot of people there like you. Go and talk to them.	『男男男』とかいう看板を出しとるジムがあるじゃろ？そこに、あんたと同じ趣味の人がいるんじゃ。彼に相談してみるとよいじゃろう
…'like you'? AERIS, what did you tell him?	……同じ趣味？AERIS、親父さんにどんな説明をしたんだ？
Does it matter? Anyhow, we got a pretty dress!	いいじゃない、なんでも。ドレス、きれいだしね！
Hmm, not bad. This may be a new business for me.	ほう、これはなかなかどうして。新しい商売になるかもしれんぞ
Yeah, you're right. Should we try it?	そうだね、やってみようか
Thanks for showing us something new. My father's got his motivation back now, so the dress is on the house.	あんたたち。おもしろいものを見せてもらったよ。親父もやる気出してくれたしそのドレスの代金はサービスしとくよ
Walk more nicely like…this, Miss CLOUD.	おしとやかに歩いてね。CLOUDちゃん
…What do you mean 'nicely'?	……何がおしとやかにだ
Oh you're so cute, Miss CLOUD.	CLOUDちゃん、かわいい
Looks like everything went well. He's been making the dress ever since he came back.	うまくいったようですね。帰ってきてからずっとドレスを作ってましたよ
So? Were you able to get the wig?	どうです？かつらは手に入りましたか？
Looks like you got it. So try it on for size.	手に入ったようですね。早速着替えてみてくださいよ
Welcome. Please take your time.	いらっしゃいませ。ゆっくり見ていってください
Don't push! Hooligan!	なによ、押さないでよ。マナー悪いね
You're dressed normal today. If something else interesting comes up, let me in on it.	今日は、普通の格好じゃな。また、おもしろそうな事があれば相談にのるぞ
So, how was it? Were you able to see him?	どうじゃ？会えたかな？
Hmm, good. It looks good on you.	うんうん。似合っとる、似合っとる
Looks like you're all set. Now try it on, and let's see how it fits.	そろったようじゃの。早く着てみせてくれ
Aren't you going to change?	着替えるの？
Okay…I'm ready	かくごを決めた
Not now	今は着替えない
…Hmm. It's REALLY somethin'.	……なんだかすごいもんですね
Aaah, I want one. Do you have one that'll look good on me, too?	でも、いいな、それ。ね、わたしに似合うドレス、な～い？
How's this?	これは、どうでしょう？
How about that one?	いやいや、こっちの方がいいぞ
Father, what are you talking about? This one's much better.	親父、何言ってんだよ。これがいいって
No, what are you saying? This one.	なにをいっとる。こっちじゃよ
…I want THIS one.	あ、わたし、これがいい
I'm going to go change.	ちょっと、着替えてくるね
…No peeking!	……のぞいちゃダメよ
So? How do I look?	どう？　似合ってる？
Oh, you're no fun!	もう、かわいくないなぁ！
You're…	あなたって
weird.	ヘン
Sir…	ポッ……♥お客さん♥
Choose the BEST 'flavor' from the 4 rooms.	４つのお部屋から好きなコースを選んでね♥
But you can only choose from an unoccupied room.	空いてないお部屋はダメなのよ♥
Hurry…	はやくっはやくっ♥
Please choose a room. (Gosh, he's so weird… but then again, they all are.)	お部屋を選んでね♥（変なお客……。ま、いつものこと♥）
Looks like this room's being used.	使用中のようだな
Take a listen	聞き耳をたてる
Take a peek	のぞき見る
…Wooo…ow!!	……すごい！！
Looks like it's unoccupied.	空いているようだな
I guess I'll take this one	この部屋にするか
Hold ground	ふみとどまる
I'll take this room.	この部屋に決めたよ
I wonder if they'd change it if I asked?	たのんだら、変えてくれるかな
I want this room	こっちの部屋がいい
I've changed my mind… …I want to change rooms.	気が変わったんだが………チェンジだ
All right. Now all we have to do is enter the room.	は～い♥決めたら、後はお部屋に入るだけよ♥
You're not going to have a change of heart, are you?	もう気持ちは変わらない？
Don't make me repeat myself	何度も言わせないでくれ
I'm still trying to decide	まだ決めかねているんだ
Oh, don't be angry with me… (Geez…this one's probably the violent type…)	怒っちゃや～♥（いやだ……きっと、乱暴なお客ね…）
There you are. Enjoy yourself (You moody creepo!)	いいわ～ん♥ゆっくり考えて♥（ムッツリさん！）
All right, please.	は～い♥　どうぞ♥
Oh, yes sir. (So indecisive…)	はぁ♥　はいはい♥（優じゅう不断…）
OK, b-y-e!	じゃあね♥バイバ～イ♥
Received "Sexy Lingerie"!	『セクシーランジェリー』を手に入れた。
…wheez…	ハァ……
Phew…	フゥ……
What's wrong, Grandpa? You keep sighing.	じいさん、なんです？ためいきばっかりついて……
…wheez…puff… You know, Grandma…	ハァ……そやかてなぁ、ばあさん…
Is this the room?	またこの部屋のことですか
…whew… I know our son rented this for us and all, but…	ハァ……なんぼ息子がかりてくれたゆうてもなぁ…
It's too nice for us. Big round bed, gorgeous tub, I just can't get comfortable.	わしらにこんな立派な部屋はなぁ。まるいふとんにカクカクふろわし、どうもおちつかんのやわ
Don't worry about it. It's a high class neighborhood, in the Big City.	ええんとちゃいますか。ここらは大都会の下、高級地なんですよ。ばちがあたるちゅうもんですよ
You keep complainin' and we'll get in trouble.	なあ、ばあさん。息子のつとめとる会社なんつうたかいのう……
Hey Grandma. What's the name of the company our son works for?	まあ、じいさん。またわすれてしもて……
Oh, Grandpa. Did you forget again?	はあ……さいきん、どうもなぁ…
…heave… It's getting worse…	神羅会社ですよ、神羅会社。大都会で一番大きな会社ですわ
It's Shinra, you know, Shinra, Inc.? It's the biggest company in the city.	はあ、一番大きいつうたら立派なもんやな
If it's the biggest company, it must be something.	ほんまに。立派なもんですわ
Yeah. It IS really something.	なんや、ようさん出世していまじゃ、部長さんやゆうてましたわ
He's doing well, and he told me that he's been promoted to department head.	ほう……。わしらがこんな部屋住めんのも息子がえろなったからやのう
Oh…thanks to him we're able to stay in a room like this.	ありがたいこっちゃで
Yeah, I'm really grateful.	ほんま、ありがたいですなあ
Well, you wanna go to sleep?	ほんな、もうねよか…
All right…	そうしますか
Good night.	おやすみなさい
Yeah, good night.	はい、おやすみなさい
…Heebeebeebee…snore…	スヤスヤ……
…The wind's calm now…	……風がやんだ……
It's the curse of the resurrected Satan…	よみがえりし魔王の呪いか…
Our beloved Queen does not awaken…	我が最愛の女王は目覚めぬ……
The time is ripe…	時は満ちた……
A legend has been passed on through generations…	『…古代よりかの地に伝わる伝説…』
…Legend…	……伝説……
…they sought the Promised Land…	……求めるは、約束の地……
…one with blue eyes…	……青きひとみもつもの……
…and a great white sword on his back…	……白刃の大剣を背に……
…will not lead us to the Promised Land…	……約束の地へ導かん……
…annihilation…	……破滅……
…destruction…	……崩壊……
…a dark being…	……黒き者……
…will guide you…	……おまえを導く……
Psst… (Hey, shouldn't we stop him soon?)	ひそひそ……（おい、そろそろ止めないとまずいんじゃないのかい？）
…whisper…whisper… (We have a luncheon with President Shinra…)	ひそひそ……（プレジデント神羅と会食の約束だろ…）
Psst… (You tell him……)	ひそひそ……（おまえ言えよ……）
Psst… (I can't tell him…)	ひそひそ……（言えるわけないだろ……）
Psst… (Come on!! Oh, well…)	ひそひそ……（チェッ！！ま、いいか……）
Psst… (I'm so disgusted with the President.)	ひそひそ……（まったくうちの社長にもあきれるよ）
Psst… (This happens every time we come to Midgar on business.)	ひそひそ……（ミッドガルに出張のときは毎度だぜ。ゴールドソーサーからはるばる来てよ…）
Psst… (What're you complaining about? You're just holding the lights. I've gotta wear this heavy armor!)	ひそひそ……（おまえはまだいいよ、照明係なんだから。俺なんてこのヨロイ！すげえ重いんだぞぅ）
Psst… (I know, I know… but it's all part of the job.)	ひそひそ……（ハイハイ……これも仕事ですから）
Psst… (Oh yeah, did you hear? The President's wife found out about this little hobby of his.)	ひそひそ……（そういや、聞いたかい？社長の王様道楽が奥さんにばれたって話）
Psst… (Ha, ha…no way, I didn't know that.)	ひそひそ……（クックッ……うそ、それ初耳）
Psst… (Oh, looks like he's done. Man, I'm glad!!)	ひそひそ……（あ、終わったみたいだぞ。ああ～助かった！！）
Geez!! Mr. President!! I mean, Your Majesty.	ゲッ！！社長！！じゃ、なかった王様……
Ohhh…I'm sorry. Please remove the ancient curse!	うわ～、すいましぇ～ん。古代の呪いはゆるしてぇ～
Psst… (Oh man, not again!?)	ひそひそ……（おいおい、またかよ！！）
Psst… (How many times IS this?)	ひそひそ……（もうこれで、何回目だ？）
Psst… (I don't even know… whew…the King sure gets into this…)	ひそひそ……（知らねぇよ……。ハァ…王様、すぐ調子にのるからなあ）
Oh no!	やだ！♥お客さ～ん♥
Help! Someone…! Hurry!	たいへ～ん！だれか～だれか、きて～♥
…rub, rub, rub… rub, rub, rub, rub…	モミモミモミ…モミモミモミモミ……
…thump…pound… thump…pound…	タントントン……タントントントン……
…poik…poik… …squish.	ツンツン…………チクッン♥
Uh…OW!!	うっ……いてっ！！
CLOUD's HP/MP Restored!	CLOUDのＨＰ／ＭＰが回復した！
Received Key Item "Lingerie"!	『ランジェリー』を手に入れた。
This way, please.	さ、お客さん♥こっちこっち♥
Shall we begin?	さ♥　はじめましょ♥
I guess since you chose this room, that would mean you…	お客さん♥この部屋を選んだってことはぁ…
Hate being lonely?	さびしがりやさんなんだ？
I'm used to being alone	孤独には、なれている
Cut the small talk	むだ口はやめてくれ
All right, all right. (…geez, you're so moody!)	はいはい♥（…ムッツリさん♥）
Come on, everyone's waiting.	さ、みなさん、おまちかねですから
Everyone?	みなさん……？
What am I doing?	なにしてるんだ、俺は？
Here they are.	ほら、来た来た♥
All right, everyone.	はい、みなさ～ん♥
I'm always alone.	俺はいつだって独りさ
I don't want to talk right now.	話したくないんだ
One, two!! One, two!!	わっせ！！わっせ！！
Fyuuu--!!	ふゅ～っ！！
Urrrgh!!	んがっ！！
…heave…pant… …wheeze…heave…	ハァハァ…ハァハァ…
Yeah!!	チィーッス！！
Mukki	ムッキー
Wassup!!	ウッス！！
(Smile, smile, smile…)	（にこにこにこにこ……にんまり）
Wassup!!	ウィーッス！！
Oh man…	まいったな……
What should I do?	どうするか……？
I'm outta here.	俺は帰らせてもらうよ
This could be dangerous…	身の危険を感じるな…
I've got no time to mess around with you.	おまえたちにつきあってるひまなどない
Outta my way!	道をあけてもらおうか！
Looks like I'm always going to be facing crises all my life…	どうやら、俺は絶対絶命の危機におちいってるようだな…
Don't be so embarrassed! Loosen up, bubby!	照れちゃだめだ！　照れちゃ！かたいことはいいっこなしだ、ぼうず！
Let's wash off all our sweat and dirt together!	ともに青春のアカとアセを流そうではないか！
Bubby! So you're the intimate type, eh?	ぼうず！！着やせするタイプだな
…heave…pant… Wow!! Would ya look at that!?	ハァハァ……立派なもんだ！！
Isn't bathing great?	ハァ、ビバビバ……ふろはいいなあ
It soothes you.	心がやすらぐなあ
How is it, bubby!?	どうだ、ぼうず！
Feels good, huh?	気持ちいいだろ？
It hurts	苦しいな
Too stuffy in here…	暑苦しいだけだ……
I don't feel good. Let me out…	気分が悪い。出してくれ…
You'll get used to it. Try counting to ten.	がまん、がまん。１０数えるまでだめだ
Ten…	１０……
Nine…	９……
Hey bubby, how old are you?	ぼうず、年はいくつだ？
Eight…	８……
Twenty one…	２１だ…
You're less than half my age. I'm so jealous.	僕の半分もいってないわけだ。いいねえ
So how 'bout it?	どうだい？　ぼうず
Do you wanna join my 'Young bubby's' group?	ムッキーの青春サークルに入らないかい？
Seven…	７……
Six…	６……
Not to be rude or anything, but could you do someone else?	悪いがほかをあたってくれ
Well, if that's how you feel…too bad.	そうかい、残念だなあ
We have a trip planned at a cabin out in the country.	これから、太陽のふりそそぐ国での合宿もあるんだけど
Five…	５……
Four…	４……
Three…	３……
Two…	２……
One…	１……
Alright, that's ten. I'm gettin' out.	さ、約束の時間だ
Why don't you stick around and play a bit?	すこしは遊んでくれてもいいんじゃない？
 Daddy's so lonely…	………おじさん、さびしいよ…
Bubby!! This is important to me.	ぼうず！！これ、僕のだいじなもの
Here's a memento of our time together!	今日の記念にぼうずにあげよう！
Hope we meet again!	また会えるといいね！
Received Key Item "Bikini briefs"!	キーアイテム『ビキニパンツ』を手にいれた！
This is SOME underwear… I'm supposed to wear this?	すごいパンツだな……これを俺がはくのか……
Well, if it's to save TIFA… I guess there's no choice.	……仕方がない。TIFAを助けるためだからな
Hmm? You!?	ん……？あんたなのか……？
What are you doing in a place like this?	こんなところでなにしてる？
That's what I wanted to ask you. Should you be foolin' around here?	『そっちこそ、こんなとこで遊んでていいのかい？』
You think problems go away by just thinkin' about them?	『いつでも頭かかえてれば間題が解決するとでも思ってる？』
You can't change anything by just sitting back and looking at it.	『遠くからながめてるだけじゃなにも変わらないって気づいたんだろ』
What are you saying?	なにいってる？
It's started moving.	『動きはじめたみたいだよ』
Wake up!	『ほら、目を覚まして！』
Wake up!!	目を覚まして！！
Phew, I'm so relieved.	ふぅ～♥よかったぁ♥
Bubby!! I heard you collapsed.	ぼうずっ！！倒れちゃったんだって？
No, no, no.	だめだ、だめだ
Don't get so uptight.	緊張しちゃいかんなあ
Huh…?	ああ……？
Ugh…!	うう……？
Hmm? They say youth is so long yet so short.	んっ……？まっ、青春は長くてみじかし
Let's give this next one your best shot.	次、がんばんなさい
Time's up. Bye, bubby.	もう時間だっ♥じゃね♥
I'm so sorry… There's a lot of 'adult' things going on…	ごめんなさいね……♥いろいろと大人の事情ってもんがあるのよ♥
For your inconvenience, Please take this, okay?	これ、おわびのしるし♥大切にあつかってね
Received Key Item "Lingerie"!	キーアイテム『ランジェリー』を手にいれた！
What, this rag? For me!? I just don't get it.	こんなヌノキレを、俺が！？まったく、どうかしてるな
Don't get depressed over a thing like this.	こんなことで落ちこんでちゃいけないぞ
It happens to me all the time.	おじさんなんかしょっちゅうなんだから
Hmm, hmm, hmm…	フンフンフン……♥
Ohhh, I just can't seem to lose weight.  Hmm, hmm, hmm…	う～ん♥なかなかほそくなんないのよね。フンフンフンフン……
Sir!! You can't come in here.	あら、いやだ！！お客さん、こんなとこまで入ってこないでね♥
(Yuk…a pervert…)	（いやだわ……エッチなお客さん…）
Oh my!! (…You're still here? Oh well, good timing anyway.)	あら！！（……まだいたの。ま、いいわ、ちょうどいいし）
Hey, what do you think about me?	ねぇ、わたしのことどう思う？
(Of course…) Oh, I'm so happy. In what way?	（当然よ……）あら、うれしい。どんなふうに？
NO WAY! I'M SO SHOCKED!!	ガーン！　ショック！！
Oh my!! Are you embarrassed? (Man!! Why are you so moody?)	あら！！照れちゃってるのかしら。（フン！！なによ、ムッツリしちゃって…）
Hmm, hmm, hmm, hmm… Hmm, hmm, hmm, hmm… Hmm, hmm, hmm, hmm…	フンフンフンフン……フンフンフンフン……フンフンフンフン……
Phew…… …it's so tiring.	ハァハァ……。……ハードだわ
Oh!!	あら！！
Is something the matter?	どうかしら？
Not yet	まだだな……
OH!!	ムカッ……！！
Hmph!! Listen you, not that you care, but you sure know how to make people mad.	フン……！！あなた、どうでもいいけど人を怒らせる才能あるかもよ
Paste, paste, paste…	ぬりぬりぬりぬり……
(Oh God…here's another one of those guys. You know, the delicate type. Just ignore him, just ignore him.)	（やだ……ときどきいるのよね。こういう、デリカシーのない男…。無視無視）
Fluff, fluff, fluff…	パフパフパフパフ……
(Hmm! I guess he doesn't realize his position. I feel sorry for him. Just ignore him, just ignore him.)	（フン……！自分の立場がわかってないのね。みじめな男、もう完全に無視無視）
Pita, pita, pita…	ピタピタピタピタ……
(God, what a pest! All right, get out of here! You dog…)	（しっ、しつこいわね！ハイ！　あっち、いって！野良イヌ男……
(That's it, I'll name him 'pooch'.)	（そうだ、名前はポチにしましょう！）
Mix, mix, mix……	かきかきかきかき……
(What should I do? Is he following me? Really? What if he follows me home?)	（どうしましょう……。つきまとわれている？　わたし？帰り道にまちぶせとかされたら…
(Poochy'll do it, I'm sure of it…)	（やるわ…きっと、このポチ男なら…）
Shake, shake, shake…	シャカシャカシャカ……
(You think he's after me? Really? This guy makes me sick… And his eyes are weird, too…)	（ねらわれている？　わたし？この男、気持ち悪い……。目の色とか変だし
(Yeah, don't hurt these guys' feelings. Let's at least say 'hi' to him.)	（そうね、こういう男は、傷つけちゃダメ。あいさつだけでもしてあげましょ）
Uhh… Hel…Hello.	ポッ……こ、こんちわ
What a nice day, today.	今日は、いいお天気ね
Introduce yourself	じこしょうかいする
Say Goodbye	さよならだ
By the way, I haven't introduced myself yet.	そういえば、じこしょうかいがまだだったな
I'm CLOUD, a jack of all trades.	俺は何でも屋のCLOUDだ
Oh, yeah…? Welcome, CLOUD.	あら、そう……。CLOUDさん、ごくろうさま
(Gross!  Don't get carried away, remember your name is 'Pooch!')	（なによっ！　すぐ調子にのるんだからあんたの名前はポチなのよ！）
BYE!! (Phew…I'm safe now…)	バイバイ！！（フッ～♥たすかった…）
Take care…CLOUD.	ごきげんよう…CLOUDさん
Uh…. Do you put makeup on?	あ、あの……？もしかして、おけしょうとかしちゃう？
Eyaaah!	イヤン♥
Don't watch!!	見ないで～！！
Eyaaah!	キャッ♥
Don't!	だめーっ！
…Oh my…	……………………プッ♥
If I were to dress up like a woman… Then I've got to really prepare carefully.	女装するとなれば……にゅうねんな準備が必要だ
I should be able to put makeup on here.	ここなら、おけしょうできそうだ
Have them make me up	けしょうしてもらう
Don't do it	やめておこう
I have a favor to ask of you. Can you put makeup on me, too?	たのみがあるんだ。俺にもけしょうをしてくれないか
Oh…my…	プッ……♥
Damn!! Your friend's hot, too!	おおッ！！お友だちもこれまたカワイコちゃん！
Come in, come in!!	ささ、中へ中へ！！
Two ladies coming through!!	２名様、おはいり～！！
Corneo Hall,1f.	コルネオの館１階
Hey, ladies.	お～い、おネエちゃんたち
I'll go and let the Don know you're here. Wait here. Don't wander around…	いまドンにしらせてくるからさ。ここで待っててくんな。ウロウロしないでくれよ
The Don's waiting in his room…  Ha ha ha…	ドンがこの部屋でお待ちかねだよ。ヘヘヘ……
Now's our chance. Let's find TIFA.	いまのうち。さがしましょ、TIFAさん
I wonder where she is?	TIFAさんどこにいるのかな……
Closed…	かたくとざされている……
Office of	ドン・コルネオのオフィス
Don Corneo	許可なきものの
Keep Out!	立ち入りを禁ず
Torture Room	おしおき部屋
…TIFA?	……TIFA、さん？
Nice to meet you. I'm AERIS.	はじめまして。わたし、AERIS
CLOUD's told me a lot about you.	あなたのことCLOUDから聞いてるわ
…And you are?	……あなたは？
Hey you're the one with CLOUD in the park…	あっ、公園にいた人？CLOUDといっしょに……
Right, with CLOUD.	そ、CLOUDといっしょに
Oh…	そう……
Don't worry. We just met. It's nothing.	安心して。少し前に知り合ったばかりよ。なんでもないの
What do you mean, Don't worry'…about what?	安心って……何を安心するの？
No, don't misunderstand.	ああ、かんちがいしないで
CLOUD and I grew up together. Nothing more.	私とCLOUDはたんなる幼なじみよ。なんでもないの
Poor CLOUD, having to stand here and listen to both of us call him nothing.	ふたりして『なんでもない！』な～んて言ってるとCLOUD、ちょっとかわいそう
Right, CLOUD?	ね、CLOUD？
CLOUD?	CLOUD？
????	？？？？
CLOUD!?	CLOUD！？
Why are you dressed like that!? And what are you doing here!?	その格好はどうしたの！？ここでなにしてるの！？
Never mind, what happened to you after the fall!? Are you hurt!?	あ、それよりあれからどうしたの！？身体はだいじょうぶ！？
Slow down, let me answer.	そんなにいっぺんに質問するな
I'm dressed like this because there was no other way to get in here.	この格好は……ここに入るためには仕方なかった
I'm all right. AERIS helped me out.	身体はだいじょうぶだ。AERISに助けてもらった
Oh, AERIS did…	そうなの、AERISさんが……
TIFA, explain what you're doing in a place like this?	TIFA、説明してくれ。こんなところで何をしているんだ
Yeah, um…	え、ええ……
Ahem!! I'll just plug my ears.	オホン！わたし、耳、ふさいでるね
Please, go on with your private conversation.	さあ、どうぞ、ヒミツのお話
…I'm glad you're OK.	……とにかく、無事でよかったわ
Thanks. What happened?	ああ。で、何があったんだ？
When we got back from the Sector 5 reactor, we saw a weird man.	五番魔晄炉からもどったら怪しい男がうろついていたのよ
BARRET caught him and squeezed some information out of him.	その男をBARRETがつかまえてキューッとしめて話を聞き出したの
That's when the Don's name popped up.	ここのドンの名前が出たわけか
Right, Don Corneo.	そう、ドン・コルネオ
BARRET told me to leave the lech alone…	BARRETはコルネオなんて小悪堂だから放っておけって言うんだけど……
But something's been bothering me.	なんだか気になって仕方がないのよ
I see. So you wanted the story straight from Corneo's mouth.	わかったよ。コルネオ自身から話を聞こうってわけだな
Well, I made it here, but now I'm stuck.	それで、なんとかここまで来たけどちょっと困ってるの
Corneo is looking for a bride.	コルネオは自分のおヨメさんをさがしてるらしいの
Everyday, he gets three girls, chooses one of them, and then… …well…	毎日３人の女の子の中から１人を選んで……あの……その
Anyway, I have to be the …girl for tonight.	とにかく！その１人に私が選ばれなければ……今夜はアウトなのよ
Sorry, but I overheard…	あの……聞こえちゃったんだけど
If you know the three girls, there's no problem, right?	３人の女の子が全員あなたの仲間だったら間題ナシ、じゃないかな？
I guess so, but…	それはそうだけど……
We have two here, right?	ここに２人いるわよ
No, AERIS! I can't involve you.	ダメだ、AERIS！あんたを巻きこむわけにはいかない
Oh? So it's all right for TIFA to be in danger?	あら？　TIFAさんなら危険な目にあってもいいの？
No, I don't want TIFA in…	いや、TIFAは……
Is it all right?	いいの？
I grew up in the slums… I'm used to danger.	わたし、スラム育ちだから危険なこと、なれてるの
Do you trust me?	あなたこそ、わたし信じてくれる？
Yes. Thanks, Ms. AERIS.	ありがとう、AERISさん
Call me AERIS.	AERIS、でいいわよ
He---y!!	お～い！！
It's time, ladies. The Don is waiting!	お姉ちゃんたち、時間だよ。コルネオ様がおまちかねだ！
I told you not to wander around… I tell ya, women nowadays…	ウロウロするなって言ったのに……これだから、ちかごろのおネエちゃんたちは……
Hurry up, will ya!	はやくしてくれよ！
I guess I don't need to ask but, the other girl is…	聞くまでもないと思うけどあとの１人はやっぱり……
me…right?	俺……なんだろうな？
You're right, you didn't need…	聞くまでも
…to ask.	ないわね
They're going to get suspicious if we don't hurry.	はやくいかないとあやしまれない？
Ha ha. You know, you don't look bad, if ya don't look closely.	フフフ……その格好よく見るとナカナカじゃない
I wonder what BARRET would say if he could see you?	BARRETが見たらなんて言うかな……
Embarrassed? Come on, speak up!	な～に、テレてるの？ダメ、ちゃんと話さないと！
Hey, what's the secret?	ねえ、ヒミツのお話は？
No---!!	イヤ～！！
I'm so sorry!!	ごめんなさ～い！
Corneo Hall,2f.	コルネオの館２階
Kotch	コッチ
All right, ladies!	よ～し娘ども！
Line up in front of the Don!	ドン・コルネオの前に整列するのだぁ！
Don Corneo	コルネオ
Hmmm! Good, splendid!	ほひ～！いいの～、いいの～！
Now, let's see… Which girl should I choose? Hmm---hmm---!	どのおなごにしようかな？ほひ～ほひ～！
This one?	このコにしようかな～？
Or this one?	それともこのコかな～？
Woo-hoo, I've made up my mind!!	ほひ～！！決めた決～めた！
My choice for tonight is…	今夜の相手は……
This little beauty!	この元気そうなおなごだ！
Phooey… Be nice, Don.	ウフフ……よろしくね♥ドン・コルネオ
This slender little girl!	このほそっこいおなごだ！
Don, you've got great taste.	まぁ、コルネオさんたらお目が高いわ
This healthy-looking girl!	この骨太のおなごだ！
Wa, wait a sec! I mean, uh, please wait a moment!	ちょ、ちょ、ちょっと待て！いや、待ってください！
Woo-hoo!	ほひ～！
I love chickies who play hard-to-get! Yeowza!	そのこばむしぐさがういの～、うぶいの～
You can have the rest!	後はオマエたちにやる！
Yes, sir! Thank you sir!	ヘイ！！いただきやっす！
Shall we go, my pretty?	さ～て、行こうかの～！
Whoa!	おおッと！
Slow down, what's the hurry? Why don't you stick around? We'll treat you real nice!	そういそがないでもっとオイラたちとたのしもうぜェ～
Scotch	ソッチ
Hey guys! We've got guests.	おいお前ら！お客さんだ
We'll take REAL good care of you.	た～っぷりとかわいがってやんな
This is all thanks to the big boss, Don Corneo!	これもみなビッグなドン・コルネオのおかげだぞ！
Heeey!! Three cheers for Don Corneo!!	へ～い！！ドン・コルネオバンザーイ！！
Heh, heh… Well ladies, are we all, uh, ready?	へへへ……さて、用意はいいかいおじょうさん？
Hey…you're in pretty good shape. Lookit your tight little bod…	あんた、なかなかいいカラダしてるねェ。こう、ムッチリと……
It's more like…muscles…	……っていうより、なんかガッチリしてんなあ……
Oh your eyes. They seem to…glow. I'm all yours, baby!	おお、キミのそのヒトミ。なんて不思議な輝き……ぼくはもうキミのトリコさ！
Come on, dance with me, beautiful. They say if two people dance together, their hearts will become one…	さあ、おどりましょうおじょうさん。２人でステップをふめば身も心もひとつに……
Come on, baby!	カモンベイベー！
Woo-hoo! I gots ants in my pants wanna do a dance, gotta take a chance, and mebbe find romance!	オマエのハートはキュートでタイトグッドなビートでヒートアップ！
…leer…snicker…	ニヤニヤ……
Hey…what's wrong? You want me to keep you company?	ヘヘ……どうした？なんならオレが相手してやろうか？
I'm flattered, but no thanks.	いえ……せっかくですけどえんりょしますわ
Because?	だって……？
I ain't INTERESTED in a buncha scrubs like you!!	アンタらみたいのは俺のシュミじゃないんでね！！
Wha…a MAN!???	な……オトコ！？
Goddamn it! Don't think you'll get outta this! Get him! Beat the *%#@ out of him!!	コノヤロ～！だましやがったな！やれ！やっちまえ！！
Grr! C'mon, what's the matter with you good-for-nothings!?	ク～！！だらしないヤツらめ！
All right now, COME ON! I'll show you how it's done!!	い、いくぞ！手下の意地を見せてやる！！
Received "Phoenix Down"!	『フェニックスの尾』を手にいれた！
TIFA!!	TIFA！！
We've gotta help AERIS!!	AERISを助けるぞ！！
Hey, don't you even care about how I am? ….nevermind, let's go!	ちょっと、私はどうでもいいの？……まあいいわ、急ぎましょ！
Of course! If you take me lightly, you're gonna pay for it!!	あったりまえ！私をアマく見るとイタいめにあうんだから！！
No---!! Help!!	キャ～！！イヤ～！！
oh, oh, oh…	ト、トトト……
heh, heh, heh!!	ウワ～ア～ア～！！
C'mon…just once… I won't tell…I promise!	一度でいい……一度でいいから……
I just wanted to act like I got a a cute girl…	カワイイ女の子とスウィ～トな恋人どうしを演じてみたかっただけなのに……
Just once!	キュー！！
AERIS!!	AERIS！！
We gotta help TIFA!	TIFAを助けるぞ！
I told you. I'm used to danger.	言ったでしょ。危険なことにはなれてるって
To tell you the truth, my heart was pounding!	でもホントはちょっとドキドキしたけどね！
Ye…yes, you're right… …let's hurry!	え、ええ、そうね…………うん、急ぎましょ！
Ha ha ha… Wait, you…	ハハハハ……まてよォ、こいつぅ！
Hey! You're…not them… you're…	あ！てめえ……じゃなかったあなたは！
Come, come, don't be so shy…	これこれ、そんなにはずかしがらんで……もっと近くへ、な？
But Mr. Don. I'd like you to explain something to me first…	でもねコルネオさん。その前にひとつ教えてほしいの……
Of course, my dear. I'll take you through it slowly, step by step. So come on!	おお、教えてやるぞ。手取り足取り、じっくりとな。ホレ！　ホレホレ！
No, that's not what I meant!	い、いえ、ちがうの！そうじゃなくて！
NO, STOP! Just, just wait a second!!	ダメ！　ダメよ！ちょ、ちょっと待って！！
Come! Come!	ホレ！　ホレ！！
