Under Junon	アンダージュノン
I keep getting more and more in debt. I've got to get out from under it somehow. Maybe I'll have Weapon help me.	ますます借金かさんじゃうなあ。なんとかふみたおしたいなあ。ウェポンだのみかなあ
Look, why not forget about Meteor and Weapon for now and do a little impulse shopping!?	メテオもウェポンもわすれてこんなときこそ衝動買いなのよ！
Why don't you surround yourself with young girls and have some fun…maybe for the last time.	ピチピチの若い子にまじって最後にひとはなさかせたいもんじゃ
I was just starting to get worried… You see our sales were pretty bad today.	今日は商売あがったりでまいってたとこさ
Welcome!!	いらっしゃい！！
I just can't believe it. I never thought a monster like Weapon really existed.	いやはや信じられません。ウェポンなんて化け物がほんとにいたなんてね～
I've got nothing to sell to you! Come back later!	あんたに売るもんはないぜ！出直してきな！
Hey! Yo! You want weapons?	ヘイ！　ヨ！武器がほしいのか？
Hey! Yo! Our weapons are the best!	ヘイ！　ヨ！うちの武器は上質だぜ！
Hey! Yo! Wanna buy the whole store?	ヘイ！　ヨ！お店ごと買ってくれない？
This machine hasn't been working right ever since Weapon got to it!	ウェポンにやられてからヨ！機械の調子が悪くてまいるヨ！
Oh! Welcome! We don't have much of anything now. I forgot to order enough the last time but feel free to look around!	おう！　いらっしゃい！仕入れに失敗しちゃってろくなもん売ってないんだけど見てってくんな！
Weapon was really something. No one can compare with his strength. But with a selection like this, our weapons could beat him.	ウェポンすごかったな～。強さじゃ、かなわないけど品ぞろえじゃ、うちの武器の勝ちだぜ
Item Store	アクセサリー屋
I used to be in SOLDIER… Afterwards, I opened this shop…	わし、元ソルジャ～。引退して、この店をひらいたんだけど…
But to tell you the truth, I'd rather be at the shop downstairs.	ほんというと下のお店にいきたいんよ
I used to be in SOLDIER. Lately, I've felt like dressing up like this…	わし、元ソルジャ～。最近、どうもこんな格好がしたくなる…
I know it's out of season, but…	どうしてかの～きせつはずれじゃの～
Shinra Member's Bar	神羅会員制ＢＡＲ
Hey G.I. Joe, aren't you still on duty?	だめね、兵隊さん。勤務中でしょ
Stay outta this.	じゃまするな
The President is safe because we're here.	オレたちが来たからには社長の警備は万全だ、と
Just when I think the job's boring, you guys start messing around.	先輩たち、つまらない仕事だとすぐさぼるんだから
I'm sorry. The bar is only for Shinra employees.	ごめんなさいね。うちは神羅社員の会員制ＢＡＲなの
Mommy… My mommy…	ママぁ……ぼくのママぁ……
I'm a good lookin' man once I take my uniform off.	オレ、制服ぬいだらいい男なんだぜ
Booze, booze! Ain't nothing like booze when you're on the clock.	お酒、お酒！勤務中に飲むさけは格別だな
I'm sorry. I'm closing this place down.	ごめんなさいね。お店閉めることにしたのよ
All my regular customers were killed by Weapon.	ウェポンにやられて常連さん、みんな死んじゃったの
Most of them were pretty weird, but I had good memories of them.	変な人ばっかりだったけど思い出が多くてね
Looks like something's going on outside, but we're too smashed to do anything…	なんだか外は騒がしいけどおれたちゃ、ひるまっから酒びたり…
Ooh, oohh… Oh man, my head's burning up…	ゲホッゲホッ……なんだか、あたまあつい心地
I'm sorry! It's all rented out today!	すんません！今日は貸し切りなんですよ！
The Shinra people are having a party tonight, and we're all booked up.	今夜は神羅の人の打ち上げパーティで店がいっぱいになるんですよ。どうです、あなたもいらしてみたら？
Seems like you're all a little too young to be in here.	まだみなさん年期がたりんようですな
Hmm? You too?	ん……？おまえもそうなのか？
Then, take your mask off and come here. That's our rule.	そうなら、マスクとってこいよ。それがオレたちのルールだ
Seaweed… Seaweed…	わかめ……わかめ……
It just isn't a party without Rude!	えんかいリーダーのルードさんがいないとどうももりあがんないなあ
Weapon and Meteor scared everyone else off, but I'm sittin' here soused as usual.	ウェポンにメテオでみんな逃げだしちゃったけどオイラはやっぱり酒びたり
I'd like to close down this shop, but we got the regulars to think about. I don't know what to do…	ほんとはお店しめちゃいたいんだけど常連さんがいるしねえ。よわっちゃいましたよ
Barracks	兵舎
Hey, how could they do that!? Nobody woke me up!	ひどいんですよっ！先輩たち起こしてくれないんだもん！
And I can't find the uniform I left in my locker, either. I wonder where I forgot it?	ロッカーに入れといた制服も見あたらないし。どこかに忘れてきたのかなあ
Geez! Do you think this is what they call 'hazing?'	はっ！　もしや、これは…イジメというやつでは
Oh man, My future in the military is pretty bleak.	ああ～ボクの軍隊生活、お先まっくら
Ever since I was late to that parade, they've been on my back everyday with basic training.	パレードに遅刻したあの日から毎日毎日、マンツーマンのきそくんれん
I can't handle it anymore!	もういやでありま～す
Hey!! Stay out of the way!	こらっ！！じゃますんな！
Hey! Stop yappin'!	こらっ！むだぐちたたくな！
Hmm? A know-it-all, huh?	むっ？おまえも物知りじまんか？
All right!! Come in!!	よしっ！！はいってよろしい！！
Hmmm? No rookies!!	むっ？新入りはいかん！！
Only veterans can go through! Come back when you've grown up.	ここはベテランしか通さん！出直してきなさい
Hmmm? You have no right to enter!	むっ？おまえは入る資格なし！
Hmmm? Back again, Mr. Know-it-all!?	むっ？帰ってきたな、物知りじまん！
All right! You can enter!!	よしっ！！はいってよろしい！！
I'm starting to feel like I can't stop anymore.	なんとなくやめられなくなってしまったでありま～す！！
I've been had!! I want to get in a real battle, too!	まいったでありま～す！自分も実戦にでたいでありま～す！
Received "Luck Source"!	『ラックアップ』を手にいれた！
Received "1/35 soldier"!	『１／３５神羅兵』を手にいれた！
Mmm? I'm not going to the parade.	ん？自分はパレードなんていきませんよ
The road to becoming SOLDIER First Class is very difficult.	ソルジャークラス１ＳＴへの道はきびしいですからね
Don't mind me.	かまわんでください
As a man with promise and future, I don't have any time to fool around like the rest of you.	ぜんとゆうぼうな自分は諸君らのように遊んでるひまなどないのです
Ugh…My eyes are tired… No, I've got to really buckle down!	ウトウト…目がかすむ……。いや、ここががんばりどき！
At least until I become SOLDIER First Class.	ソルジャークラス１ＳＴになるまでのしんぼうしんぼう
…grrrrgh…grrrgh…	ガァ～ガァ～
…zzzz…	ＺＺＺＺ……
Most of my rivals died in the attack on Weapon.	ウェポン襲撃でたくさんライバルがいなくなりまして……
Oh, of course, I was here, studying.	あっ、もちろん自分はここで勉強してたんですがね
That coveted green officer's uniform is almost in my reach.	幻のみどり色の制服……上級仕官はもうすぐ自分のものですよ
Then I'll be on the newspapers as a plain clothed First Class officer in SOLDIER…	そのあとは、私服組のソルジャークラス１ＳＴで新聞に名前をのせて……
Then make a triumphant return to my homeland!! Tons of fan letters… My future's peachy!	故郷へがいせん帰国！！ファンレターの山……自分の未来はモモ色だなあ
Received "Power Source"!	『パワーアップ』を手にいれた！
Hey! Aren't you still on duty!?	おい！おまえ、勤務中だろ！
Look, I shouldn't talk, but…	もっともオレも人のこと言えたぎりじゃねえけどな
Don't become a bad worker like me.	オレみたいな不良社員になっちまうなよ
These barracks are for soldiers. This is no place for civilians.	ここはオレたち兵士の宿舎だ。一般人がうろつく場所じゃないぞ
All the real soldiers died fighting Weapon.	ウェポン戦でまじめな兵士はみんなやられちまった
Kind of ironic that losers like me are still alive. But that's the reality of it.	オレみたいな不良社員が生き残るなんてひにくなもんだが、これが現実ってやつだ
I'm trying to be a bad soldier!!	不良社員見習いであります！！
I just can't get the hang of it! This just isn't going right!!	なれないものでおちつかんであります！うまくいかんであります！！
This is so embarassing!	まったくけしからんよ！
…and they told me I would be staying at five star hotels on these trips…	出張先はごうかホテルだって聞いてたのに…
How can you guys sleep in a place like this?	君たち、こんなところでよく眠れるねえ
Shinra Manager	まどきわ神羅課長
I only came to help transport the Sister Ray from Junon…	ジュノンの大砲シスターレイを運ぶとかで出張にきたのはいいけど……
But now the company says don't bother coming back…	本社から、もう帰ってこなくていいって……
Is this what happens to a loyal Shinra man?	ワタシのサラリーマン神羅人生はいったい……
Shinra Manager	もえつき神羅課長
Hee Haaaw…	イヒヒヒヒヒ……
If Weapon killed all the upper management… then I'll be President!!	上層部がウェポンに殺されちまえばワタシが社長に……！！
Respectable Inn	上級者の館
This is a Respectable Inn… guests only!	ここは選ばれたもののみが入ることのゆるされる上級者の館
You should absorb all the wisdom until it is a part of you.	どうぞ心ゆくまでもてる知識をひろうするがよい
OK, Mr. Know-it-all, ex-SOLDIER! Let me revenge…I mean, review!	物知り元ソルジャーさんよ！復讐……いや復習させてくれよ
What do you want to review?	なにを復習したいんだ？
ATB	【ＡＴＢ】について
Onscreen numbers	【飛び出す数字】について
Change and Defend	【チェンジ】と【ぼうぎょ】について
Escape	【逃げる】について
Gauges	【ゲージ】について
Status	【ステータス】について
Elementals	【属性】について
Help	【ヘルプ】について
That's all	もう復習は終わりだ
I'm not so low as to take money off a bunch of low-lifes like you. I'm just doing this to kill time.	おまえたちから金をとるほど落ちぶれちゃいない。ひまつぶしにつきあってやる
ATB means Active Time Battle. It's a system in which time continuously runs during battle.	【ＡＴＢ】、すなわち【アクティブタイムバトル】は戦闘中、つねに時間が流れているシステムだ
If the ATB is changed to [WAIT] in the Config Menu… Time stops during battle while you select magic or an item.	メニューのコンフィグでＡＴＢを【ウェイト】にすると……戦闘中、魔法やアイテムを選んでいる間時間が止まる
That lets you select your commands carefully. It's geared especially for beginners like you.	コマンドをゆっくり選べるというわけだ。おまえたち、初心者にはおあつらえむきだな
In the Config menu, if you change from ATB to [Recommended]…Time will stop while magic or item effects are displayed.	同じくコンフィグでＡＴＢを【おすすめ】にすると……戦闘中、魔法やアイテムのエフェクトが出ている間時間が止まる
This lets you watch the effects carefully. Letting you fight at your own pace… this is the way to go.	戦闘の様子をゆっくり見られるというわけだ。落ちついて戦いたいときはこれだな
I always use ACTIVE mode, but choose what you want. That's all.	俺はいつでも【アクティブ】だが気にするな、好きなものを選ぶといい。以上だ
During a battle, white numbers that appear on the screen indicate damage, and green numbers indicate recovery points.	バトルの時に、【ピロンと飛び出す数字】は白がダメージ、緑が回復していることを表している
Remember that, if you don't want to be Wiped Out.	全滅したくなければ注意することだな
Change will change your fighting position to either the front or back row.	【チェンジ】のコマンドで戦闘隊形の前列・後列を入れかえられる
If you select the back row, the amount of damage you receive is reduced, but so is your attacking power.	後列にすると受けるダメージが減るが、攻撃力も減る。
[Change] can be selected from the battle menu by pushing the [left Directional button].	【チェンジ】は、戦闘コマンドを選ぶときに【方向キーの左】を押すと可能だ
You can also select [Defend] from battle menu by pushing the Directional button to the right.	同じく戦闘コマンドを選ぶときに【方向キーの右】を押すと【ぼうぎょ】だ
Defend will reduce your damage by half until your next turn.	【ぼうぎょ】のコマンドを選ぶと次のコマンド入力までのあいだダメージを半分にすることができる
It's better to use Defend for strong enemies. Of course, I don't need anything like that.	手強い相手には無理せず【ぼうぎょ】することが必要だ。むろん、俺には関係ないことだがな
I don't know too much about Escape during battles since I never do it, but…someone like you might need it.	俺は、戦闘中、【逃げる】ことなどめったにないから、くわしくは覚えていないが…おまえたちには必要だろう
You can escape by holding down [PAGEUP] and [PAGEDOWN] in battle.	Ｌ１ボタンとＲ１ボタンを押しっぱなしにしていると逃げられたはずだ
It might be hard to understand this next one since you can't check it right now, but just listen.	いまは確認できないからわかりにくいかもしれんがとにかく、聞いておけ。
I'm talking about the Gauges displayed during battle.	戦闘中、いくつか表示されている【ゲージ】のことだ
The Time Gauge shows the time remaining until your next turn during battle.	【ＴＩＭＥゲージ】は戦闘中、次のコマンド入力が回ってくるまでの待ち時間をあらわしている
You can enter a command once the Gauge is full, but if you don't want to enter a command, press [MENU] to skip to the next person.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。
This is good when you want to make BARRET work.	BARRETをこきつかいたい時などに便利だ
The Limit Gauge increases as you receive damage. When this is full, you are able to use a Limit Technique.	【ＬＩＭＩＴゲージ】はダメージを受けるごとにのびていくはずだ。これがいっぱいになると、【リミット技】が使える
The Limit Gauge doesn't reset after each battle, so it will build up the more damage you get in battle.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
The trick is knowing when to use it instead of using it as soon as it becomes available.	たまったからといって、すぐにつかわず【リミット技】の使いどころを見極めることが大切なのは言うまでもない
You may already know this, but I'll tell you anyways. Status has two conditions:  Fury and Sadness.	おまえたちは知らないだろうから、教えといてやる。【ステータス】に、【怒り】と【悲しい】という状態がある
Fury speeds up your Limit Gauge, but decreases your concentration.	【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが攻撃の命中率は低下する
Sadness slows down your Limit Gauge, but also decreases the damage you receive. Keep this in mind.	【悲しい】は、【ＬＩＭＩＴゲージ】の上がり方が遅くなるが、敵の攻撃から受けるダメージは低下する。ついでに、おぼえておくといいだろう
The Barrier Gauge shows the time available for special magic effects.	【ＢＡＲＲＩＥＲゲージ】は特定の魔法の効果時間をあらわす
The top gauge, Barrier, defends against attacks. And the bottom gauge, Magic Barrier, defends against magic spells.	上のゲージは、なぐられ攻撃を防ぐ魔法【バリア】下のゲージは、魔法攻撃を防ぐ魔法【マバリア】
Both reduce the amount of damage by half, but disappear after several uses.	両方ともダメージを半分にしてくれるが時間が経つと消えてしまう
Always keep an eye on the Barrier Gauge, when using Barrier and Magic Barrier spells.	【バリア】と【マバリア】の魔法をつかったときは【ＢＡＲＲＩＥＲゲージ】に注目だな
That's all. Check them out next time you're in a battle.	以上だ、次の戦闘で確認してくれ
If you don't understand what I just told you, I guess you just have a limited capacity for information.	この俺の説明でもわからんようならしかたない。おまえたちの理解する能力がたりないようだ
But, relax. Push [ASSIST] during battle.	だが、安心しろ。そんなおまえたちは、戦闘中、セレクトボタンを押してみるといいだろう
A Help Message should explain the different commands to you.	【ヘルプメッセージ】が、俺にかわっていろいろとコマンドの説明をしてくれるはずだ
It'll tell you things like the monsters' names. Even I look at it, sometimes… so don't be ashamed to use it.	敵のモンスター名なども表示されるから俺も気分転換に見ることもある。はずかしがらずに使うといい
Wiped Out… I've never really seen it, but someone told me about it once.	【全滅】か……俺の記憶にはないから、これは人から聞いた話だ
When you get Wiped Out, you can continue from your last Save Point. Your Experience points will not change.	【全滅】したときに前の【セーブポイント】からかせいだ経験値はそのままのこるという
Even wimps like you should be able to get out of difficult areas as long as you fight steadily. You ought to be thankful for this.	おまえたちのような弱いヤツでも地道に戦えば、どんな難所でも脱出できるはずだ。ありがたいことだな
Status simply means the status of the characters.	【ステータス】とはキャラクターの状態のことだ
I don't want to repeat myself too much, so I'll mention the main points.	これまで説明したことと重なるかもしれんが代表的なものをまとめといてやる
Sleep Cannot enter command until awakened.	すいみん　起きるまでコマンド入力不可になる。
Poison Rapidly decreases HP during battle.	どく　　　　戦闘中にどんどんＨＰが減っていく。
Fury Doubles damage, reduces concentration. Tranquilizer cures it.	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
Sadness Reduces damage. Hyper cures it.	かなしい　ダメージ低下。興奮剤でもどる。
Petrify Turns you into stone. If entire party is petrified, you'll get Wiped Out.	せきか　　石になり、動けなくなる。全員石で全滅だ。
Confusion You cannot distinguish between enemy and ally.	こんらん　頭が混乱し、敵味方の区別がつかなくなる。
Silence You cannot cast any Magic.	ちんもく　全ての魔法をとなえられなくなる。
Paralysis Time Gauge stops, you cannot enter commands.	マヒ　　　　タイムゲージ停止、コマンド入力不可
Darkness Reduces attack concentration.	くらやみ　なぐり攻撃の命中率低下。
Frog Turns you into a frog. I hate this.	カエル　　カエルになる。俺はだいきらいだ。
Phew…I'm tired.	フッ……さすがにつかれたな
Changed Status can be changed with magic and items, so always double check it when you buy things.	【ステータス変化】はアイテムや魔法で直せるから物を買うときに確認しておくのがいいだろう
Elementals are special Materia that come with magic and weapons.	【属性】は魔法や武器などについてくる特別な効果のことだ
You have to use this to your advantage in battle. Only once you start thinking in terms of Elementals can you truly be called an intermediate player.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
Here are some examples. Remember, they're just examples. You don't have to memorize them.	代表的なものの一例をまとめといてやる。あくまでも一例だ、うのみにするな
Holy Summons the Planet's power. Works well on dark monsters.	聖　　星の力をよびおこす。暗黒のモンスターにきく。
Using opposite Elementals often is effective in battle.	相反する【属性】を攻撃に使用することで大きな効果を得られる
Using the same Elementals usually increases Defense. But, the reverse is also true. Watch out for it.	また、同じ属性なら防御の効率があがる。だが……逆もまた真なり。気をつけることだな
To find out what Elementals an enemy has, you need Sense Materia. Once you get it, try it out.	敵のもっている【属性】をみぬくためには【みやぶる】ことが必要だ。マテリアを手にいれたら、使ってみてくれ
This is the Beginner's Hall (Intermediate)!	まいどおなじみ初心者の館（復活編）だよ～ん！
Your explanations were so complicated I couldn't return to the Planet.	あんたの説明が、むずかしすぎて星に帰れなかったよ
So, I have a right to ask you again.	もういちど、たのむ権利がオレにはあるよな
How do I cure party members?	傷ついた味方を回復するには？
Curative Magic	魔法を使った回復
Weapons and armor	武器、防具の使い方
How to apply Materia	マテリアの装着
Effective ways to use Materia	マテリアの高度な使い方
Battle formation	戦闘時の隊形について
Checking status	現在の自分の状態をチェック
Limit Techniques	リミット技の使い方
Other	その他の注意
You got nothing to teach me!	もう教えることはない
For my explanation, I'll need a Potion.	説明にあたって、ポーションが必要だな
Man, ex-SOLDIERs sure are cheap. OK, I'll GIVE you a Potion…	せこいなあ、元ソルジャーさん。そらポーションの一個くらい、さしあげますぜ
I don't seem to have any on me. Why don't you go buy one?	俺もポーションの手持ちがないよ。買ってきたらどうだい？
Thanks. I'll take that as my pay.	悪いな。報酬だと思ってもらっておく
I think you know the basics, but just in case…	常識なのでわかっているとは思うが念のため、言っておく
Do not open the CD drive or change discs until instructed.	指示があるまで、ディスクホルダーを開けたり他のものと取りかえたりするな
If you open the drive, I can't guarantee anything. That is all.	ディスクホルダーを開けた場合後のことは保証できない。以上
OK wise-guy, I'll ask about Materia just so you can let off some stress.	物知りさん、あんたのストレス解消にマテリアの話を聞いてあげるよ
You're right…	そうだな……
Growth Materia	マテリアの成長
Kinds of Materia	マテリアのしゅるい
Combinations of Materia	マテリアの組み合わせ
Divisions of Materia	マテリアのぶんれつ
Number of Materia you may carry	もてるマテリアの数
The rest is a secret	あとは秘密だ
First off, the main points.	単刀直入に要点からきりだそう
Some types of Materia, like Magic, grow as you use them.	マテリアの成長には魔法のように使える技が増えていくタイプ
Some, like Summon Magic, grow from being used once a battle, to several times per battle.	召喚のように一回のバトルで使える回数が増えてゆくもの
Their effectiveness changes, too. There are all different kinds.	また、その効果が変わってゆくもの。……など色々なしゅるいがある
Some types don't change, but they must grow in order to be divided.	中には、効果が変わらない物もあるがそういうマテリアもぶんれつさせるためには成長させなければならない
…And that's it. Maybe that sounded too official.	……以上だな。なんだか、事務的だったかな
Types of Materia… Here goes!	マテリアのしゅるいか…一気にいくぞ！
[Independent Materia] enables Abilities. No linking required.	【独立マテリア】つけていればアビリティが機能するマテリア。
[Support Materia] is used with Command, Magic, and Summon Materia.	【支援マテリア】コマンドや魔法、召喚マテリアと組にしてつかうマテリア。
You must equip them in linked slots or they won't be any good.	連結穴にセットしないと何の意味もない。
[Command Materia] lets you use new commands.	【コマンドマテリア】 新しいコマンドが使えるようになる。
There are lots of different kinds of Materia, so you'll never get bored. One called [Attack] changes itself.	いろいろなものがあって楽しめるマテリアだ。中には『たたかう』が、変化するものもある。
[Magic Materia] is easy. You can use Magic, and as your Level increases, you'll learn new Magic.	【魔法マテリア】これはおなじみだな。魔法が使えるようになる。レベルアップで新しい魔法をどんどん覚えていく。
[Summon Materia] let's you use Summon Magic. As your Level increases, the number of times you can use it in a single battle increases.	【召喚マテリア】召喚獣が使える。レベルアップで１回のバトルで使える回数が増える。
This's one of my favorites.	俺もお気に入りのマテリアだ。
And there you have it, the five types of Materia.	……以上の５しゅるい
There's no single way to combine Materia. So here goes the basics.	マテリアの組み合わせ方か。ひとすじなわではいかない。ここでは基本のおさらいといこう
Support Materia… The basic combination is Magic + All.	支援マテリアの使い方……基本は【魔法】＋【全体化】の組み合わせだ
The variety of magic you can cast will increase as your Magic Level increases.	魔法をレベルアップすると魔法のしゅるいが増える。
When your All level increases, so does the number of times you can use it in a battle.	全体化をレベルアップすると１回のバトルで全体化できる回数が増える。
That about covers it.	まあ、そんなところだ
Huh? Wait a sec…	ん？まてよ…
You can change between Magic-All and Magic with [PAGEUP/PAGEDOWN]. I'll bet you've probably already done this.	魔法などの全体化／単体の切りかえはＬ１／Ｒ１ボタンで可能だ。当然、使いこなしているだろうな
One effective combination is Elemental + Summon Materia.	組み合わせの高度な使い方としては【属性】＋【魔法／召喚】がある
If you equip this combination to your weapon, you can put Magic and Summon Elementals on your weapon.	この組み合わせを武器に装備すると魔法や召喚の【属性】を武器にはりつけることができる
For example, if you equip Fire + Elemental to your sword, you will end up with Fire Elemental Sword.	例えば、【炎】＋【属性】を剣に装備すれば【炎属性の剣】ができあがるというわけだ
I'm getting off the subject,… If you equip Fire + Elemental to your armor, it will have twice the resistance to fire damage.	さらに、話はそれるが……【炎】＋【属性】を防具に装備すれば【炎のダメージ半減の防具】になる
Now this is important.	ポイントはここだな
When the Elemental levels in your armor increase, so will their effectiveness. From half damage - no damage - absorb.	防具に限っては、さらにお得なことに【属性】がレベルアップすれば『半減→無効→吸収』と効果が上がるのだ
If you combined Elemental and Fire you could develop Fire absorbing armor.	レベルアップした【属性】と【炎】を組み合わせれば【炎を吸収する防具】も作れるというわけだ
Wait, there's more. Next is the Added Effect for Support Materia.	さらに続けるとしよう。【追加効果】の支援マテリアの使い方だ
The Added Effect Materia grafts the effects of Compound Status Materia into your weapons and armor.	【追加効果】マテリアは、組み合わせたステータス変化系のマテリアの効果を武器や防具にはりつけるためのものだ
For example, equip Added Effect + Poison to your weapon and select [Attack]. Sometimes you'll make a Poison attack.	例えば、【追加効果】＋【毒】を武器につければ『たたかう』で攻撃したときに追加効果として【毒】のステータス異常をひきおこすことが可能だ。
Of course, it doesn't always work.	もちろん、成功しないときもあるがな
If you don't combine the Added Effect Materia with Status Change Materia, like Confusion or Time, you won't get any effect.	【追加効果】のマテリアは【まどわす】や【時間】などステータス変化系のマテリアと組み合わせなければ意味がない
To learn more about Added Effect, access the menu and check the Status.	追加効果を細かく知りたければ『メニュー』を開いて『ステータス』をチェックしろ
It's a little hard to get, but if you take your time, you'll be all right.	内容はハードだが落ちついて考えれば、だいじょうぶだ
Division… I'm pretty good at this.	ぶんれつか…。俺もこれが得意だな
People tell me that my personality is divided. But I don't think so, but maybe it is?	俺は、よく性格がぶんれつしてるといわれる。自分ではそのつもりはないがあるいは、いまもそうかもしれないな…
Anyhow…	話を元にもどそう
Once your Materia reaches the maximum level, it will divide.	マテリアは最高ＬＶにたっするとぶんれつする。
The original Materia will no longer grow. Once that happens, all you can do is use it as it is.	元のマテリアは、もうそれ以上成長しなくなる。そうなったら、後はただ使うだけだ
New Materia always starts out with zero AP, so you need to raise its levels!	新たに生まれたマテリアはＡＰが０の状態なのでこちらは、育てなければならない
Of course, once the new Materia reaches its max, it'll divide. That's how you increase your Materia collection.	もちろん、ぶんれつして生まれたマテリアも最高レベルにたっするとまたぶんれつする。こうしてマテリアを増やしてゆくんだな
Ha, ha… Right now I feel like I'm dividing myself.	クックックッ……なんだか、俺もすっかりぶんれつ気分だよ
Once Materia starts dividing, you must be careful.	ぶんれつしてマテリアがふえはじめたら注意が必要だ
There's a limit to how much Materia you can have.	マテリアのもてる数には制限がある
Since we're fighting for the life of the Planet, it goes against my beliefs to carry too much Materia.	なぜなら、俺たちは、名目上星の命を守るために戦っている。故に、マテリアの持ちすぎは理念に反してる
Either way, I don't really care but, I'll leave it up to you.	……もちろん、これは俺の考えじゃない。だれが言い出したかは想像に任せるよ
That's why, the amount of Materia that we can have is limited to 200… only what we can equip.	というわけで、もてるマテリアの数は２００個と俺たちが身につけている分だけだ
When you have too much Materia, you need to dispose of some. If you don't, you can't take on any more.	マテリアがいっぱいの時は一度マテリアを手放してからでないとひろうこともできないし、買うこともできない
So, ditch some Materia before that happens… Ahem…I mean, give them back to the Planet.	そんなときは、先にマテリアをすてる…。フッ……星に帰してやってくれ
OK. Expert! Enlighten us on Limit Techniques, why doncha?	上級者さん！リミット技について演説をひとつどうぞ！
I don't have too much to say about that…	あまりないがな……
Developing Limits	リミットの育て方
Extreme Limits	リミット究極技
That's it	こんなところだ
There are 2 basic ways of building up your Limit techniques. First, just use them!	リミット技を育てる基本は、２つ。まずひとつは、ひたすらリミット技を使うことだ
And second is to finish off as many enemies as possible! It sounds easier than it is.	もうひとつは、より多くの敵にとどめをさす！かんたんそうだが、意外とむずかしい
Everyone knows that when you gain a new Limit technique, you need to select it in the menu.	もはや常識だが、新たなレベルのリミット技を覚えたら、メニューでリミットレベルをセットしなおさなければならない
And you know that you won't be able to use advanced techniques on each level if you haven't used the basic ones.	……まさか、わすれてないだろうな。各レベルの上級技はそのレベルの基本技を使っていないとあみだすことはできないからな
Since the type and growth for each limit techniques is different, that's about all I will say.	リミット技の成長・種類には、個人差があるから俺に言えることはこれくらいだ
A long time ago I heard extreme techniques exist within the Limit techniques.	昔の話だが、うわさを聞いたことがある。リミット技には、究極の技が存在するという
But, if that's true you wouldn't be able to get it in any normal way. That's about all I know about it.	だが、これはふつうの方法では使えるようにならない。俺の知っているのは、そこまでだ
Received "Enemy Skill" Materia!	『てきのわざ』のマテリアを手にいれた！
Junon Path	ジュノン・通路
What is it? The elevator's out of order for an inspection.	なんだい？いま、定期点検中なんでエレベーターは動かせないよ
You know, right under us is a Submarine Dock and the Underwater Mako Reactor.	ちなみに……この下には潜水監ドッグと海底魔晄炉があるんだけどね
Mako energy puts a lot of wear and tear on the machinery.	魔晄エネルギーは機械のしょうもうがはげしいからね
A lot of problems can pop up. So it's necessary for close inspections and maintenance.	あちこちガタがくるのがはやいんだ。まめな点検と整備がかかせないのさ
Hey!! Civilian!! Stay out of our training!!	こりゃ！！　一般人！！くんれんのじゃまをすな～！！
Go around them! And stay out of their way!!	はしっこをちいさくなって進め～！！
All right!! Let's see how hard you trained!	うっし！！くんれんの成果をみせちゃれ！
Attention! Charge!!	全員、とっつげき～！！
He…hey!! That's the Underwater Reactor!! Come back!!	こ、こりゃ～！！そっちは、海底魔晄炉！！逃げんな～！！
Our forces are in the process of gathering the Huge Materia from the Corel and the Fort Condor Reactors!	我が友軍は～　現在【コレル魔晄炉】と～【コンドルフォート魔晄炉】の～ヒュージマテリア回収大作戦を実行中だ！
Once these two missions are completed, the Underwater Reactor will be our next target!	その２つのミッションが終われば次はここの地下の海底魔晄炉が大作戦の対象にな～る
Till then, we do nothing but train, train, train!	それまでは、いっしょうけんめいくんれん、くんれん、くんれんだ！
Lower Junon	エルジュノン
Oh! How's it going!? If you're looking for Junon dock, it's over there!	よう！　おつかれさん！ジュノンドックならあっちだぜ！
This lift goes to the Shinra section.	このリフトは上の神羅カンパニー区画につながってんだが……
Ever since that Black-caped murderer… But we can't use it because we're all on red alert.	例の黒マント男の殺人事件があったからな。いまは警戒中で自由には使えないんだ
Need a heli-taxi? Only in Junon!	ジュノン名物！！スキッフタクシーはいかが？
Free to Air Force personnel!	空軍のサービス事業なんでお代はいらないよ！
Sure	タクシーよぶ
Nope	やめておく
Roger!! Hey! Taxi!!	ラジャ！！へい！　運転手さん！！
Just holler when you want a ride!	乗りたくなったらまた声をかけてよ！
But if you get airsick easily, maybe you'd better not go.	車に酔いやすい人はやめたほうがいいかもね
Where to?	お客さん、どこまでいきやしょ？
Next sector	となり町まで
Outside Junon	ジュノンの外まで
Right! The next sector it is!!	では、となり町までおたっしゃで！！
Then outside Junon it is! Take care!!	では、町の外までおたっしゃで！！
Junon Dock	ジュノン港
All right, it's time!	よーし、時間だっ！
Ten…HUT!	整列っ～！
President Rufus…has now arrived!	ルーファウス……様、到着よ！
This is it!! Junon Military Reception!	いざっ本番！！ジュノン軍隊式お見送り～！
Do it right! Do it with enthusiasm! Ready…!	軍人らし～く　元気よ～くさんはいっ！
All right! Now finish strong!!	すわっ！最後は決めるぞ！！
SPECIAL!!	スペシャ～ル！！
