Crater	クレーター
You see, even if Jenova's body is dismembered, it will eventually become one again. That's what is meant by Jenova's Reunion.	ジェノバは身体をバラバラにされてもやがてひとつの場所に集結し再生する。これがジェノバの『リユニオン』だ
I have been waiting for the Reunion to start. Five years have passed, and now the clones have begun to return.	リユニオンの始まりを私は待った。５年がすぎ……コピーたちは動き出した
I thought the clones would begin to gather at Midgar where Jenova is stored.	ミッドガルに保管していたジェノバのところにコピーたちは集まってくるはず……
But my predictions were not entirely correct. Jenova itself began to move away from the Shinra Building.	しかし、私のこの予想ははずれた。そればかりか神羅ビルのジェノバも移動を始めた
But being the genius that I am, I soon figured it out. You see it was all Sephiroth's doing.	……私は天才だ、すぐにわかった。セフィロスの仕業だ
Sephiroth is not just content to diffuse his will into the Lifestream. He wants to manipulate the Clones himself.	セフィロスの意志はライフストリームで拡散することなく、セフィロス自身としてコピーをあやつりはじめたのだ……
Yes, that was how it got started.	そうです、それが始まりでした
I wondered where the clones were going, but I was never able to figure it out.	コピーたちはどこへ行くのだろう……私にはわからなかった
I couldn't figure it out either.	俺自身にもわかりませんでした
The one thing that I did know was that Sephiroth was at their final destination.	ただ、わかっていたのは目的地にはセフィロスがいるはず、ということだ
I wasn't pursuing Sephiroth.	俺、セフィロスを追っていたんじゃなかったんです
I was being summoned by Sephiroth.	セフィロスに呼ばれていたんです
All the anger and hatred I bore him, made it impossible for me to ever forget him. That and what he gave me.	セフィロスへの怒りと憎しみ。それは俺がセフィロスのこと、忘れないようにとセフィロスがくれたおくりもの……
Sephiroth? Sephiroth? I'm here. And I brought you the Black Materia.	セフィロス？　セフィロス？俺、来ました。黒マテリア、持ってきました
Show yourself to me. Where are you?	姿を……見せてください。どこにいるのですか？
Sephiroth… So we finally meet again.	ああ……セフィロス……やっと会えましたね
North Cave 5 -3	北の大空洞５～３
CLOUD…	CLOUD…
I didn't know what to do. I was always like that…	………どうしたらいいかわからなかった。いつだってそうだった…
What's the matter?	どうしたね？
ohhh…	うう………
…poor kid.	………かわいそうに
Ooouugh…	うぁああ………
oo…uh…agh	う……あ……ああ
Are you all right?	大丈夫ですか？
Uh…uh…TIFA?	あ……ぁ……TIFA……？
TIFA?	TIFA……？
TIFA!	TIFA！
Oh, CLOUD!	あ、CLOUD！
That's right. I'm CLOUD.	その通り。俺はCLOUDだ
Is it really you, CLOUD? I never thought I'd find you here!	ほんとにCLOUDなのね！こんなところで会えるなんて！
Yeah, it's been a while.	ああ、ひさしぶりだな
What happened to you? You don't look well.	でも、どうしたの？具合悪そうだったけど
Yeah? It's nothing. I'm okay.	……そうか？いや、そんなことはない。普通だ
How long has it been?	何年ぶりかな？
Five years.	５年ぶりだ
…it's really been a long time.	……ほんとうに久しぶりね
Actually, it's been seven years.	ほんとうは７年ぶりだった
You joined SOLDIER but quit after the Sephiroth incident, and now you're a mercenary…	希望どおりにソルジャーになったことセフィロスの事件をきっかけにやめてしまったこと、何でも屋をやっていること……
You told me a lot about what happened after you left Nibelheim… 	ニブルヘイムを出てからのこといろいろ話してくれたけど……
…Something was wrong. I felt there was something strange about the things you talked about.	……ちょっと変だな。CLOUDの話してること少しずつ変だなと思ったの
All the things you didn't know that you should, And other things you shouldn't know that you did.	知ってるはずのこと知らなかったり知らないはずのこと知ってたり……
I wanted to make sure…	私はいろいろ確かめたかった
But then I heard…you were going far away…	でも、聞いたら……CLOUDどこか遠くへ行ってしまいそうで……
And I didn't want that…	それは……いやだった
…I didn't know what to do. So, I thought I needed more time.	……どうしたらいいかわからなかった。時間が必要だって思ったの
And that's why I told you about the AVALANCHE job. I wanted to be with you and watch you.	だから、CLOUDにアバランチの仕事をしょうかいした。そばにいて、よく見ていたかったの
