CLOUD never came.	CLOUDさんこなかったっすね
…today the No.1 Reactor was bombed. The terrorist group AVALANCHE has claimed responsibility for the bombing.	……壱番魔晄炉破壊事件に関してアバランチと名乗る組織から犯行声明が出されています
It is expected that AVALANCHE will continue its reign of terror.	声明によるとアバランチは今後も同様のテロを続けることを予告しております
But citizens of Midgar, there is no need to fear.	しかし、ミッドガル市民のみなさん安心して下さい
I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.	我々神羅カンパニーはこのような暴力からみなさんを守るためにソルジャーの投入を決定しました。これで……
Papa, you're so great!	とうちゃ～んかっこいい！
Shucks!! …money…	チッ！！……………ほ、報酬かよ…
Straighten things up with everyone for me.	みんなには、あやまっておくね
Save Point	【セーブポイント】
Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
Listen, CLOUD. I'm asking you. Please join us.	CLOUD、おねがい。力をかして
Sorry TIFA…	TIFA……わるいけどさ
The Planet is dying. Slowly but surely, it's dying.	星が病んでるの。このままじゃ死んじゃう
Someone has to do something.	誰かがなんとかしなくちゃならないの
So let BARRET and his buddies do something about it. It's got nothin' to do with me.	BARRETたちがなんとかするんだろ？俺には関係ないさ
You damn right we'll do something about it. N' you stay outta this TIFA!	ああ、オレたちがなんとかする。TIFA、もうやめとけ
The terrorist group called AVALANCHE has claimed responsibility for today's bombing of the No. 1 Mako Reactor. It is also predicted that they will continue with similar terrorist activities in the future.	……壱番魔晄炉破壊事件に関してアバランチと名乗る組織から犯行声明が出されています。声明によるとアバランチは今後も同様のテロを続けることを予告しております。
Will you please come back? Ah, wait. Please wait.	CLOUD！　もどってくれるの？あ、でも、ちょっとまって
The president of Shinra is going to read a statement.	プレジデント神羅の発表がニュースで読まれるの
The next time we'll be up against…SOLDIER.	私たち……次はソルジャーと戦うのね
CLOUD, then you'll help us?	CLOUD、助けてくれるのね？
A promise is a promise	約束だからな
But I still hate BARRET	でも、BARRETがきらい-
I hate BARRET.	ありがとう、CLOUD
You came to tell me that?	そんなこと言いにきたの？
He's not a bad person.	……悪い人じゃないわ
Don't worry. I'll talk to him.	だいじょうぶ。私からちゃんと話しておくから
Come on. Let's go below!	さあ、下へいきましょ！
Good Morning! CLOUD!	おはよ！　CLOUD！
Did you sleep well?	よく、眠れた？
BARRET's snoring kept me up….	BARRETのイビキがうるさくて…
Next to you, who wouldn't?	TIFAがそばにいたから…
…psst…	ひそひそ……
(keep it down, they'll hear you. BARRET's always edgy before an operation.)	（ダメ……聞こえちゃうよ。BARRET、作戦前は気が立ってるから）
I don't know what you mean.	それどういう意味かしら
I'm going this time.	今回は私も行くね！
Marlene, you watch the store while we're gone!	マリン、お店たのむね！
All right!! Good Luck.	うん！！お仕事がんばってね
Take care!	いってらっしゃい
Sorry, CLOUD. Marlene seems a little shy.	CLOUD、ごめんね。マリン、てれちゃってるみたい-
Aaah!! Nothin' like that first drink after a job.	ああ～！！仕事の後の一杯はこたえらんねぇなぁ
Hic!!	ヒック！！
Why don't you have one too?	CLOUDさんも、おひとつどうですか？
No	いらないな
Yeah, why not?	そうだな、もらおうか
Oh!! That's more like it!!	おっ！！いい心がけじゃねぇか！！
Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!	元ソルジャーでもここじゃおめえも新人だ。新人にとっちゃ先輩の言うことは絶対だからな！
What!? You tellin' me you're too good to drink with me?	なに～！！おれさまの酒がのめないってかぁ？
Don't act big-headed jus' because you were in SOLDIER!	元ソルジャーだからってお高くとまってんじゃねえぞ！
Biggs	ビックス
Hic!!	ウィッ……！！
Oh… don't tell BARRET what I jus' said.	あっ……BARRETにはないしょだぞぉ
Oh, CLOUD!	あ、CLOUDさん！
TIFA really knows how to cook.  Mmm…	TIFAちゃんの料理っておいしいっすねえ。パクパク……
Anyway, let me tell you somethin'.	でも、聞いてくれます？
About what?	なにを
I'm not interested in your stories	お前の話なんて興味ないね
TIFA always lets me taste her cooking.	TIFAちゃんっていつも俺に、料理の味見させるっすよ
And look at me now, I'm rolly-polly.	おかげでほら、俺、こんなまるっこくなっちゃって
Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.	うれしいやら、悲しいやら。おいしい料理とお酒が評判でお店ははんじょうしてるんですけどね
Oh well… forget it then.	CLOUDさん……。……いや、なんでもないっす
Hey Wedge, you're getting all excited.	う♥か♥つ♥……なんだか、ドキドキしてる
Stop making such a mess!	なぜなの…？
You know, CLOUD. BARRET says those things, but…	あのさ、CLOUD！BARRETは、あんなこと言ってるけど…
We're really unstable right now. If SOLDIER were to show up, they'd whoop us.	おれたち、ほんとは不安なんだ。ソルジャーが出てきたらおれたち、みんなやられちまう
CLOUD, ya gotta help us. I'm really scared.	CLOUDさん、手貸してくださいよ。俺、こわいっす
CLOUD…. It's painful.	CLOUD……なんだか、せつないよ
Why is that?	どうしてなの？
What's goin' on? It's really shakin' a lot…	どうなってる……？やけにゆれるな……
TIFA? Where?	TIFA……？どこだ？
…I'm going out…	……俺はどこへ向かっている……
Received BARRET's stash, 1500 gil!	BARRETのへそくり１５００ギル手にいれた！
So! You're really leaving!?	あ～あ！本当に行っちゃうんだ！
You're just going to walk right out ignoring your childhood friend!?	かわいい幼なじみのたのみもきかずに行っちゃうんだ！-
What?	ん……？
How can you say that!	よくいうぜ！
…Sorry	……わるいな
….You forgot the promise, too.	……約束も忘れちゃったんだ
Promise?	約束？
So you DID forget.	やっぱり忘れてる
Remember? CLOUD, it was seven years ago…	思い出して……CLOUD。あれは７年前よ……
You remember now, don't you? Our promise?	思い出してくれたみたいね約束
Look, the well.	ほら、村の給水塔
Do you remember?	覚えてる？
Yeah…back then.	ああ……あの時か
I thought you would never come, and I was getting a little cold.	TIFA、なかなか来なくてちょっと寒かったな
Sorry I'm late.	お・ま・た・せ
You said you wanted to talk to me about something?	な～に？話があるって
Come this Spring…I'm leaving town for Midgar.	俺……春になったら村を出てミッドガルへ行くよ
All the boys are leaving town.	……男の子たちってみ～んな村を出てっちゃうね
But I'm different from them. I'm not just going to find a job.	俺はみんなとはちがう。ただ仕事をさがすだけじゃない
I want to join SOLDIER.	俺、ソルジャーになりたいんだ
I'm going to be the best there is, just like Sephiroth!	セフィロスみたいな最高のソルジャーに
Sephiroth… The Great Sephiroth?	セフィロス……英雄セフィロス、か
I thought about Sephiroth all the time. Even in my sleep. My mom had given up on me.	あのころの俺は、ねてもさめてもセフィロス、セフィロス……母さんもあきれていたな
I had no idea you were planning on that.	私、CLOUDがそんなこと考えてたなんてぜんぜん知らなかった……
But, what about our promise?	ね、それより約束は？
Isn't it hard to join SOLDIER?	ソルジャーになるのって難しいんでしょ？
…I probably won't be able to come back to this town for a while.	……しばらくのあいだ村にはもどれないな、きっと
…Huh?	……うん？
If you make it, will you be in the newspapers?	大活躍したら新聞にものるかな？
I'll try.	がんばるよ
Hey, let's make a promise.	ね、約束しない？
Umm…if you get really famous and I'm ever in a bind…	あのね、CLOUDが有名になってその時、私が困ってたら……
you'll come save me, all right?	CLOUD、私を助けに来てね
What?	はぁ？
If I'm ever in trouble, my hero will come and rescue me.	私がピンチのときにヒーローがあらわれて助けてくれるの
I want to experience that at least once.	一度くらい経験したいじゃない？
Ha, ha, ha! What's that?	ハハハハ！なんだよ、それ！
You're laughing at me!	笑ったわね！
Come on! Promise me!	いいじゃないのよ～！約束しなさい～！
All right…I promise.	わかった……約束するよ
I'm not a hero and I'm not famous. So I can't keep our promise.	俺は英雄でも有名でもない。約束は……守れない
But you got your childhood dream, didn't you? You joined SOLDIER.	でも子供のころの夢を実現したでしょ？ちゃんとソルジャーになったんだもの
So come on! You've got to keep your promise…	だから、ねっ！今度こそ約束を……
Wait a sec big-time SOLDIER!	おいちょっと待て！ソルジャーさんよ
This is my pay? Don't make me laugh.	こんな、しけた報酬じょうだんじゃないな
What? Then you'll…	え？それじゃ！！
You got the next mission lined up? I'll do it for 3000.	次のミッションはあるのか？倍額の３０００でうけてやってもいい
What!?	なんだと！……！
It's OK, it's OK.	いいからいいから
…psst…. (We're really hurting for help, right?)	ヒソヒソ……（人手に困ってるってのが本音でしょ？）
Uh….ugh…. (That money's for Marlene's schoolin'….)	う……ぐぅ……（残りのへそくりはマリンの学費だぞ……）
2000!	２０００だ！
Our target's the Sector 5 Reactor. Head for the station first.	標的は【五番魔晄炉】だ。まず、駅へ行く
I'll fill you in on the train.	くわしい作戦は列車の中でな
Yo, CLOUD.	おい、CLOUD
Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
Yo! If you pull somethin' funny… you now what I'll do to ya, right?	おう！　おかしなマネをしたら……わかってんだろうな
Whoa, wait a damn minute. CLOUD!!	おい、ちょっと待て。CLOUDさんよ！！
A promise is a promise! Here!!	約束は約束だからな！ほら、金だ！！
I'm so glad everyone's safe.	よかった、みんな、無事で
Yo! CLOUD!	おう！　CLOUD！
Before the next mission, I got somethin' I wanna ask you!	作戦の前にひとつおまえさんに聞きたいことがある！
I, uh… I don't really know how to use Materia!	じつはな……オレはマテリアの使い方をよくしらねえ！
I'll give you that Materia we found. Just teach me how to use it!	ひろったマテリアはおまえにくれてやる。だから、教えろ！
…sigh…	さて……
OK, I'll explain it	面倒だが説明しよう
You wouldn't understand	面倒くさい……-
So this is what makes them guys in SOLDIER so great, huh!?	ソルジャーさんたちの秘密ってわけか
Ok. I'll ask Jessie again later. But you're in charge of the Materia!	まあ、いいだろう。あとで、ジェシーにでも聞いておくからな。だがな、マテリアはおまえが管理しろ！
&$*#! What's this, It wasn't that tough!' crap?	ケッ！　なにが……『それほど、むずかしくはないだろう』だ！
I don't get it!….	ぜんぜんわかんねえ……
You just handle the Materia, CLOUD!	まあ、いいだろう。マテリアはおまえが管理しとけ！
CLOUD! I got a message from the Weapon Shop man upstairs.	CLOUD！武器屋２階のおじさんから伝言よ
He has something he wants to give you. Don't forget!	あげたいものがあるからお店によって……だって。わすれないでね！
[Materia System]	【マテリアシステム】
Access the menu and select [Materia] to equip Materia.	メニューを開いてマテリアを選ぶことによって
Sector 7 Item Store	マテリアの付け替えができるようになります。
Ahh… Another slow day…	７番街・道具屋
If this keeps up, this store's goin' under…	フーッ……今日もひまひま……
Can't sell any really good medicine in a slum like this.	もうこの店もダメかのう…
Oh!! Look at this! This doesn't happen everyday. Are you…a customer?	こんなスラムじゃまともなクスリは売れんなあ
Yes!! Welcome!! We sell! We buy!	おっ！！こりゃこりゃ！こりゃ、めずらしい。あんた、まさか客かね？
By the way, you wouldn't happen to be…  Naw, never mind. Forget it. Sector 7 Weapon Shop	はい！！　いらっしゃい！！売りますよ！買いますよ！
He, HEY! Waitaminit you!!	ところで、あんた。もしかして……
You can't just walk outta here without buyin' somethin'!	……いや、なんでもないよ。
Might be unhealthy fer ya, if ya know what I mean.	失礼、失礼」
Hey!! What the--YOU!?	７番街・武器屋１階
Anyone talking to me must be a novice.	んっ！！おい、客！！
Yep, that's me	買わねえとどんなめにあうか……想像してみりゃ、わかるよな
I used to be in SOLDIER,	よう！！なんだ、おまえ？
the name's CLOUD	俺に話しかけるってことは、しろうとだな？
So what. Everyone's gotta start sometime.	素人だ。
The name's CLOUD. Used to be with SOLDIER, I got no business with you.	俺は元ソルジャーのCLOUDだ。
Hmmph!! Well, I never heard of ya!	それがどうした。誰だって最初は素人だろ
Don't act so big, amateur. Seein' as how I'm such a warm hearted guy, I'll show ya the ropes.	俺は元ソルジャーのCLOUDだ。おまえに用などない
You come back here tomorrow. I got some things I gots ta do.	フン！！おまえの名前なんて聞いてねぇよ
Heh heh…He'll forget about it. OH, you!!	素人のくせにいばるんじゃねぇ。親切な俺様がこんせつていねいに教えてやるぜ！
Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
I was just about to rip up that smooth little head of yours!	チッ！！　おっさん！！気をつけてくれよ！
In the slums ya gotta take care of yourself first.	あんたのツンツン頭をブチぬいちまうとこだぜ！
I been livin' like that ever since I was a kid.	スラムじゃ、自分の身は自分で守る。ガキのころから、そんな生き方さ
You wanna be tough like me? Then you gotta pick out some good weapons.	オレみたいにタフな男の子になりたかったらいかす武器を選ぶこったな
Oh and uh, by the way old guy…	でな、おっさん。相談なんだが……
You can see this store don't have no customers… and even tough guys like me could use a buck or two…	見ての通り、この武器屋には客がいない。タフな男の子のこのオレもびんぼうってわけさ
Ya think you could spare some cash?	というわけで……このオレに、こづかいくれないかな？
Give him some	金渡す
Don't give him any	あげない
YESSS…	しめしめ……
Damn, man!! Ya chinsey old %*&!	チッ！！おっさん、しけてんな
Hey old guy! I got a good-lookin' sister!!	オレの姉キは美人だぞ！！おっさん！！
What's the matter, old dude? You don't like women?	おっ！！おっさん、美人に興味なし、と
You dried up old geez. You tired?	チッ！！おっさん、しけたツラしてんな。もしかして、つかれてんじゃないの？
Why don't you rest up on the third floor of my house?	家の３階で休ませてあげてもいいけど…
There's just one condition.	それにはひとつ条件があるぜ
You gotta give me some cash.	このオレにこづかいくれるならな
1 gil	１ギル
10 gil	１０ギル
Damn, man!! Just forget about it!	チッ！！　おっさん。この話はなかったことにしてくれ
Go ahead 'n' help yourself to the room.	いいぜ、部屋は自由に使ってくれ
Cheap %#*^…	そりゃ、ドケチってやつだぜ。おっさん
Geez, dude, you're really old. You sure you ain't poorer than me?	おっさん、やきがまわったな。オレよりびんぼうじゃねえか
Use whatever bed you want. Sleep tight, old guy.	すきなベッドで休んでいきな。いい夢見なよな、おっさん
Weapons Shop 3rd Floor	７番街・武器屋３階
This is a slum, so don't think you can stay for free.	ただで休めるほどスラムの街はあまくはないぜ
What are you going to do?	どうすんだい？
Doesn't just seeing the bed make you sleepy?	ベッドを見たら眠くなってきただろ
no way	休まない
Tough guy, huh!? You'd better sleep when you can.	強情だな！　もうっ！休めるときに休む
You'd better save when you can.	セーブできるときにセーブする
That's the trick to being tough. Remember that, old dude.	これがタフに生きてく基本だぜ！おっさん、覚えときな
Sweet dreams, pops.	いい夢見なよな、おっさん
Rough times, huh pop? Not a dime on you?	おっさん、苦労してんだな。金もってないじゃないか！
Hoo…	フゥッ……
Sector 7 Slums, Weapons Shop Floor 2	７番街・武器屋２階
Beginner's Hall	初心者の館
Unn!! Who the hell are you!? No unauthorized access.	ん………！！なんだ、てめぇは？ここは部外者立ち入り禁止だぞ
Do you know about what's been going on?	あんたも、知ってるか？
What, that again?	また、その話か
…	…………。
You must be sick of hearing it… But it's been so long since there was any real news here.	そうか、もう聞きあきちまったか…。ひさしぶりのでかいニュースだからよ。先行きが、気になるよな
You're worried where it's all heading, right? Everyone's in a buzz 'bout that terrorist group AVALANCHE blowin' up the Sector 1 Mako Reactor.	なんでもよう……アバランチとかいうテロ集団が壱番魔晄炉を爆破したって話だ
On the surface they say they're an anti-Shinra group, but in reality…	おもてむきは、反神羅がどうしたとかって声明がでてるらしいがよ。真相はな……
they say they're just out to kill as many people as they can.	無差別大量殺人が目的だってうわささ
Since today's special, I'm gonna let you in on a juicy bit of news. But you gotta keep it to yourself.	まあ、今日は特別だ。ここだけの話。いいニュースがあったからな
Haaa, haaa, haaa!!	ガハハハハ！！
That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores!	笑わせてくれるじゃねぇか！？上でゴタゴタやってくれりゃよ。武器屋としては大助かりってやつよ
Now, if we can just get rid of this back stock, we'll be doin' OK.	この在庫の山もはけちまえばいいがな
I welcome everything going to pot!	俺っちは、ぶっそうな世の中を歓迎するぜ！
GO!! GO!! AVALANCHE!! That's what I say!	ゴー！！ゴー！！アバランチ！！ってやつだな
You know what I do? I'll bet you don't.	オレの仕事わかります？わかんねえだろ～な
You come here tomorrow and I'll tell you.	明日になれば、わかりますからまた来てくださいね
Ahh, there just ain't no good jobs here in the slums.	はぁ～スラムじゃ、まともな仕事にありつけやしない
I wanna go to the upper world.	上の街にいきたいなあ
This is the Beginner's Hall.	まいどおなじみ初心者の館だよ～ん！
You say you're a beginner? But your eyes say you're not.	あんたが、素人だってか。その目は、そうじゃないって言ってるぜ
Don't mess with me. I used to be in SOLDIER. I'll tell you how much I know… an' for free too!	元ソルジャーをなめるな。どれだけ物知りか、教えてやる。しかも、無料でだ！
What do you want to know?	なにが知りたいんだ？
How to save?	記録を残すには？
How to heal your allies?	傷ついた味方を回復するには？
Curative Magic?	魔法を使った回復
Weapons and armor?	武器、防具の使い方
How to apply Materia?	マテリアの装着
Effective ways to use Materia?	マテリアの高度な使い方
How to form your battle party?	戦闘時の隊形について
How to check your status?	現在の自分の状態をチェック
About Limit status?	リミット技の使い方
Other things to watch for?	その他の注意
That's all	もう教えることはない
First, you need Potions.	説明にあたって、ポーションが必要だな
You're a stingy one. Here, I'll give you ONE Potion.	せこいなあ、元ソルジャーさん。そらポーションの一個くらい、さしあげますぜ
I don't have any extra Potions on me. Why don't you go buy some?	俺もポーションの手持ちがないよ。買ってきたらどうだい？
Sorry. I'll have to go get my money.	悪いな。報酬だと思ってもらっておく
You probably know all this. But just in case, I'll go over it.	常識なのでわかっているとは思うが念のため、言っておく
Until you get instructions, don't open or take discs out of the CD drive.	指示があるまで、ディスクホルダーを開けたり他のものと取りかえたりするな
After you open up the CD drive, I can't guarantee what'll happen. That's all.	ディスクホルダーを開けた場合後のことは保証できない。以上
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "All" Materia!	『ぜんたいか』のマテリアを手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Hey!! You got one right off!	おっ！！さっそく手にいれましたね！
That was Materia. Next, take this [treasure chest]!	いまのはマテリアですよ。こんどはこの【たからばこ】をどうぞ！
Now listen, hidden in these treasure chests are a lot of items.	いいですか？こ～んな【たからばこ】にはお得なアイテムがかくされてます
There are box types and bag types, so make sure you don't overlook any.	ボトルタイプやふくろタイプなどほかにもしゅるいがありますからお見のがしないように
This is the fabled [Save Point]!!	うっとり……くるくる……これがうわさの【セーブポイント】！！
At a [Save Point] you can use a [tent] and/or select 'SAVE'.	【セーブポイント】では……『テント』を使って休むことセーブ　することができちゃいます
You can also do something else there, but right now it's a secret.	ほんとは、もうひとつあるんだけどいまは秘密♥　楽しみに待っててね♥
Even if you are wiped out, if you've saved, you can restart from that same point. That way you don't have to worry when you've been wiped out.	も～し、全滅しても、　セーブ　しておけばその場所から復活することができちゃうの。これなら、安心して全滅できるわよね
This is jumping ahead a little but, when you leave Midgar…	ちょ～っと、先の話になるけどミッドガルを出ることになったら……
and you get to the world map, you can save anywhere you like. Remember that.	地和線まで広がる【ワールドマップ】で好きなだけ　セーブ　することができるの。そのときがきたら、思い出してね
That should be all you need to know about the Save Point. I'll probably see you again somewhere down the road. Take care!	ただいま、ごしょうかいにあずかりましたあっしが【セーブポイント】でござんす！旅先行き先先々でお目にかかることと思いますが今後ともよろしゅうおねがいもうしあげます！
I'm a [treasure chest]!!	俺様が、【たからばこ】だ！！
Beginners, make sure and keep an eye out for me!!	初心者のキ・ミ・た・ち！俺様をしっかりとさがしてくれよ！！
Hey SOLDIER!! Tell us about battles! We'll even pay you!	物知り元ソルジャーさん！！バトルのことをオレたち３人組に教えてくださいよ！報酬はずみますから！
What do you want to know?	なにを教えてほしいんだ？
About ATB	【ＡＴＢ】について
About numbers on the screen	【飛び出す数字】について
About [Change] and [Defend]	【チェンジ】と【ぼうぎょ】について
About [Escape]	【逃げる】について
About [Gauges]	【ゲージ】について
About [Status]	【ステータス】について
About [Elementals]	【属性】について
About [Help]	【ヘルプ】について
That's all the time I have for you!	もうひまつぶしは終わりだ
I'm not hard up enough to take money from guys like you. But I'll rap with you for a while.	おまえたちから金をとるほど落ちぶれちゃいない。ひまつぶしにつきあってやる
ATB or Active Time Battle is a system that is always in operation during battle.	【ＡＴＢ】、すなわち【アクティブタイムバトル】は戦闘中、つねに時間が流れているシステムだ
Select [Wait] from ATB on the Config Menu and time will stop when you select magic or items during battle.	メニューのコンフィグでＡＴＢを【ウェイト】にすると……戦闘中、魔法やアイテムを選んでいる間時間が止まる
This gives you time to pick out your commands. This is especially helpful to beginners.	コマンドをゆっくり選べるというわけだ。おまえたち、初心者にはおあつらえむきだな
Selecting [Recommended] ATB in the config menu can stop time while the effects of spells and items are taking place during battle.	同じくコンフィグでＡＴＢを【おすすめ】にすると……戦闘中、魔法やアイテムのエフェクトが出ている間時間が止まる
This lets you take your time looking over the progression of the battle. When you don't want to rush in battle, this is for you!	戦闘の様子をゆっくり見られるというわけだ。落ちついて戦いたいときはこれだな
Personally, I always use [Active], but you can use whichever you like.	俺はいつでも【アクティブ】だが気にするな、好きなものを選ぶといい。以上だ
White numbers appearing on the screen in battle are damage points. Green numbers show restorative points.	バトルの時に、【ピロンと飛び出す数字】は白がダメージ、緑が回復していることを表している
You better watch these if you don't want to get wiped out.	全滅したくなければ注意することだな
The [Change] command can move characters to and from the front and back rows.	【チェンジ】のコマンドで戦闘隊形の前列・後列を入れかえられる
In the back row, the damage received is less, but the attacking power is less.	後列にすると受けるダメージが減るが、攻撃力も減る。【チェンジ】は、戦闘コマンドを選ぶときに【方向キーの左】を押すと可能だ
You can make a [Change] by pressing the Directional button in battle. Pushing the Directional button the other direction during battle accesses [Defend].	同じく戦闘コマンドを選ぶときに【方向キーの右】を押すと【ぼうぎょ】だ
Selecting [Defend] reduces the damage you receive by half until the next command.	【ぼうぎょ】のコマンドを選ぶと次のコマンド入力までのあいだダメージを半分にすることができる
If you're up against a strong enemy, don't hesitate to use this one. Of course, I never need it.	手強い相手には無理せず【ぼうぎょ】することが必要だ。むろん、俺には関係ないことだがな
I don't really remember ever having to use the [Escape] command… but you'll probably need it.	俺は、戦闘中、【逃げる】ことなどめったにないから、くわしくは覚えていないが…おまえたちには必要だろう
Push [PAGEUP] and [PAGEDOWN] together, hold them down, and you can escape.	Ｌ１ボタンとＲ１ボタンを押しっぱなしにしていると逃げられたはずだ
During battle, there are several [Gauges] displayed. You can't check them now, so just remember what I tell you.	いまは確認できないからわかりにくいかもしれんがとにかく、聞いておけ。戦闘中、いくつか表示されている【ゲージ】のことだ
[time gauge] displays the time remaining until your next turn while in battle.	【ＴＩＭＥゲージ】は戦闘中、次のコマンド入力が回ってくるまでの待ち時間をあらわしている
When the gauge is full, you can make your command. If you don't want to make one, push [MENU] and you can move to the next character. It's convenient when you wanna make BARRET work.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。BARRETをこきつかいたい時などに便利だ
The [limit gauge] increases every time you sustain damage. When it is full, you can use the [limit technique].	【ＬＩＭＩＴゲージ】はダメージを受けるごとにのびていくはずだ。これがいっぱいになると、【リミット技】が使える
This gauge is not cleared after each battle, but gradually builds up over time.	【ＬＩＭＩＴゲージ】は、各戦闘ごとにクリアされず数をこなしただけ、たまっていくタイプだ
It takes a while for it to build up, so you have to think about which times are the best to use it.	たまったからといって、すぐにつかわず【リミット技】の使いどころを見極めることが大切なのは言うまでもない
You probably don't know about them, but there are conditions of [fury] and [sadness].	おまえたちは知らないだろうから、教えといてやる。【ステータス】に、【怒り】と【悲しい】という状態がある
When you have [fury], your limit gauge builds up sooner, but your attacking accuracy is lower.	【怒り】は、【ＬＩＭＩＴゲージ】の上がり方が早くなるが攻撃の命中率は低下する
Keep in mind that [sadness] makes your limit gauge build up slower, but the damage you receive is also lessened.	【悲しい】は、【ＬＩＭＩＴゲージ】の上がり方が遅くなるが、敵の攻撃から受けるダメージは低下する。ついでに、おぼえておくといいだろう
The [barrier gauge] shows your defense barriers.	【ＢＡＲＲＩＥＲゲージ】は特定の魔法の効果時間をあらわす
The top gauge displays [barrier] or magic defense against attacks. The bottom gauge displays [magic barrier] or defenses against magic attacks.	上のゲージは、なぐられ攻撃を防ぐ魔法【バリア】下のゲージは、魔法攻撃を防ぐ魔法【マバリア】
Both will cut the damage you receive in half. However, over time they will disappear.	両方ともダメージを半分にしてくれるが時間が経つと消えてしまう
Whenever you use [barrier] or [magic barrier] make sure to pay attention to the [barrier gauge].	【バリア】と【マバリア】の魔法をつかったときは【ＢＡＲＲＩＥＲゲージ】に注目だな
That's it. Remember that for the next battle.	以上だ、次の戦闘で確認してくれ
Looks like you didn't get it the last time I told you. What's wrong with you? You touched in the head?	この俺の説明でもわからんようならしかたない。おまえたちの理解する能力がたりないようだ
Well, don't worry. You just need to push [ASSIST] in battle.	だが、安心しろ。そんなおまえたちは、戦闘中、セレクトボタンを押してみるといいだろう
Do that, and the [Help] message will walk you through the commands.	【ヘルプメッセージ】が、俺にかわっていろいろとコマンドの説明をしてくれるはずだ
It also shows you the name of your enemy, so even I use it once in a while. Make good use of it.	敵のモンスター名なども表示されるから俺も気分転換に見ることもある。はずかしがらずに使うといい
[wiped out]. This is one I've never personally used. But I heard from someone what it was about.	【全滅】か……俺の記憶にはないから、これは人から聞いた話だ
When you are wiped out, you start back from the last save point.	【全滅】したときには前の【セーブポイント】からはじまる
Even a weakling like you can make it out of the roughest places as long as you hang in there and fight. You should be glad!	おまえたちのような弱いヤツでも地道に戦えば、どんな難所でも脱出できるはずだ。ありがたいことだな
[Status] means just that. The status of each character.	【ステータス】とはキャラクターの状態のことだ
I'll probably wind up repeating myself, but let me go over a few basic points.	これまで説明したことと重なるかもしれんが代表的なものをまとめといてやる
Sleep You cannot put in a command until you get up.	すいみん　起きるまでコマンド入力不可になる。
Poison Steals your HP in battle.	どく　　　　戦闘中にどんどんＨＰが減っていく。
Fury Damage is increased, attack accuracy decreased. Tranquilizers will remedy it.	いかり　　ダメージ倍、命中率低下。鎮静剤でもどる。
Sadness Damage is decreased. Hyper will remedy it.	かなしい　ダメージ低下。興奮剤でもどる。
Petrify Will petrify and become immobilized. Every member will be wiped out.	せきか　　石になり、動けなくなる。全員石で全滅だ。
Confuse Will attack enemy and ally alike.	こんらん　頭が混乱し、敵味方の区別がつかなくなる。
Silence Will be unable to cast magic.	ちんもく　全ての魔法をとなえられなくなる。
Paralyze Stops time gauges, commands.	マヒ　　　　タイムゲージ停止、コマンド入力不可
Darkness Accuracy of hitting attacks decreases.	くらやみ　なぐり攻撃の命中率低下。
Frog Become a frog. I hate this one!	カエル　　カエルになる。俺はだいきらいだ。
Hoo…I'm beat.	フッ……さすがにつかれたな
Your [Status] can be changed with magic and items, so you should check it whenever you buy things.	【ステータス変化】はアイテムや魔法で直せるから物を買うときに確認しておくのがいいだろう
[elemental] is the special effect that comes with certain weapons and magic.	【属性】は魔法や武器などについてくる特別な効果のことだ
It's necessary to move ahead effectively. If you pay attention to the types of elementals you use you'll become intermediate in no time.	有利に戦闘を進めるためには不可価だが【属性】を気にして戦えるようになればもう立派な中級者とよべるな
I put together this list, but remember, it's just a partial list don't take it too literally.	代表的なものの一例をまとめといてやる。あくまでも一例だ、うのみにするな
Fire Fire effect. Works best on animals and water monsters.	炎　　火の効果。けもの、氷のモンスターにきく。
Ice Ice effect. Works best on fire monsters and things that hate the cold.	冷　　氷の効果。寒がり、火のモンスターにきく。
Lightning Lightning effect. Works best on mechanical things.	雷　　電撃の効果。機械でできたヤツにきく。
Earth Attacks using the earth's power. Doesn't work on flying enemies.	土　　大地の力の攻撃。飛んでるヤツにはきかない。
Poison Poisons enemies. Doesn't work on any poison-based enemies.	毒　　毒状態にする。もともと毒のヤツにはきかない。
Gravity Gravity-based attack. These hurt if they hit.	重　　重力を使った攻撃。当たるといたいな。
Water Calls on the earth's water. Works well on fire monsters.	水　　大地の恵みの水を呼ぶ。火のモンスターにきく。
