Dolphin Shores	イルカの海辺
Reno	レノ
I can't give you what's here. We'll take out Sephiroth.	ここにあるものは渡せない。セフィロスは、我々が倒す
I guess this is our last meeting.	ゆえに、おまえたちとはここで永遠のお別れになる、と
Rude	ルード
I won't let you get in our way.	邪魔は、させない
So Shinra's new, secret weapon was on this Airship…	この飛空艇には、神羅の新兵器が積んであったのか……
???	？？？
Sephiroth…	セフィロス…
VINCENT…	VINCENT……
!!!	！！！
That voice? It can't be…	この声は！？　まさか…
Lucrecia?	ルクレッツィア…なのか…？
VINCENT?	VINCENT……？
Lucrecia!!	ルクレッツィア！！
Lucrecia	ルクレッツィア
Stay back!!	こないで！！！
Lucrecia… You're alive…	ルクレッツィア…生きていたのか…
Lucrecia… You're alive…	ルクレッツィア…生きていたのか…
Lucrecia	ルクレッツィア
I wanted to disappear… I couldn't be with anyone… I wanted to die…	消えてしまいたかった…みんなのそばにいられなかった…死にたかった……
But the Jenova inside me wouldn't let me die…	でも、私の中のジェノバが私を死なせてくれない……
Lucrecia	ルクレッツィア
Lately, I dream a lot of Sephiroth… My dear, dear child.	最近、セフィロスの夢を見るの…私のかわいい子供……
Ever since he was born I never got to hold him…	でも、あの子が生まれてから私は一度も抱いてない……
Not even once. You can't call me his mother… That…is my sin…	子供も抱けない…、母親だと言う事もできない……それが、私の罪………
Lucrecia…	ルクレッツィア…
Lucrecia	ルクレッツィア
Back!! Stay back!	ダメ！！きちゃダメ！
Lucrecia	ルクレッツィア
VINCENT… Won't you please tell me?	VINCENT…教えて？
What?	なにを…
Lucrecia	ルクレッツィア
If Sephiroth is still alive?	セフィロス…あの子は生きているの？
I heard that he died five years ago. But I see him in my dreams so often…	５年前に死んだと聞いたわでも、最近よく夢を見るの…
And I know that physically, like myself, he can't die so easily.	それに、あの子も私と同じ簡単に死ねない体……
Please, VINCENT tell me…	ねぇ、VINCENTあの子は……
Lucrecia… Sephiroth is dead…	セフィロスは……死んでしまったよルクレッツィア…
Received "Death Penalty"!	『デスペナルティ』を手にいれた…
Received "Chaos"!	『カオス』を手にいれた…
Lucrecia…	ルクレッツィア……
If she is happy then… I don't mind.	彼女が、幸せなら私は… かまわない……
After that, a child was born to Lucrecia… 	しばらくした後 ルクレッツィアに赤ん坊が 生まれる…
That child's name was… Sephiroth…	赤ん坊の名は… セフィロス……
I'm against it!! Why experiment on humans!?	そんな人体実験をなぜ！
She and I are both scientists!!	私も、彼女も科学者だ！！
Urrrrrrrrgh!!	うわああああーーーーー！！！
This body is… the punishment that's been given to me…	この身体は……私に与えられた罰……
I was unable… to stop Professor Gast and Hojo…	私は……ガスト博士や宝条……
And Lucrecia…I was unable to stop them…	そして、ルクレッツィアを止める事が出来なかった……
All that I was able to do was watch… That is my punishment…	見ていることしか出来なかった……それが、私の罪……
