Wilderness	荒れ地
YUFFIE!	YUFFIE……！
YUFFIE	YUFFIE
You scared of the Shinra?	そんなに神羅がこわいの？
Then why don't you just bow down and obey them like all the other towns?	だったら他の町みたいにさっさと神羅にしたがったらいいじゃないか！
YUFFIE	YUFFIE
Those guys are the ones who are really fighting the Shinra!	そこにいる連中の方が神羅とまともにたたかってるよ！
Godo	ゴドー
Shut up! What would you know about this?	う、うるさい！お前のようなやつになにがわかる！
YUFFIE	YUFFIE
You got beat once, so what? That's it? What happened to the mighty Wutai I used to know?	いちど戦にまけたらそれっきり？強いウータイはどうしたのさ！
Godo	ゴドー
No kid like you's going to talk to me like that!	これはお前のような子供が口を出す間題ではない！
You keep acting like that! You ought to be ashamed of yourself!	まだそんな格好をしおって！はずかしくないのか！
YUFFIE	YUFFIE
That's my style! And it's my business, not yours! Don't try and dictate what I should do!	アタシのセンスだもんそんなの勝手だろ！人のポリシーに口ださないでよ！
Godo	ゴドー
Style? Dictate?	セ、センス……？ポリーシー……？
Why all those fancy words? You're a rotten daughter!	そんなヨコ文字までつかいおって！この……この不良ムスメが！
YUFFIE	YUFFIE
Hmph! You're a sad excuse for a father!!	フンだ、このグータラ親父！！
Godo	ゴドー
…Take your things and get out of here now.	……やはり、早々にここから出ていってくれ
For the good of Wutai, we cannot stand up to Shinra.	ウータイを守るには神羅にさからうわけにはいかないのだ
Shinra soldier	神羅兵
Now listen up! They must be in the area! Find them no matter what!	いいか！　ヤツはかならずこのあたりにいるはずだ！なんとしても探しだせ！
Yes, sir!!	ハッ！！
Hidden Passage	かくし通路
Received "Magic Shuriken"!	『風魔手裏剣』を手にいれた！
Hidden Passage	かくし通路
Received "Hairpin"!	『かんざし』を手にいれた！
Hidden Passage	かくし通路
Received "HP Absorb" Materia!	『ＨＰきゅうしゅう』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Item/Accessory Store	武器・アクセサリー屋
Hey yo! Welcome!	アイヨ、らっしゃい！
We got some of the best blades right out of the furnace! So strike while the iron's hot!	鉄は熱いうちに打てってな！できたてのキレモノがそろってるぜ！
Hey yo! Welcome!	アイヨ、らっしゃい！
You aren't tired of my rambling?	あんたらもまだあきらめてないクチかい？
Great! Then come on in and start buying!	うれしいねえ！さあ、買った買った！
Sorry, but we're entirely sold out now.	すまないが、ウチの商品いまみんな売りきれなんだ
What's this here? Ah, no…that's uh…	ここにあるの？あ、いや、これは……
…A sample! Yeah, that's it…a sample. Sorry, but why don't you all come back later?	そう、見本！見本なんだ。わるいな、また後できてくれよ
Listen, I'm sorry about last time. YUFFIE told me not to sell anything to you.	やあ。こないだは悪かったな。じつはYUFFIEちゃんにアンタらに売るの、止められててさ
This is a weapon store of hard cores, by hard cores, and for the hard cores! Come on and take a look, why doncha!?	でももう解決したんだよな？さあ、買った買った！
Sorry, listen I… No, nothing…never mind.	ここは、あきらめない人間によるあきらめない人間のための武器屋！さあ、見てってくれ！
Item Store	すまないね。じつのところ……いや、なんでもない。また今度きてくれよ
Stole "MP Absorb" Materia!	道具屋
Received "MP Absorb" Materia!	『ＭＰきゅうしゅう』のマテリアを盗まれた！
We got a lot of different stuff here. Take what you want.	『ＭＰきゅうしゅう』のマテリアを手にいれた！
You're still gonna sit here and buy stuff at a time like this?	イロイロそろってるよ。自由にえらんでおくれ
You're an odd one…	こんな時だってのにまだ何か買うのかい？
I'm sorry. The sign outside says "Materia", but there's almost no Materia left anywhere in Wutai.	お客さん、変わってるね……
Listen, this is just a backwoods town. We don't have much to do with Shinra, and besides…	ごめんなさいね。おもてには『マテリア』なんてかいてあるけど、今ウータイにはマテリアなんてほとんどないの
If we had a lot of Materia, Wutai would be a much more exciting town, but we don't…	ほら、ここはいなかだしそれに、神羅カンパニーともあまり、ね……
And now it's too late to be worrying about Materia at this stage of the game…	マテリアがいっぱいあればウータイももっとにぎやかになると思うんだけど……
If you see anything you need, buy it.	もうマテリアがどうのと言ってる場合じゃなくなったわね……
Huh? What? You DID?	何かあなたの役に立つものがあったら、買っていってね
Oh, no, no, no! I'm just replacing these goods! You come back later.	え？なに？何かあったの？
YUFFIE's House	ああ、ダメダメ。今、商品のいれかえをしているところなんだよ。あとでまた、来ておくれ
YUFFIE	YUFFIEの家
I know, the Materia, right? I have it stored in a safe place. …Follow me.	YUFFIE
YUFFIE's House	わかってるよ、マテリアだろ？ちゃんとしまってあるよ。……こっちきて
YUFFIE	YUFFIEの家
…I've been hearing that ever since I was little.	YUFFIE
Before I was born, Wutai was a lot more crowded and more impressive.	……小さいころから聞かされてた
YUFFIE	アタシが生まれる前のウータイはもっとにぎやかでもっと強かったって……
You see what it looks like now, right? …Just a tourist trap…	YUFFIE
After the war, we got peace, but we lost something else. Now look at Wutai…	見たでしょ、今のウータイを。これじゃただの観光地だよ……
YUFFIE	戦に負けて、和平を手にいれてでも、それといっしょに何かをなくしちゃったんだ。今のウータイは……
That's why… if I had lots of Materia I could…	YUFFIE
CLOUD	だからアタシは……マテリアがいっぱいあればきっと……だから、だから……
Listen, YUFFIE. I don't care about the history of Wutai or your feelings.	CLOUD
You've got our Materia and I want it back…now.	……悪いがYUFFIE。ウータイの歴史にもおまえの感情にも興味はない
If you give it back now, we'll drop the whole thing.	俺たちに重要なのはいま俺たちのマテリアをおまえがもっているということだ
TIFA	マテリアさえ返してくれればそれ以上おまえを責めるようなことはしない
I'm sorry, YUFFIE. I know how you feel, but we need Materia, too.	TIFA
…We just can't let you have it. Please understand.	ごめんなさいね、YUFFIE。あなたのキモチはわかるけど私たちにもマテリアは必要なの
YUFFIE	……このままあなたにあげてしまうことはできないのよ。わかってちょうだい
Dammit, YUFFIE. We ain't got time to be listening to your life story.	CID
If you want Materia, get it yourself. That's how you should do it.	……ケッ、YUFFIEよ。おめえの身の上話をきいてるヒマは、こっちにゃねえよ
YUFFIE	マテリアが欲しかったらてめえの力で手に入れな。それがスジってもんだ
I know. I know that…	YUFFIE
YUFFIE	わかってる。そんなのアタシだってわかってるよ……
That…sniff…switch… the lever on the left…… Materia's…sniff, hic…in there.	YUFFIE
YUFFIE	そこにヒック……スイッチ……左のレバー……マテリア、ヒック……かくして……
Don't make a mistake. The left lever…	YUFFIE
AERIS	まちがえないで。左のレバーを……
I'm sorry, but……	AERITH
BARRET	かわいそう、だけど……
Ain't nuthin' we can do about it…	BARRET
TIFA	ま、しかたねえよな……
Now, the Materia…	TIFA
RED XIII	さあ、マテリアを……
Were we a little too harsh on her?	RED XIII
CAIT SITH	ちょっと言い過ぎたかな……
Well, let's get our Materia back.	CAIT SITH
CID	まぁ、とりあえずはマテリア、返してもらいましょ
Hmmph… I dunno.	CID
VINCENT	ケッ……オレ様は知らねえよ
There was nothing else to do.	VINCENT
BARRET	やむをえないな
Wh…what the hell is this?	BARRET
AERIS	な、なんだコリャ！？
Eyaaaaah!	AERITH
TIFA	キャッ！！
Eyaaaaah!	TIFA
RED XIII	キャッ！！
Wh, what are you doing?	RED XIII
CAIT SITH	な、何するんだ！？
Wh, what is this?	CAIT SITH
CID	な、なんやねんなコレ！？
Whoa!	CID
VINCENT	オオッ！？
!?	VINCENT
YUFFIE	！？
Ha, ha--! You should've listened!!	YUFFIE
YUFFIE	ハッハッハーッ！人の言うことは聞いとくもんだってこと！！
Ha, ha, ha--! Never trust anyone that easily!!	YUFFIE
YUFFIE	ハッハッハーッ！そうかんたんに人を信用するなってこと！！
The Materia's mine! Tough!	YUFFIE
YUFFIE	マテリアはアタシのもの！ざんねんでした！
You want your Materia? Then go find it yourself!	YUFFIE
Yeah that's right. And when you're looking for the Materia, remember you gotta steel it.	マテリア取りかえしたかったら自分たちでさがしてみれば？
Heh heh… Steel…steel! Get it?	そう、マテリアを見つけるにはカネにものを言わせなきゃ
YUFFIE	エヘヘ……カネだよ、カネ。わっかるー？
C'ya!!	YUFFIE
BARRET	じゃ～ね～！
Y, yo, wait up!!	BARRET
AERIS	お、おい、助けてくれよ！
Wait, don't leave us!	AERITH
TIFA	ね、おいてかないで！
W..wait, don't leave us here!	TIFA
RED XIII	ちょ、ちょっとおいてかないでよ！
Help us first!	RED XIII
CAIT SITH	先にオイラたちを助けてよ～！
Hey, help us…please!	CAIT SITH
CID	先に、こっちを助けて～なぁ～！
Hey! Help me first!	CID
VINCENT	おい！オレ様を助けるのが先だろうが！
Wait, don't go by yourself!	VINCENT
Flip the Left Lever	待て、ひとりで追うな！
Flip the Right Lever	左のレバーをさげる
[Turtle's Paradise]	右のレバーをさげる
No. 6	【かめ道楽　通信】
Drink at the "Turtle's Paradise"	ナンバー６
and talk about Wutai!	『かめ道楽』で飲まずして
To find "Turtle's Paradise",	ウータイを語るなかれ！
look for the big pot outside!!	居酒屋『かめ道楽』は
Hidden Room	でっかいツボが目印です！！
YUFFIE	かくし部屋
Let go! I SAID let GO!	YUFFIE
Hey! Who do you think I… OW! What're you doin'? Jerk!	離せよ！　離せってば！ちょっと、イタ、イタタタタ！
CLOUD	コラ、アタシをだれだと……あーっ！　何すんだよー！
You!	CLOUD
TIFA	おまえは……！
Oh! You're…	TIFA
CID	あっ！　あなたは……！
Ww, who are you!?	CID
…ho… …ho…	な、なんだテメエは！？
Hohi, hohi! Hohihi!	……ほ………………ほ……
CLOUD	ほひ、ほひ！ほひひ～～～！！
Corneo!?	CLOUD
TIFA	コルネオ！？
Don Corneo!?	TIFA
CID	ドン・コルネオ！？
The hell are you doing!	CID
Corneo	テメエ、何してやがる！
Hohi!	コルネオ
I've finally got a new chicky!	ほひ～！
Two for one, in fact! Heh, heh!	やっと新しいおなごが手にはいったぞ～！
CLOUD	いちどにふたりも！ほひ～ほひ～！
Two!?	CLOUD
TIFA	ふたり！？
Two!?	TIFA
CID	ふたり！？
Two!?	CID
Elena	ふたりだと！？
H…hey! Let go of me! You're gonna regret this!!	イリーナ
Received "Swift Bolt"!	コ……コラ、離しなさい！後でこうかいするわよ！！
Received "Elixir"!	『雷迅』を手にいれた！
Wutai‚Main Mtn.	『エリクサー』を手にいれた！
Shinra soldier	ウータイ総本山
There he is! It's Corneo! Don't let him get away!	神羅兵
Shinra soldier	いたぞ、ヤツだ！コルネオだ！絶対に逃がすな！
Attaaaack!	神羅兵
Num, num…	突撃ーーーッ！！
Help me. Help me. Help me…	ムニャムニャムニャ……
Num, num… I hope Meteor doesn't fall anywhere around here…	どうかお助けください。どうかお助けください。どうかお助けください……
Oh, Great Da-chao… Please grant us your strength…	ムニャムニャムニャ……あの星がこのあたりに落ちてきませんように……
He's in the pagoda next to Lord Godo. Lord Godo says we're stuck…	あ～ダチャオ様……今こそあなたのお力を……
Wutai‚Da-chao Statue	ゴドー様はとなりにある五強の塔にこもりっきりじゃ。ゴドー様でもあんなものはどうにもならんて……
Wutai‚Godo's Pagoda	ウータイ　ダチャオ像
Reno	ウータイ　五強の塔
You're finally here. We're gonna split up.	レノ
You do whatever you want. But don't endanger Elena.	やっと来たな。俺たちは二手に別れるぞ、と
Don't worry. We won't do anything to that girl, YUFFIE.	お前たちは、勝手に行動しろ。ただし、イリーナに危害は加えるなよ、と
For now…	心配するな。俺たちも、YUFFIEとかいう小娘には何もしやしない、と
Rude	今のところはな、と
……	ルード
Reno	……
Stop fooling around. The enemy's not gonna wait for us, you know!	レノ
Reno	チンタラやってるヒマはねえ。敵さんは待っちゃくれないぜ、と
You all thought they might be here too, huh?  We were way off.	レノ
There's no way they could get this far.	お前たちも、ここがクサイと思ったか。あいにく、大ハズレ、と
CLOUD	そんなに遠くへは行けないはずだぜ、と
Whoa!!	CLOUD
CLOUD	うわっ！
Can't go through here… That flame would fry me in an instant.	CLOUD
TIFA	これは無理だな。この炎じゃ、あっという間に黒コゲだ
Eyaaaah!	TIFA
TIFA	キャアッ！
There is no way past this!	TIFA
CID	とてもじゃないけど進めないわ！
Damn, that's hot!	CID
CID	うあっちい！
I like hot baths, but this is TOO hot!	CID
"The Scale of the Sea God" shines!	フロは熱いにかぎるがこいつは、ちいとばかり熱すぎんぜ！
YUFFIE	『水神様のうろこ』がきらめいた！
LET…ME……GO!!!!	YUFFIE
Corneo	は～な～せ～よ～！
Hmm! Delicious…scrumptious! I think I've just found a new HOBBY!	コルネオ
Corneo	ほひ～！いいの～、いいの～！新たなシュミになりそ～じゃの～！
Which shall it be? Hmm…Hmm…	コルネオ
Corneo	どっちのおなごにしようかな？ほひ～ほひ～！
Should I take…HER?	コルネオ
Elena	このコにしようかな～？
He…hey, I'm a 'Turk'! Don't think you can get away with this!!	イリーナ
Corneo	あ、あんた、私はタークスよ！こんな事をしてすむと思ってるの！？
Or…maybe…HER?	コルネオ
YUFFIE	それともこのコかな～？
Oh GAWD! If I knew this was gonna happen, I would've taken those rope lessons more seriously!!	YUFFIE
Corneo	あ～ッ！こんなことなら、ナワ抜けの修行マジにやっとくんだったよ～！
Hmm!!! I've made my choice! My companion for the night will be…	コルネオ
Corneo	ほひ～！！決めた決～めた！今夜の相手は……
…the cheerful one!	コルネオ
YUFFIE	この元気そうなおなごだ！
GROSS-NESS!	YUFFIE
Don't mess with me old man! You don't even have any Materia!	ゲゲッ！
Corneo	ざけんな、ジジイ～！マテリアも持ってないクセによ！
Oooooh! And she's saucy, too! Wheee! Wheee!	コルネオ
All right, that's it!!	ほひ～！そのこばむしぐさがういの～、うぶいの～
Hold it right there!	そこまでだ！
Hey, hey, hey! That's as far as you go!	待ちなさい！
Corneo	おうおうおう！ そのヘンにしときな！ コルネオ
Hee-haw. What…what's goin' on!? Who's there?	ほひ～。なんだ、なんだ！　何者だ！
YUFFIE	YUFFIE
Oh man! CLOUD……!	ゲッ！CLOUD……！
YUFFIE	YUFFIE
Oh man! TIFA……!	ゲッ！TIFA……！
YUFFIE	YUFFIE
Oh man! That old fart, CID!	ゲッ！CIDのオヤジ……！
Corneo	コルネオ
Wheeel…long time no see.	ほひひ、ひさしぶりだな
CLOUD	CLOUD
Don't tell me you forgot…	忘れたとは言わせないぞ
TIFA	TIFA
That fall into the trap really hurt!	痛かったんだから！あの落とし穴……！
AERIS	AERITH
You just don't get it, do you…!?	こりない人ねこんなマネして……！
Corneo	コルネオ
Hmm…Who are you guys!?	ほひひ、なんだ、お前たちは！？ CID
CID	てめーみてえな、ゲスやろう神さんが許しても、このオレ様が許さねえ！
Maybe God'd forgive an ugly ^#@# like you, but I won't!	BARRET
BARRET	このミッドガルのハイエナ野郎……！
 You damn Midgar hyena…!	RED XIII
RED XIII	早くふたりを放せ！
Hurry and let the two go!	VINCENT
VINCENT	どうでもいいが、やり方がスマートではないな……
I don't care what you're doing, so much as the idiotic way you're doing it…	CAIT SITH
CAIT SITH	オッサン女にもてたいんやったらやり方ちゅうもんがあるやろ
Listen you stupid, slimy, sleazy old scab bag! If you want to get women, there's such a thing as the RIGHT way!	コルネオ
Corneo	だまらっしゃ～い！あれから、俺がどんなに苦労したかお前らにはわかるまい……
Be quiet! None of you know how much I've suffered since then…	コルネオ
Corneo	そう、話せば長くなるけれど……
It's a long story, but……	TIFA
TIFA	話さなくていーの！早くふたりを降ろしなさい！
We don't want to hear it! Just let them go!	CID
CID	んなこた、どーでもいーんだよ！ネエちゃんたちを、返してもらうぜ。腕ずくでもな！
I don't really give a damn! You're gonna let them go, or else I'm gonna break your arm!	CLOUD
CLOUD	興味ないね！YUFFIEたちを、返せ！
I don't really care! Let YUFFIE and Elena go!	コルネオ
Corneo	ほひ……おまえら……本気だな。……えらいえらい
Hmm…You guys are serious. …Good, good.	……俺もふざけてる場合じゃねえな
…this time I'm not fooling around either…	コルネオ
Corneo	あの時は俺の可愛いアプスをよくも殺ってくれたな……
Why did you kill my little Aps?	これ以上、俺の花ヨメ探しのジャマをさせんためにも、俺の新しいペットと遊んでもらうぜ！
I'm gonna make you PLAY with my new pet, so you won't interfere in my search for a bride!	コルネオ
Corneo	ラプス　カムヒア！！
RAPPS---come here!!	コルネオ
Corneo	ちょ……
Wait…	ちょっと待った！
Just wait a second!	CLOUD
CLOUD	だまれ！
SHUT UP!	TIFA
TIFA	さあ、かんねんしなさい！
You better say your prayers!	CID
CID	おうじょうぎわが、わりーぜ！とっつぁん！！
Don't be such a poor loser, old man!	コルネオ
Corneo	すぐ終わるから聞いてくれ
Just listen to me - it won't take long.	俺たちみたいな悪堂がこうやってプライドをすててまで命ごいするのは、どんなときだと思う？
Why do you think a bad guy like me would swallow his pride and plead for his life?	１　死をかくごしたとき
1  Because he's ready to die	２　勝利を確信しているとき
2  Because he's sure to win	３　なにがなんだかわからないとき
3  Because he's clueless	コルネオ
Corneo	ほひ～！　はっずれ～！
Hmm…WRONG!	コルネオ
Corneo	ほひ～！　あったり～！
Hmm…RIGHT!	コルネオ
Corneo	ほひ～！　おっし～！
Hmm…Close, but no!	イリーナ
Elena	キャアーッ！
Eyaaaah…	YUFFIE
YUFFIE	あ、頭に血がのぼる～ッ！
It makes me so MAD!	コルネオ
Corneo	このスイッチを押すと、このまま 下に真っ逆さま…… つぶれたトマトのでき上がり！ CLOUD
Once I push this button, they'll fall and we'll have SQUASHED TOMATOES!	クッ……！
CLOUD	TIFA
Damn!	ひきょうよ！
TIFA	CID
Coward!	この、クサレ外道が……！
CID	BARRET
So this is how a loser lives!	きったねえ手使いやがって……！
BARRET	AERITH
Damn tricky $#%@&T$*^%$ !	わ、わかった……
AERIS	RED XIII
All right…	グルル……！
RED XIII	CAIT SITH
Grrrrrgh…	えぐいことすんの～！
CAIT SITH	VINCENT
You sure are vulgar!	……！
VINCENT	コルネオ
……!	では、そっちのおなごもわたしてもらおうか！
Corneo	コルネオ
Now, give me your women too!	ほっひっひっひ！最後に笑うのは、俺だったな！
Corneo	いや、俺たちだ、と
Ha, ha, ha, ha! I guess I have the last laugh!	コルネオ
No, that would be us.	タ、タークス！
Corneo	レノ
…The Turks!	お前が秘密をもらした時から決まっていたのだ
Reno	俺たちの手でほうむり去られるとな、と
You knew this was gonna happen ever since you leaked that secret.	コルネオ
We're going to take care of you… personally.	え、ええ～い！こうなれば、道づれだ！
Corneo	コルネオ
DAMMIT! Then they're all comin' with me!	グワッ……！
Corneo	レノ
Ugh…!	いいタイミングだぜ。ルード、と
Reno	ルード
Good timing, Rude.	……仕事だ
Rude	レノ
…Let's get to work.	さーて、コルネオさんよ。すぐ終わるから聞いてくれ、と
Reno	俺たちが、ヤツらと組んでまできさまを追いつめるのはなぜだと思う……？、と
All right, Corneo. This'll be over quick, so listen up.	１　死をかくごしたとき
Why do you think we went to all the trouble of teaming up with those guys to get you…?	２　勝利を確信しているとき
1.  Because we're ready to die	３　なにがなんだかわからないとき
2.  Because we're sure of victory	コルネオ
3.  Because we're clueless	２……２番ですか？
Corneo	レノ
Two…Number two?	どれも不正解、と
Reno	コルネオ
All wrong.	や！　やめ……！
Corneo	コルネオ
No! Wait, st…	ほひいいいぃぃぃぃぃ……
Corneo	レノ
Aaaaaaaaaa……p	正解は、と
Reno	ルード
The correct answer was…	……仕事だからだ
Rude	イリーナ
…because it's our job.	あ、ありがとうございます。先輩……！
Elena	まさか、助けに来てくれるなんて……
Oh, thank you very much…!	レノ
I never thought you'd come…	イリーナ。あまえるなよ、と
Reno	お前もタークスの一員なんだぜ、と
Elena, don't act so weak.	イリーナ
You're a Turk!	は……はい！
Elena	TIFA
Y…Yes, sir!	あ……ありがとう
TIFA	AERITH
Th…Thanks.	ありがと、助かっちゃった
AERIS	CID
Thanks for your help.	ともかく、今日んとこは礼を言うぜ
CID	BARRET
I uh, thanks for today.	お前らに救われるとはな……
BARRET	CAIT SITH
Never thought you'd ever help us…	あんたらもええトコあるやないか
CAIT SITH	VINCENT
You guys have some good in you.	礼を言わねばならないのか……
VINCENT	RED XIII
It would appear thanks are in order…	助かった……と言っておくよ
RED XIII	レノ
I'll just say you…helped.	はい……レノです、と
Reno	はい……はい……ただちに、かかります、と
Yes…this is Reno.	イリーナ
Yes…Yes… I'll get on it right away.	か、会社からですか？先輩……
Elena	レノ
Was that the company?	そう、CLOUDたちを探せとな、と……
Reno	ルード
Yeah, they want us to find CLOUD…	仕事か……？
Rude	レノ
Are we on?	いや、今日は非番だ、と
Reno	YUFFIE
No, today's our day off.	ど～でもい～けどお～ろ～し～て～～ッ！
YUFFIE	……
Hey---who cares about that!? Get----me-----down----!	待たれいッ！
…	それがしたち、ウータイの者ではござらぬな？
Freeze!	はい
You aren't from Wutai, are you?	いいえ
No	ウータイの者でなければこの塔に立ち入る事まかりならんッ！
Yes	お引き取りいただこう！
Only those from Wutai may enter the tower!	ええい！　正体をいつわるとはふとどきせんばん！即刻この塔から出ていかれよ！
I'll have to ask for you to leave!	おお、YUFFIE様！この五強の塔を登られる気になられたのですな？
Hey! I can't stand liars! Leave this tower at once!	ま、そんなトコかな
Oh, Miss YUFFIE! Will you be climbing the pagoda today?	ま～さか～！
Yeah	では、この１階の相手はこの力の強聖ゴーリキーがつとめさせていただきます！
No way!	YUFFIE様！私を倒さねば、２階に上がる事まかりなりませんぞ！
Then I, Sacred Gorky, will be your opponent on the first floor!	いよ！　オラ、シェイクってんだ！ゴーリキーと、あんたの手合わせはオラが見届けさしてもらうよ！
Miss YUFFIE! You cannot go on to the second floor unless you defeat me!	ゴーリキー
Yo! They call me Shake! I'll be watchin' your fight with Gorky!	では、参る！
Gorky	ゴーリキー
Then, begin!	力変化招来！
Gorky	ゴーリキー
Power Change!	参りましたぞ、YUFFIE様！
Gorky	シェイク
Here I am, Miss YUFFIE!	へー、ただのはねッ返り娘かと思ってたけど、その程度は出来んじゃん！
Shake	ま、次はどーかな？
Hmm, I thought you were just a girl, but you handled that pretty good!	ゴーリキー
Let's see how you do on next one…	お言葉ですが、修行が足りませんぞ！このゴーリキー、がっかりしましたぞ！
Gorky	シェイク
In my opinion, you need more training! Gorky is disappointed!	だ～めだって！ゴーリキーをやらなきゃ！五強の塔、ナメてんじゃない？
Shake	YUFFIE
No good! You have to beat Gorky! Are you mocking this Pagoda?	と～ぜ～ん！
YUFFIE	YUFFIE
Of course!	るさい！　るさい！　るさ～い！
YUFFIE	YUFFIE
Shut up! Shut up! SHADDUP!	次は誰よ？
YUFFIE	シェイク
Who's next?	あんたの目はふし穴か？ここに、いんじゃん！
Shake	YUFFIE
Are you blind? I'm right here!	は～？ガキが相手～？
YUFFIE	シェイク
What? I gotta fight a punk?	ヘン、何を言うかね！どこぞのバカ娘よりはオラの方が、よっぽど大人よ！
Shake	YUFFIE
Heh! Punk. I'm more of an adult than some bimbo girl!	な、なんだって～！？
YUFFIE	シェイク
Wh, what did you say!?	ヘッヘ！　そうやってムキになるのがガキたるゆえんよ！
Shake	のうがきは、速の強聖のオラに勝ってからにしな！
See what I mean? That kind of anger's what makes you so immature!	YUFFIE
Don't pat yourself on the back until you beat me!	見てなよ……！
YUFFIE	シェイク
Now watch…!	ハナいきだけは一人前だね！ホントにやる根性あんの？
Shake	おしゃべりは、もういい！
'bout the only thing you do really good is breathe! Are you sure you wanna fight?	許してやるよ
Stop yappin'!	ほう、ついにゴーリキーを倒した者が出たようじゃの
I'll forgive you	では、このチェホフが立ち合いましょうぞ……
Hm, so someone finally got past Gorky.	シェイク
I guess it's Chekhov's turn…	行くぜ、ガキんちょ！速変化招来！
Shake	シェイク
Here I go, brat! Speed Change!	うわっちゃ～！ちったーやるみたいじゃん！
Shake	シェイク
URRGRAAAAGH! So you CAN fight a bit!	ひゃ～っはっは！ガキガキガキガキ～！
Shake	シェイク
HYAAAAAAH! BRATBRATBRATBRAT!!	あんたらじゃダ～メ！ここはウータイ武闘術五強聖の塔だぜ！
Shake	シェイク
You don't belong here! This is the Wutai Temple of Martial Arts!	コラコラ、そこの～！オラをムシすんなって！
Shake	シェイク
Hey, you there! Don't ignore me!	あ～らら、いざとなると口だけなんて、ガキもガキ大～ガキ～！
Shake	チェホフ
So you're just talk after all. Brat!	シェイクを倒さずして階上に上がることあいなりませんぞ……
Chekhov	チェホフ
You can't go to the next floor unless you beat Shake.	ホッホッホ……ひさかたぶりに、うずきますぞ……
Chekhov	なんとシェイクまで、敗れたか。チェホフ、そなたの出番もひさしぶりだな
Ho, ho, ho… It's been a while since I felt pain…	チェホフ
So even Shake's been defeated. It's been a while since you had to fight, eh Chekhov?	残念ながら、わらわでおしまいじゃ。スタニフ、そなたは、そこで見ているがいい
Chekhov	YUFFIE
Unfortunately, this is as far as it goes.  Staniv, you watch over there.	そんなワケにはいかないのよね～！若さが強さってとこ教えたげるよ
YUFFIE	チェホフ
That ain't going to happen! I'll teach you about the strength of youth!	小娘が、いきがっておるとやけどくらいですまぬぞえ
Chekhov	あいにく火遊びは大好きなの
Keep mouthing off like that, little girl, and you're going to get burned.	オバさんは相手にしてらんない
I got insurance.	チェホフ
Let's get this over, ya' old geez.	ホッホッホ。魔の強聖のわらわと試合った後でも、そのへらず口きけるといいが……
Chekhov	チェホフ
Ho, ho, ho. We'll see if you still talk like that after you taste some of my Sacred Magic…	ホッホホ。ケツの青い小娘ならではのへらず口だこと
Chekhov	チェホフ
Ho, ho, ho. What do you expect from a child barely out of diapers!?	魔変化招来！
Chekhov	チェホフ
Magic Change!	わ、わらわの術を破るとは……
Chekhov	スタニフ
I can't believe…you beat me.	面白い……！ひさびさに我が腕、ぞんぶんにふるえそうだな……
Staniv	チェホフ
This should be interesting! It's been too long since I've had a chance to use my full power…	ホッホッホ！年はもいかぬ子娘に何がわかろうて……
Chekhov	スタニフ
Ho, ho, ho! What does a immature child know…?	やはり常人では、ここまでが限度か……
Staniv	チェホフ
This is the average person's limit?	そなたらでは、話にならぬぞえ
Chekhov	チェホフ
That being the case, we have nothing further to discuss.	ここを素通りしようとはわらわも、なめられたものよ
Chekhov	スタニフ
How dare they mock us, thinking they could sneak past us.	まずは、そちらのチェホフがお相手いたす……
Staniv	スタニフ
First, Chekhov will keep you company…	来ましたな……
Staniv	YUFFIE
So you're here…	あれ？　立ち合い人ってのは？
YUFFIE	スタニフ
Huh? Who am I supposed to beat?	はあーッ！
Staniv	スタニフ
HAAAAH!	ここ、４階までは階上の者が立ち合うのが、ならわし……。しかし、ここは五強の塔４階にして最上階の意味を持つ……
Staniv	すなわち！
The rule is the best fighter on each floor will be your opponent… This is a five-storied pagoda,but the fourth floor is the highest…	武の強聖の、私を敗った者は
In other words, no one has ever defeated me--Master of Weaponry!	かつてないということだ」
You still want to try…?	それでも、戦うかね……？
Just come on!!	もっちろん！
I'll pass!	パス、パ～ス！
Staniv	スタニフ
I like you! Now watch…	気にいった！見るがいい……
Staniv	スタニフ
Weapon Change!	武変化招来！
Staniv	スタニフ
How unfortunate! It was over before I could even put all my strength into it…	無念！今回も力をすべて出せずに終わってしまった……
Staniv	スタニフ
Wh, what…!?	な、何だと……！？
Gorky	ゴーリキー
Splendid! You have definitely improved…	お見事！かくも腕を上げられたとは……
Shake	シェイク
Oh, ho! You might not be as much of a child as we thought you were!	おっほ！思ったよりガキじゃないみたいじゃん！
Chekhov	チェホフ
Of course. If WE lost to her…	当然であろう。わらわが敗れた者なれば……
Staniv	スタニフ
You have defeated four of our best, but now you will have to face HIM!	最上階の立ち合いは我ら４人！あの方と相まみえていただきましょうぞ……！
Staniv	スタニフ
If it were not for Miss YUFFIE, I wouldn't be facing him…	YUFFIE殿でなければ私が相まみえるわけには参りませぬな……
Staniv	スタニフ
You didn't seem like someone who could get to the fourth floor so easily…	労せずして実をえようとはこの４階まで来た者とも思えん所業……
YUFFIE	YUFFIE
D,…Dad!?	お、オヤジイ！？
Godo	ゴドー
I'm glad you made it this far, YUFFIE!	よくぞ来た、YUFFIE！
YUFFIE	YUFFIE
Why, why are you……	な、なんでアンタが……
Godo	ゴドー
I'll answer you by having you try your skills against me!	聞きたい事は、ワシの体におのれの技で聞くが良い！
